player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Artie Burns,10659,CB,PIT,5,7,,7.0,25,0,39.6,0,1,0,0,0,0.0
Denzel Perryman,9481,LB,SD,3,7,,3.5,27,0,39.6,0,2,0,0,0,0.0
Prince Amukamara,6171,CB,JAX,3,11,,11.0,15,0,39.6,0,1,0,0,0,0.0
Akeem Ayers,6191,ED,IND,4,6,,6.0,14,0,39.6,0,1,0,0,0,0.0
Von Miller,6154,ED,DEN,4,7,,7.0,10,0,39.6,0,1,0,0,0,0.0
Shareece Wright,6241,CB,BLT,4,9,,9.0,3,0,39.6,0,1,0,0,0,0.0
Kevin Minter,7826,LB,ARZ,6,14,,14.0,1,0,39.6,0,1,0,0,0,0.0
Marcus Sherels,6017,CB,MIN,1,2,,1.0,18,0,39.6,0,2,0,0,0,0.0
Sam Shields,5943,CB,GB,1,1,,1.0,12,0,39.6,0,1,0,0,0,0.0
P.J. Williams,9511,CB,NO,1,2,,1.0,20,0,39.6,0,2,0,0,0,0.0
Tramaine Brock Sr.,5903,CB,SF,3,4,,2.0,28,0,39.6,0,2,0,0,0,0.0
Tank Carradine,7821,ED,SF,2,2,,2.0,28,0,39.6,0,1,0,0,0,0.0
Jordan Hicks,9517,LB,PHI,3,3,,3.0,24,0,39.6,0,1,0,0,0,0.0
Kayvon Webster,7871,CB,DEN,2,3,,3.0,10,0,39.6,0,1,0,0,0,0.0
Nolan Carroll,5668,CB,PHI,5,9,,9.0,24,0,39.6,0,1,0,0,0,0.0
Darius Slay,7817,CB,DET,3,9,,3.0,11,0,39.6,0,3,0,0,0,0.0
Myles Jack,10670,LB,JAX,3,6,,6.0,15,0,39.6,0,1,0,0,0,0.0
Preston Brown,8708,LB,BUF,3,7,,7.0,4,0,39.6,0,1,0,0,0,0.0
Sean Spence,7087,LB,TEN,5,12,,12.0,31,0,39.6,0,1,0,0,0,0.0
J.J. Wilcox,7861,S,DAL,3,3,,3.0,9,0,39.6,0,1,0,0,0,0.0
