player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Mike Evans,8642,WR,TB,4,15.7,1,54.2,66.7,6,9,0,3.7,1,21,30,0,75.7,75.9,82.8,,80.7,0.0,0,3,45,0.0,0,197,1,26,90.9,179,16.8,33,73.3,48,3,83.2,164,360,44,1.7,13.8,2.01
Antonio Brown,5718,WR,PIT,4,11.0,2,65.1,68.4,13,19,0,3.4,1,18,25,0,76.1,78.8,81.9,,82.8,0.0,0,1,38,0.0,0,159,2,28,96.9,154,13.2,21,113.4,43,4,86.2,137,369,70,2.5,13.2,2.4
Emmanuel Sanders,5606,WR,DEN,4,10.6,2,59.5,100.0,7,7,0,0.0,0,17,10,0,85.7,75.5,83.6,,82.0,0.0,0,3,41,0.0,0,143,0,25,90.2,129,25.9,37,74.8,42,3,74.1,106,293,73,2.9,11.7,2.27
A.J. Green,6156,WR,CIN,4,10.2,5,76.2,80.0,8,10,1,5.9,2,18,7,0,68.8,76.8,87.2,,86.5,0.6,1,0,54,0.0,0,165,2,32,95.8,158,20.0,33,127.9,42,2,79.4,131,468,160,5.0,14.6,2.96
Jarvis Landry,8698,WR,MIA,4,7.7,8,75.6,37.5,3,8,0,6.1,2,16,17,1,79.1,33.5,81.1,,80.3,0.0,0,1,42,0.0,0,152,1,31,96.1,146,78.3,119,101.2,41,1,21.7,33,375,169,5.5,12.1,2.57
T.Y. Hilton,7092,WR,IND,4,12.2,3,64.1,66.7,4,6,0,0.0,0,15,14,0,85.7,76.0,77.6,,77.0,0.0,0,0,63,0.0,0,198,0,25,91.9,182,56.1,111,108.5,39,2,43.9,87,336,101,4.0,13.4,1.85
Allen Robinson II,8696,WR,JAX,4,14.1,1,55.3,40.0,6,15,1,16.0,4,15,15,1,39.1,25.0,67.6,,67.0,0.0,0,1,35,0.0,0,179,1,21,93.3,167,28.5,51,89.6,38,3,71.5,128,238,46,2.2,11.3,1.43
Greg Olsen,3647,TE,CAR,4,11.8,0,63.2,100.0,4,4,0,0.0,0,15,5,0,85.7,75.5,76.4,62.6,79.8,13.4,25,1,78,8.0,15,187,1,24,82.9,155,58.3,109,98.0,38,2,21.9,41,335,126,5.3,14.0,2.16
Larry Fitzgerald,1724,WR,ARZ,4,10.2,4,67.6,75.0,9,12,0,0.0,0,20,1,0,86.1,75.7,85.2,75.6,82.2,0.0,0,1,25,1.0,2,192,0,25,93.8,180,69.8,134,105.7,37,3,30.2,58,280,86,3.4,11.2,1.56
Odell Beckham Jr.,8647,WR,NYG,4,12.1,4,59.5,28.6,2,7,0,8.3,2,15,21,0,61.3,75.1,71.8,,73.5,0.0,0,1,45,0.0,0,169,3,22,93.5,158,10.1,17,74.5,37,0,89.9,152,303,92,4.2,13.8,1.92
Brandon Marshall,3064,WR,NYJ,4,14.4,1,43.2,33.3,2,6,0,15.8,3,12,22,0,41.6,74.2,64.5,,63.7,0.0,0,4,41,0.0,0,174,1,16,93.1,162,13.8,24,35.6,37,1,86.2,150,249,71,4.4,15.6,1.54
Marvin Jones Jr.,7158,WR,DET,4,13.2,6,63.9,50.0,4,8,0,14.8,4,16,11,0,40.2,75.1,78.6,,77.6,0.0,0,0,73,0.0,0,179,0,23,92.7,166,7.3,13,125.9,36,2,92.7,166,482,178,7.7,21.0,2.9
Steve Smith,837,WR,BLT,4,8.1,2,68.6,83.3,5,6,1,4.0,1,12,3,0,73.5,75.3,73.1,,73.2,0.0,0,1,52,0.0,0,143,2,24,92.3,132,44.1,63,90.3,35,1,55.9,80,281,116,4.8,11.7,2.13
Michael Crabtree,4933,WR,OAK,4,10.8,4,74.3,81.8,9,11,0,3.7,1,21,23,0,75.7,75.9,87.4,,87.8,0.0,0,1,31,0.0,0,159,3,26,91.2,145,23.9,38,126.8,35,4,76.1,121,308,62,2.4,11.8,2.12
