player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Travis Frederick,7812,C,DAL,9,0,9,68.4,100.0,114,37.9,114,81.0,2,100.0,301,301,80.7,100.0,159,52.8,159
Zack Martin,8651,G,DAL,9,0,9,71.2,100.0,114,37.9,114,86.0,1,100.0,301,301,84.8,100.0,159,52.8,159
Doug Free,3738,T,DAL,9,0,9,57.1,100.0,114,37.9,114,64.2,1,100.0,301,301,65.3,100.0,159,52.8,159
Jason Witten,1384,TE,DAL,9,0,9,62.5,100.0,114,38.3,114,63.1,1,100.0,298,298,58.5,100.0,156,52.3,156
Jack Conklin,10642,T,TEN,10,0,31,66.1,100.0,148,51.0,148,70.7,0,100.0,290,290,70.5,100.0,121,41.7,121
Ben Jones,7099,C,TEN,10,0,31,63.0,100.0,146,50.5,146,61.4,1,100.0,289,289,62.6,100.0,122,42.2,122
Dak Prescott,10769,QB,DAL,9,0,9,60.0,99.1,113,40.8,114,60.0,0,93.6,277,296,60.0,96.2,150,54.2,156
Matt Slauson,5117,C,SD,10,0,27,65.4,100.0,107,38.9,107,68.4,0,100.0,275,275,65.3,100.0,130,47.3,130
Philip Rivers,1725,QB,SD,10,1,27,60.0,100.0,106,40.2,106,60.0,1,97.8,264,270,60.0,100.0,129,48.9,129
Taylor Lewan,8646,T,TEN,10,0,31,88.6,100.0,131,50.4,131,91.0,2,100.0,260,260,86.3,100.0,112,43.1,112
Marcus Mariota,9435,QB,TEN,10,0,31,60.0,96.5,138,53.1,143,60.0,0,91.5,260,284,60.0,92.6,112,43.1,121
D.J. Fluker,7792,G,SD,10,0,27,61.1,100.0,99,38.2,99,60.8,2,100.0,259,259,61.5,100.0,122,47.1,122
Joe Thuney,10712,G,NE,9,0,19,75.5,100.0,126,48.8,126,68.9,1,100.0,258,258,59.8,100.0,95,36.8,95
Max Garcia,9566,G,DEN,10,0,10,62.0,100.0,36,14.0,36,68.8,2,100.0,258,258,69.2,100.0,187,72.5,187
Matt Paradis,8841,C,DEN,10,0,10,67.7,100.0,36,14.0,36,86.2,2,100.0,258,258,81.5,100.0,187,72.5,187
Michael Schofield III,8730,G,DEN,10,1,10,73.0,100.0,36,14.0,36,73.2,2,100.0,258,258,69.2,100.0,187,72.5,187
Andrew Norwell,9126,G,CAR,9,0,5,67.4,100.0,147,57.2,147,65.6,0,100.0,257,257,57.6,100.0,68,26.5,68
Mike Remmers,7431,T,CAR,9,0,5,74.6,100.0,147,57.4,147,67.2,1,100.0,256,256,51.2,100.0,67,26.2,67
Trai Turner,8727,G,CAR,9,0,5,60.6,100.0,147,57.4,147,68.8,2,100.0,256,256,73.1,100.0,67,26.2,67
Russell Okung,5531,T,DEN,10,2,10,62.5,100.0,36,14.1,36,71.5,3,100.0,255,255,66.7,100.0,184,72.2,184
David Andrews,9948,C,NE,9,0,19,66.7,100.0,126,49.4,126,62.8,2,100.0,255,255,45.0,100.0,93,36.5,93
Jason Kelce,6343,C,PHI,9,0,24,65.0,100.0,115,45.1,115,69.1,4,100.0,255,255,68.9,100.0,119,46.7,119
Brandon Brooks,7078,G,PHI,9,0,24,61.8,100.0,114,45.1,114,69.4,1,100.0,253,253,75.9,100.0,118,46.6,118
Xavier Su'a-Filo,8668,G,HST,9,0,13,49.5,100.0,86,34.3,86,64.5,1,100.0,251,251,66.2,100.0,137,54.6,137
Greg Mancz,10019,C,HST,9,0,13,59.7,100.0,86,34.3,86,71.1,0,100.0,251,251,76.6,100.0,137,54.6,137
Greg Olsen,3647,TE,CAR,9,0,5,70.5,100.0,140,56.2,140,64.1,0,100.0,249,249,62.6,100.0,67,26.9,67
Joe Barksdale,6244,T,SD,9,0,27,70.5,100.0,98,39.4,98,57.5,0,100.0,249,249,45.0,100.0,123,49.4,123
Andy Levitre,4974,G,ATL,10,0,2,85.2,100.0,47,19.0,47,84.7,1,100.0,247,247,82.5,100.0,174,70.4,174
Orlando Franklin,6198,G,SD,10,0,27,51.0,100.0,99,40.1,99,63.3,0,100.0,247,247,63.7,100.0,119,48.2,119
Ryan Schraeder,8496,T,ATL,10,0,2,59.5,100.0,47,19.0,47,81.1,1,100.0,247,247,90.1,100.0,174,70.4,174
Chris Chester,3001,G,ATL,10,0,2,51.7,100.0,47,19.0,47,60.5,0,100.0,247,247,56.8,100.0,174,70.4,174
Donovan Smith,9467,T,TB,9,0,30,67.6,100.0,122,49.4,122,69.3,2,100.0,247,247,65.3,100.0,91,36.8,91
Ali Marpet,9494,G,TB,9,0,30,60.1,100.0,122,49.4,122,73.2,1,100.0,247,247,81.6,100.0,91,36.8,91
Alex Mack,4944,C,ATL,10,0,2,72.3,100.0,47,19.2,47,83.4,2,100.0,245,245,84.6,100.0,174,71.0,174
Jake Matthews,8641,T,ATL,10,0,2,61.0,100.0,47,19.2,47,61.2,2,100.0,245,245,57.1,100.0,174,71.0,174
Jason Peters,2148,T,PHI,9,0,24,72.9,100.0,110,45.1,110,69.2,1,100.0,244,244,66.0,100.0,114,46.7,114
Josh Kline,8230,G,TEN,8,0,31,67.4,100.0,128,52.5,128,69.6,0,100.0,244,244,63.9,100.0,100,41.0,100
Jordan Mills,7945,T,BUF,9,0,4,60.6,100.0,140,57.9,140,58.6,1,100.0,242,242,57.1,100.0,76,31.4,76
Demar Dotson,5410,T,TB,9,0,30,65.2,100.0,118,48.8,118,82.0,0,100.0,242,242,86.9,100.0,90,37.2,90
John Miller,9514,G,BUF,9,0,4,58.1,100.0,140,57.9,140,64.3,0,100.0,242,242,75.2,100.0,76,31.4,76
D.J. Humphries,9457,T,ARZ,9,0,1,72.8,100.0,147,61.0,147,74.4,0,100.0,241,241,73.4,100.0,74,30.7,74
DeAndre Hopkins,7808,WR,HST,9,0,13,63.0,100.0,85,35.3,85,81.4,1,100.0,241,241,78.3,100.0,129,53.5,129
Joe Berger,2424,C,MIN,9,0,18,74.0,100.0,140,58.1,140,71.9,1,100.0,241,241,59.1,100.0,67,27.8,67
Brock Osweiler,7059,QB,HST,9,0,13,60.0,100.0,86,35.8,86,60.2,0,95.6,240,251,60.2,100.0,137,57.1,137
Richie Incognito,2298,G,BUF,9,0,4,64.0,100.0,139,57.9,139,59.0,2,100.0,240,240,56.2,100.0,75,31.3,75
Dontrelle Inman,6597,WR,SD,10,0,27,69.3,100.0,92,38.3,92,72.5,2,100.0,240,240,73.0,100.0,115,47.9,115
Chris Clark,4623,T,HST,9,0,13,60.2,100.0,85,35.4,85,60.1,3,100.0,240,240,56.2,100.0,127,52.9,127
Rodney Hudson,6207,C,OAK,9,1,23,84.0,100.0,118,49.8,118,77.4,1,100.0,237,237,72.0,100.0,86,36.3,86
Kelechi Osemele,7062,G,OAK,9,0,23,79.2,100.0,118,49.8,118,81.7,1,100.0,237,237,75.1,100.0,86,36.3,86
Gabe Jackson,8716,G,OAK,9,0,23,62.0,100.0,118,49.8,118,63.2,4,100.0,237,237,61.0,100.0,86,36.3,86
A.Q. Shipley,5150,C,ARZ,9,0,1,69.0,100.0,144,60.8,144,74.0,1,100.0,237,237,72.7,100.0,74,31.2,74
Donald Penn,3459,T,OAK,9,0,23,91.4,100.0,117,49.6,117,89.6,0,100.0,236,236,74.0,100.0,86,36.4,86
Zane Beadles,5570,G,SF,9,0,28,74.1,100.0,72,30.6,72,62.9,0,100.0,235,235,56.1,100.0,158,67.2,158
Trent Brown,9677,T,SF,9,0,28,62.7,100.0,72,30.6,72,58.4,0,100.0,235,235,56.4,100.0,158,67.2,158
Carson Wentz,10636,QB,PHI,9,0,24,60.0,97.4,112,47.9,115,60.0,0,91.8,234,255,60.0,91.6,109,46.6,119
Max Unger,4972,C,NO,9,0,20,64.1,100.0,98,41.9,98,66.7,0,100.0,234,234,71.7,100.0,98,41.9,98
Daniel Kilgore,6315,C,SF,9,0,28,73.1,100.0,72,31.0,72,66.2,0,100.0,232,232,61.4,100.0,155,66.8,155
