player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Drew Brees,802,QB,NO,5,77.2,184,194,8.4,0.0,4,11,5.4,68.6,133,0,55,6.3,200,9,69,20,90.1,90.2,88.9,55.3,2,6,208,1,9.1,97.8,2.5,5,1,2,2,9,2,1.0,1678,8.6
Jay Cutler,2956,QB,DEN,5,74.7,186,191,9.6,0.0,3,14,6.9,65.4,125,0,41,10.1,201,14,74,10,74.5,80.2,80.1,51.9,1,4,215,1,4.9,98.0,1.0,2,8,1,0,10,8,3.7,1498,7.8
Kurt Warner,112,QB,ARZ,5,79.6,167,183,7.5,0.0,7,5,2.6,69.4,127,0,56,4.5,196,6,76,1,44.1,66.4,67.6,47.7,4,4,204,3,21.4,102.5,6.1,12,1,1,4,10,4,2.0,1472,8.0
Donovan McNabb,438,QB,PHI,5,74.6,173,175,9.1,0.0,2,14,7.8,64.0,112,0,46,13.2,189,17,61,24,90.0,85.4,85.1,49.3,0,2,194,0,21.7,92.9,5.3,10,4,0,0,6,2,1.0,1296,7.4
Aaron Rodgers,2241,QB,GB,5,77.7,148,163,8.8,0.0,0,11,6.4,63.2,103,0,55,10.4,185,12,55,12,90.0,82.8,83.0,54.5,3,4,196,1,20.0,95.5,5.9,11,11,3,9,9,4,2.0,1274,7.8
Tony Romo,1693,QB,DAL,5,69.8,159,162,9.5,0.0,0,15,8.9,64.2,104,0,46,6.3,169,7,64,9,32.4,71.9,78.5,27.4,0,5,177,3,8.7,101.0,2.4,4,3,0,3,11,10,5.6,1386,8.6
Kyle Orton,2323,QB,CHI,5,72.3,141,155,9.2,0.0,3,10,6.3,61.9,96,0,61,5.9,172,6,51,6,56.5,65.6,66.9,47.3,3,4,176,1,18.0,87.6,6.4,11,6,2,6,7,5,2.8,1100,7.1
Peyton Manning,327,QB,IND,4,75.0,140,154,9.5,0.0,6,13,8.1,62.3,96,0,63,8.6,163,9,51,14,89.1,82.6,81.9,63.7,3,5,169,2,11.1,79.2,4.3,7,2,1,4,5,5,3.0,1031,6.7
Jason Campbell,2242,QB,WAS,5,77.4,137,153,7.3,0.0,6,5,3.0,63.4,97,0,46,8.5,167,9,56,32,89.9,83.7,86.6,44.7,4,0,179,0,17.4,96.7,4.8,8,6,1,5,6,0,0.0,1054,6.9
David Garrard,1109,QB,JAX,5,81.3,139,149,7.6,0.0,3,3,1.9,65.1,97,0,58,14.2,176,16,58,15,58.7,69.9,68.6,62.5,4,4,184,0,22.4,79.3,7.4,13,14,0,3,3,4,2.2,983,6.6
Brian Griese,379,QB,TB,4,70.5,139,147,7.0,0.0,3,5,3.2,57.1,84,0,41,14.3,153,14,45,30,74.4,57.1,58.7,48.7,1,6,163,2,12.2,64.6,3.3,5,1,1,3,4,6,3.7,804,5.5
Jake Delhomme,303,QB,CAR,5,70.2,131,142,9.6,0.0,9,6,4.0,60.6,86,0,40,6.5,152,6,49,5,53.7,73.1,75.7,31.7,2,2,161,1,22.5,90.6,5.9,9,1,0,0,5,2,1.2,1096,7.7
J.T. O'Sullivan,1169,QB,SF,5,71.1,128,140,9.5,0.0,1,11,7.0,58.6,82,0,71,9.9,175,9,55,28,90.0,67.7,68.4,56.3,1,6,193,1,28.2,82.2,11.4,20,15,0,10,7,7,3.6,1092,7.8
Philip Rivers,1725,QB,SD,5,74.4,125,138,9.1,0.0,2,9,6.2,60.9,84,0,47,9.7,148,9,54,27,73.8,78.0,78.9,42.3,2,4,156,1,17.0,103.0,5.4,8,2,0,9,11,4,2.6,1183,8.6
Eli Manning,1722,QB,NYG,4,72.2,126,132,11.0,0.0,2,8,5.7,63.6,84,0,34,7.7,138,7,47,21,87.7,76.5,75.9,61.6,1,1,147,2,14.7,99.7,3.6,5,1,1,2,6,2,1.4,1032,7.8
Matt Ryan,4317,QB,ATL,5,70.3,118,131,9.0,0.0,2,7,5.0,54.2,71,0,44,14.5,148,12,40,2,88.7,62.1,66.4,35.5,2,3,157,0,15.9,75.4,4.7,7,10,1,8,4,5,3.2,865,6.6
Carson Palmer,1317,QB,CIN,4,69.5,118,129,7.4,0.0,5,0,0.0,58.1,75,0,34,8.5,144,7,42,7,72.6,49.0,51.1,53.0,2,4,151,3,32.4,69.0,7.6,11,4,2,2,3,6,4.0,731,5.7
Brett Favre,14,QB,NYJ,4,75.6,123,124,7.5,0.0,0,6,4.5,70.2,87,0,30,6.5,138,6,47,22,72.4,68.3,69.0,48.0,0,4,149,1,33.3,110.8,7.2,10,4,0,1,12,8,5.4,935,7.5
Ben Roethlisberger,1732,QB,PIT,5,74.1,116,123,10.0,0.0,0,7,5.5,63.4,78,0,61,9.3,148,8,50,25,27.4,68.9,71.6,46.3,2,3,154,3,31.1,96.1,12.8,19,6,0,5,7,6,3.9,954,7.8
Trent Edwards,3708,QB,BUF,5,78.8,113,122,7.8,0.0,2,11,8.6,66.4,81,0,44,9.0,136,8,44,4,72.2,83.3,84.6,46.3,4,2,142,0,25.0,93.9,8.1,11,3,0,3,4,1,0.7,948,7.8
Jon Kitna,217,QB,DET,4,70.2,114,120,9.7,0.0,2,1,0.8,56.7,68,0,41,15.0,139,12,35,11,50.2,46.3,49.6,33.2,0,5,149,0,36.6,72.2,10.8,15,4,1,3,5,6,4.0,758,6.3
Matt Hasselbeck,408,QB,SEA,4,61.8,110,118,9.5,0.0,4,3,2.4,49.2,58,0,44,14.7,129,10,40,29,87.1,71.8,67.6,81.4,1,4,135,0,18.2,57.7,6.2,8,3,0,3,2,1,0.7,656,5.6
Derek Anderson,2430,QB,CLV,4,62.7,110,117,8.7,0.0,2,0,0.0,49.6,58,0,46,15.9,133,11,33,8,87.4,47.3,49.9,45.1,2,6,137,3,17.4,49.9,6.0,8,8,0,3,3,7,5.1,543,4.6
Kerry Collins,115,QB,TEN,5,68.6,105,115,9.4,0.0,3,4,3.3,55.7,64,0,34,11.1,119,8,43,31,87.1,63.4,64.5,51.9,2,3,126,1,2.9,73.1,0.8,1,3,0,5,3,3,2.4,740,6.4
Chad Pennington,596,QB,MIA,4,73.3,105,112,8.6,0.0,1,2,1.8,67.0,75,0,32,2.6,121,2,43,17,86.7,77.0,78.6,42.4,3,1,125,0,21.9,93.5,5.8,7,2,0,3,3,1,0.8,817,7.3
