player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kurt Warner,112,QB,ARZ,14,79.8,510,550,7.3,0.0,14,18,3.1,68.4,376,0,179,7.6,575,31,207,1,66.4,72.1,75.1,30.5,14,13,605,10,13.4,97.6,4.2,24,1,3,9,26,15,2.5,4312,7.8
Drew Brees,802,QB,NO,14,74.8,515,546,8.4,0.0,14,24,4.2,64.7,353,0,151,8.3,562,32,197,20,92.0,80.8,80.0,44.4,5,16,587,2,7.3,93.9,2.0,11,5,6,6,28,15,2.6,4337,7.9
Jay Cutler,2956,QB,DEN,14,74.1,498,522,9.5,0.0,13,37,6.7,62.5,326,0,141,11.7,553,43,192,10,79.6,76.9,77.9,46.1,3,15,588,2,7.1,88.2,1.8,10,21,4,4,24,26,4.4,3851,7.4
Peyton Manning,327,QB,IND,14,76.5,485,514,9.1,0.0,12,26,4.9,65.2,335,0,160,9.7,530,36,191,14,90.3,87.8,88.7,33.1,4,12,552,3,8.1,90.3,2.5,13,3,2,11,23,10,1.8,3543,6.9
Donovan McNabb,438,QB,PHI,14,71.4,475,504,8.6,0.0,11,28,5.4,60.9,307,0,148,9.4,545,32,180,24,75.1,71.2,70.2,62.6,2,11,559,5,13.5,86.6,3.7,20,21,3,13,21,19,3.4,3509,7.0
Matt Cassel,2447,QB,NE,14,76.6,436,472,7.7,0.0,15,13,2.7,63.8,301,0,159,9.9,553,33,178,19,61.2,60.6,62.3,47.0,5,11,571,1,27.7,87.1,8.0,44,37,3,13,18,16,2.8,3272,6.9
David Garrard,1109,QB,JAX,14,77.0,435,469,8.7,0.0,8,19,3.9,62.5,293,0,182,12.5,542,42,172,15,57.5,77.1,78.1,53.6,9,10,568,2,20.9,82.7,7.0,38,35,1,16,13,12,2.1,3172,6.8
Aaron Rodgers,2241,QB,GB,14,76.3,430,466,9.2,0.0,5,25,5.1,63.5,296,0,149,9.8,526,32,168,12,77.4,75.2,76.6,50.5,6,12,550,6,20.1,91.8,5.7,30,30,5,20,23,17,3.1,3470,7.4
Brett Favre,14,QB,NYJ,14,76.6,435,451,7.6,0.0,4,15,3.1,67.6,305,0,97,8.4,484,28,164,22,54.3,64.6,66.5,29.0,4,17,519,3,26.8,86.5,5.4,26,7,3,5,21,25,4.8,3052,6.8
Jason Campbell,2242,QB,WAS,14,76.0,408,443,6.9,0.0,13,9,1.9,63.0,279,0,151,10.0,499,31,153,32,64.3,73.2,73.1,56.5,8,6,527,2,22.5,85.7,6.8,34,22,3,11,12,7,1.3,2945,6.6
