player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Drew Brees,802,QB,NO,8,313,67.1,70,76,9.3,0.0,1,6,7.5,59.2,45,33,4.3,79,25.2,2,27,,83.6,76.7,79.8,75.2,,,2,1,83,9.1,100.5,3.8,3,0,0,3,4,1,1.2,676,8.9,0,20,90.9,90.0,88.6,50.6,79.5,219,228,8.3,0.0,5,11,4.6,72.4,165,54,5.2,234,74.8,9,81,,90.3,90.6,84.0,89.1,,60.9,1,6,245,7.4,102.1,1.7,4,2,2,1,11,4,1.6,1892,8.3,78.0,218,225,8.9,0.0,4,15,6.3,70.7,159,0,6.5,226,72.2,11,87,,90.3,92.0,83.9,90.9,,62.6,0,4,238,,111.6,0.0,0,1,2,1,13,3,1.3,2093,9.3,2,71.8,71,79,7.5,0.0,2,2,2.4,64.6,51,87,0.0,87,27.8,0,21,,84.1,67.9,80.1,67.6,,57.9,3,3,90,8.0,73.5,8.0,7,1,0,3,2,2,2.2,475,6.0
Kurt Warner,112,QB,ARZ,7,278,77.9,86,92,7.8,0.0,2,4,4.3,69.6,64,36,4.5,97,34.9,3,44,,29.0,79.2,80.5,77.5,,,2,2,99,13.9,111.1,5.2,5,0,0,2,6,3,3.0,846,9.2,0,1,48.2,74.2,76.2,36.3,81.9,155,170,7.6,0.0,7,4,2.2,70.6,120,48,5.5,181,65.1,7,63,,76.6,73.2,83.1,71.5,58.4,64.4,4,4,192,20.8,97.3,5.5,10,1,1,3,8,3,1.6,1243,7.3,80.9,183,193,7.2,0.0,8,4,2.0,74.1,143,0,3.4,194,69.8,5,80,,90.0,82.7,83.3,80.4,58.4,64.4,0,3,204,,109.0,0.0,0,1,1,1,11,1,0.5,1512,7.8,4,79.3,58,69,9.1,0.0,1,4,5.6,59.4,41,84,10.9,84,30.2,5,27,,24.4,61.4,80.1,61.1,,,6,3,87,17.9,82.8,17.9,15,0,0,4,3,5,5.7,577,8.4
Peyton Manning,327,QB,IND,7,276,78.3,60,64,10.1,0.0,3,5,7.2,62.5,40,28,14.9,68,24.6,7,28,,82.8,80.8,79.4,78.9,,,0,2,73,14.3,88.2,5.9,4,0,0,1,4,2,2.7,403,6.3,0,14,90.7,80.4,80.4,52.5,71.7,184,201,9.7,0.0,7,15,7.1,60.7,122,68,7.6,208,75.4,10,58,,90.1,80.0,83.5,77.0,,78.2,3,7,217,7.4,76.1,2.4,5,2,1,6,6,4,1.8,1351,6.7,75.4,167,180,9.8,0.0,8,17,9.0,63.3,114,0,9.5,180,65.2,12,56,,89.6,86.1,82.9,83.7,,,0,4,188,,91.8,0.0,0,0,1,4,9,2,1.1,1276,7.1,2,68.8,77,85,9.7,0.0,2,3,3.3,56.5,48,96,9.4,96,34.8,5,30,,85.1,70.4,80.6,67.3,,78.2,3,5,102,9.4,52.0,9.4,9,2,0,3,1,4,3.9,478,5.6
Jay Cutler,2956,QB,DEN,7,272,76.0,50,51,9.1,0.0,1,5,8.6,68.6,35,22,7.9,56,20.6,3,19,,39.9,79.7,78.8,78.6,,58.3,0,0,63,18.2,117.2,7.1,4,1,0,0,4,2,3.2,389,7.6,0,10,66.8,73.8,74.4,47.7,73.8,195,203,9.8,0.0,5,11,5.2,63.1,128,37,11.1,216,79.4,16,77,,74.8,70.4,83.7,70.1,,57.5,1,7,228,0.0,85.3,0.0,0,13,1,1,9,12,5.3,1473,7.3,78.4,199,206,9.1,0.0,5,10,4.6,68.4,141,0,9.6,213,78.3,15,79,,57.8,77.2,83.6,77.0,,48.2,0,5,223,,98.9,0.5,1,6,1,1,11,11,4.9,1586,7.7,1,56.5,46,48,12.0,0.0,1,6,10.9,45.8,22,59,15.4,59,21.7,4,17,,82.2,62.7,79.2,61.1,,64.9,1,2,68,5.1,60.8,5.1,3,8,0,0,2,3,4.4,276,5.8
J.T. O'Sullivan,1169,QB,SF,8,272,76.1,67,73,7.6,0.0,1,6,7.5,64.4,47,32,7.8,88,32.4,4,37,,84.6,84.2,80.3,81.5,,69.8,0,3,95,21.9,97.2,8.0,7,8,0,5,5,3,3.2,626,8.6,0,28,40.3,58.6,57.9,59.9,68.1,135,146,9.9,0.0,1,11,6.8,55.5,81,78,12.0,184,67.6,11,46,,27.6,46.4,83.2,45.3,,66.6,2,8,200,32.1,62.4,13.6,25,13,1,7,3,14,7.0,1052,7.2,75.5,151,157,8.7,0.0,2,12,6.9,66.2,104,0,8.8,162,59.6,10,66,,89.2,70.7,82.7,71.0,,47.7,0,8,178,,85.1,0.0,0,5,1,3,6,10,5.6,1368,8.7,1,56.9,51,62,10.5,0.0,0,5,7.4,38.7,24,110,17.2,110,40.4,5,17,,22.5,43.4,81.1,35.6,,78.6,2,3,117,29.1,45.8,29.1,32,16,0,9,2,7,6.0,310,5.0
Donovan McNabb,438,QB,PHI,7,265,67.1,85,86,8.0,0.0,0,6,6.8,60.5,52,29,8.8,94,35.5,5,30,,54.0,77.6,80.4,77.0,,55.3,0,0,96,24.1,101.8,7.4,7,1,0,1,5,2,2.1,618,7.2,0,24,79.3,81.4,79.9,59.6,75.6,156,159,9.3,0.0,2,11,6.7,64.2,102,40,13.6,171,64.5,16,58,,89.1,81.3,82.7,77.0,,84.7,0,3,177,12.5,85.7,2.9,5,7,0,1,3,4,2.3,1209,7.6,75.5,192,193,8.7,0.0,1,11,5.6,65.3,126,0,13.1,196,74.0,19,72,,90.0,85.5,83.2,84.4,,48.3,0,2,201,,95.3,0.0,0,3,0,0,6,3,1.5,1520,7.9,0,61.2,49,52,9.4,0.0,1,6,10.9,53.8,28,69,6.7,69,26.0,2,16,,45.0,67.7,79.3,59.8,,90.7,0,1,72,17.4,76.4,17.4,12,5,0,2,2,3,4.2,307,5.9
David Garrard,1109,QB,JAX,7,264,73.7,57,66,8.9,0.0,2,0,0.0,56.1,37,34,11.9,79,29.9,5,30,,48.5,66.9,79.7,66.2,,61.0,3,1,80,29.4,82.3,12.7,10,3,0,4,3,2,2.5,390,5.9,0,15,57.0,77.5,76.4,63.7,83.7,153,159,7.9,0.0,2,6,3.6,69.2,110,48,14.1,185,70.1,18,63,,58.5,84.7,83.1,78.3,,88.5,1,3,194,16.7,88.4,4.3,8,18,0,3,3,3,1.5,1152,7.2,83.2,167,172,8.0,0.0,4,4,2.2,68.6,118,0,15.1,182,68.9,21,78,,89.6,88.6,82.9,84.9,,76.4,0,3,188,,91.4,0.0,0,10,0,1,5,3,1.6,1229,7.1,0,72.1,43,53,8.7,0.0,0,2,3.6,54.7,29,82,6.5,82,31.1,2,15,,24.4,57.5,80.0,48.8,,83.2,4,1,86,22.0,70.7,22.0,18,11,0,6,1,2,2.3,313,5.9
Brett Favre,14,QB,NYJ,7,256,73.2,71,72,8.4,0.0,0,3,3.8,61.1,44,27,15.4,78,30.5,8,27,,83.7,65.3,79.9,65.1,,58.3,0,4,84,18.5,97.9,6.4,5,1,0,1,8,3,3.6,535,7.4,0,22,35.5,56.9,59.8,28.6,77.2,158,163,7.2,0.0,0,5,2.9,71.8,117,32,4.1,178,69.5,5,59,,29.3,54.2,33.4,56.9,60.0,39.2,1,7,191,34.4,85.8,6.2,11,4,3,1,7,16,8.4,1076,6.6,81.4,188,192,6.0,0.0,0,3,1.5,73.4,141,0,7.8,197,77.0,12,73,,78.3,70.0,37.5,71.6,,38.9,0,7,211,,100.0,0.0,0,5,3,1,13,9,4.3,1352,7.0,2,51.2,41,43,14.8,0.0,0,5,10.6,46.5,20,59,4.8,59,23.0,1,13,,21.9,29.8,78.9,31.8,60.0,,1,4,64,27.1,42.7,27.1,16,0,0,1,2,10,15.6,259,6.0
Jason Campbell,2242,QB,WAS,8,255,80.6,67,77,7.6,0.0,3,2,2.5,66.2,51,26,5.6,85,33.3,3,33,,84.1,90.1,80.1,85.7,,78.2,3,0,89,23.1,107.9,7.1,6,2,0,4,4,1,1.1,616,8.0,0,32,60.7,85.3,88.3,41.0,77.2,145,153,7.2,0.0,3,6,3.6,66.0,101,45,9.8,170,66.7,11,57,,56.9,84.1,82.9,83.4,58.4,56.6,1,0,185,22.2,96.8,5.9,10,7,2,2,4,1,0.5,1138,7.4,80.6,170,179,6.6,0.0,5,5,2.6,69.8,125,0,8.8,184,72.2,12,71,,89.9,90.4,83.1,88.7,58.4,63.7,0,0,195,,101.2,0.5,1,4,2,2,5,1,0.5,1357,7.6,0,69.0,42,51,10.2,0.0,1,3,5.4,52.9,27,71,6.9,71,27.8,2,19,,28.6,77.1,79.7,75.3,,66.0,4,0,79,21.1,98.2,21.1,15,5,0,4,3,1,1.3,397,7.8
Kyle Orton,2323,QB,CHI,7,250,67.7,62,71,8.8,0.0,4,5,6.8,53.5,38,34,9.5,78,31.2,4,22,,83.3,65.1,0.0,67.3,,57.9,2,3,80,17.6,77.5,7.7,6,1,0,3,4,3,3.8,505,7.1,1,6,67.4,72.0,73.7,45.6,75.5,147,159,9.1,0.0,2,10,6.1,66.0,105,48,5.4,172,68.8,6,59,,55.8,75.2,82.7,74.1,,59.3,2,1,178,16.7,99.7,4.7,8,5,2,6,7,3,1.7,1165,7.3,75.8,157,167,9.0,0.0,6,12,6.9,66.5,111,0,6.7,168,67.2,8,61,,89.0,84.3,82.7,82.8,,54.9,0,1,175,,108.5,0.0,0,1,2,2,11,1,0.6,1266,7.6,3,65.4,52,63,8.8,0.0,0,3,4.7,50.8,32,82,5.9,82,32.8,2,20,,29.0,47.4,0.0,49.3,,63.1,4,3,83,17.1,51.3,17.1,14,5,0,7,0,5,6.0,404,6.4
