player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Jay Cutler,2956,QB,DEN,6,241,78.3,46,47,9.1,0.0,1,4,7.7,70.2,33,18,8.3,49,20.3,3,18,,34.0,78.8,78.3,77.1,,,0,0,54,11.1,121.1,4.1,2,0,0,0,4,2,3.7,363,7.7,0,10,63.4,72.9,73.9,45.2,73.4,173,181,9.7,0.0,5,10,5.2,62.4,113,32,11.0,192,79.7,14,67,,72.5,70.1,83.3,70.3,,54.3,1,5,204,0.0,87.9,0.0,0,11,1,1,8,10,4.9,1327,7.3,78.2,179,186,9.1,0.0,5,8,4.1,67.7,126,0,10.0,191,79.3,14,68,,54.0,73.5,83.2,73.9,,40.7,0,4,199,,99.3,0.5,1,4,1,1,10,10,5.0,1418,7.6,1,57.5,40,42,11.7,0.0,1,6,12.2,47.6,20,50,13.0,50,20.7,3,17,,81.3,69.6,78.6,67.5,,66.8,1,1,59,2.0,74.7,2.0,1,7,0,0,2,2,3.4,272,6.5
Drew Brees,802,QB,NO,6,232,69.4,49,54,7.4,0.0,1,4,7.1,61.1,33,24,2.9,57,24.6,1,19,,81.3,79.0,78.6,77.3,,,2,1,59,12.5,87.6,5.3,3,0,0,2,1,0,0.0,468,8.7,0,20,90.3,91.8,91.2,53.4,81.7,164,170,8.6,0.0,3,10,5.6,74.1,126,39,6.0,175,75.4,8,64,,89.4,92.3,82.8,91.3,,60.9,0,5,183,7.7,110.7,1.7,3,2,2,1,11,2,1.1,1530,9.0,80.2,162,168,8.8,0.0,3,13,7.4,72.0,121,0,6.9,169,72.8,9,66,,89.1,93.1,82.7,91.9,,62.6,0,4,177,,115.3,0.0,0,1,2,1,11,2,1.1,1665,9.9,2,74.5,51,56,6.9,0.0,1,1,1.7,67.9,38,63,0.0,63,27.2,0,17,,81.9,74.5,78.9,73.9,,57.9,2,2,65,9.5,74.5,9.5,6,1,0,2,1,0,0.0,333,5.9
Kurt Warner,112,QB,ARZ,6,227,78.5,65,70,7.1,0.0,2,3,4.2,70.0,49,30,3.9,75,33.0,2,34,,26.6,72.2,79.5,71.0,,,1,2,76,16.7,115.5,6.7,5,0,0,2,6,3,3.9,646,9.2,0,1,39.8,69.7,72.0,36.3,80.6,129,143,7.7,0.0,6,3,2.0,69.9,100,38,3.8,152,67.0,4,53,,73.7,71.5,82.4,69.8,,64.4,4,3,162,21.1,96.5,5.3,8,1,1,3,6,2,1.2,1062,7.4,79.1,148,158,7.2,0.0,8,3,1.8,72.2,114,0,2.6,159,70.0,3,64,,88.8,77.1,82.5,75.0,,64.4,0,3,169,,107.5,0.0,0,1,1,1,10,1,0.6,1217,7.7,3,82.6,46,55,8.3,0.0,0,3,5.4,63.6,35,68,7.9,68,30.0,3,23,,22.5,60.6,79.2,60.3,,,5,2,69,19.1,89.3,19.1,13,0,0,4,2,4,5.8,491,8.9
Donovan McNabb,438,QB,PHI,6,226,69.2,78,79,8.1,0.0,0,5,6.2,62.0,49,26,9.3,86,38.1,5,28,,84.0,83.3,80.1,82.4,,55.3,0,0,88,23.1,105.1,7.0,6,1,0,1,5,0,0.0,573,7.3,0,24,90.3,83.9,83.6,48.2,77.5,129,132,9.0,0.0,2,10,7.4,65.2,86,32,14.0,140,61.9,14,48,,87.5,80.8,81.9,78.4,,67.9,0,3,144,12.5,86.1,2.9,4,4,0,1,3,4,2.8,1001,7.6,76.2,164,165,8.8,0.0,1,10,5.9,65.5,108,0,13.6,168,74.3,17,62,,88.9,87.1,82.6,86.0,,48.3,0,2,172,,96.2,0.0,0,3,0,0,6,2,1.2,1287,7.8,0,67.4,43,46,8.0,0.0,1,5,10.4,58.7,27,58,6.9,58,25.7,2,14,,81.5,70.5,78.6,66.8,,74.6,0,1,60,17.2,82.4,17.2,10,2,0,2,2,2,3.3,287,6.2
Aaron Rodgers,2241,QB,GB,6,219,68.6,35,35,9.1,0.0,0,3,7.7,62.9,22,17,8.3,41,18.7,2,12,,79.8,87.2,77.6,84.7,,64.1,0,1,45,23.5,98.9,9.8,4,2,0,0,3,0,0.0,233,6.7,0,12,76.2,82.0,83.2,50.6,79.6,142,158,8.7,0.0,0,10,6.1,64.6,102,48,9.7,178,81.3,11,55,,70.3,81.1,82.9,78.7,,68.6,3,3,185,18.8,97.8,5.1,9,11,3,10,8,5,2.7,1249,7.9,80.6,144,148,8.5,0.0,0,9,5.8,70.9,105,0,9.5,154,70.3,11,54,,88.4,86.1,82.3,83.2,,70.7,0,3,161,,106.4,0.0,0,6,3,1,8,4,2.5,1264,8.5,1,63.6,33,45,10.2,0.0,0,4,8.3,42.2,19,65,9.5,65,29.7,2,13,,43.1,73.8,79.2,72.7,,63.9,3,1,69,20.0,70.4,20.0,13,7,0,9,3,1,1.4,218,4.8
Kyle Orton,2323,QB,CHI,6,216,65.4,52,59,9.1,0.0,3,5,8.2,54.2,32,32,5.9,65,30.1,2,18,,82.2,68.3,0.0,70.7,,57.9,1,3,67,15.6,71.9,7.7,5,1,0,3,3,3,4.5,409,6.9,1,6,63.4,70.0,71.8,47.3,74.8,127,139,9.3,0.0,2,8,5.6,64.7,90,43,5.3,151,69.9,5,50,,51.4,70.6,82.2,69.8,,59.3,2,1,156,16.3,94.3,4.6,7,5,2,6,5,3,1.9,977,7.0,74.0,131,140,9.3,0.0,5,10,6.8,65.7,92,0,5.2,141,65.3,5,48,,87.7,81.1,82.0,80.0,,54.9,0,1,147,,102.6,0.0,0,1,2,2,8,1,0.7,998,7.1,3,66.7,48,58,9.0,0.0,0,3,5.1,51.7,30,75,6.3,75,34.7,2,20,,28.3,49.7,0.0,51.5,,63.1,3,3,76,16.0,51.5,16.0,12,5,0,7,0,5,6.6,388,6.7
David Garrard,1109,QB,JAX,6,214,77.3,44,51,7.8,0.0,2,0,0.0,58.8,30,26,11.8,62,29.0,4,23,,40.4,62.9,78.8,62.4,,61.0,3,1,63,30.8,75.7,12.9,8,3,0,2,1,2,3.2,321,6.3,0,15,49.7,69.2,69.8,55.2,84.1,126,132,7.4,0.0,2,4,2.9,69.7,92,40,13.2,152,71.0,14,52,,52.5,75.0,82.3,71.5,,75.0,1,3,161,17.5,87.9,4.6,7,13,0,3,3,3,1.9,938,7.1,84.4,135,140,7.5,0.0,4,3,2.1,70.0,98,0,14.0,148,69.2,16,66,,88.0,82.3,82.2,80.0,,67.1,0,3,154,,89.8,0.0,0,8,0,1,3,3,1.9,1048,7.5,0,74.3,35,43,7.7,0.0,0,1,2.2,55.8,24,66,7.7,66,30.8,2,9,,22.7,46.5,79.2,40.9,,73.3,4,1,70,22.7,67.1,22.7,15,8,0,4,1,2,2.9,211,4.9
J.T. O'Sullivan,1169,QB,SF,6,211,77.4,53,59,7.1,0.0,1,4,6.1,64.4,38,29,7.3,72,34.1,3,27,,83.3,79.3,79.7,77.9,,64.3,0,2,79,20.7,96.5,8.3,6,7,0,5,4,2,2.5,457,7.7,0,28,90.2,65.2,63.9,64.3,67.0,103,111,9.8,0.0,0,7,5.7,55.0,61,58,11.6,139,65.9,8,37,,87.7,58.2,82.1,54.9,,76.7,1,6,151,29.3,65.7,12.2,17,11,1,6,3,7,4.6,834,7.5,74.4,117,121,8.3,0.0,1,7,5.2,66.1,80,0,8.0,124,58.8,7,49,,87.2,66.1,81.8,66.7,,47.3,0,7,138,,83.2,0.0,0,3,1,2,5,8,5.8,1057,8.7,1,59.0,39,49,10.7,0.0,0,4,7.4,38.8,19,87,17.4,87,41.2,4,15,,84.1,66.0,80.2,57.5,,82.6,1,1,92,26.4,59.4,26.4,23,15,0,9,2,1,1.1,234,4.8
Tony Romo,1693,QB,DAL,6,210,67.9,53,53,10.8,0.0,0,5,9.4,62.3,33,20,8.3,55,26.2,3,23,,80.9,71.3,0.0,71.5,,,0,1,55,10.0,101.6,3.6,2,0,0,0,3,2,3.6,466,8.8,0,9,27.2,66.9,73.5,26.2,71.1,142,147,8.9,0.0,0,11,7.0,64.6,95,40,5.9,155,73.8,6,52,,33.2,70.1,26.8,71.7,,40.1,2,4,167,12.5,104.7,3.2,5,3,0,3,11,9,5.4,1241,8.4,75.5,147,148,9.4,0.0,0,12,7.9,70.3,104,0,6.3,150,71.4,7,60,,66.3,84.4,82.2,84.6,,34.9,0,2,154,,120.2,0.0,0,2,0,1,12,5,3.2,1355,9.2,3,54.2,48,52,9.3,0.0,0,4,6.8,46.2,24,60,7.7,60,28.6,2,15,,27.2,42.1,0.0,45.0,,62.6,2,3,68,11.7,57.5,11.7,7,1,0,2,2,6,8.8,352,6.8
Jason Campbell,2242,QB,WAS,6,198,83.0,53,63,6.6,0.0,3,0,0.0,66.7,42,23,4.5,70,35.4,2,26,,82.9,87.3,79.5,83.8,,65.6,3,0,74,26.1,103.0,8.6,6,1,0,4,3,0,0.0,446,7.1,0,32,79.6,83.7,87.2,40.9,76.1,109,116,7.4,0.0,3,5,4.0,62.9,73,35,12.0,128,64.6,10,40,,87.2,83.5,81.8,82.7,58.4,58.4,1,0,138,17.1,92.5,4.7,6,6,1,2,3,0,0.0,816,7.0,81.1,127,135,6.2,0.0,5,3,2.1,68.1,92,0,10.7,140,70.7,11,50,,87.7,87.7,82.0,85.6,58.4,63.7,0,0,148,,97.9,0.7,1,4,1,2,4,0,0.0,945,7.0,0,68.6,35,44,10.4,0.0,1,2,4.2,52.3,23,58,4.2,58,29.3,1,16,,81.8,79.8,78.9,78.6,,62.0,4,0,64,19.0,90.8,19.0,11,3,0,4,2,0,0.0,317,7.2
