player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Kurt Warner,112,QB,ARZ,11,453,77.1,131,142,7.4,0.0,3,6,4.1,66.9,95,59,5.9,147,32.5,6,64,,43.8,78.1,25.2,77.1,,,5,2,151,8.5,108.7,3.4,5,0,0,3,8,5,3.3,1293,9.1,0,1,57.5,74.2,77.1,32.1,82.2,270,291,7.4,0.0,8,8,2.6,71.1,207,80,6.8,306,67.5,15,111,,72.6,75.1,85.1,73.4,58.4,64.4,7,6,325,17.5,99.4,4.6,14,1,3,3,13,6,1.8,2219,7.6,82.6,299,313,7.0,0.0,10,8,2.4,75.4,236,0,4.5,314,69.3,11,131,,90.9,87.0,85.2,84.4,58.4,64.4,0,3,332,,111.9,0.0,0,1,3,1,16,2,0.6,2548,8.1,8,74.5,102,120,8.3,0.0,1,6,4.8,55.0,66,139,13.2,139,30.7,10,44,,25.3,54.7,23.1,55.5,,,12,5,144,13.7,77.9,13.7,19,0,0,5,5,9,6.3,964,8.0
Peyton Manning,327,QB,IND,11,438,76.8,95,102,9.5,0.0,3,5,4.7,61.8,63,45,13.7,106,24.2,10,37,,85.7,77.1,80.9,75.5,,,1,2,111,8.9,91.3,3.8,4,0,0,3,6,2,1.8,645,6.3,0,14,91.5,84.2,84.0,48.5,74.0,300,322,9.3,0.0,9,19,5.6,63.0,203,97,8.6,332,75.8,19,111,,90.9,86.0,57.0,83.2,,78.2,3,8,348,8.2,85.9,2.4,8,2,2,8,13,7,2.0,2178,6.8,78.4,278,296,9.3,0.0,10,21,6.8,66.6,197,0,9.6,296,67.6,21,108,,90.7,90.7,53.4,89.5,,,0,5,308,,99.9,0.0,0,0,2,6,17,4,1.3,2152,7.3,3,65.8,117,128,9.5,0.0,2,3,2.2,53.9,69,142,10.4,142,32.4,8,40,,87.9,67.9,82.1,65.4,,78.2,4,5,151,8.5,57.8,8.5,12,2,0,5,2,5,3.3,671,5.2
Drew Brees,802,QB,NO,11,437,69.3,88,95,8.9,0.0,1,7,7.0,61.1,58,40,4.9,99,22.7,3,38,,85.1,81.5,80.7,79.6,,,2,1,104,10.0,114.5,4.0,4,0,0,4,7,1,1.0,942,9.9,0,20,91.5,88.0,86.8,48.0,78.3,313,329,8.6,0.0,9,12,3.5,69.3,228,75,6.9,338,77.3,17,117,,91.0,87.3,85.4,85.0,,61.8,3,10,352,6.7,95.8,1.5,5,4,3,1,15,8,2.3,2637,8.0,78.0,309,320,9.2,0.0,7,17,5.1,70.0,224,0,7.1,322,73.7,17,129,,90.9,90.8,85.2,89.1,,67.9,0,8,338,,110.0,0.0,0,2,3,1,20,7,2.1,3010,9.4,2,70.7,92,104,7.1,0.0,3,2,1.9,59.6,62,115,4.6,115,26.3,3,26,,86.0,69.3,81.2,69.1,,54.2,5,3,118,7.8,69.0,7.8,9,2,0,4,2,2,1.7,569,5.5
Jay Cutler,2956,QB,DEN,11,430,69.9,93,95,10.8,0.0,2,11,10.7,58.9,56,40,13.8,102,23.7,9,33,,57.6,82.5,80.9,80.0,,66.5,0,0,110,12.5,101.9,4.9,5,2,0,0,6,4,3.6,676,7.1,0,10,72.7,75.6,76.6,46.4,73.2,295,311,10.3,0.0,9,20,6.0,61.1,190,66,12.0,328,76.3,26,116,,83.1,72.7,57.4,72.0,,61.6,1,12,352,3.0,82.5,0.6,2,15,2,4,13,19,5.4,2360,7.6,76.2,303,316,9.7,0.0,9,19,5.7,64.9,205,0,11.3,324,75.3,26,116,,70.5,77.9,85.3,77.4,,45.7,0,9,342,,92.0,0.3,1,7,2,2,14,17,5.0,2496,7.9,2,58.8,85,90,13.1,0.0,2,12,11.8,45.6,41,106,18.0,106,24.7,9,33,,86.1,70.6,13.0,67.5,,76.6,1,3,120,5.7,69.7,5.7,6,10,0,2,5,6,5.0,540,6.0
Donovan McNabb,438,QB,PHI,11,430,63.4,131,140,8.8,0.0,4,9,6.3,55.0,77,49,7.2,151,35.1,6,47,,66.3,65.6,82.2,64.8,,62.1,1,4,154,18.4,85.8,6.0,9,2,0,4,8,5,3.2,1034,7.4,0,24,68.1,67.6,67.3,56.3,73.8,248,260,9.2,0.0,4,14,5.2,60.8,158,64,13.7,279,64.9,25,84,,65.6,69.4,84.6,67.1,,73.9,1,6,288,12.5,78.6,2.9,8,11,1,6,6,12,4.2,1734,6.7,73.3,303,313,8.9,0.0,6,15,4.7,62.6,196,0,11.7,317,73.7,26,106,,81.6,71.6,85.1,72.4,,29.4,0,8,324,,85.4,0.0,0,4,1,3,11,12,3.7,2260,7.2,3,57.9,76,87,9.6,0.0,2,8,8.7,44.8,39,113,11.4,113,26.3,5,25,,32.9,59.7,81.2,51.0,,92.0,2,2,118,15.0,65.7,15.0,17,9,0,7,3,5,4.2,508,5.8
Matt Cassel,2447,QB,NE,11,423,75.3,85,90,8.3,0.0,2,3,3.2,62.2,56,40,12.5,104,24.6,8,36,,57.3,68.8,80.8,69.1,,51.1,0,3,108,30.0,84.4,11.5,12,2,0,3,2,3,2.8,799,8.9,0,19,68.6,63.8,64.8,50.3,77.9,249,269,7.3,0.0,9,7,2.5,67.7,182,80,6.2,319,75.4,12,103,,69.2,64.2,85.1,61.8,59.7,70.2,1,5,326,26.3,92.5,6.6,21,29,3,7,11,8,2.5,1818,6.8,82.0,266,282,6.7,0.0,7,9,3.1,72.0,203,0,6.9,303,71.6,15,114,,90.7,78.2,84.9,77.3,59.7,61.8,0,4,309,,102.5,0.0,0,21,3,6,12,4,1.3,2177,7.7,0,58.8,68,77,10.8,0.0,4,1,1.2,45.5,35,120,12.5,120,28.4,5,25,,26.6,39.4,81.4,36.7,,71.9,1,4,125,27.5,46.5,27.5,33,10,0,4,1,7,5.6,440,5.7
David Garrard,1109,QB,JAX,11,423,75.0,100,112,9.0,0.0,2,5,4.3,60.7,68,55,9.3,128,30.3,7,51,,62.4,79.3,81.6,77.2,,66.8,4,2,131,21.8,88.2,9.4,12,4,0,6,5,3,2.3,756,6.8,0,15,56.1,76.8,77.3,57.5,79.2,236,251,8.6,0.0,3,10,3.7,63.7,160,91,14.4,295,69.7,27,89,,49.9,77.2,52.1,73.7,,79.3,4,6,314,19.8,79.0,6.1,18,26,1,7,4,7,2.2,1712,6.8,80.5,257,265,8.5,0.0,5,9,3.2,67.5,179,0,13.5,277,65.5,28,111,,90.6,90.6,84.6,88.4,,72.1,0,6,290,,86.7,0.0,0,12,1,2,6,4,1.4,1923,7.3,2,69.6,79,98,9.7,0.0,0,6,5.7,50.0,49,146,10.9,146,34.5,6,29,,24.2,52.5,23.0,47.7,,77.8,8,2,155,20.5,68.6,20.5,30,18,0,11,3,6,3.9,545,5.6
Aaron Rodgers,2241,QB,GB,11,405,70.3,64,68,8.9,0.0,2,3,4.2,57.4,39,34,13.3,78,19.3,6,20,,49.2,66.9,79.8,65.7,,64.1,1,1,82,23.5,101.3,10.3,8,2,0,1,7,2,2.4,379,5.6,0,12,70.2,71.9,73.5,49.5,77.9,267,291,8.5,0.0,1,15,4.9,64.9,189,77,9.1,327,80.7,19,104,,74.0,75.5,54.8,74.0,,67.5,5,8,343,19.5,88.0,4.6,15,21,5,13,10,11,3.2,2220,7.6,79.8,272,281,8.3,0.0,2,14,4.8,70.1,197,0,9.2,294,72.6,20,106,,90.7,81.7,84.8,79.3,,69.1,0,7,306,,100.7,0.0,0,13,5,2,14,9,2.9,2291,8.2,4,61.0,59,78,9.9,0.0,1,4,4.8,39.7,31,111,13.9,111,27.4,5,18,,27.2,53.4,7.8,53.1,,63.6,6,2,119,20.7,53.8,20.7,23,10,0,12,3,4,3.4,308,3.9
Jason Campbell,2242,QB,WAS,11,381,79.5,112,124,6.5,0.0,4,2,1.5,65.3,81,43,9.0,138,36.2,8,50,,87.5,79.3,81.9,76.7,,71.4,3,1,144,25.6,97.6,8.0,11,3,0,5,5,1,0.7,922,7.4,0,32,72.1,78.1,78.9,49.3,75.1,201,216,7.0,0.0,6,6,2.6,63.4,137,64,9.3,243,63.8,14,72,,66.8,77.3,84.2,75.7,58.4,65.1,2,2,260,26.6,85.9,7.0,17,10,3,4,5,2,0.8,1406,6.5,79.0,252,266,6.4,0.0,9,5,1.8,67.7,180,0,9.5,274,71.9,19,99,,90.6,84.5,84.6,81.9,58.4,71.0,0,2,286,,91.5,0.4,1,7,3,2,6,1,0.3,1830,6.9,0,67.2,61,74,8.6,0.0,1,3,3.7,51.4,38,107,7.3,107,28.1,3,23,,40.4,65.2,81.2,64.1,,63.5,5,1,118,25.2,85.3,25.2,27,6,0,7,4,2,1.7,498,6.7
Brett Favre,14,QB,NYJ,11,375,75.2,101,104,8.0,0.0,1,3,2.7,63.5,66,34,13.2,111,29.6,10,41,,86.1,68.1,81.2,67.6,,58.3,1,6,119,17.6,88.4,5.4,6,1,0,1,8,5,4.2,794,7.6,0,22,43.1,65.9,68.8,27.9,79.9,234,243,6.8,0.0,2,10,3.8,73.7,179,45,4.3,264,70.4,8,93,,32.2,65.6,49.1,67.5,60.0,34.8,2,7,286,33.3,96.5,5.7,15,6,3,2,12,18,6.3,1667,6.9,82.7,283,289,6.1,0.0,1,8,2.6,75.4,218,0,6.8,296,78.9,16,118,,85.1,81.3,52.7,82.1,,34.8,0,8,320,,105.4,0.0,0,7,3,2,18,11,3.4,2163,7.5,3,55.8,52,58,12.8,0.0,2,5,7.9,46.6,27,79,6.9,79,21.1,2,16,,20.9,28.2,80.0,29.1,60.0,,3,5,85,26.6,37.9,26.6,21,0,0,1,2,12,14.1,298,5.1
