player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Peyton Manning,327,QB,IND,2,76.5,81,91,7.9,0.0,4,5,5.3,61.5,56,0,38,9.7,95,6,30,14,85.0,73.0,73.0,58.2,3,2,99,1,10.5,77.5,4.2,4,0,1,2,2,2,2.0,568,6.2
Matt Hasselbeck,408,QB,SEA,2,60.6,71,77,9.4,0.0,4,1,1.3,45.5,35,0,35,18.6,84,8,24,29,83.9,62.0,59.8,65.9,1,3,86,0,17.1,48.6,7.1,6,1,0,1,1,0,0.0,379,4.9
Jay Cutler,2956,QB,DEN,2,81.9,72,74,9.9,0.0,2,6,7.5,70.3,52,0,19,11.9,79,7,31,10,52.3,86.2,85.9,55.1,0,1,86,1,5.3,118.4,1.3,1,4,0,0,6,4,4.7,646,8.7
Jon Kitna,217,QB,DET,2,69.6,69,74,9.9,0.0,1,1,1.2,60.8,45,0,23,6.3,84,3,25,11,62.4,52.3,56.6,29.6,0,4,92,0,34.8,78.5,9.5,8,2,1,3,4,4,4.3,538,7.3
Donovan McNabb,438,QB,PHI,2,75.7,70,70,10.8,0.0,0,5,6.8,65.7,46,0,19,13.2,78,7,26,24,83.7,90.8,90.5,59.9,0,0,81,0,21.1,114.1,5.1,4,4,0,0,4,0,0.0,642,9.2
Drew Brees,802,QB,NO,2,75.8,62,65,7.4,0.0,1,2,2.9,69.2,45,0,17,4.3,68,2,22,20,83.1,69.9,69.7,54.9,0,3,72,1,17.6,96.9,4.4,3,0,1,1,4,1,1.4,559,8.6
Eli Manning,1722,QB,NYG,2,67.2,61,64,12.0,0.0,0,4,5.9,60.9,39,0,21,4.9,69,2,25,21,82.9,65.2,66.0,61.6,1,1,73,2,19.0,93.0,5.8,4,1,0,2,3,2,2.7,476,7.4
Jason Campbell,2242,QB,WAS,2,75.0,56,63,9.6,0.0,2,2,2.9,61.9,39,0,16,7.1,67,3,20,32,83.1,68.8,70.4,44.8,1,0,73,0,18.8,94.3,4.5,3,1,1,3,2,0,0.0,454,7.2
David Garrard,1109,QB,JAX,2,73.3,60,63,8.9,0.0,1,1,1.6,63.5,40,0,24,9.1,76,4,22,15,50.4,57.1,54.7,66.0,1,3,78,0,37.5,65.6,11.8,9,4,0,1,1,3,3.8,380,6.0
Chad Pennington,596,QB,MIA,2,62.7,59,63,9.8,0.0,0,1,1.6,57.1,36,0,21,2.7,70,1,21,17,82.8,66.3,67.4,48.3,2,1,73,0,28.6,77.7,8.6,6,1,0,2,2,1,1.4,363,5.8
Jake Delhomme,303,QB,CAR,2,63.8,58,62,8.9,0.0,3,3,4.5,56.5,35,0,15,5.4,67,2,16,5,83.1,68.0,69.3,47.9,1,1,72,0,26.7,73.0,6.0,4,1,0,0,1,0,0.0,375,6.0
Tony Romo,1693,QB,DAL,2,76.7,60,62,9.0,0.0,0,8,11.8,72.6,45,0,13,2.2,62,1,28,9,45.3,84.1,89.7,28.8,0,2,69,0,0.0,113.2,0.0,0,0,0,2,4,3,4.3,633,10.2
Philip Rivers,1725,QB,SD,2,78.8,52,60,8.9,0.0,0,4,6.3,63.3,38,0,23,7.3,62,3,24,27,82.3,87.9,86.8,56.7,0,1,66,1,8.7,122.5,3.2,2,0,0,8,6,0,0.0,594,9.9
Aaron Rodgers,2241,QB,GB,2,83.9,56,60,10.1,0.0,0,6,9.5,70.0,42,0,20,10.6,67,5,23,12,83.0,92.1,91.5,66.3,1,0,71,0,5.0,117.8,1.5,1,6,0,3,4,1,1.4,506,8.4
