player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Aaron Rodgers,2241,QB,GB,9,2.87,2.68,3.39,5.52,400,12,77.1,170,177,5.0,1.7,0,5,2.8,71.8,127,22,3.1,179,44.8,4,51,,,,,89.4,78.8,82.8,,77.1,,,,,,1,1,183,9.1,99.1,1.1,2,0,0,6,7,2,1.1,1120,6.3,73.0,137,176,14.0,3.83,0,18,9.4,51.1,90,114,10.0,220,55.0,10,83,,,,,29.5,91.6,45.1,,90.5,,,75.8,,,4,0,240,20.2,102.0,10.5,23,21,0,35,10,5,2.1,1621,9.2
Kirk Cousins,7102,QB,MIN,9,2.56,2.46,3.16,5.55,400,18,83.4,175,193,5.5,1.89,13,7,3.5,71.5,138,52,5.5,202,50.5,8,67,,,,,73.2,78.0,83.4,,76.7,,,58.3,,,1,1,211,15.4,102.5,4.0,8,1,0,4,9,3,1.4,1270,6.6,78.6,159,168,9.9,3.32,2,14,8.0,72.0,121,109,3.2,194,48.5,4,73,,,,,53.2,88.9,83.2,,88.7,,,52.3,,,1,4,201,14.7,103.1,8.2,16,10,0,6,8,6,3.0,1415,8.4
Joe Flacco,4332,QB,BLT,9,2.6,2.52,4.1,4.58,397,3,77.6,210,223,7.3,1.98,9,9,3.8,65.5,146,34,10.4,225,56.7,17,74,,,,,90.3,80.6,83.8,,78.7,,,,,,1,1,237,5.9,91.8,0.9,2,0,0,3,8,4,1.7,1340,6.0,70.5,132,153,12.6,3.43,4,6,3.6,56.2,86,79,7.5,171,43.1,7,50,,,,,50.6,59.5,82.9,,57.7,,,76.9,,,3,5,186,17.7,74.7,8.2,14,4,0,14,4,8,4.3,1125,7.4
Ben Roethlisberger,1732,QB,PIT,9,2.47,2.38,3.53,5.05,390,25,74.8,222,228,5.8,1.76,3,8,3.4,69.3,158,23,4.8,229,58.7,8,83,,,,,90.2,74.1,83.8,,72.7,,,,,,1,2,236,4.3,104.6,0.4,1,0,0,2,14,3,1.3,1532,6.7,71.4,126,141,11.8,3.49,4,14,8.8,61.0,86,70,4.4,160,41.0,4,65,,,,,27.4,71.3,82.8,,68.2,,,76.9,,,3,5,180,15.7,94.8,6.9,11,8,0,8,7,13,7.2,1356,9.6
Andrew Luck,7007,QB,IND,9,2.49,2.44,2.7,4.75,390,14,77.0,187,195,4.8,1.82,4,3,1.5,67.7,132,27,8.3,197,50.5,12,53,,,,,71.8,76.1,83.2,,74.6,,,,,,2,2,201,7.4,103.0,1.0,2,0,0,2,17,5,2.5,925,4.7,73.4,169,176,11.0,3.19,1,16,8.2,64.8,114,89,8.1,192,49.2,10,77,,,,,72.9,89.0,83.4,,85.6,,,73.8,,,3,7,214,9.0,93.2,4.2,8,8,0,3,9,11,5.1,1547,8.8
Matt Ryan,4317,QB,ATL,9,2.63,2.51,3.26,4.95,389,2,83.1,183,193,5.9,1.92,5,2,1.0,74.6,144,43,5.3,196,50.4,8,73,,,,,90.0,75.7,83.3,,74.2,,,,,,1,2,205,7.0,117.2,1.5,3,0,0,4,14,3,1.5,1531,7.9,76.0,146,159,12.0,3.36,1,11,6.5,67.3,107,75,3.6,193,49.6,4,74,,,,,36.9,81.0,39.6,,80.6,,,60.7,,,1,1,208,28.0,109.1,10.9,21,13,0,11,7,6,2.9,1484,9.3
Tom Brady,698,QB,NE,10,2.52,2.43,3.72,5.5,389,19,82.1,201,208,5.4,1.81,0,8,3.8,75.5,157,25,4.8,212,54.5,8,76,,,,,78.7,89.9,83.5,,87.4,,,,,,1,4,216,16.0,107.1,1.9,4,0,0,6,11,2,0.9,1621,7.8,63.3,147,161,12.4,3.36,0,13,7.5,52.8,85,75,8.6,177,45.5,8,58,,,,,51.9,79.1,83.0,,76.8,,,68.5,,,0,3,190,16.0,79.9,6.8,12,4,0,14,6,9,4.7,1127,7.0
Eli Manning,1722,QB,NYG,9,2.5,2.43,2.9,5.05,381,21,81.9,204,207,5.2,1.96,2,6,2.8,75.8,157,51,6.0,221,58.0,10,76,,,,,41.9,69.0,83.7,,68.1,,,,,,0,4,231,27.5,101.7,6.3,14,0,0,1,9,8,3.5,1489,7.2,64.0,125,138,12.2,3.25,1,8,5.4,55.8,77,82,3.8,160,42.0,3,42,,,,,68.6,62.1,82.6,,62.9,,,48.5,,,4,2,170,22.0,79.9,11.3,18,4,0,8,2,8,4.7,1076,7.8
Blake Bortles,8638,QB,JAX,9,2.75,2.56,3.61,4.56,377,15,76.0,146,157,6.6,1.96,5,10,6.2,63.7,100,38,9.9,160,42.4,11,53,,,,,88.6,73.5,82.4,,72.2,,,,,,5,4,165,7.9,87.2,1.9,3,0,0,1,8,3,1.8,966,6.2,77.6,152,171,8.3,3.36,6,7,4.0,59.1,101,91,14.4,215,57.0,17,71,,,,,29.6,68.8,83.6,,72.2,,,48.9,,,3,4,221,16.5,82.9,7.0,15,29,0,10,4,6,2.7,1375,8.0
Patrick Mahomes,11765,QB,KC,10,2.72,2.6,3.75,4.86,377,16,87.9,182,189,5.2,1.76,3,7,3.5,81.5,154,28,3.8,191,50.7,6,88,,,,,90.0,91.3,83.2,,90.3,,,,,,3,0,200,7.1,138.8,1.0,2,0,0,1,18,2,1.0,1833,9.7,69.2,130,155,15.2,3.75,3,19,11.0,49.7,77,99,14.4,184,48.8,13,64,,,,,77.7,93.4,83.3,,91.6,,,83.4,,,8,7,205,15.2,88.0,8.2,15,14,0,14,13,7,3.4,1317,8.5
Matthew Stafford,4924,QB,DET,9,2.66,2.51,3.31,5.36,370,11,77.0,174,180,6.0,1.93,5,7,3.7,69.4,125,28,6.7,183,49.5,9,64,,,,,89.7,66.9,83.0,,66.1,,,,,,0,5,192,10.7,89.4,1.6,3,0,0,1,7,6,3.1,1212,6.7,74.1,135,150,9.3,3.37,1,15,9.2,64.0,96,90,4.0,187,50.5,4,66,,,,,27.7,79.0,83.2,,79.3,,,52.9,,,4,3,201,28.9,99.7,13.9,26,11,0,10,9,7,3.5,1173,7.8
Jared Goff,10635,QB,LA,10,2.83,2.69,3.69,5.04,366,26,82.1,123,128,4.8,1.84,2,2,1.5,77.3,99,18,2.0,129,35.2,2,57,,,,,62.8,79.6,81.6,,77.8,,,,,,0,2,134,5.6,122.0,0.8,1,0,0,3,10,6,4.5,1104,8.6,76.1,180,204,12.0,3.37,1,23,10.6,62.7,128,91,6.6,237,64.8,9,97,,,,,61.2,92.9,84.1,,92.5,,,55.8,,,2,4,251,20.9,107.3,8.0,19,14,0,21,12,8,3.2,2030,10.0
Case Keenum,7323,QB,DEN,9,2.56,2.48,3.17,5.4,358,10,77.7,179,185,5.7,1.78,4,7,3.6,68.1,126,34,9.4,191,53.4,13,58,,,,,90.0,72.3,83.2,,71.1,,,,,,1,4,202,17.6,86.3,3.1,6,0,0,1,5,3,1.5,1219,6.6,71.2,125,145,12.4,3.45,0,8,5.0,57.9,84,94,5.6,167,46.6,5,50,,,,,24.1,60.9,82.8,,59.1,,,75.2,,,6,6,183,19.1,80.8,10.8,18,4,0,14,6,14,7.7,1181,8.1
Derek Carr,8671,QB,OAK,9,2.52,2.44,2.9,4.06,352,23,81.8,176,179,4.9,1.85,1,7,3.7,76.5,137,33,4.9,186,52.8,7,64,,,,,52.6,69.3,83.1,,68.3,,,,,,2,6,195,21.2,93.6,3.8,7,0,0,0,5,8,4.1,1392,7.8,79.0,124,137,8.2,3.27,1,5,3.4,66.4,91,75,7.1,166,47.2,7,54,,,,,44.6,67.5,82.7,,66.1,,,65.2,,,1,2,178,28.0,95.4,12.7,21,8,0,11,5,7,3.9,1049,7.7
Deshaun Watson,11767,QB,HST,9,3.23,2.96,3.42,5.22,346,13,78.4,116,120,5.8,1.84,3,0,0.0,75.0,90,26,1.1,127,36.7,1,53,,,,,62.1,76.1,81.6,,74.6,,,,,,0,2,133,26.9,111.6,5.5,7,0,0,1,8,3,2.3,914,7.6,68.5,146,160,13.2,4.05,1,10,5.6,59.4,95,131,5.0,218,63.0,5,74,,,,,43.2,84.5,83.9,,80.0,,,78.6,,,3,5,240,16.8,95.7,10.1,22,36,0,10,9,9,3.8,1475,9.2
Alex Smith,2218,QB,WAS,9,2.81,2.58,3.72,5.46,339,32,77.9,140,148,6.0,1.94,3,2,1.3,73.0,108,27,0.9,151,44.5,1,49,,,,,88.3,70.8,82.3,,69.7,,,,,,1,1,160,11.1,94.2,2.0,3,0,0,4,3,1,0.6,971,6.6,71.3,129,151,11.1,3.53,2,6,3.7,56.3,85,82,7.6,187,55.2,7,55,,,,,71.8,67.4,83.2,,68.1,,,56.6,,,5,2,199,19.5,88.6,8.6,16,20,0,15,7,6,3.0,1074,7.1
Andy Dalton,6187,QB,CIN,9,2.52,2.38,3.0,6.01,338,7,76.7,180,184,7.9,1.86,3,11,5.6,69.6,128,38,7.2,189,55.9,10,73,,,,,90.0,82.9,83.2,,80.8,,,,,,0,6,200,13.2,97.6,2.6,5,0,0,1,11,6,3.0,1378,7.5,70.0,110,125,10.5,3.36,3,10,7.2,55.2,69,72,10.4,149,44.1,8,44,,,,,67.2,73.6,82.4,,72.8,,,61.2,,,3,4,164,20.8,82.7,10.1,15,9,0,9,7,7,4.3,877,7.0
Mitchell Trubisky,11757,QB,CHI,9,2.8,2.52,3.81,5.55,332,6,79.0,157,159,4.9,1.86,1,2,1.2,77.4,123,21,0.8,162,48.8,1,55,,,,,88.9,59.1,82.6,,58.9,,,,,,0,3,172,14.3,112.0,1.9,3,0,0,1,11,3,1.7,1153,7.3,59.0,122,130,16.5,3.72,0,13,8.7,51.5,67,74,6.9,169,50.9,5,58,,,,,26.9,59.6,82.9,,52.3,,,88.8,,,2,4,188,20.3,89.6,8.9,15,24,0,6,8,12,6.4,1151,8.9
Cam Newton,6153,QB,CAR,9,2.68,2.47,3.39,5.53,330,5,85.5,159,163,5.1,1.94,3,5,3.0,77.9,127,36,6.6,164,49.7,9,63,,,,,88.8,88.7,82.5,,86.2,,,,,,0,2,169,2.8,117.8,0.6,1,0,0,1,14,4,2.4,1082,6.6,69.3,114,127,11.2,3.48,0,5,3.7,57.5,73,76,7.6,163,49.4,6,58,,,,,48.3,65.4,0.0,,63.5,,,72.0,,,0,3,173,21.1,81.0,9.8,16,20,0,13,3,10,5.8,1004,7.9
Dak Prescott,10769,QB,DAL,9,3.08,2.8,3.77,5.39,329,9,75.0,116,120,5.4,1.98,2,4,3.2,70.0,84,28,3.4,125,38.0,3,35,,,,,86.7,66.2,81.5,,65.4,,,,,,1,1,130,17.9,91.9,4.0,5,0,0,1,3,3,2.3,767,6.4,72.1,136,153,10.9,3.75,1,7,4.2,59.5,91,99,7.1,204,62.0,7,66,,,,,25.2,77.0,83.6,,75.1,,,68.1,,,3,4,220,27.3,89.9,13.2,27,24,0,13,8,7,3.2,1163,7.6
