player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Julius Peppers,1010,ED,CAR,7,4,0,5,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,32,0,0,0,0,0,0,,,0,0,,,3.4,,,0,0,,66.0,0,,0.0,0,0,0.0,0,4,100.0,119,3,1,0,0,0,0,0.0,
Terrell Suggs,1326,ED,BLT,8,35,0,3,0,,,13.3,,,0,0,,77.4,0,,66.7,2,0,0.0,0,10,28.6,75,2,1,0,0,0,0,0.0,,0,0,5.4,60.0,14.7,7.0,4.2,0,0,0.0,32.4,0,15,100.0,1,0,75.4,3,21,60.0,143,4,0,5,0,28,25,1.3,9.3
Mike Adams,1972,S,CAR,7,283,0,5,2,8.4,100.0,90.5,8.7,8.7,0,0,0.0,42.2,0,27,0.0,0,0,118.8,7,67,23.7,74,0,3,7,0,104,45,1.7,14.9,0,2,12.7,54.5,95.3,32.8,17.9,1,1,9.1,75.7,3,31,8.3,1,1,40.2,6,203,71.7,213,4,9,11,0,85,27,0.4,14.2
Adam Jones,2223,CB,DEN,4,83,0,10,1,3.1,100.0,100.0,4.0,4.0,0,0,0.0,34.1,0,30,37.5,3,0,107.1,7,30,36.1,30,1,4,7,0,68,46,2.4,9.7,0,0,12.3,50.0,100.0,21.0,10.5,0,1,25.0,74.2,0,5,0.0,0,1,56.3,2,45,54.2,45,0,3,4,0,8,2,0.2,4.0
Thomas Davis Sr.,2231,LB,CAR,3,98,0,5,0,12.0,50.0,78.6,20.0,10.0,0,1,50.0,77.7,0,17,,0,1,79.2,1,22,22.4,28,0,0,2,0,17,2,0.9,17.0,0,1,7.7,44.4,90.8,17.0,7.6,0,2,22.2,65.2,0,21,0.0,0,2,72.5,4,69,70.4,76,2,5,9,0,72,37,1.1,18.0
Derrick Johnson,2232,LB,OAK,6,89,0,23,0,,,69.0,,,0,0,,71.8,0,,0.0,0,0,0.0,0,20,22.5,29,0,2,0,0,0,0,0.0,,0,0,8.7,100.0,95.2,18.0,18.0,0,0,0.0,63.3,0,11,28.6,2,0,106.9,3,59,66.3,62,4,5,3,0,29,3,0.5,9.7
Lorenzo Alexander,2476,LB,BUF,8,48,0,4,1,,,6.3,,,0,0,,78.7,1,,0.0,0,0,0.0,0,2,4.2,32,1,1,0,0,0,0,0.0,,0,2,2.8,75.0,31.5,7.3,5.5,0,1,12.5,88.3,0,7,11.1,1,1,78.6,6,45,93.8,143,6,6,8,0,27,19,0.6,4.5
Johnathan Joseph,2969,CB,HST,8,302,0,13,0,10.7,48.6,100.0,7.5,3.6,0,2,5.7,65.7,0,42,0.0,0,2,76.1,17,136,45.0,136,5,15,35,1,202,59,1.6,11.9,0,2,7.5,66.7,100.0,10.6,7.0,0,2,9.5,81.4,1,40,23.8,5,2,74.9,14,151,50.0,151,4,14,21,0,187,72,1.3,13.4
Frostee Rucker,3036,ED,OAK,6,1,0,23,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,26,0,0,0,0,0,0,,,0,0,,,1.6,,,0,0,,60.2,0,,0.0,0,0,0.0,0,1,100.0,64,0,1,0,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,8,2,0,4,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,36,0,0,0,0,0,0,,,0,1,,,1.2,,,0,0,,62.5,0,,25.0,1,0,0.0,0,2,100.0,173,5,2,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,8,293,0,1,0,-5.0,100.0,87.1,52.0,52.0,0,0,0.0,59.4,0,18,0.0,0,0,118.8,1,54,18.4,62,0,3,1,0,18,23,0.3,18.0,0,3,7.1,84.2,93.0,12.8,10.7,0,0,0.0,72.1,0,21,7.7,2,0,95.8,16,213,72.7,229,6,21,19,0,133,85,0.7,8.3
Tom Johnson,3378,DI,MIN,6,1,0,18,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,33,0,1,0,0,0,0,,,0,0,,,1.5,,,0,0,,59.5,0,,0.0,0,0,0.0,0,1,100.0,67,0,1,0,0,0,0,0.0,
Tramon Williams,3558,S,GB,7,277,0,12,0,11.7,53.3,100.0,14.9,7.9,0,2,13.3,50.0,0,30,33.3,1,0,117.8,8,128,46.2,128,0,2,15,2,114,33,1.0,14.3,0,0,9.3,64.3,95.1,14.2,9.1,0,0,0.0,77.7,0,30,7.1,1,0,104.2,9,137,49.5,144,7,13,14,1,83,48,0.6,9.2
Brent Grimes,3589,CB,TB,5,196,0,30,0,13.7,77.8,100.0,8.0,6.2,0,0,0.0,36.8,0,28,11.1,1,0,155.8,7,61,31.1,61,1,8,9,1,117,47,2.1,16.7,0,0,13.2,66.7,100.0,11.9,7.9,0,0,0.0,63.5,0,43,0.0,0,0,92.1,10,125,63.8,125,1,7,15,0,124,25,1.0,12.4
