player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Ben Roethlisberger,1732,QB,PIT,1,1,1,2.48,9.0,27.0,18.0,0,0,0,0,25,60.0,0,27,0,0,0.0,18,0,1,2.48,9,0,27
Andy Lee,1906,P,ARZ,9,52,52,4.29,41.44,48.21,10.1,0,0,5,10,1,73.1,16,61,5,0,55.8,292,29,52,223.17,2155,3,2507
Donnie Jones,1939,,LAC,5,21,21,4.13,38.86,41.95,5.4,0,0,1,5,27,56.0,9,59,3,0,57.1,65,12,21,86.64,816,0,881
Dustin Colquitt,2316,P,KC,9,28,28,4.46,41.36,45.36,2.7,0,0,5,6,16,70.3,16,67,1,0,42.9,32,12,28,124.87,1158,4,1270
Sam Koch,3148,P,BLT,9,38,38,4.32,41.79,47.84,7.9,1,0,5,6,3,75.0,19,63,4,0,50.0,150,19,39,164.21,1588,4,1818
Brett Kern,4580,P,TEN,9,39,39,4.15,41.44,47.28,9.4,0,0,3,5,31,62.1,17,62,9,0,51.3,188,20,39,161.84,1616,2,1844
Kevin Huber,5066,P,CIN,9,37,37,4.21,39.49,43.81,10.0,1,0,8,13,7,56.5,19,63,1,0,37.8,140,14,38,155.87,1461,1,1621
Thomas Morstead,5088,P,NO,7,19,19,4.5,42.63,45.95,5.4,0,0,1,7,20,68.2,8,58,2,0,42.1,43,8,19,85.59,810,1,873
Britton Colquitt,5192,P,CLV,10,64,64,4.31,38.61,45.05,11.4,1,0,10,14,8,65.5,29,79,7,0,45.3,332,29,65,275.93,2471,4,2883
Matt Bosher,6344,P,ATL,9,31,31,4.46,39.87,44.29,7.3,2,0,4,8,2,69.2,13,57,2,0,51.6,117,16,33,138.17,1236,1,1373
Chris Jones,6798,P,DAL,9,37,37,4.49,38.89,44.11,8.1,0,0,6,9,9,66.3,8,56,1,0,51.4,153,19,37,166.19,1439,2,1632
Bryan Anger,7072,P,TB,9,30,30,4.41,38.33,44.47,9.6,0,0,4,7,30,58.8,8,64,2,0,50.0,144,15,30,132.21,1150,2,1334
Johnny Hekker,7252,P,LA,10,25,25,4.01,40.2,42.84,7.7,0,0,5,4,26,72.6,13,62,9,0,24.0,46,6,25,100.33,1005,1,1071
Marquette King,7410,P,DEN,4,20,20,3.96,39.7,44.05,8.4,0,0,4,2,10,61.3,8,66,5,0,40.0,67,8,20,79.29,794,1,881
Sam Martin,7947,P,DET,9,33,33,4.26,36.61,44.61,20.4,0,0,4,14,11,62.5,13,61,2,0,33.3,224,11,33,140.43,1208,2,1472
Caleb Sturgis,7948,K,LAC,1,1,1,2.85,24.0,24.0,,0,0,1,0,27,60.0,1,24,0,0,0.0,0,0,1,2.85,24,0,24
Colton Schmidt,8104,P,BUF,2,9,9,3.9,31.0,40.22,15.8,0,0,0,3,4,43.0,2,53,1,0,44.4,63,4,9,35.11,279,1,362
Ryan Allen,8242,P,NE,9,38,38,4.17,38.87,46.29,13.1,0,0,7,4,19,57.3,10,66,7,0,44.7,222,17,38,158.54,1477,3,1759
Tress Way,8358,P,WAS,9,42,42,4.4,41.12,43.86,6.8,0,0,9,15,32,64.4,26,62,1,0,40.5,115,17,42,184.9,1727,0,1842
Pat O'Donnell,8826,P,CHI,9,33,33,4.41,40.21,44.91,6.8,1,0,5,12,6,66.8,15,63,1,0,33.3,75,11,34,145.62,1327,4,1482
Michael Palardy,9277,P,CAR,9,37,37,4.37,40.76,45.41,8.0,0,0,6,13,5,78.2,19,59,1,0,37.8,112,14,37,161.81,1508,3,1680
Bradley Pinion,9598,P,SF,10,42,42,4.52,38.93,43.55,9.1,1,0,3,14,28,61.2,15,64,6,0,40.5,154,17,43,189.92,1635,2,1829
Matt Wile,9972,P,MIN,9,40,40,4.41,41.75,44.53,5.9,1,0,9,11,18,65.6,19,70,6,0,30.0,71,12,41,176.38,1670,2,1781
Jordan Berry,10236,P,PIT,9,38,38,4.32,38.89,42.87,10.1,0,0,8,13,25,59.0,17,69,4,0,28.9,111,11,38,164.14,1478,2,1629
Drew Kaser,10813,P,GB,4,13,13,4.23,38.08,48.38,16.3,1,0,2,2,12,60.5,7,66,1,0,53.8,114,7,14,55.02,495,1,629
Riley Dixon,10862,P,NYG,9,40,40,4.36,42.1,47.05,8.1,0,0,7,9,21,65.1,17,60,4,0,42.5,138,17,40,174.54,1684,3,1882
Lachlan Edwards,10869,P,NYJ,10,55,55,4.16,40.64,46.25,8.7,0,0,6,8,22,56.3,15,62,8,0,56.4,269,31,55,228.69,2235,2,2544
Rigoberto Sanchez,12130,P,IND,9,30,30,4.42,43.47,45.97,4.2,0,0,5,10,14,63.0,10,61,1,0,43.3,55,13,30,132.47,1304,1,1379
Matt Haack,12212,P,MIA,10,51,51,4.46,39.47,45.2,9.6,0,0,4,17,17,69.3,28,65,5,0,39.2,192,20,51,227.49,2013,5,2305
Cameron Johnston,12255,P,PHI,9,37,37,4.13,43.76,49.57,6.1,0,0,5,6,24,51.4,14,68,2,0,51.4,115,19,37,152.78,1619,5,1834
Johnny Townsend,22261,P,OAK,9,35,35,4.33,39.23,42.91,5.9,0,0,6,8,23,50.7,9,57,4,0,42.9,89,15,35,151.46,1373,2,1502
