player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Rob Havenstein,9490,T,LA,6,0,26,68.7,100.0,41,22.5,41,83.0,0,100.0,182,182,80.8,100.0,115,63.2,115
Austin Blythe,10882,G,LA,6,0,26,62.2,100.0,41,22.5,41,73.9,0,100.0,182,182,71.9,100.0,115,63.2,115
J.R. Sweezy,7209,G,SEA,6,0,29,60.1,100.0,64,35.8,64,49.2,1,100.0,179,179,50.9,100.0,103,57.5,103
Germain Ifedi,10665,T,SEA,6,0,29,59.7,100.0,64,35.8,64,50.9,0,100.0,179,179,47.5,100.0,103,57.5,103
Trent Brown,9677,T,NE,6,1,19,77.8,100.0,91,51.1,91,71.4,2,100.0,178,178,59.3,100.0,59,33.1,59
Shaq Mason,9564,G,NE,6,0,19,82.8,100.0,91,51.1,91,82.3,1,100.0,178,178,75.8,100.0,59,33.1,59
Duane Brown,4340,T,SEA,6,0,29,65.6,100.0,64,36.0,64,62.4,1,100.0,178,178,60.0,100.0,102,57.3,102
Joe Thuney,10712,G,NE,6,0,19,73.2,100.0,91,51.1,91,74.4,0,100.0,178,178,70.4,100.0,59,33.1,59
John Sullivan,4501,C,LA,6,0,26,50.9,100.0,39,22.0,39,62.6,1,100.0,177,177,65.0,100.0,112,63.3,112
Matt Skura,11102,C,BLT,6,0,3,55.2,100.0,86,49.4,86,58.8,1,100.0,174,174,59.8,100.0,58,33.3,58
Andrew Whitworth,3000,T,LA,6,0,26,63.6,100.0,41,23.6,41,80.2,1,100.0,174,174,69.9,100.0,112,64.4,112
Ronnie Stanley,10640,T,BLT,6,0,3,64.7,100.0,86,49.4,86,64.3,0,100.0,174,174,57.8,100.0,58,33.3,58
David Andrews,9948,C,NE,6,0,19,69.7,100.0,90,51.7,90,73.9,1,100.0,174,174,78.5,100.0,59,33.9,59
Tyler Higbee,10744,TE,LA,6,0,26,53.9,100.0,38,22.1,38,66.4,0,100.0,172,172,70.5,100.0,109,63.4,109
Jared Goff,10635,QB,LA,6,0,26,60.0,100.0,41,24.0,41,60.0,0,94.0,171,182,60.0,100.0,115,67.3,115
Brandon Shell,10792,T,NYJ,6,0,22,69.0,100.0,57,33.5,57,68.4,0,100.0,170,170,70.4,100.0,98,57.6,98
Russell Wilson,7077,QB,SEA,6,0,29,60.0,96.9,62,36.5,64,60.0,0,95.0,170,179,60.0,97.1,100,58.8,103
Kelvin Beachum,7229,T,NYJ,6,0,22,67.8,100.0,57,33.5,57,63.6,0,100.0,170,170,56.9,100.0,98,57.6,98
James Carpenter,6177,G,NYJ,6,0,22,64.9,100.0,57,33.5,57,56.1,0,100.0,170,170,51.2,100.0,98,57.6,98
Brian Winters,7853,G,NYJ,6,0,22,48.5,100.0,57,33.5,57,66.4,0,100.0,170,170,70.7,100.0,98,57.6,98
Spencer Long,8713,C,NYJ,6,1,22,55.5,100.0,57,33.5,57,48.0,2,100.0,170,170,44.5,100.0,98,57.6,98
Robert Woods,7822,WR,LA,6,0,26,59.0,100.0,40,23.5,40,71.3,1,96.0,170,177,67.1,100.0,113,66.5,113
Desmond Harrison,15466,T,CLV,6,0,8,43.6,100.0,74,43.8,74,51.2,2,100.0,169,169,64.1,100.0,78,46.2,78
Rodger Saffold,5558,G,LA,6,0,26,48.8,100.0,39,23.1,39,75.8,0,100.0,169,169,75.9,100.0,107,63.3,107
J.C. Tretter,7904,C,CLV,6,0,8,71.6,100.0,74,43.8,74,72.4,0,100.0,169,169,66.8,100.0,78,46.2,78
Kevin Zeitler,7032,G,CLV,6,0,8,63.6,100.0,74,43.8,74,61.5,0,100.0,169,169,64.2,100.0,78,46.2,78
Chris Hubbard,8051,T,CLV,6,1,8,57.2,100.0,74,43.8,74,53.0,1,100.0,169,169,56.7,100.0,78,46.2,78
Joel Bitonio,8670,G,CLV,6,0,8,61.0,100.0,74,43.8,74,62.0,0,100.0,169,169,64.1,100.0,78,46.2,78
Dan Feeney,11826,G,LAC,6,0,27,55.7,100.0,91,55.5,91,49.6,0,100.0,164,164,43.8,100.0,33,20.1,33
Tom Brady,698,QB,NE,6,0,19,60.0,100.0,90,54.9,90,60.0,0,94.3,164,174,60.0,100.0,59,36.0,59
Alex Lewis,10764,G,BLT,6,0,3,40.2,100.0,82,50.3,82,50.8,1,100.0,163,163,63.1,100.0,52,31.9,52
La'el Collins,9719,T,DAL,6,0,9,54.7,100.0,67,41.4,67,67.5,3,100.0,162,162,70.8,100.0,77,47.5,77
Joe Looney,7117,C,DAL,6,0,9,51.6,100.0,67,41.4,67,57.3,0,100.0,162,162,63.7,100.0,77,47.5,77
Connor Williams,46216,G,DAL,6,0,9,61.4,100.0,67,41.4,67,54.7,1,100.0,162,162,50.7,100.0,77,47.5,77
Laken Tomlinson,9461,G,SF,6,0,28,60.0,100.0,37,23.0,37,72.3,1,100.0,161,161,74.0,100.0,113,70.2,113
Mike McGlinchey,46275,T,SF,6,0,28,89.6,100.0,37,23.1,37,88.4,1,100.0,160,160,77.1,100.0,112,70.0,112
Weston Richburg,8678,C,SF,6,0,28,59.9,100.0,37,23.4,37,56.6,0,100.0,158,158,52.6,100.0,112,70.9,112
Michael Schofield III,8730,G,LAC,6,0,27,60.9,100.0,89,56.3,89,66.0,0,100.0,158,158,80.9,100.0,32,20.3,32
Sam Tevi,11945,T,LAC,6,0,27,81.7,100.0,89,56.7,89,74.1,1,100.0,157,157,52.0,100.0,30,19.1,30
Tyron Smith,6161,T,DAL,6,0,9,66.1,100.0,66,42.3,66,76.3,0,100.0,156,156,81.3,100.0,72,46.2,72
Sam Darnold,29048,QB,NYJ,6,0,22,60.0,98.2,56,35.9,57,60.0,0,91.8,156,170,60.0,98.0,96,61.5,98
Zack Martin,8651,G,DAL,6,0,9,58.4,100.0,66,42.3,66,71.3,0,100.0,156,156,76.6,100.0,72,46.2,72
Marshal Yanda,3702,G,BLT,6,0,3,61.0,100.0,81,52.6,81,72.9,1,100.0,154,154,76.7,100.0,45,29.2,45
