player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Julius Peppers,1010,ED,CAR,12,10,0,5,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,68,1,0,0,0,0,0,,,0,0,9.0,50.0,5.3,10.0,5.0,0,1,50.0,71.0,0,18,0.0,0,1,81.3,1,10,100.0,188,4,1,2,0,18,11,1.8,18.0
Terrell Suggs,1326,ED,BLT,12,51,0,3,0,,,11.9,,,0,0,,76.7,0,,66.7,2,0,0.0,0,15,29.4,126,2,1,0,0,0,0,0.0,,0,0,5.4,60.0,14.5,10.3,6.2,0,0,0.0,40.9,0,15,100.0,1,0,75.4,3,32,62.7,221,5,0,5,0,28,25,0.9,9.3
Mike Adams,1972,S,CAR,12,462,0,5,4,10.2,100.0,89.4,12.0,12.0,0,0,0.0,47.3,0,31,0.0,0,0,118.8,9,118,25.5,132,0,6,9,0,150,58,1.4,16.7,0,2,12.8,66.7,95.2,25.7,17.1,1,1,5.6,61.0,3,33,9.5,2,1,74.5,12,317,68.6,333,4,17,18,1,164,41,0.5,13.7
Adam Jones,2223,CB,DEN,6,102,0,10,1,4.0,87.5,100.0,5.0,4.4,0,1,12.5,45.4,0,30,37.5,3,1,102.1,7,37,36.3,37,1,4,8,0,68,46,1.9,9.7,0,0,9.5,50.0,100.0,18.0,9.0,0,1,16.7,73.1,0,14,0.0,0,1,59.0,3,57,55.9,57,0,3,6,0,22,16,0.4,7.3
Thomas Davis Sr.,2231,LB,CAR,8,228,0,5,0,4.2,80.0,67.9,12.5,10.0,0,1,20.0,69.7,0,18,50.0,1,1,110.8,4,53,23.2,78,1,1,5,0,53,41,1.1,13.3,0,3,4.3,66.7,85.6,11.2,7.5,0,3,14.3,68.0,0,21,5.9,1,3,86.2,14,160,70.2,187,5,13,21,0,144,110,0.9,10.3
Derrick Johnson,2232,LB,OAK,6,89,0,23,0,,,69.0,,,0,0,,71.8,0,,0.0,0,0,0.0,0,20,22.5,29,0,2,0,0,0,0,0.0,,0,0,8.7,100.0,95.2,18.0,18.0,0,0,0.0,63.3,0,11,28.6,2,0,106.9,3,59,66.3,62,4,5,3,0,29,3,0.5,9.7
Lorenzo Alexander,2476,LB,BUF,12,63,0,4,1,,,7.4,,,0,0,,78.1,1,,0.0,0,0,0.0,0,4,6.3,54,2,1,0,0,0,0,0.0,,0,2,1.7,84.6,28.9,5.1,4.3,0,2,15.4,72.2,0,22,8.3,1,2,92.6,11,58,92.1,201,6,9,13,0,81,73,1.4,7.4
Haloti Ngata,2957,DI,PHI,9,1,0,24,0,,,2.7,,,0,0,,59.7,0,,,0,0,0.0,0,1,100.0,37,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,86,1,0,0,0,0,0,,
Johnathan Joseph,2969,CB,HST,11,391,0,13,0,11.0,45.9,100.0,8.7,4.0,0,2,5.4,69.0,0,42,0.0,0,2,72.1,17,159,40.7,159,5,15,37,1,202,59,1.4,11.9,0,3,9.5,64.5,100.0,10.2,6.6,0,2,6.5,78.8,2,48,25.8,8,2,78.7,20,211,54.0,211,7,20,31,1,290,96,1.4,14.5
Frostee Rucker,3036,ED,OAK,11,4,0,23,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,32,0,0,0,0,0,0,,,0,0,,,3.3,,,0,0,,61.1,0,,0.0,0,0,0.0,0,4,100.0,122,0,2,0,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,12,3,0,4,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,67,1,1,0,0,0,0,,,0,1,,,1.3,,,0,0,,62.6,0,,25.0,1,0,0.0,0,3,100.0,237,6,2,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,12,453,0,1,1,3.0,80.0,90.8,21.5,17.2,0,0,0.0,66.9,0,18,0.0,0,0,102.5,4,89,19.6,98,1,9,5,0,43,34,0.5,10.8,0,5,8.5,76.9,93.7,15.8,12.1,2,2,7.7,75.3,0,21,8.8,3,2,90.1,20,327,72.2,349,8,26,26,0,149,92,0.5,7.5
Tom Johnson,3378,DI,MIN,10,1,0,18,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,46,0,1,0,0,0,0,,,0,0,,,0.8,,,0,0,,74.2,0,,0.0,0,0,0.0,0,1,100.0,121,4,3,0,0,0,0,0.0,
Tramon Williams,3558,S,GB,12,470,0,12,1,13.4,50.0,99.5,19.5,9.8,0,3,15.0,57.1,0,30,12.5,1,1,114.4,10,208,44.3,209,0,6,20,3,149,33,0.8,14.9,0,2,9.5,75.0,94.8,12.4,9.3,0,0,0.0,63.8,0,55,8.3,2,0,140.8,18,239,50.9,252,8,20,24,3,211,105,0.9,11.7
Brent Grimes,3589,CB,TB,9,318,0,30,0,13.6,64.3,100.0,11.0,7.1,0,1,7.1,43.5,0,28,10.0,1,1,128.3,9,106,33.3,106,1,9,14,1,164,59,1.7,18.2,0,0,11.7,72.2,100.0,14.5,10.5,0,0,0.0,67.6,0,43,10.0,1,0,98.8,13,198,62.3,198,2,9,18,0,158,46,0.8,12.2
Leon Hall,3634,CB,OAK,10,209,0,23,0,8.8,87.5,95.1,7.7,6.8,0,1,12.5,48.0,0,53,28.6,2,1,118.8,7,58,27.8,61,2,5,8,0,131,88,2.4,18.7,0,1,3.9,93.8,93.4,8.1,7.6,0,0,0.0,58.9,0,59,10.0,1,0,118.8,15,128,61.2,137,5,8,16,0,202,136,1.7,13.5
Reggie Nelson,3637,S,OAK,11,214,0,23,0,11.5,100.0,92.7,23.5,23.5,0,0,0.0,54.0,0,20,0.0,0,0,116.7,2,51,23.8,55,1,3,2,0,24,1,0.5,12.0,0,0,18.8,44.4,93.5,33.3,14.8,0,0,0.0,67.9,2,49,18.2,2,0,81.0,4,144,67.3,154,0,9,9,1,96,28,0.7,24.0
