player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Adam Thielen,8288,WR,MIN,9,102,0,18,11.1,1,76.2,40.0,2,5,3.0,1,26,1,79.1,92.7,1,68,1.4,2,145,32,91.0,132,125.7,42,41.2,3,466,123,3.8,14.6,3.53,0,8.7,1,76.9,57.1,4,7,4.8,2,21,0,82.8,76.3,1,45,0.4,1,238,40,98.3,234,106.7,52,51.0,2,446,157,3.9,11.2,1.91
Jarvis Landry,8698,WR,CLV,9,92,0,8,9.8,1,53.6,33.3,1,3,6.3,1,7,0,66.7,61.2,0,39,0.0,0,132,15,91.7,121,72.5,28,30.4,0,173,81,5.4,11.5,1.43,0,9.9,4,62.1,41.7,5,12,7.7,3,15,0,62.9,65.3,1,33,0.4,1,262,36,97.3,255,78.9,58,63.0,1,369,114,3.2,10.3,1.45
Antonio Brown,5718,WR,PIT,8,89,0,25,12.4,5,48.7,16.7,1,6,0.0,0,17,0,83.6,81.4,0,48,0.0,0,141,19,93.6,132,115.8,39,43.8,8,314,179,9.4,16.5,2.38,0,10.2,6,65.9,16.7,1,6,3.3,1,15,0,77.5,67.2,3,43,0.0,0,211,29,96.2,203,61.0,44,49.4,1,262,93,3.2,9.0,1.29
DeAndre Hopkins,7808,WR,HST,9,89,0,13,12.2,5,68.8,50.0,4,8,0.0,0,14,1,84.9,89.9,1,49,0.0,0,106,22,93.4,99,118.5,32,36.0,3,314,112,5.1,14.3,3.17,0,12.7,1,75.0,66.7,8,12,0.0,0,25,0,90.1,89.5,2,49,0.0,0,232,36,91.8,213,107.5,48,53.9,2,534,141,3.9,14.8,2.51
Julio Jones,6158,WR,ATL,8,87,0,2,11.3,0,63.3,42.9,3,7,9.5,2,14,0,58.1,84.1,1,35,0.0,0,98,19,90.8,89,95.0,30,34.5,1,309,120,6.3,16.3,3.47,0,14.3,5,75.0,42.9,3,7,2.5,1,27,1,82.2,88.6,1,58,0.0,0,195,39,96.4,188,101.3,52,59.8,0,558,146,3.7,14.3,2.97
Odell Beckham Jr.,8647,WR,NYG,8,87,0,21,10.0,3,68.2,33.3,1,3,6.3,1,11,0,65.6,80.7,0,30,0.0,0,82,15,92.7,76,111.9,22,25.3,1,200,94,6.3,13.3,2.63,0,12.2,16,72.6,44.4,4,9,0.0,0,28,0,90.3,89.9,1,51,0.0,0,252,45,96.8,244,100.7,62,71.3,1,587,168,3.7,13.0,2.41
Zach Ertz,7816,TE,PHI,8,82,0,24,7.2,0,65.2,40.0,2,5,11.8,2,8,0,51.5,64.3,1,27,7.2,8,111,15,85.6,95,80.7,23,28.0,1,154,33,2.2,10.3,1.62,0,7.6,0,80.4,20.0,1,5,4.7,2,23,0,74.3,75.2,0,34,7.0,16,229,41,88.2,202,103.8,51,62.2,0,455,163,4.0,11.1,2.25
Davante Adams,8688,WR,GB,8,81,0,12,11.6,3,68.8,66.7,2,3,4.3,1,13,0,73.0,88.0,0,51,0.0,0,150,22,92.7,139,132.4,32,39.5,3,321,114,5.2,14.6,2.31,0,9.8,2,71.4,0.0,0,3,9.1,3,15,0,58.1,70.2,0,41,0.0,0,192,30,95.8,184,113.2,42,51.9,2,360,149,5.0,12.0,1.96
Michael Thomas,10681,WR,NO,8,79,0,20,7.1,7,89.7,71.4,5,7,3.7,1,19,1,76.1,90.9,0,35,0.0,0,106,26,90.6,96,143.7,29,36.7,3,296,135,5.2,11.4,3.08,0,8.4,3,90.5,75.0,3,4,5.0,2,23,1,72.6,85.3,1,44,0.0,0,161,38,97.5,157,104.5,42,53.2,0,481,153,4.0,12.7,3.06
Stefon Diggs,9579,WR,MIN,8,78,0,18,8.6,4,81.5,83.3,5,6,0.0,0,9,0,84.5,73.5,1,75,0.8,1,125,22,92.8,116,123.1,27,34.6,3,226,75,3.4,10.3,1.95,0,10.5,7,71.7,33.3,2,6,0.0,0,16,0,88.7,75.0,0,34,0.0,0,213,33,98.6,210,93.4,46,59.0,0,348,199,6.0,10.5,1.66
