player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,5,30,30,4.35,39.6,47.97,12.4,0,0,3,6,1,73.8,11,61,2,0,56.7,211,17,30,130.5,1188,2,1439
Donnie Jones,1939,,LAC,1,3,3,4.26,42.33,43.0,2.0,0,0,0,2,27,60.1,3,59,0,0,33.3,2,1,3,12.78,127,0,129
Dustin Colquitt,2316,P,KC,5,15,15,4.49,45.13,48.47,1.7,0,0,2,4,16,68.2,8,67,1,0,40.0,10,6,15,67.42,677,2,727
Sam Koch,3148,P,BLT,5,24,24,4.3,41.83,48.5,8.3,1,0,2,5,3,74.5,13,63,2,0,50.0,100,12,25,103.21,1004,3,1164
Brett Kern,4580,P,TEN,5,22,22,4.24,43.32,49.09,7.9,0,0,2,2,31,66.1,11,62,5,0,50.0,87,11,22,93.17,953,2,1080
Kevin Huber,5066,P,CIN,5,16,16,4.24,36.63,42.06,14.5,1,0,5,5,7,55.9,8,55,0,0,37.5,87,6,17,67.88,586,0,673
Thomas Morstead,5088,P,NO,4,13,13,4.55,44.69,48.62,5.2,0,0,0,5,20,73.1,4,58,1,0,46.2,31,6,13,59.21,581,1,632
Britton Colquitt,5192,P,CLV,5,39,39,4.2,37.18,43.97,12.5,0,0,4,9,8,64.5,17,64,6,0,46.2,225,18,39,163.9,1450,2,1715
Matt Bosher,6344,P,ATL,5,19,19,4.43,39.58,44.16,6.7,2,0,3,4,2,65.1,6,57,1,0,52.6,67,10,21,84.09,752,1,839
Chris Jones,6798,P,DAL,5,22,22,4.64,38.82,45.64,10.8,0,0,2,6,9,75.0,7,56,1,0,54.5,130,12,22,102.13,854,1,1004
Bryan Anger,7072,P,TB,4,15,15,4.43,39.93,42.8,5.4,0,0,3,3,30,59.4,4,64,1,0,53.3,43,8,15,66.39,599,0,642
Johnny Hekker,7252,P,LA,5,8,8,4.27,42.38,47.13,6.0,0,0,2,0,26,68.6,4,62,2,0,37.5,18,3,8,34.16,339,1,377
Marquette King,7410,P,DEN,4,20,20,3.96,39.7,44.05,8.4,0,0,4,2,10,61.3,8,66,5,0,40.0,67,8,20,79.29,794,1,881
