team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
PIT,25,16,726,20,103,726,89.7,136,13
CHI,6,17,631,14,101,631,89.1,126,11
CLV,8,16,638,7,110,638,88.5,132,15
BLT,3,17,644,18,110,644,88.2,140,12
ATL,2,16,676,28,91,676,88.1,140,21
KC,16,16,641,30,98,641,88.0,141,13
NE,19,16,598,34,88,598,87.8,134,12
PHI,24,17,694,28,111,694,87.8,154,15
NO,20,16,547,18,92,547,87.4,124,14
IND,14,17,719,39,121,719,86.9,174,14
LA,26,16,617,25,116,617,86.5,154,13
BUF,4,16,595,20,119,595,85.8,154,15
GB,12,16,729,19,130,729,85.7,179,30
TEN,31,16,519,6,105,519,85.5,131,20
NYJ,22,16,581,19,115,581,85.5,151,17
DET,11,16,628,25,119,628,85.2,165,21
DEN,10,16,632,21,137,632,85.1,173,15
CAR,5,16,626,21,138,626,84.7,175,16
SEA,29,17,531,10,104,531,84.4,140,26
WAS,32,16,594,36,111,594,84.3,167,20
DAL,9,17,646,24,125,646,84.3,176,27
TB,30,16,725,43,134,725,84.3,202,25
SF,28,16,593,38,116,593,83.6,174,20
CIN,7,16,600,13,136,600,83.2,175,26
NYG,21,16,633,23,139,633,82.8,190,28
OAK,23,16,609,20,122,609,81.3,185,43
HST,13,17,680,34,157,680,81.2,223,32
LAC,27,17,587,37,132,587,81.2,195,26
MIA,17,16,520,31,110,520,81.1,169,28
JAX,15,16,647,34,146,647,81.0,213,33
MIN,18,16,666,32,166,666,80.9,226,28
ARZ,1,16,563,42,143,563,77.5,219,34
