player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Julius Peppers,1010,ED,CAR,15,10,0,5,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,77,1,0,0,0,0,0,,,0,0,9.0,50.0,4.4,10.0,5.0,0,1,50.0,71.0,0,18,0.0,0,1,81.3,1,10,100.0,228,4,1,2,0,18,11,1.8,18.0
Terrell Suggs,1326,ED,BLT,15,66,0,3,0,7.0,100.0,15.8,21.0,21.0,1,0,0.0,76.6,0,31,66.7,2,0,118.8,1,25,37.9,158,2,1,1,0,31,24,1.5,31.0,0,1,3.7,57.1,12.9,9.0,5.1,0,0,0.0,42.8,0,15,66.7,2,0,74.1,4,37,56.1,287,5,0,7,0,41,35,1.1,10.3
Mike Adams,1972,S,CAR,15,557,0,5,4,10.2,100.0,90.2,13.1,13.1,0,0,0.0,46.0,0,31,0.0,0,0,118.8,9,129,23.2,143,0,7,9,0,150,58,1.3,16.7,0,2,14.0,71.4,95.9,25.3,18.1,1,1,4.8,50.4,3,75,8.0,2,1,105.9,15,397,71.3,414,4,21,21,2,278,92,0.7,18.5
Adam Jones,2223,CB,DEN,6,102,0,10,1,4.0,87.5,100.0,5.0,4.4,0,1,12.5,45.4,0,30,37.5,3,1,102.1,7,37,36.3,37,1,4,8,0,68,46,1.9,9.7,0,0,9.5,50.0,100.0,18.0,9.0,0,1,16.7,73.1,0,14,0.0,0,1,59.0,3,57,55.9,57,0,3,6,0,22,16,0.4,7.3
Thomas Davis Sr.,2231,LB,CAR,11,318,0,5,0,5.0,57.1,66.3,14.0,8.0,0,2,28.6,79.9,0,18,50.0,1,2,81.3,4,59,18.6,89,1,1,7,0,53,41,0.9,13.3,0,3,5.1,76.5,89.2,8.8,6.7,0,3,8.8,68.2,0,28,6.9,2,3,95.7,26,240,75.5,269,9,24,34,0,244,147,1.1,9.4
Derrick Johnson,2232,LB,OAK,6,89,0,23,0,,,69.0,,,0,0,,71.8,0,,0.0,0,0,0.0,0,20,22.5,29,0,2,0,0,0,0,0.0,,0,0,8.7,100.0,95.2,18.0,18.0,0,0,0.0,63.3,0,11,28.6,2,0,106.9,3,59,66.3,62,4,5,3,0,29,3,0.5,9.7
Lorenzo Alexander,2476,LB,BUF,15,108,0,4,1,-2.0,50.0,23.4,17.0,8.5,0,0,0.0,92.4,2,-5,0.0,0,0,16.7,1,18,16.7,77,3,3,2,0,-5,0,-0.3,-5.0,0,2,2.8,79.2,35.9,4.5,3.6,1,3,12.5,65.2,0,22,5.9,1,3,92.5,19,88,81.5,245,6,14,24,0,149,117,1.7,7.8
Haloti Ngata,2957,DI,PHI,12,1,0,24,0,,,2.0,,,0,0,,59.7,0,,,0,0,0.0,0,1,100.0,51,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,127,1,0,0,0,0,0,,
Johnathan Joseph,2969,CB,HST,14,530,0,13,0,11.0,47.8,99.5,8.9,4.3,0,3,6.5,66.6,0,42,5.3,1,3,74.6,22,212,40.0,213,5,18,46,1,281,78,1.4,12.8,0,4,9.8,66.7,100.0,11.6,7.7,1,3,8.3,82.0,2,48,22.5,9,3,79.4,24,286,54.0,286,10,27,36,1,308,100,1.1,12.8
Frostee Rucker,3036,ED,OAK,14,6,0,23,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,43,0,0,0,0,0,0,,,0,0,26.0,0.0,3.7,,5.0,0,0,0.0,61.9,0,,0.0,0,0,39.6,0,6,100.0,163,0,2,1,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,15,4,0,4,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,90,1,1,0,0,0,0,,,0,1,,,1.1,,,0,0,,62.6,0,,25.0,1,0,0.0,0,3,75.0,275,6,2,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,15,542,0,1,1,4.0,75.0,91.5,17.2,12.9,0,0,0.0,59.0,0,18,0.0,0,0,94.3,6,108,19.9,118,1,11,8,0,57,36,0.6,9.5,0,5,9.3,72.2,93.1,14.4,10.4,2,4,11.1,75.6,0,21,9.1,4,3,82.9,26,389,71.8,418,10,35,36,0,178,108,0.5,6.8
Tom Johnson,3378,DI,MIN,13,1,0,18,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,66,0,1,0,0,0,0,,,0,0,,,0.6,,,0,0,,74.2,0,,0.0,0,0,0.0,0,1,100.0,158,5,3,0,0,0,0,0.0,
Tramon Williams,3558,S,GB,15,589,0,12,2,13.0,50.0,99.6,19.8,9.9,0,3,13.6,57.3,0,30,9.1,1,1,113.3,11,235,39.9,236,0,8,22,3,158,36,0.7,14.4,0,3,9.1,76.0,95.9,16.1,12.2,0,0,0.0,63.5,0,55,7.7,2,0,143.5,19,324,55.0,338,8,21,25,4,231,127,0.8,12.2
