player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,8,0,3,2,66.7,2,2,100.0,14,57.9,0,0,,23,21,91.3,0,6,5,83.3,16,14,87.5,5,5,100.0
Phil Dawson,422,K,ARZ,6,0,1,0,0.0,2,1,50.0,1,51.6,0,0,,12,12,100.0,0,1,1,100.0,6,4,66.7,2,2,100.0
Sebastian Janikowski,595,K,SEA,7,0,4,3,75.0,4,3,75.0,29,65.2,0,0,,21,21,100.0,0,2,1,50.0,11,8,72.7,1,1,100.0
Matt Bryant,1223,K,ATL,6,0,3,3,100.0,3,3,100.0,2,78.9,0,0,,17,16,94.1,0,1,1,100.0,9,9,100.0,2,2,100.0
Mike Nugent,2264,K,OAK,3,0,1,1,100.0,2,2,100.0,23,65.8,0,0,,5,4,80.0,0,0,0,,6,6,100.0,3,3,100.0
Robbie Gould,2607,K,SF,8,0,1,1,100.0,7,6,85.7,28,66.9,0,0,,14,13,92.9,0,5,5,100.0,17,16,94.1,4,4,100.0
Stephen Gostkowski,3063,K,NE,8,0,3,1,33.3,4,4,100.0,19,75.3,0,0,,26,26,100.0,0,5,5,100.0,19,17,89.5,7,7,100.0
Matt Prater,3471,K,DET,7,0,3,1,33.3,2,1,50.0,11,56.4,0,0,,18,18,100.0,0,6,6,100.0,16,13,81.3,5,5,100.0
Mason Crosby,3809,K,GB,7,0,6,4,66.7,8,6,75.0,12,44.8,0,0,,16,14,87.5,0,6,5,83.3,22,17,77.3,2,2,100.0
Stephen Hauschka,4655,K,BUF,7,0,4,3,75.0,5,5,100.0,4,80.6,0,0,,7,7,100.0,0,3,3,100.0,13,12,92.3,1,1,100.0
Ryan Succop,5180,K,TEN,6,0,4,3,75.0,4,3,75.0,31,77.0,0,0,,7,7,100.0,0,6,6,100.0,17,15,88.2,3,3,100.0
Graham Gano,5443,K,CAR,7,0,3,3,100.0,4,4,100.0,5,80.9,0,0,,17,15,88.2,0,3,3,100.0,11,11,100.0,1,1,100.0
Dan Bailey,6796,K,MIN,5,0,1,1,100.0,5,3,60.0,18,49.6,0,0,,14,13,92.9,0,4,4,100.0,14,11,78.6,4,3,75.0
Randy Bullock,7154,K,CIN,8,0,2,1,50.0,3,3,100.0,7,70.7,0,0,,27,26,96.3,0,4,3,75.0,11,9,81.8,2,2,100.0
