player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,CAR,15,0,9.0,50.0,3.0,10.0,5.0,1,0,1,50.0,5,71.0,73.7,63.3,65.6,70.9,79.5,0,18,0.0,0,1,2,81.3,1,10,334,5,1,2,0,18,11,1.8,18.0
Terrell Suggs,1326,ED,BLT,15,1,4.1,62.5,13.9,12.2,7.6,1,1,0,0.0,3,58.2,71.6,45.3,73.6,66.8,49.4,0,31,66.7,4,0,4,91.7,5,66,475,7,1,8,0,72,59,1.2,14.4
Mike Adams,1972,S,CAR,15,6,12.4,79.4,94.7,19.5,15.5,0,1,2,5.9,5,41.7,49.1,65.8,68.3,62.7,81.9,3,75,5.6,2,2,1,121.6,27,557,588,4,28,34,5,446,155,0.8,16.5
Adam Jones,2223,CB,DEN,6,1,7.7,66.7,100.0,9.5,6.3,0,0,2,13.3,10,62.8,64.2,81.3,,68.0,44.0,1,30,27.3,3,2,1,54.9,10,102,102,1,7,15,0,90,62,0.9,9.0
Thomas Davis Sr.,2231,LB,CAR,11,3,4.7,75.6,83.5,8.9,6.7,0,0,5,11.1,5,77.6,77.2,85.7,76.2,64.8,65.1,0,28,8.6,3,5,0,108.7,34,318,381,13,29,45,2,311,201,1.0,9.1
Derrick Johnson,2232,LB,OAK,6,0,8.7,100.0,88.1,27.0,27.0,0,0,0,0.0,23,68.6,65.2,79.6,46.7,60.1,42.6,0,11,22.2,2,0,0,106.9,3,89,101,4,7,3,0,29,3,0.4,9.7
Darren Sproles,2347,HB,PHI,1,0,,,100.0,,,0,0,0,,24,,60.0,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Lorenzo Alexander,2476,LB,BUF,15,3,2.4,76.9,32.2,5.3,4.0,0,1,3,11.5,4,80.8,87.4,87.9,71.6,82.1,89.4,2,22,4.8,1,3,0,57.2,20,108,335,11,17,26,0,144,117,1.4,7.2
Haloti Ngata,2957,DI,PHI,12,0,,,0.5,,,0,0,0,,24,59.7,64.3,84.7,52.8,69.4,42.4,0,,,0,0,0,0.0,0,1,204,1,0,0,0,0,0,0.0,
Johnathan Joseph,2969,CB,HST,14,4,10.8,56.0,99.8,10.7,6.0,0,1,6,7.1,13,80.7,80.4,87.3,59.1,68.8,32.9,2,48,16.7,10,6,1,76.0,47,530,531,16,46,84,2,591,178,1.2,12.6
Frostee Rucker,3036,ED,OAK,14,0,26.0,0.0,2.6,,5.0,0,0,0,0.0,23,61.9,59.3,90.1,49.1,62.4,30.1,0,,0.0,0,0,0,39.6,0,6,227,0,2,1,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,15,1,,,1.0,,,0,0,0,,4,62.7,71.0,63.5,66.3,69.0,54.4,0,,20.0,1,0,2,0.0,0,4,393,7,3,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,15,6,8.1,74.5,93.0,14.6,10.9,0,2,4,8.5,1,72.7,62.8,35.9,59.5,50.3,61.5,0,21,8.5,5,3,4,99.8,35,542,583,12,48,47,2,242,147,0.5,6.9
Tom Johnson,3378,DI,MIN,13,0,,,0.4,,,0,0,0,,18,73.3,61.5,66.5,61.8,53.1,76.2,0,,0.0,0,0,1,0.0,0,1,236,6,4,0,0,0,0,0.0,
Tramon Williams,3558,S,GB,15,5,10.3,62.7,97.5,17.2,10.8,0,0,4,7.8,12,61.5,62.2,88.6,50.3,62.2,65.2,0,55,7.9,3,2,1,125.6,32,589,604,9,30,51,8,387,166,0.7,12.1
Brent Grimes,3589,CB,TB,12,1,11.8,72.7,100.0,12.0,8.7,1,1,2,4.5,30,58.3,58.6,86.2,,56.1,69.4,0,43,7.1,2,2,3,117.7,32,403,403,4,25,44,2,421,128,1.1,13.2
Leon Hall,3634,CB,OAK,10,1,5.9,88.0,94.1,8.9,7.8,0,0,2,8.0,23,57.1,63.3,83.1,57.8,83.4,62.8,0,59,17.6,3,2,0,118.8,22,209,222,7,13,25,0,333,224,1.7,15.1
Reggie Nelson,3637,S,OAK,11,0,16.5,58.3,93.4,28.1,16.4,0,0,0,0.0,23,63.4,63.2,83.3,55.4,60.4,55.5,2,49,14.3,2,0,0,95.1,7,214,229,1,12,12,2,128,31,0.6,18.3
Eric Weddle,3653,S,BLT,15,3,8.8,58.6,95.6,33.0,19.3,1,0,3,10.3,3,78.4,80.7,89.4,77.7,78.0,82.3,0,22,8.6,3,3,1,67.0,17,604,632,7,29,29,0,112,42,0.2,6.6
Brandon Mebane,3701,DI,LAC,11,0,,,5.3,,,0,0,0,,27,62.6,62.1,54.3,59.7,62.7,64.8,0,,0.0,0,0,2,0.0,0,10,190,1,2,0,0,0,0,0.0,
Corey Graham,3784,S,PHI,12,3,12.4,70.6,96.8,33.2,23.4,0,1,3,17.6,24,60.2,62.8,84.6,56.9,68.4,76.2,1,27,6.7,2,2,2,78.1,12,419,433,6,25,17,1,90,33,0.2,7.5
Chris Long,4316,ED,PHI,15,1,0.0,100.0,1.4,6.0,6.0,0,0,0,0.0,24,51.6,74.3,77.2,71.5,67.2,49.7,0,2,55.6,5,0,1,79.2,1,6,431,8,3,1,0,2,2,0.3,2.0
Dominique Rodgers-Cromartie,4330,CB,OAK,5,1,14.0,60.0,100.0,11.0,6.6,0,0,2,20.0,23,75.1,67.0,80.2,,39.2,29.3,0,15,28.6,2,2,1,69.6,6,72,72,2,4,10,0,42,25,0.6,7.0
Aqib Talib,4334,CB,LA,7,1,12.4,62.1,100.0,10.7,6.6,1,1,4,13.8,26,78.4,77.9,83.1,,67.3,85.2,1,50,0.0,0,3,1,77.9,18,201,201,2,15,29,0,268,95,1.4,14.9
Calais Campbell,4364,ED,JAX,15,1,-5.0,100.0,0.4,2.0,2.0,0,0,0,0.0,15,74.8,90.7,63.3,70.0,93.2,65.2,0,4,28.6,2,0,4,83.3,1,2,469,12,4,1,0,4,9,2.0,4.0
Brandon Carr,4454,CB,BLT,15,3,12.6,54.1,97.5,12.6,6.8,1,0,13,17.6,3,71.7,70.6,63.0,54.6,64.6,72.7,2,51,7.5,3,9,5,66.0,40,543,557,10,34,74,0,536,230,1.1,13.4
Orlando Scandrick,4457,CB,KC,14,1,12.2,52.2,100.0,11.3,5.9,3,2,16,17.4,16,69.8,69.6,35.3,,72.1,52.4,1,32,15.6,7,12,11,80.6,48,590,590,14,37,92,5,473,132,0.9,9.9
Wesley Woodyard,4583,LB,TEN,13,5,5.2,69.2,85.8,12.5,8.6,0,0,2,5.1,31,70.6,71.6,86.1,60.1,68.3,80.9,0,44,5.7,2,1,0,91.4,27,357,416,16,28,39,0,296,176,0.9,11.0
Cameron Wake,4907,ED,MIA,13,1,,,1.3,,,0,0,0,,17,63.7,84.2,64.9,83.6,69.5,68.9,0,,33.3,1,0,2,0.0,0,4,299,7,1,0,0,0,0,0.0,
Brian Orakpo,4936,ED,TEN,13,1,5.1,80.0,15.4,6.4,5.1,0,0,0,0.0,31,77.7,68.2,89.3,63.4,58.0,29.0,0,20,23.1,3,0,0,95.4,8,56,363,6,9,10,0,69,37,1.4,8.6
Malcolm Jenkins,4937,S,PHI,15,5,7.6,77.4,92.2,12.8,9.9,0,0,4,6.5,24,81.4,77.9,86.4,58.9,67.9,63.0,1,75,13.6,9,4,1,108.3,48,641,695,19,52,62,3,481,262,0.8,10.0
Vontae Davis,4948,CB,BUF,1,0,18.0,100.0,100.0,17.0,17.0,0,0,0,0.0,4,62.3,59.4,74.7,,51.3,72.8,0,10,0.0,0,0,0,147.9,1,17,17,1,1,1,1,10,0,0.6,10.0
Clay Matthews,4949,ED,GB,15,2,1.8,100.0,17.6,7.8,7.8,0,0,0,0.0,12,63.5,67.6,75.4,63.6,66.5,39.6,0,34,9.1,1,0,3,116.2,9,75,426,10,8,9,0,107,91,1.5,11.9
Patrick Chung,4957,S,NE,14,1,7.7,69.2,92.8,11.1,7.7,0,0,2,3.1,19,72.4,68.1,66.7,57.0,58.6,81.2,1,29,6.0,3,2,3,99.8,45,527,568,17,46,65,4,405,213,0.8,9.0
Connor Barwin,4969,ED,NYG,14,0,4.0,0.0,4.1,,6.0,0,1,0,0.0,21,74.0,49.0,88.1,56.4,35.4,57.7,0,,0.0,0,0,0,39.6,0,7,170,2,1,1,0,0,0,0.0,
Mike Mitchell,4970,S,IND,7,0,5.3,90.9,97.8,12.9,11.7,0,0,0,0.0,14,71.7,75.6,82.9,56.7,71.5,60.1,1,18,16.7,3,0,0,58.0,10,133,136,6,15,11,0,77,42,0.6,7.7
Michael Johnson,4993,ED,CIN,14,0,,,0.5,,,0,0,0,,7,62.4,56.6,75.7,48.2,62.7,33.5,1,,0.0,0,0,1,0.0,0,1,219,1,2,0,0,0,0,0.0,
Glover Quin,5035,S,DET,15,3,9.9,71.4,98.5,21.4,15.3,1,1,3,10.7,11,61.5,64.7,59.0,61.8,70.3,60.8,0,42,5.7,2,2,2,115.8,20,456,463,3,30,28,1,284,104,0.7,14.2
Jason McCourty,5127,CB,NE,15,2,13.0,58.4,99.1,10.2,5.9,1,2,10,11.2,19,78.8,78.3,87.6,51.5,68.5,79.0,1,67,7.1,4,9,1,95.3,52,549,554,14,50,89,4,731,266,1.4,14.1
Captain Munnerlyn,5140,CB,CAR,15,6,7.5,70.4,91.6,7.7,5.4,2,1,6,8.5,5,57.5,59.3,56.9,65.4,64.9,76.2,1,43,7.5,3,6,4,88.9,50,405,442,14,31,71,1,499,255,1.3,10.0
