player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ramon Foster,5229,G,PIT,2,100.0,0,25,64.2,70.4,58.0,0,4,110,100.0,100.0,97.3,0,5,1,166,0,166,0,166,121,121,0,0,45,0
Alejandro Villanueva,9091,T,PIT,2,100.0,1,25,63.9,71.2,54.3,0,2,110,100.0,100.0,99.1,2,2,0,166,0,0,166,166,121,121,0,0,45,0
Marcus Gilbert,6215,T,PIT,2,100.0,0,25,65.6,71.4,59.0,0,5,110,100.0,100.0,96.8,2,6,1,166,0,0,0,166,121,121,0,166,45,0
Maurkice Pouncey,5543,C,PIT,2,100.0,0,25,51.1,36.1,57.1,0,6,110,100.0,100.0,96.4,1,7,1,166,166,0,0,166,121,121,0,0,45,0
Matt Skura,11102,C,BLT,2,100.0,0,3,64.9,77.3,61.9,0,2,99,100.0,100.0,99.0,1,2,0,165,165,0,0,165,109,109,0,0,56,0
Alex Lewis,10764,G,BLT,2,100.0,0,3,53.8,57.6,50.2,1,4,99,100.0,100.0,96.5,1,6,1,165,0,164,1,165,109,109,0,0,56,0
Ronnie Stanley,10640,T,BLT,2,100.0,0,3,60.9,74.6,47.9,1,4,89,100.0,100.0,97.2,1,5,0,153,0,0,151,153,97,97,0,0,56,2
Shawn Lauvao,5616,G,WAS,2,100.0,0,32,54.1,51.0,58.4,2,5,86,100.0,100.0,94.8,1,8,1,153,0,153,0,153,93,93,0,0,60,0
Morgan Moses,8701,T,WAS,2,100.0,0,32,70.2,64.3,70.9,3,0,86,100.0,100.0,97.1,1,4,1,153,0,0,0,153,93,93,0,153,60,0
Chase Roullier,11954,C,WAS,2,100.0,1,32,62.7,77.2,55.7,1,2,86,100.0,100.0,98.3,1,3,0,153,149,0,0,153,93,93,4,0,60,0
Lane Johnson,7786,T,PHI,2,100.0,1,24,75.2,71.5,74.1,1,8,88,100.0,100.0,93.7,1,10,1,151,0,0,4,151,98,98,0,147,53,0
Chris Hubbard,8051,T,CLV,2,100.0,0,8,55.8,67.1,42.7,0,3,88,100.0,100.0,96.0,0,5,2,151,0,0,0,151,95,95,0,151,56,0
Kevin Zeitler,7032,G,CLV,2,100.0,1,8,67.2,87.2,56.5,0,1,88,100.0,100.0,99.4,1,1,0,151,0,0,0,151,95,95,151,0,56,0
Joel Bitonio,8670,G,CLV,2,100.0,0,8,72.1,86.1,66.8,0,1,88,100.0,100.0,99.4,1,1,0,151,0,151,0,151,95,95,0,0,56,0
Desmond Harrison,15466,T,CLV,2,100.0,1,8,51.8,69.0,47.7,0,7,88,100.0,100.0,94.9,3,8,1,151,0,0,151,151,95,95,0,0,56,0
Trent Williams,5529,T,WAS,2,100.0,0,32,74.9,85.7,80.5,1,2,85,100.0,100.0,98.2,4,3,0,151,0,0,150,151,92,92,0,0,59,1
J.C. Tretter,7904,C,CLV,2,100.0,0,8,72.7,77.6,69.0,0,2,88,100.0,100.0,97.7,0,3,1,151,151,0,0,151,95,95,0,0,56,0
Brandon Brooks,7078,G,PHI,2,100.0,0,24,85.9,83.4,81.5,0,2,88,100.0,100.0,98.9,0,2,0,151,0,0,0,151,98,98,151,0,53,0
Stefen Wisniewski,6200,G,PHI,2,100.0,0,24,61.3,69.9,59.6,0,3,88,100.0,100.0,98.3,1,3,0,151,0,151,0,151,98,98,0,0,53,0
Jason Kelce,6343,C,PHI,2,100.0,0,24,86.0,86.1,83.2,0,0,88,100.0,100.0,100.0,1,0,0,150,150,0,0,150,98,98,0,0,52,0
Brandon Scherff,9438,G,WAS,2,100.0,0,32,79.0,89.7,69.9,1,0,84,100.0,100.0,99.4,0,1,0,149,0,0,0,149,91,91,149,0,58,0
Rick Wagner,7950,T,DET,2,100.0,0,11,78.7,74.2,80.0,0,2,109,100.0,100.0,98.2,0,3,1,147,0,0,0,147,114,114,0,147,33,0
Graham Glasgow,10729,C,DET,2,100.0,0,11,58.1,69.2,49.3,0,4,109,100.0,100.0,98.2,0,4,0,147,147,0,0,147,114,114,0,0,33,0
Frank Ragnow,39137,G,DET,2,100.0,0,11,43.1,21.1,58.7,4,8,109,100.0,100.0,93.6,1,13,1,147,0,147,0,147,114,114,0,0,33,0
Taylor Decker,10650,T,DET,2,100.0,1,11,63.2,79.9,36.9,1,3,109,100.0,100.0,98.2,3,4,0,147,0,0,147,147,114,114,0,0,33,0
Brett Jones,10247,C,MIN,2,100.0,0,18,51.2,70.6,46.4,1,2,95,100.0,100.0,98.4,1,3,0,144,144,0,0,144,97,97,0,0,47,0
Tom Compton,7181,G,MIN,2,100.0,0,18,77.5,74.7,74.4,0,3,95,100.0,100.0,97.4,0,4,1,144,0,144,0,144,97,97,0,0,47,0
Riley Reiff,7029,T,MIN,2,100.0,0,18,78.1,84.6,71.9,0,4,95,100.0,100.0,97.9,2,4,0,144,0,0,142,144,97,97,0,0,47,2
Mike Remmers,7431,G,MIN,2,100.0,0,18,65.7,75.8,57.7,0,4,95,100.0,100.0,95.8,0,6,2,144,0,0,0,144,97,97,144,0,47,0
Joe Haeg,10789,T,IND,2,100.0,0,14,69.8,66.3,68.3,2,7,89,100.0,100.0,93.8,0,10,1,143,0,0,81,143,94,94,0,61,49,1
Ryan Kelly,10652,C,IND,2,100.0,0,14,73.1,66.3,76.3,2,0,89,100.0,100.0,98.9,0,2,0,143,143,0,0,143,94,94,0,0,49,0
Quenton Nelson,12954,G,IND,2,100.0,0,14,63.4,76.4,54.8,0,3,89,100.0,100.0,98.3,1,3,0,143,0,143,0,143,94,94,0,0,49,0
Matt Slauson,5117,G,IND,2,100.0,0,14,64.0,79.6,53.5,1,1,89,100.0,100.0,98.9,0,2,0,143,0,0,0,143,94,94,143,0,49,0
