player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Adam Thielen,8288,WR,MIN,3,9.1,1,72.7,33.3,2,6,0,5.9,2,17,18,0,78.5,76.8,79.0,65.1,76.9,0.0,0,0,34,0.6,1,156,0,32,97.4,152,68.6,107,102.3,44,1,31.4,49,338,122,3.8,10.6,2.22
Antonio Brown,5718,WR,PIT,3,11.0,8,58.5,16.7,1,6,0,4.0,1,12,25,0,74.4,76.0,69.4,,69.3,0.0,0,2,27,0.0,0,161,1,24,91.9,148,14.3,23,68.1,41,2,85.7,138,210,116,4.8,8.8,1.42
Michael Thomas,10681,WR,NO,3,7.2,5,95.0,80.0,4,5,0,2.6,1,19,20,2,81.3,22.1,85.9,,85.5,0.0,0,0,35,0.0,0,139,1,38,93.5,130,31.7,44,133.1,40,3,68.3,95,398,144,3.8,10.5,3.06
Alvin Kamara,11822,HB,NO,3,2.5,10,81.1,33.3,1,3,0,0.0,0,12,20,0,78.5,84.2,74.0,73.5,88.7,0.0,0,0,35,7.4,9,121,0,30,88.4,107,16.5,20,108.2,37,1,18.2,22,289,230,7.7,9.6,2.7
JuJu Smith-Schuster,11817,WR,PIT,3,6.9,1,75.0,20.0,1,5,0,0.0,0,19,25,0,86.5,75.9,81.2,,80.1,0.0,0,1,67,0.0,0,157,0,27,92.4,145,87.3,137,103.5,36,1,12.7,20,356,197,7.3,13.2,2.46
Zach Ertz,7816,TE,PHI,3,7.2,0,63.6,14.3,1,7,0,12.5,3,8,24,0,47.8,74.6,58.3,77.9,59.3,26.9,39,1,34,6.2,9,145,1,21,84.1,122,53.8,78,69.6,33,0,19.3,28,215,69,3.3,10.2,1.76
Odell Beckham Jr.,8647,WR,NYG,3,11.0,8,72.7,0.0,0,1,0,0.0,0,13,21,0,85.7,76.7,80.9,,81.4,0.8,1,0,30,0.0,0,131,0,24,93.1,122,32.8,43,96.9,33,0,66.4,87,271,98,4.1,11.3,2.22
Jarvis Landry,8698,WR,CLV,3,11.8,2,62.5,25.0,1,4,1,9.1,2,10,8,0,58.1,76.4,73.8,38.5,73.2,0.0,0,0,39,0.8,1,133,2,20,94.0,125,74.4,99,90.4,32,0,25.6,34,278,73,3.7,13.9,2.22
DeAndre Hopkins,7808,WR,HST,3,14.6,0,64.5,50.0,5,10,0,0.0,0,13,13,0,85.3,75.6,82.9,,82.3,0.0,0,1,31,0.0,0,143,0,20,90.9,130,21.7,31,90.0,31,1,78.3,112,274,53,2.7,13.7,2.11
Julio Jones,6158,WR,ATL,3,17.0,1,64.5,37.5,3,8,0,4.8,1,14,2,0,70.5,74.8,84.4,,83.0,0.0,0,2,58,0.0,0,118,0,20,92.4,109,17.8,21,73.2,31,0,82.2,97,329,69,3.5,16.5,3.02
Mike Evans,8642,WR,TB,3,16.0,2,76.7,100.0,6,6,0,4.2,1,17,30,1,72.8,25.3,91.2,,90.8,0.0,0,1,51,0.0,0,110,0,23,94.5,104,16.4,18,136.4,30,3,83.6,92,367,71,3.1,16.0,3.53
Golden Tate,5585,WR,DET,3,6.8,6,66.7,33.3,1,3,0,16.7,4,11,11,0,37.1,75.0,63.9,,63.5,0.7,1,0,67,0.0,0,134,0,20,97.0,130,71.6,96,104.4,30,1,26.9,36,257,131,6.6,12.9,1.98
T.Y. Hilton,7092,WR,IND,3,7.9,1,58.6,33.3,3,9,1,5.6,1,8,14,0,68.7,74.6,61.0,,60.5,0.0,0,2,29,0.0,0,139,2,17,94.2,131,25.9,36,70.9,29,2,74.1,103,179,76,4.5,10.5,1.37
Allen Robinson II,8696,WR,CHI,3,11.9,1,60.7,66.7,4,6,0,0.0,0,11,6,0,82.2,73.6,70.4,,72.9,0.8,1,2,39,0.0,0,126,0,17,93.7,118,31.7,40,51.8,28,0,67.5,85,194,40,2.4,11.4,1.64
Davante Adams,8688,WR,GB,3,8.4,1,74.1,33.3,1,3,0,13.0,3,11,12,0,48.2,74.6,69.4,,68.8,0.0,0,0,51,0.0,0,148,1,20,92.6,137,12.8,19,132.3,27,3,87.2,129,204,81,4.1,10.2,1.49
Robert Woods,7822,WR,LA,3,13.5,0,70.4,50.0,1,2,0,0.0,0,13,26,0,83.2,75.6,80.7,72.1,82.7,0.0,0,0,22,2.7,3,112,3,19,89.3,100,32.1,36,119.7,27,2,67.9,76,222,57,3.0,11.7,2.22
Kenny Golladay,11851,WR,DET,3,10.1,2,70.4,60.0,3,5,0,0.0,0,15,11,0,83.6,74.4,78.0,,78.5,2.0,3,1,30,0.0,0,148,0,19,95.3,141,26.4,39,109.5,27,2,71.6,106,256,87,4.6,13.5,1.82
Quincy Enunwa,8843,WR,NYJ,3,8.0,4,65.4,0.0,0,2,0,5.6,1,14,22,1,68.0,23.2,83.8,66.2,82.5,0.0,0,1,21,1.1,1,93,0,17,96.8,90,72.0,67,87.3,26,1,26.9,25,212,147,8.6,12.5,2.36
Michael Crabtree,4933,WR,BLT,3,9.7,0,57.7,33.3,1,3,0,16.7,3,8,3,0,38.1,73.0,60.6,,60.1,0.0,0,1,20,0.0,0,141,0,15,92.9,131,12.8,18,71.8,26,1,87.2,123,155,28,1.9,10.3,1.18
Demaryius Thomas,5547,WR,DEN,3,9.1,2,61.5,28.6,2,7,1,20.0,4,8,10,0,30.2,73.6,68.1,,66.6,0.0,0,1,23,0.0,0,105,2,16,91.4,96,41.9,44,73.2,26,1,58.1,61,144,62,3.9,9.0,1.5
