player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Antonio Brown,5718,WR,PIT,5,10.9,10,53.8,18.2,2,11,0,2.8,1,20,25,0,80.5,77.8,73.9,,73.4,0.0,0,4,47,0.0,0,241,1,35,93.4,225,17.8,43,70.9,65,5,82.2,198,373,175,5.0,10.7,1.66
Adam Thielen,8288,WR,MIN,5,9.7,2,72.3,25.0,2,8,0,6.0,3,31,18,0,78.1,79.6,87.4,67.5,86.8,0.8,2,0,68,0.8,2,255,0,47,96.9,247,60.4,154,115.5,65,3,38.8,99,589,198,4.2,12.5,2.38
DeAndre Hopkins,7808,WR,HST,5,14.1,6,68.4,62.5,10,16,0,0.0,0,29,13,1,90.2,32.3,89.6,,89.0,0.0,0,3,49,0.0,0,252,0,39,92.9,234,19.8,50,92.3,57,2,80.2,202,594,150,3.8,15.2,2.54
Zach Ertz,7816,TE,PHI,5,7.1,0,71.9,20.0,2,10,0,8.9,4,21,24,0,58.4,78.1,67.5,74.4,68.8,26.7,65,1,34,6.6,16,243,1,41,86.4,210,54.3,132,92.5,57,1,18.9,46,437,165,4.0,10.7,2.08
Odell Beckham Jr.,8647,WR,NYG,5,11.2,13,69.6,25.0,1,4,0,2.5,1,23,21,0,82.6,80.8,86.1,,85.8,0.5,1,1,33,0.0,0,215,0,39,93.5,201,31.2,67,93.0,56,1,68.4,147,462,153,3.9,11.8,2.3
Julio Jones,6158,WR,ATL,5,15.4,2,65.4,54.5,6,11,0,5.6,2,26,2,0,70.1,77.4,83.8,,82.6,0.0,0,2,58,0.0,0,197,0,34,93.9,185,19.8,39,85.7,52,0,80.2,158,564,133,3.9,16.6,3.05
Davante Adams,8688,WR,GB,5,9.7,3,72.5,25.0,1,4,0,9.8,4,19,12,0,56.4,77.7,75.6,,74.5,0.0,0,0,51,0.0,0,251,1,37,93.6,235,17.5,44,123.4,51,4,82.5,207,425,175,4.7,11.5,1.81
Stefon Diggs,9579,WR,MIN,5,10.6,8,74.0,62.5,5,8,0,0.0,0,17,18,0,90.0,78.4,79.0,66.3,79.1,0.9,2,0,75,0.4,1,234,2,37,97.0,227,22.6,53,117.3,50,3,76.1,178,402,201,5.4,10.9,1.77
JuJu Smith-Schuster,11817,WR,PIT,5,8.6,1,70.0,22.2,2,9,0,2.8,1,22,25,0,79.9,77.3,74.2,,74.3,0.0,0,1,67,0.0,0,236,2,35,93.2,220,82.6,195,102.9,50,2,17.4,41,450,216,6.2,12.9,2.05
Michael Thomas,10681,WR,NO,5,7.4,7,93.9,77.8,7,9,0,2.1,1,27,20,2,85.0,23.7,86.3,,87.7,0.0,0,0,35,0.0,0,207,2,46,93.2,193,29.0,60,131.2,49,3,71.0,147,519,200,4.3,11.3,2.69
