player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Andrew Luck,7007,QB,IND,1,-37.08,0,56,14,80.0,45,48,6.3,2.56,1,4,7.8,70.8,34,17,5.6,51,91.1,2,16,,80.9,82.3,79.6,79.6,,63.9,1,1,55,11.8,93.5,3.9,2,1,0,1,2,4,7.3,313,6.5,84.8,46,48,5.3,2.36,1,3,6.0,77.1,37,13,5.1,50,89.3,2,16,,80.6,81.7,79.5,79.0,,63.9,1,1,53,7.7,97.8,2.0,1,1,0,0,2,3,5.7,303,6.3,50.0,4,5,4.3,3.27,0,1,16.7,40.0,2,4,0.0,6,10.7,0,1,,69.6,70.2,71.1,69.3,,,0,0,7,25.0,48.8,16.7,1,0,0,1,0,1,14.3,16,3.2,0,100.0,5,5,-4.6,1.46,0,0,0.0,100.0,5,0,0.0,5,8.9,0,1,,68.0,65.5,69.9,64.9,,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,6,1.2,-3.11
Tyrod Taylor,6332,QB,CLV,1,14.71,0,54,8,46.7,30,34,14.4,3.23,1,1,2.6,35.3,12,22,14.3,48,88.9,2,8,,80.7,52.2,80.0,44.1,,78.0,0,1,52,31.8,51.2,14.6,7,7,1,2,1,2,3.8,181,5.3,44.8,29,34,11.6,2.94,2,1,2.7,35.3,12,18,7.7,43,79.6,1,8,,79.9,55.8,79.7,45.4,,88.9,0,1,46,27.8,50.6,11.6,5,4,1,2,1,1,2.2,176,5.2,66.7,6,6,12.5,3.76,0,0,0.0,50.0,3,6,25.0,11,20.4,1,1,,72.4,42.2,72.9,45.7,,52.3,0,0,12,33.3,58.3,18.2,2,3,0,0,0,1,8.3,21,3.5,0,60.0,5,6,-4.2,2.15,1,0,0.0,50.0,3,2,0.0,6,11.1,0,1,,68.9,49.1,70.6,49.9,,,0,0,6,0.0,56.3,0.0,0,0,0,0,0,0,0.0,16,2.7,-1.68
Philip Rivers,1725,QB,LAC,1,-11.04,0,52,27,76.7,43,45,12.1,2.38,0,3,5.9,64.4,29,14,12.1,46,88.5,4,22,,80.8,75.2,79.6,74.5,,58.3,0,1,53,7.1,105.7,2.2,1,0,0,2,3,2,3.8,399,8.9,78.0,41,44,10.1,2.23,0,2,4.3,68.2,30,12,6.3,45,86.5,2,20,,80.3,67.0,79.4,66.8,,58.3,0,1,49,8.3,99.7,2.2,1,0,0,3,2,2,4.1,371,8.4,85.7,7,7,12.0,2.81,0,1,10.0,57.1,4,2,33.3,7,13.5,2,3,,71.4,90.3,72.3,88.3,,,0,0,10,0.0,120.8,0.0,0,0,0,0,1,0,0.0,53,7.6,0,100.0,5,6,-4.0,1.78,0,0,0.0,83.3,5,0,0.0,6,11.5,0,1,,68.9,62.7,70.6,62.4,,,0,0,6,,84.0,0.0,0,0,0,1,0,0,0.0,25,4.2,-0.86
Matt Ryan,4317,QB,ATL,1,-16.76,0,49,2,55.9,34,38,12.4,2.73,0,3,7.7,47.4,18,20,5.3,44,89.8,1,9,,29.6,47.2,0.0,48.2,,62.1,1,1,47,20.0,56.6,9.1,4,2,0,3,0,2,4.3,237,6.2,63.0,27,32,8.6,2.44,1,2,6.1,53.1,17,17,0.0,37,75.5,0,8,,28.2,43.6,0.0,44.3,,63.3,1,1,40,23.5,57.4,10.8,4,1,0,3,0,2,5.0,185,5.8,50.0,10,11,17.0,3.18,0,1,9.1,36.4,4,3,20.0,12,24.5,1,2,,72.4,62.2,72.9,63.5,,58.3,0,0,12,0.0,57.4,0.0,0,1,0,1,0,0,0.0,66,6.0,0,100.0,3,5,-6.7,1.66,1,0,0.0,60.0,3,0,0.0,5,10.2,0,1,,68.0,58.8,69.9,58.7,,,0,0,5,,64.6,0.0,0,0,0,1,0,0,0.0,14,2.8,0.22
Matthew Stafford,4924,QB,DET,1,-18.68,0,47,11,75.0,36,42,9.8,2.52,1,3,6.7,57.1,24,11,11.1,43,91.5,3,15,,79.9,67.6,78.6,67.4,,58.3,1,4,46,0.0,45.2,0.0,0,1,0,4,1,4,8.7,274,6.5,81.8,33,39,8.9,2.49,1,2,4.9,61.5,24,10,11.1,40,85.1,3,13,,79.3,65.6,78.4,65.7,,58.3,1,3,42,0.0,54.0,0.0,0,1,0,4,1,4,9.5,226,5.8,57.1,7,7,7.0,2.19,0,1,12.5,42.9,3,1,25.0,7,14.9,1,2,,70.3,70.1,71.5,69.2,,,0,1,8,0.0,33.9,0.0,0,0,0,0,0,0,0.0,60,8.6,0,100.0,4,4,-3.0,1.63,0,0,0.0,75.0,3,0,25.0,4,8.5,1,0,,66.9,64.5,69.2,64.0,,,0,0,4,,77.1,0.0,0,0,0,0,0,0,0.0,12,3.0,2.78
Ben Roethlisberger,1732,QB,PIT,1,7.95,0,47,25,63.3,30,31,11.2,2.56,1,3,8.8,51.6,16,12,15.8,37,78.7,3,16,,28.6,57.2,79.5,55.8,,62.2,0,3,40,33.3,42.9,10.8,4,1,0,0,0,3,7.5,278,9.0,65.6,32,33,9.2,2.35,1,4,11.1,54.5,18,10,14.3,38,80.9,3,14,,28.8,64.6,79.5,63.2,,62.2,0,2,41,30.0,61.3,7.9,3,1,0,0,1,2,4.9,229,6.9,71.4,7,8,9.9,2.27,1,0,0.0,62.5,5,2,0.0,9,19.1,0,4,,70.9,46.2,71.9,47.2,,,0,1,9,50.0,66.7,11.1,1,0,0,0,0,1,11.1,106,13.3,0,77.8,9,10,2.8,1.5,1,1,10.0,70.0,7,0,0.0,10,21.3,0,2,,71.4,69.5,72.3,68.7,,,0,0,10,,117.5,0.0,0,0,0,0,1,0,0.0,57,5.7,6.31
Drew Brees,802,QB,NO,1,-25.0,0,46,20,85.7,42,43,8.7,2.53,0,3,6.5,81.4,35,14,2.8,44,95.7,1,18,,80.0,96.0,78.9,94.8,,,0,0,47,7.1,131.1,2.3,1,0,0,1,3,0,0.0,425,9.9,87.5,40,40,7.9,2.42,0,3,7.0,85.0,34,12,2.9,41,89.1,1,16,,79.6,96.1,78.7,94.9,,,0,0,44,8.3,131.0,2.4,1,0,0,0,3,0,0.0,378,9.5,75.0,4,5,10.8,3.28,0,0,0.0,60.0,3,2,0.0,5,10.9,0,3,,68.0,73.0,69.9,71.8,,,0,0,5,0.0,102.9,0.0,0,0,0,1,0,0,0.0,61,12.2,0,100.0,2,2,-4.5,2.3,0,0,0.0,100.0,2,0,0.0,2,4.3,0,1,,63.6,62.3,66.9,62.0,,,0,0,2,,95.8,0.0,0,0,0,0,0,0,0.0,14,7.0,2.75
Mitchell Trubisky,11757,QB,CHI,1,25.0,0,43,6,67.9,28,29,8.0,3.07,0,1,3.1,62.1,18,11,5.3,37,86.0,1,7,,22.0,51.5,78.8,53.5,,51.5,0,0,40,36.4,76.7,10.8,4,4,0,1,0,3,7.5,159,5.5,66.7,27,28,7.3,2.81,0,1,3.3,60.7,17,9,5.6,34,79.1,1,6,,21.3,54.5,78.6,56.2,,52.9,0,0,36,33.3,70.8,8.8,3,3,0,1,0,2,5.6,122,4.4,100.0,6,7,1.8,3.1,0,0,0.0,85.7,6,2,0.0,9,20.9,0,2,,71.4,51.8,72.3,53.8,,58.3,0,0,10,50.0,95.8,11.1,1,1,0,1,0,1,10.0,49,7.0,0,100.0,5,6,-3.2,1.65,0,0,0.0,83.3,5,0,0.0,6,14.0,0,1,,68.9,62.9,70.6,62.6,,,0,0,6,,79.2,0.0,0,0,0,1,0,0,0.0,12,2.0,2.64
Kirk Cousins,7102,QB,MIN,1,14.81,0,43,18,66.7,30,33,9.0,2.8,0,2,6.1,51.5,17,13,15.0,40,93.0,3,15,,79.0,71.0,79.3,71.7,,56.9,0,0,40,23.1,93.8,7.5,3,4,0,3,2,1,2.5,226,6.8,66.7,24,27,6.9,2.62,0,2,7.4,51.9,14,11,12.5,34,79.1,2,10,,78.1,71.3,78.9,72.3,,56.9,0,0,34,27.3,96.8,8.8,3,4,0,3,2,1,2.9,174,6.4,77.8,9,9,9.7,3.07,0,0,0.0,66.7,6,3,14.3,9,20.9,1,6,,70.9,65.1,71.9,64.6,,,0,0,9,0.0,90.0,0.0,0,0,0,0,0,0,0.0,70,7.8,0,100.0,3,3,-5.7,1.53,0,0,0.0,100.0,3,1,0.0,3,7.0,0,1,,65.5,63.9,68.2,63.5,,,0,0,3,0.0,91.7,0.0,0,0,0,0,0,0,0.0,18,6.0,1.34
Derek Carr,8671,QB,OAK,1,28.95,0,42,23,75.8,33,36,5.8,2.34,0,1,2.6,69.4,25,12,0.0,38,90.5,0,9,,79.5,53.3,0.0,55.8,,56.0,0,3,42,8.3,56.8,2.6,1,1,0,3,0,2,4.8,273,7.6,77.1,35,38,4.8,2.22,0,0,0.0,71.1,27,11,0.0,40,95.2,0,10,,79.8,46.1,0.0,48.6,,56.0,0,3,44,9.1,58.2,2.5,1,1,0,3,0,2,4.5,272,7.2,100.0,2,2,10.5,2.4,0,1,33.3,100.0,2,1,0.0,2,4.8,0,1,,65.5,91.3,68.2,90.1,,,0,0,3,0.0,118.8,0.0,0,0,0,0,0,0,0.0,31,15.5,0,100.0,4,4,-0.3,1.15,0,0,0.0,100.0,4,0,0.0,4,9.5,0,2,,68.0,61.8,69.9,61.5,,,0,0,5,,97.9,0.0,0,0,0,0,0,0,0.0,30,7.5,8.34
