player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jalen Davis,50431,CB,MIA,2,0,17,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,8.3,1,12,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Siran Neal,27130,S,BUF,3,0,4,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,20.0,1,5,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Kevin Minter,7826,LB,TB,4,0,30,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,10.0,1,10,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Deon Bush,10758,S,CHI,6,0,6,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.5,1,66,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Kentrell Brothers,10794,LB,MIN,2,0,18,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,20.0,1,5,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Donte Jackson,49377,CB,CAR,14,0,5,0,1,0,0,0,0,50.0,1,1,100.0,1,1,0,0,0.4,2,509,2,75.0,0,0,1,0,50.0,1,1,50.0,0,0,0,1,1,0
Shalom Luani,11976,S,SEA,2,0,29,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,12.5,1,8,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Josh Keyes,9943,LB,HST,1,0,13,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,6.3,1,16,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Armani Watts,51264,S,KC,5,0,16,1,0,0,1,0,0,33.3,1,1,50.0,0,0,0,0,6.3,3,48,2,50.0,0,0,0,0,66.7,2,1,50.0,1,1,0,1,1,0
Stephon Gilmore,7016,CB,NE,15,0,19,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,0.3,2,612,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
