player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Marcedes Lewis,2973,TE,GB,13,0,12,48.7,1,2,24,38.1,39.4,93.7,0,3,0,26,66,68.1,0,0,4,30.8,33.3,100.0,0,0,5,15
Nick Vannett,10728,TE,SEA,12,0,29,34.5,0,4,23,11.0,11.5,87.0,1,5,1,26,227,18.2,0,0,2,2.3,2.1,50.0,1,1,2,94
Nick Chubb,45783,HB,CLV,12,0,8,49.5,1,2,22,17.3,18.6,88.6,0,4,1,26,140,51.2,0,0,7,20.0,20.0,85.7,1,1,8,40
Marlon Mack,11898,HB,IND,9,0,14,46.7,0,5,22,16.1,16.8,88.6,0,5,0,25,149,46.6,0,2,8,20.0,20.5,87.5,2,0,9,44
Royce Freeman,45747,HB,DEN,11,0,10,88.2,0,0,22,22.2,22.9,100.0,0,0,0,25,109,85.1,0,0,5,18.5,19.4,100.0,0,0,6,31
Alvin Kamara,11822,HB,NO,13,0,20,76.2,0,0,23,7.5,7.7,100.0,0,0,0,25,324,78.2,0,0,9,6.6,6.8,100.0,0,0,10,147
Jake Fisher,9486,T,CIN,6,0,7,49.0,0,0,21,100.0,100.0,100.0,0,0,0,24,24,66.2,0,0,4,100.0,100.0,100.0,0,0,5,5
Josh Andrews,9068,G,IND,2,0,14,57.9,1,2,23,100.0,100.0,93.5,0,3,0,24,24,27.6,1,2,9,100.0,100.0,83.3,3,0,10,10
Ed Dickson,5595,TE,SEA,7,0,29,51.4,0,2,22,19.8,20.0,95.5,0,2,0,24,120,53.6,0,1,7,18.9,19.5,92.9,1,0,8,41
Derrick Henry,10679,HB,TEN,13,0,31,82.5,0,0,24,21.1,20.0,100.0,0,0,0,24,120,43.4,0,0,2,8.0,7.4,100.0,0,0,2,27
Chris Carson,12004,HB,SEA,11,0,29,50.6,1,1,21,16.8,17.8,95.2,0,2,0,24,135,28.1,1,1,7,24.1,26.7,85.7,2,0,8,30
Sean Culkin,12037,TE,LAC,12,0,27,81.4,0,0,23,36.5,35.8,100.0,0,0,0,24,67,73.6,0,0,3,16.7,16.7,100.0,0,0,3,18
Nyheim Hines,48103,HB,IND,13,0,14,67.5,0,1,22,6.9,7.1,97.7,1,1,0,24,336,59.5,0,1,14,8.9,9.5,96.4,1,0,16,169
Matt LaCosse,9840,TE,DEN,11,0,10,62.9,0,1,22,14.3,14.5,97.7,0,1,0,24,166,26.7,0,1,4,7.1,8.2,87.5,1,0,5,61
Jeremy Sprinkle,11909,TE,WAS,13,0,32,66.1,0,0,24,29.3,27.3,100.0,0,0,0,24,88,72.0,0,0,2,8.0,7.4,100.0,0,0,2,27
Vance McDonald,7836,TE,PIT,12,0,25,65.5,0,2,20,5.6,6.1,95.0,4,2,0,23,380,47.3,0,2,8,4.7,4.4,87.5,2,0,8,182
Scott Simonson,8954,TE,NYG,13,0,21,30.2,2,1,21,20.6,21.5,92.9,1,3,0,23,107,73.9,0,0,3,9.4,9.1,100.0,0,0,3,33
Greg Olsen,3647,TE,CAR,9,0,5,63.2,1,0,23,8.6,8.2,93.5,0,2,1,23,280,73.1,0,0,1,0.8,0.7,100.0,0,0,1,136
Jordan Leggett,11905,TE,NYJ,12,0,22,62.3,1,1,21,16.2,16.3,95.2,0,2,0,22,135,28.4,0,1,4,7.8,7.7,87.5,1,0,4,52
Doug Martin,7035,HB,OAK,13,0,23,86.6,1,0,18,15.5,18.0,97.2,0,1,0,22,122,85.0,1,0,7,21.2,23.5,92.9,1,0,8,34
Elijah McGuire,11943,HB,NYJ,5,0,22,58.4,0,3,22,20.2,19.3,93.2,0,3,0,22,114,55.8,0,1,8,14.3,13.8,93.7,1,0,8,58
Luke Willson,7940,TE,DET,12,0,11,68.9,0,1,20,9.6,9.4,97.5,0,1,0,21,224,,0,0,0,0.0,0.0,,0,0,0,94
Tyler Conklin,47124,TE,MIN,13,0,18,75.7,0,1,20,33.3,33.3,97.5,0,1,0,21,63,62.3,0,1,4,16.7,19.2,87.5,1,0,5,26
James O'Shaughnessy,9606,TE,JAX,11,0,15,62.3,0,1,17,7.3,8.5,91.2,0,2,1,21,247,,0,0,0,0.0,0.0,,0,0,0,138
Sony Michel,27589,HB,NE,10,0,19,63.6,0,2,18,29.0,30.3,94.4,0,2,0,20,66,,0,0,0,0.0,0.0,,0,0,0,6
Austin Seferian-Jenkins,8673,TE,JAX,5,0,15,63.2,0,2,19,13.9,14.3,94.7,0,2,0,20,140,39.2,0,1,3,5.3,6.7,83.3,1,0,4,60
Leonard Fournette,11759,HB,JAX,6,0,15,38.9,2,1,19,22.6,22.2,86.8,0,4,1,20,90,30.1,1,1,10,32.3,32.4,80.0,3,1,11,34
Andy Janovich,10810,FB,DEN,13,0,10,27.6,1,1,20,27.4,26.3,95.0,0,2,0,20,76,0.0,0,1,1,7.7,7.1,50.0,1,0,1,14
Durham Smythe,47257,TE,MIA,12,0,17,69.8,0,0,18,41.9,43.5,100.0,0,0,0,20,46,73.4,0,0,3,50.0,50.0,100.0,0,0,3,6
Jared Cook,5012,TE,OAK,13,1,23,58.7,0,1,17,4.1,4.5,91.2,2,2,1,20,449,75.3,0,0,3,1.6,2.1,100.0,0,0,4,195
Frank Gore,2282,HB,MIA,13,0,17,53.1,0,2,18,12.5,12.0,88.9,0,3,1,19,158,71.4,0,0,6,14.0,14.6,100.0,0,0,7,48
Josh Reynolds,11872,WR,LA,13,0,26,82.0,0,0,18,7.4,7.3,100.0,0,0,0,19,261,,0,0,0,0.0,0.0,,0,0,0,121
Austin Howard,5847,G,WAS,1,0,32,31.8,0,2,19,100.0,100.0,89.5,0,3,1,19,19,15.0,0,2,12,100.0,100.0,83.3,3,1,12,12
Zach Line,8420,FB,NO,12,0,20,60.1,1,1,17,24.6,26.4,94.1,0,2,0,19,72,51.0,1,0,5,22.7,26.1,90.0,1,0,6,23
LeGarrette Blount,5863,HB,DET,13,0,11,79.2,0,1,17,20.5,20.2,97.1,0,1,0,18,89,75.6,0,0,2,11.1,10.5,100.0,0,0,2,19
Ricky Seals-Jones,12020,TE,ARZ,13,0,1,83.4,1,0,15,4.4,5.0,96.7,1,1,0,18,361,73.0,0,0,3,2.0,1.9,100.0,0,0,3,160
James Develin,6142,FB,NE,13,0,19,73.9,1,1,15,16.7,17.9,93.3,0,2,0,17,95,74.4,0,0,1,5.0,4.8,100.0,0,0,1,21
Kareem Hunt,11841,HB,KC,11,0,16,69.8,0,0,15,5.6,5.9,100.0,1,0,0,17,289,60.2,0,0,3,4.3,5.1,100.0,0,0,4,79
Adrian Peterson,3623,HB,WAS,13,0,32,47.3,0,2,16,10.7,10.6,93.7,0,2,0,17,160,82.7,0,0,4,9.1,8.3,100.0,0,0,4,48
Ian Silberman,9623,T,OAK,1,0,23,65.2,0,1,17,100.0,100.0,97.1,0,1,0,17,17,54.2,0,1,7,100.0,100.0,92.9,1,0,7,7
Jack Doyle,8520,TE,IND,6,0,14,74.4,0,1,15,8.6,8.7,96.7,0,1,0,16,183,69.3,0,0,1,1.5,1.4,100.0,0,0,1,71
Tyler Kroft,9518,TE,CIN,5,0,7,39.1,0,0,14,30.4,30.8,92.9,0,1,1,16,52,,0,0,0,0.0,0.0,,0,0,0,12
Eric Saubert,11929,TE,ATL,13,0,2,74.9,0,1,13,21.0,23.2,96.2,1,1,0,16,69,66.1,0,0,1,4.5,4.3,100.0,0,0,1,23
Jimmy Graham,5619,TE,GB,13,0,12,48.7,0,0,15,3.3,3.3,93.3,1,1,1,16,485,30.4,0,0,4,1.8,2.1,75.0,1,1,5,239
Ricky Ortiz,47053,FB,ATL,10,0,2,77.6,0,1,14,27.5,27.8,96.4,0,1,0,15,54,75.8,0,0,1,12.5,22.2,100.0,0,0,2,9
Bilal Powell,6278,HB,NYJ,7,0,22,50.1,0,2,15,13.4,12.4,93.3,0,2,0,15,121,53.3,0,2,6,11.8,11.3,83.3,2,0,6,53
Malcolm Brown,9902,HB,LA,11,0,26,89.2,0,0,15,24.2,22.7,100.0,0,0,0,15,66,88.2,0,0,12,42.9,40.0,100.0,0,0,12,30
Jordan Reed,7866,TE,WAS,13,0,32,32.8,0,0,14,4.0,4.0,100.0,0,0,0,15,374,26.1,0,0,6,3.2,3.6,100.0,0,0,7,196
Wendell Smallwood,10787,HB,PHI,12,0,24,36.5,0,2,13,7.3,7.9,84.6,0,3,1,15,189,26.5,0,2,5,6.7,6.3,80.0,2,0,5,79
Kapri Bibbs,8906,HB,WAS,8,0,32,40.5,0,1,15,11.9,11.2,83.3,0,3,2,15,134,50.7,0,0,9,12.0,11.4,77.8,2,2,9,79
Elijhaa Penny,11300,FB,NYG,8,0,21,72.2,0,1,15,48.4,46.9,96.7,0,1,0,15,32,75.8,0,0,2,50.0,50.0,100.0,0,0,2,4
Wesley Johnson,8808,G,MIA,3,0,17,59.6,0,1,15,100.0,100.0,96.7,0,1,0,15,15,50.7,0,1,10,100.0,100.0,95.0,1,0,10,10
Matt Breida,12271,HB,SF,11,0,28,39.6,1,1,14,9.4,9.4,92.9,0,2,0,15,159,82.9,0,0,3,6.4,8.2,100.0,0,0,4,49
Neal Sterling,9653,TE,NYJ,5,0,22,73.8,0,1,14,18.9,18.2,96.4,0,1,0,14,77,66.8,0,1,6,20.7,20.7,91.7,1,0,6,29
Josh Adams,45662,HB,PHI,9,0,24,47.3,0,1,12,13.2,14.7,87.5,0,2,1,14,95,83.0,0,0,4,13.3,18.8,100.0,0,0,6,32
Alfred Morris,7165,HB,SF,9,0,28,57.3,0,1,14,14.7,13.9,89.3,2,2,1,14,101,39.8,0,0,5,19.2,17.9,80.0,1,1,5,28
Dalton Schultz,47304,TE,DAL,8,0,9,71.7,0,0,11,12.6,15.1,100.0,0,0,0,14,93,,0,0,0,0.0,0.0,,0,0,0,33
Damien Williams,9205,HB,KC,9,0,16,65.3,0,1,13,18.1,17.7,96.2,0,1,0,14,79,58.6,0,1,8,26.7,25.7,93.7,1,0,9,35
Evan Engram,11778,TE,NYG,8,0,21,68.6,1,0,13,5.6,5.7,96.2,1,1,0,14,246,73.4,0,0,2,1.7,1.6,100.0,0,0,2,127
Mo Alie-Cox,12078,TE,IND,6,0,14,72.9,1,0,10,26.3,31.0,95.0,0,1,0,13,42,,0,0,0,0.0,0.0,,0,0,0,11
