player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Ben Roethlisberger,1732,QB,PIT,1,1,1,2.48,9.0,27.0,18.0,0,0,0,0,25,60.0,0,27,0,0,0.0,18,0,1,2.48,9,0,27
Andy Lee,1906,P,ARZ,12,71,71,4.32,41.75,48.45,10.2,0,0,9,14,1,69.7,21,64,6,0,52.1,376,37,71,307.0,2964,5,3440
Donnie Jones,1939,,LAC,8,29,29,4.17,38.24,41.69,6.7,0,0,2,9,27,55.0,12,59,3,0,51.7,100,15,29,120.89,1109,0,1209
Dustin Colquitt,2316,P,KC,11,34,34,4.43,41.94,45.15,2.2,0,0,7,9,16,67.3,18,67,1,0,38.2,29,13,34,150.67,1426,4,1535
Sam Koch,3148,P,BLT,12,47,47,4.31,40.43,47.04,9.2,1,0,6,9,3,76.8,24,65,4,0,48.9,211,23,48,202.61,1900,5,2211
Brett Kern,4580,P,TEN,12,57,57,4.16,41.23,47.44,10.9,1,0,4,10,31,66.5,23,62,13,0,47.4,294,27,58,236.91,2350,3,2704
Kevin Huber,5066,P,CIN,12,52,52,4.17,39.77,43.73,7.9,1,0,11,16,7,51.6,23,69,2,0,40.4,166,21,53,216.89,2068,2,2274
Thomas Morstead,5088,P,NO,10,28,28,4.51,43.32,47.21,4.9,0,0,1,10,20,77.4,10,58,4,0,35.7,49,10,28,126.15,1213,3,1322
Britton Colquitt,5192,P,CLV,12,70,70,4.3,38.19,45.17,11.8,1,0,11,14,8,64.3,30,79,7,0,47.1,389,33,71,301.27,2673,5,3162
Matt Bosher,6344,P,ATL,12,40,40,4.47,40.38,44.58,7.1,2,0,4,14,2,68.5,18,57,2,0,45.0,128,18,42,178.93,1615,2,1783
Chris Jones,6798,P,DAL,12,49,49,4.48,39.57,45.0,8.4,0,0,7,11,9,70.5,12,56,2,0,55.1,226,27,49,219.6,1939,2,2205
Bryan Anger,7072,P,TB,12,42,42,4.44,39.38,44.64,7.7,0,0,5,10,30,60.9,12,64,3,0,50.0,161,21,42,186.33,1654,3,1875
Johnny Hekker,7252,P,LA,12,32,32,4.11,41.75,45.13,7.6,0,0,7,5,26,77.2,17,68,9,0,28.1,68,9,32,131.49,1336,2,1444
Marquette King,7410,P,DEN,4,20,20,3.96,39.7,44.05,8.4,0,0,4,2,10,61.3,8,66,5,0,40.0,67,8,20,79.29,794,1,881
Sam Martin,7947,P,DET,12,50,50,4.28,38.38,45.32,15.1,0,0,9,16,11,64.8,19,61,3,0,38.0,287,19,50,213.83,1919,3,2266
Caleb Sturgis,7948,K,LAC,1,1,1,2.85,24.0,24.0,,0,0,1,0,27,60.0,1,24,0,0,0.0,0,0,1,2.85,24,0,24
Colton Schmidt,8104,P,BUF,3,16,16,3.7,33.75,42.25,16.0,0,0,2,4,4,38.0,4,55,2,0,37.5,96,6,16,59.18,540,2,676
