player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Rob Havenstein,9490,T,LA,7,0,26,67.2,100.0,45,20.8,45,79.3,0,100.0,216,216,77.4,100.0,138,63.9,138
Austin Blythe,10882,G,LA,7,0,26,64.0,100.0,45,20.8,45,74.7,0,100.0,216,216,72.7,100.0,138,63.9,138
Andrew Whitworth,3000,T,LA,7,0,26,63.9,100.0,45,21.6,45,81.2,1,100.0,208,208,73.0,100.0,135,64.9,135
Joe Thuney,10712,G,NE,7,0,19,69.1,100.0,109,53.4,109,70.0,0,100.0,204,204,66.6,100.0,65,31.9,65
Shaq Mason,9564,G,NE,7,0,19,78.3,100.0,109,53.4,109,81.4,1,100.0,204,204,78.0,100.0,65,31.9,65
Trent Brown,9677,T,NE,7,1,19,76.8,100.0,109,53.4,109,69.8,2,100.0,204,204,56.6,100.0,65,31.9,65
John Sullivan,4501,C,LA,7,0,26,51.1,100.0,42,20.9,42,59.8,1,100.0,201,201,61.3,100.0,129,64.2,129
David Andrews,9948,C,NE,7,0,19,65.6,100.0,108,54.0,108,71.3,1,100.0,200,200,78.5,100.0,65,32.5,65
Matt Skura,11102,C,BLT,7,0,3,56.9,100.0,93,47.2,93,59.8,1,100.0,197,197,62.2,100.0,69,35.0,69
Ronnie Stanley,10640,T,BLT,7,0,3,63.5,100.0,93,47.2,93,64.5,0,100.0,197,197,60.3,100.0,69,35.0,69
Tyler Higbee,10744,TE,LA,7,0,26,53.5,100.0,41,20.9,41,66.4,0,100.0,196,196,71.1,100.0,125,63.8,125
Jared Goff,10635,QB,LA,7,0,26,60.0,100.0,44,22.7,44,60.0,0,94.2,194,206,60.0,100.0,132,68.0,132
Brandon Shell,10792,T,NYJ,7,0,22,67.3,100.0,66,34.2,66,66.4,0,100.0,193,193,68.4,100.0,109,56.5,109
Brian Winters,7853,G,NYJ,7,0,22,49.2,100.0,66,34.2,66,66.0,0,100.0,193,193,70.5,100.0,109,56.5,109
James Carpenter,6177,G,NYJ,7,0,22,62.8,100.0,66,34.2,66,56.9,0,100.0,193,193,51.9,100.0,109,56.5,109
