player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,3,17,17,4.28,38.82,51.12,16.9,0,0,0,4,1,68.9,5,61,1,0,58.8,169,10,17,72.72,660,2,869
Dustin Colquitt,2316,P,KC,3,9,9,4.54,49.0,49.22,0.5,0,0,2,2,16,65.5,7,67,1,0,44.4,2,4,9,40.85,441,0,443
Sam Koch,3148,P,BLT,3,12,12,4.15,44.08,51.92,9.3,1,0,1,1,3,59.9,5,63,1,0,66.7,74,8,13,49.83,529,1,623
Brett Kern,4580,P,TEN,3,15,15,4.3,44.2,48.0,4.6,0,0,1,1,31,69.6,8,62,4,0,53.3,37,8,15,64.52,663,1,720
Kevin Huber,5066,P,CIN,3,11,11,4.27,42.45,42.64,0.7,0,0,4,4,7,55.7,6,55,0,0,27.3,2,3,11,46.96,467,0,469
Thomas Morstead,5088,P,NO,3,11,11,4.49,44.18,48.82,5.2,0,0,0,3,20,69.7,4,58,1,0,54.5,31,6,11,49.38,486,1,537
Britton Colquitt,5192,P,CLV,3,23,23,4.13,35.87,39.7,8.5,0,0,4,5,8,61.0,12,57,5,0,34.8,68,8,23,95.09,825,1,913
Matt Bosher,6344,P,ATL,3,15,15,4.41,40.47,45.4,6.0,1,0,2,3,2,65.3,4,57,0,0,60.0,54,9,16,66.14,607,1,681
Chris Jones,6798,P,DAL,3,15,15,4.64,40.33,47.07,10.1,0,0,1,3,9,72.8,4,56,1,0,66.7,101,10,15,69.61,605,0,706
Bryan Anger,7072,P,TB,3,10,10,4.41,39.9,42.8,5.8,0,0,3,2,30,57.1,3,64,0,0,50.0,29,5,10,44.05,399,0,428
Johnny Hekker,7252,P,LA,3,5,5,4.48,45.4,53.6,10.5,0,0,1,0,26,72.5,3,62,1,0,40.0,21,2,5,22.4,227,1,268
Marquette King,7410,P,DEN,3,17,17,3.96,41.65,44.59,4.3,0,0,4,2,10,60.1,7,66,3,0,41.2,30,7,17,67.26,708,1,758
Sam Martin,7947,P,DET,3,10,10,4.09,30.2,45.3,30.2,0,0,1,3,11,55.8,4,55,1,0,50.0,151,5,10,40.93,302,0,453
Caleb Sturgis,7948,K,LAC,1,1,1,2.85,24.0,24.0,,0,0,1,0,27,60.0,1,24,0,0,0.0,0,0,1,2.85,24,0,24
Ryan Allen,8242,P,NE,3,15,15,4.26,42.07,48.0,9.9,0,0,4,2,19,56.2,4,59,1,0,46.7,69,7,15,63.94,631,1,720
Tress Way,8358,P,WAS,3,14,14,4.27,37.86,43.07,12.2,0,0,2,5,32,59.5,7,59,1,0,42.9,73,6,14,59.82,530,0,603
Pat O'Donnell,8826,P,CHI,3,12,12,4.58,42.25,47.08,9.5,0,0,1,6,6,72.7,6,63,0,0,33.3,38,4,12,55.0,507,1,565
Michael Palardy,9277,P,CAR,3,14,14,4.33,42.71,45.93,6.3,0,0,1,8,5,79.9,8,59,0,0,28.6,25,4,14,60.65,598,1,643
Bradley Pinion,9598,P,SF,3,13,13,4.55,40.46,42.23,2.9,0,0,0,3,28,58.2,5,59,2,0,61.5,23,8,13,59.09,526,0,549
Matt Wile,9972,P,MIN,3,15,15,4.74,41.73,46.2,5.4,1,0,3,2,18,75.4,7,70,3,0,33.3,27,5,16,71.05,626,2,693
Jordan Berry,10236,P,PIT,3,17,17,4.17,36.82,42.88,15.8,0,0,4,4,25,51.7,6,59,3,0,23.5,63,4,17,70.91,626,2,729
Drew Kaser,10813,P,LAC,3,9,9,4.34,36.22,50.56,21.8,1,0,1,1,27,62.3,4,66,1,0,55.6,109,5,10,39.04,326,1,455
Riley Dixon,10862,P,NYG,3,15,15,4.44,40.67,47.0,9.2,0,0,2,4,21,65.6,4,59,1,0,40.0,55,6,15,66.64,610,2,705
Lachlan Edwards,10869,P,NYJ,3,15,15,4.34,43.4,47.93,8.5,0,0,1,4,22,67.4,7,62,2,0,53.3,68,8,15,65.12,651,0,719
Rigoberto Sanchez,12130,P,IND,3,12,12,4.41,43.58,46.0,1.5,0,0,0,5,14,54.2,3,59,0,0,50.0,9,6,12,52.91,523,1,552
Matt Haack,12212,P,MIA,3,16,16,4.41,42.06,49.5,9.8,0,0,0,4,17,74.1,8,65,3,0,37.5,59,6,16,70.48,673,3,792
Cameron Johnston,12255,P,PHI,3,14,14,4.29,45.64,51.5,6.0,0,0,2,2,24,59.7,5,65,1,0,50.0,42,7,14,60.04,639,2,721
Johnny Townsend,22261,P,OAK,3,11,11,4.38,40.55,43.55,4.3,0,0,1,3,23,54.1,3,56,3,0,27.3,13,3,11,48.22,446,1,479
Corey Bojorquez,27626,P,BUF,3,19,19,4.08,41.47,46.26,7.1,0,0,4,2,4,54.8,10,59,2,0,52.6,71,10,19,77.55,788,1,879
Logan Cooke,29214,P,JAX,3,16,16,4.08,37.06,40.19,4.3,0,0,5,1,15,52.2,7,52,2,0,43.8,30,7,16,65.23,593,1,643
Michael Dickson,35381,P,SEA,3,21,21,4.26,44.43,48.57,8.7,0,0,3,2,29,63.5,10,69,6,0,47.6,87,10,21,89.43,933,0,1020
J.K. Scott,38809,P,GB,3,14,14,4.66,42.57,48.79,16.8,0,0,2,6,12,77.0,5,63,1,0,28.6,67,4,14,65.3,596,1,683
Trevor Daniel,38843,P,HST,3,13,13,4.15,40.08,42.23,2.0,0,0,2,5,13,62.6,6,57,1,0,30.8,8,4,13,54.01,521,1,549
