player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Desmond Harrison,15466,T,CLV,5,0,8,49.1,100.0,66,44.3,66,54.4,1,100.0,149,149,65.3,100.0,68,45.6,68
Chris Hubbard,8051,T,CLV,5,1,8,56.3,100.0,66,44.3,66,48.8,1,100.0,149,149,53.7,100.0,68,45.6,68
Kevin Zeitler,7032,G,CLV,5,0,8,63.3,100.0,66,44.3,66,60.3,0,100.0,149,149,65.7,100.0,68,45.6,68
Joel Bitonio,8670,G,CLV,5,0,8,59.9,100.0,66,44.3,66,62.6,0,100.0,149,149,65.7,100.0,68,45.6,68
J.C. Tretter,7904,C,CLV,5,0,8,74.5,100.0,66,44.3,66,75.8,0,100.0,149,149,69.1,100.0,68,45.6,68
Rob Havenstein,9490,T,LA,5,0,26,72.2,100.0,34,23.6,34,84.5,0,100.0,144,144,80.0,100.0,88,61.1,88
Austin Blythe,10882,G,LA,5,0,26,60.5,100.0,34,23.6,34,72.6,0,100.0,144,144,70.1,100.0,88,61.1,88
Rodger Saffold,5558,G,LA,5,0,26,48.5,100.0,34,23.6,34,76.3,0,100.0,144,144,76.1,100.0,88,61.1,88
J.R. Sweezy,7209,G,SEA,5,0,29,68.0,100.0,49,34.5,49,51.6,1,100.0,142,142,48.2,100.0,86,60.6,86
Germain Ifedi,10665,T,SEA,5,0,29,53.1,100.0,49,34.5,49,45.6,0,100.0,142,142,44.9,100.0,86,60.6,86
Shaq Mason,9564,G,NE,5,0,19,73.3,100.0,66,46.8,66,75.4,1,100.0,141,141,72.0,100.0,52,36.9,52
Andrew Whitworth,3000,T,LA,5,0,26,59.6,100.0,34,24.1,34,82.6,1,100.0,141,141,72.6,100.0,87,61.7,87
Trent Brown,9677,T,NE,5,1,19,72.3,100.0,66,46.8,66,69.6,2,100.0,141,141,63.1,100.0,52,36.9,52
Duane Brown,4340,T,SEA,5,0,29,67.5,100.0,49,34.8,49,61.9,0,100.0,141,141,58.4,100.0,85,60.3,85
Joe Thuney,10712,G,NE,5,0,19,72.5,100.0,66,46.8,66,73.0,0,100.0,141,141,71.6,100.0,52,36.9,52
Alex Lewis,10764,G,BLT,5,0,3,41.5,100.0,69,49.3,69,51.8,1,100.0,140,140,64.9,100.0,46,32.9,46
Ronnie Stanley,10640,T,BLT,5,0,3,61.2,100.0,69,49.3,69,64.5,0,100.0,140,140,59.7,100.0,46,32.9,46
Matt Skura,11102,C,BLT,5,0,3,56.8,100.0,69,49.3,69,58.6,0,100.0,140,140,56.8,100.0,46,32.9,46
John Sullivan,4501,C,LA,5,0,26,47.0,100.0,32,23.0,32,63.6,1,100.0,139,139,68.2,100.0,85,61.2,85
Ben Jones,7099,C,TEN,5,0,31,72.0,100.0,35,25.4,35,67.5,1,100.0,138,138,67.7,100.0,93,67.4,93
Josh Kline,8230,G,TEN,5,0,31,63.8,100.0,35,25.4,35,53.6,0,100.0,138,138,56.7,100.0,93,67.4,93
Tyler Higbee,10744,TE,LA,5,0,26,57.3,100.0,31,22.6,31,66.9,0,100.0,137,137,73.2,100.0,85,62.0,85
Russell Wilson,7077,QB,SEA,5,0,29,60.0,95.9,47,34.3,49,60.0,0,96.5,137,142,60.0,98.8,85,62.0,86
David Andrews,9948,C,NE,5,0,19,70.4,100.0,65,47.4,65,74.8,1,100.0,137,137,79.3,100.0,52,38.0,52
Quinton Spain,10110,G,TEN,5,0,31,56.3,100.0,34,25.0,34,68.6,0,100.0,136,136,71.8,100.0,92,67.6,92
Spencer Long,8713,C,NYJ,5,1,22,57.3,100.0,44,32.6,44,57.6,1,100.0,135,135,51.2,100.0,80,59.3,80
Jared Goff,10635,QB,LA,5,0,26,60.0,100.0,34,25.2,34,60.0,0,93.8,135,144,60.0,100.0,88,65.2,88
Kelvin Beachum,7229,T,NYJ,5,0,22,70.9,100.0,44,32.6,44,59.5,0,100.0,135,135,54.0,100.0,80,59.3,80
Brian Winters,7853,G,NYJ,5,0,22,44.7,100.0,44,32.6,44,63.7,0,100.0,135,135,68.0,100.0,80,59.3,80
Brandon Shell,10792,T,NYJ,5,0,22,69.3,100.0,44,32.6,44,65.6,0,100.0,135,135,66.5,100.0,80,59.3,80
James Carpenter,6177,G,NYJ,5,0,22,66.8,100.0,44,32.6,44,59.1,0,100.0,135,135,54.5,100.0,80,59.3,80
Robert Woods,7822,WR,LA,5,0,26,49.6,100.0,33,24.6,33,64.4,1,95.7,134,140,66.6,100.0,87,64.9,87
Laken Tomlinson,9461,G,SF,5,0,28,61.5,100.0,33,24.8,33,69.5,1,100.0,133,133,69.8,100.0,90,67.7,90
