player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Julius Peppers,1010,ED,CAR,14,2,1.2,1,0,5,71.0,72.6,62.0,65.2,69.3,79.0,0.0,0,2,123,128,3.3,4,6
Terrell Suggs,1326,ED,BLT,14,6,1.2,1,0,3,54.1,65.1,42.2,66.4,66.9,52.9,8.7,2,4,201,206,6.0,12,15
Mike Adams,1972,S,CAR,14,8,6.0,0,0,5,46.9,54.1,64.8,68.3,67.4,80.5,5.1,2,1,301,314,4.7,14,29
Adam Jones,2223,CB,DEN,6,0,21.5,0,0,10,62.8,64.2,81.3,,68.0,44.0,0.0,0,1,46,46,2.2,1,2
Thomas Davis Sr.,2231,LB,CAR,10,11,3.9,0,0,5,76.2,77.4,85.5,77.3,66.2,62.6,10.8,4,0,213,221,6.6,14,22
Derrick Johnson,2232,LB,OAK,6,1,5.0,0,0,23,68.6,65.2,79.6,46.7,60.1,42.6,20.0,2,0,51,51,3.9,2,7
Lorenzo Alexander,2476,LB,BUF,14,5,3.1,0,0,4,82.1,87.5,87.7,72.1,81.1,86.3,0.0,0,0,182,187,7.7,14,22
Haloti Ngata,2957,DI,PHI,11,3,0.5,0,1,24,59.7,63.8,84.4,54.0,67.7,40.8,12.5,2,0,139,143,6.5,9,11
Johnathan Joseph,2969,CB,HST,13,2,3.0,0,0,13,80.7,80.5,87.1,59.1,69.1,31.9,30.0,3,1,253,262,1.6,4,5
Frostee Rucker,3036,ED,OAK,13,5,2.2,0,0,23,61.4,61.7,90.0,49.8,65.3,34.9,18.9,7,0,270,283,6.3,17,25
Domata Peko Sr.,3068,DI,DEN,14,9,2.6,0,0,10,86.3,67.0,20.4,59.2,69.5,39.3,14.8,4,6,220,227,5.0,11,14
Kyle Williams,3079,DI,BUF,14,5,2.4,0,0,4,62.7,69.5,61.4,67.1,65.7,52.9,12.5,2,2,195,202,3.6,7,9
Antoine Bethea,3152,S,ARZ,14,10,9.2,0,0,1,78.8,70.0,31.1,61.8,57.0,69.6,12.3,8,3,411,425,4.1,17,47
Tom Johnson,3378,DI,MIN,12,3,3.1,0,0,18,73.3,64.0,64.1,64.3,54.2,76.0,0.0,0,1,105,109,3.8,4,11
Tramon Williams,3558,S,GB,14,2,12.6,0,0,12,61.3,61.6,88.3,50.3,60.8,64.5,26.3,5,1,356,364,0.0,0,12
Brent Grimes,3589,CB,TB,11,4,11.7,1,1,30,59.8,60.7,86.0,,60.0,67.6,15.8,3,3,287,298,0.0,0,12
Leon Hall,3634,CB,OAK,10,2,5.6,0,0,23,57.1,63.3,83.1,57.8,83.4,62.8,0.0,0,0,137,144,1.5,2,7
Reggie Nelson,3637,S,OAK,11,2,9.1,0,1,23,63.4,63.2,83.3,55.4,60.4,55.5,26.7,4,0,135,141,2.2,3,9
Eric Weddle,3653,S,BLT,14,4,7.5,1,0,3,76.4,78.5,89.0,70.6,76.6,81.5,5.9,2,1,297,307,3.7,11,28
