player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Kenny Moore II,51596,CB,IND,1,22,,11.0,14,1,0.0,0,2,0,0,0,0.0
Mark Nzeocha,9669,LB,SF,1,3,,3.0,28,0,39.6,0,1,0,0,0,0.0
Patrick Chung,4957,S,NE,1,13,,13.0,19,0,39.6,0,1,0,0,0,0.0
Connor Barwin,4969,ED,NYG,1,1,,1.0,21,0,39.6,0,1,0,0,0,0.0
Kareem Jackson,5545,CB,HST,1,8,,8.0,13,0,39.6,0,1,0,0,0,0.0
Sean Lee,5580,LB,DAL,1,5,,5.0,9,0,39.6,0,1,0,0,0,0.0
Carlton Davis,49335,CB,TB,1,4,,4.0,30,0,39.6,0,1,0,0,0,0.0
Dylan Cole,24304,LB,HST,1,3,,3.0,13,0,39.6,0,1,0,0,0,0.0
Josh Harvey-Clemons,11985,LB,WAS,1,5,,5.0,32,0,39.6,0,1,0,0,0,0.0
Nathan Gerry,11940,LB,PHI,1,1,,1.0,24,0,39.6,0,1,0,0,0,0.0
Matt Milano,11918,LB,BUF,1,5,,5.0,4,0,39.6,0,1,0,0,0,0.0
Dre Kirkpatrick,7023,CB,CIN,1,5,,2.5,7,0,39.6,0,2,0,0,0,0.0
Fabian Moreau,11836,CB,WAS,1,36,,18.0,32,0,39.6,0,2,0,0,0,0.0
Tashaun Gipson Sr.,7288,S,JAX,1,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Johnathan Joseph,2969,CB,HST,1,6,,6.0,13,0,39.6,0,1,0,0,0,0.0
Brandon Marshall,7648,LB,DEN,1,2,,2.0,10,0,39.6,0,1,0,0,0,0.0
Kenny Vaccaro,7796,S,TEN,1,3,,3.0,31,1,0.0,0,1,0,0,0,0.0
Darius Slay,7817,CB,DET,1,5,,5.0,11,0,39.6,0,1,0,0,0,0.0
Bradley McDougald,8220,S,SEA,1,10,,10.0,29,1,0.0,0,1,0,0,0,0.0
Anthony Barr,8644,LB,MIN,1,4,,4.0,18,0,39.6,0,1,0,0,0,0.0
Terrell Edmunds,51334,S,PIT,1,1,,1.0,25,0,39.6,0,1,0,0,0,0.0
