player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,12,0,5,3,60.0,4,3,75.0,14,62.0,0,0,,37,35,94.6,0,7,6,85.7,22,18,81.8,6,6,100.0
Phil Dawson,422,K,ARZ,8,0,1,0,0.0,3,1,33.3,1,48.2,0,0,,15,15,100.0,0,2,2,100.0,8,5,62.5,2,2,100.0
Sebastian Janikowski,595,K,SEA,13,0,5,3,60.0,7,6,85.7,29,68.7,0,0,,40,38,95.0,0,9,8,88.9,22,18,81.8,1,1,100.0
Matt Bryant,1223,K,ATL,10,0,5,4,80.0,6,6,100.0,2,76.7,0,0,,24,22,91.7,0,2,2,100.0,16,15,93.8,3,3,100.0
Mike Nugent,2264,K,OAK,3,0,1,1,100.0,2,2,100.0,23,65.8,0,0,,5,4,80.0,0,0,0,,6,6,100.0,3,3,100.0
Robbie Gould,2607,K,SF,13,0,2,2,100.0,9,8,88.9,28,69.2,0,0,,24,22,91.7,0,8,8,100.0,26,25,96.2,7,7,100.0
Stephen Gostkowski,3063,K,NE,13,0,5,2,40.0,6,4,66.7,19,64.4,0,0,,41,40,97.6,0,8,8,100.0,29,24,82.8,10,10,100.0
Matt Prater,3471,K,DET,13,0,5,3,60.0,3,2,66.7,11,67.0,0,0,,25,25,100.0,0,11,11,100.0,27,24,88.9,8,8,100.0
Mason Crosby,3809,K,GB,13,0,7,5,71.4,11,7,63.6,12,48.4,0,0,,33,31,93.9,0,10,9,90.0,31,24,77.4,3,3,100.0
Stephen Hauschka,4655,K,BUF,12,0,7,4,57.1,7,6,85.7,4,70.5,0,0,,18,17,94.4,0,7,7,100.0,24,20,83.3,3,3,100.0
Ryan Succop,5180,K,TEN,12,0,4,3,75.0,5,4,80.0,31,67.1,0,0,,25,23,92.0,0,11,11,100.0,25,22,88.0,5,4,80.0
Graham Gano,5443,K,CAR,12,0,4,3,75.0,4,4,100.0,5,65.1,0,0,,33,30,90.9,0,5,4,80.0,16,14,87.5,3,3,100.0
Dan Bailey,6796,K,MIN,10,0,2,1,50.0,8,3,37.5,18,43.3,0,0,,22,21,95.5,0,9,9,100.0,23,16,69.6,4,3,75.0
Randy Bullock,7154,K,CIN,13,0,4,1,25.0,5,5,100.0,7,59.8,0,0,,36,34,94.4,0,5,4,80.0,17,13,76.5,3,3,100.0
Greg Zuerlein,7163,K,LA,8,0,4,3,75.0,5,3,60.0,26,69.0,0,0,,24,23,95.8,0,8,8,100.0,24,21,87.5,7,7,100.0
