player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Andrew Luck,7007,QB,IND,5,260,70.0,50,54,7.9,2.21,2,3,5.4,57.4,31,18,11.4,58,22.3,4,20,,,,,81.4,88.9,78.6,,84.2,,,69.8,,2,1,60,16.7,83.2,5.2,3,1,0,0,2,0,0.0,371,6.9,0,14,64.1,81.6,78.3,77.5,77.3,181,191,7.2,2.52,3,11,5.4,69.1,132,64,5.7,202,77.7,8,60,,,,,55.7,74.4,83.5,,72.7,,,66.6,,3,4,216,10.9,92.8,3.5,7,4,0,4,10,13,6.0,1120,5.9,80.4,168,174,7.0,2.19,4,10,5.5,71.8,125,0,7.4,178,68.5,10,57,,,,,89.5,91.3,82.9,,90.1,,,69.4,,0,1,187,,106.3,0.0,0,4,0,2,10,4,2.1,1152,6.6,2,63.5,63,71,8.3,3.01,1,4,5.3,53.5,38,82,5.0,82,31.5,2,23,,,,,27.5,50.6,80.1,,49.2,,,71.4,,5,4,89,12.2,52.5,12.2,10,1,0,2,2,9,10.1,339,4.8
Kirk Cousins,7102,QB,MIN,5,252,84.0,50,53,7.9,2.39,2,4,7.3,73.6,39,26,7.1,56,22.2,3,24,,,,,81.4,76.4,78.6,,75.8,,,58.3,,0,1,59,7.7,108.8,3.6,2,1,0,1,2,1,1.7,517,9.8,0,18,52.4,83.8,84.3,50.0,80.1,161,173,6.8,2.65,4,10,5.7,70.5,122,81,5.4,196,77.8,7,65,,,,,53.2,83.8,83.2,,83.3,,,55.5,,2,1,199,14.8,104.0,6.1,12,9,0,6,9,4,2.0,1171,6.8,81.8,132,138,7.1,2.28,4,9,6.4,73.9,102,0,5.6,145,57.5,6,56,,,,,87.6,91.3,82.0,,90.4,,,64.3,,0,1,147,,109.4,0.0,0,5,0,2,7,2,1.4,1054,7.6,0,79.7,79,88,7.1,3.0,2,5,5.5,67.0,59,107,6.3,107,42.5,4,33,,,,,29.9,65.3,80.9,,67.0,,,47.5,,2,1,111,13.1,98.4,13.1,14,5,0,5,4,3,2.7,634,7.2
Joe Flacco,4332,QB,BLT,5,240,66.0,47,51,12.0,2.48,2,4,7.1,51.0,26,14,16.1,54,22.5,5,20,,,,,36.9,69.6,78.6,,67.1,,,65.6,,0,1,59,14.3,77.2,3.7,2,1,0,2,2,2,3.4,339,6.6,0,3,62.7,73.7,72.5,66.2,78.5,158,176,8.4,2.68,6,5,2.7,64.2,113,47,8.9,186,77.5,11,58,,,,,71.0,73.9,83.1,,72.5,56.7,,62.6,,2,2,194,19.1,90.9,4.8,9,1,3,7,6,5,2.6,1211,6.9,76.0,167,179,8.7,2.32,6,8,4.3,63.1,113,0,11.0,179,74.6,14,63,,,,,89.5,81.7,82.9,,79.9,59.3,,,,0,2,186,,92.5,0.0,0,0,3,3,7,3,1.6,1265,7.1,1,73.7,38,48,11.6,3.55,2,1,1.9,54.2,26,61,7.1,61,25.4,2,15,,,,,25.2,51.5,79.1,,49.2,58.9,,73.1,,2,1,67,18.0,70.2,18.0,11,2,0,6,1,4,6.0,285,5.9
Blake Bortles,8638,QB,JAX,5,237,74.6,63,73,9.3,2.51,4,6,7.9,57.5,42,37,10.6,82,34.6,5,32,,,,,49.5,82.2,79.9,,80.8,,,60.6,,2,1,85,13.5,90.3,6.1,5,3,0,4,3,2,2.4,565,7.7,0,15,66.0,70.9,69.3,66.9,76.0,129,138,7.3,2.8,3,4,2.8,63.8,88,41,10.2,155,65.4,10,51,,,,,73.2,60.6,82.3,,59.0,,,67.1,,1,6,158,14.6,78.2,3.9,6,10,0,5,5,4,2.5,960,7.0,75.9,141,150,8.0,2.47,5,7,4.5,66.0,99,0,7.5,159,67.1,8,65,,,,,88.5,76.4,82.4,,72.7,,,79.6,,0,5,164,,88.2,0.0,0,7,0,4,6,3,1.8,1140,7.6,1,74.5,51,61,7.8,3.17,2,3,4.8,50.8,31,78,18.4,78,32.9,7,18,,,,,28.5,56.6,79.7,,59.1,,,48.6,,3,2,79,14.1,68.0,14.1,11,6,0,5,2,3,3.8,385,6.3
Aaron Rodgers,2241,QB,GB,5,235,71.4,28,32,9.6,2.56,0,1,2.5,59.4,19,20,5.0,41,17.4,1,17,,,,,30.0,78.5,77.9,,76.6,,,64.5,,1,0,49,30.0,122.9,14.6,6,3,0,3,4,1,2.0,244,7.6,0,12,27.3,87.8,86.9,65.4,78.8,156,176,8.6,2.9,0,10,5.5,63.6,112,49,8.9,194,82.6,11,61,,,,,35.8,89.4,38.4,,85.9,,,78.8,,1,1,202,20.4,95.5,5.2,10,8,1,18,6,5,2.5,1328,7.5,81.2,154,160,8.2,2.47,0,7,4.2,71.3,114,0,8.8,166,70.6,11,62,,,,,89.0,93.0,82.6,,92.0,,,64.9,,0,1,174,,110.9,0.0,0,6,1,5,8,2,1.1,1359,8.5,5,60.0,30,48,11.8,3.75,0,4,7.3,35.4,17,69,5.6,69,29.4,1,16,,,,,19.1,60.6,0.0,,56.1,,,81.6,,2,0,77,23.2,64.0,23.2,16,5,0,16,2,4,5.2,213,4.4
Deshaun Watson,11767,QB,HST,5,234,77.5,40,44,11.5,2.76,1,1,2.0,65.9,29,34,6.5,53,22.6,2,23,,,,,36.3,80.3,78.5,,77.0,,,71.4,,0,1,58,14.7,87.6,9.4,5,3,1,2,0,1,1.7,423,9.6,0,13,33.1,85.0,82.8,71.6,74.6,134,148,10.3,3.28,2,7,4.4,64.9,96,74,4.0,181,77.4,4,66,,,,,71.0,86.9,83.1,,80.9,,,85.8,,3,4,194,16.2,96.6,6.6,12,21,4,5,8,6,3.1,1198,8.1,78.7,108,116,8.4,2.58,2,3,2.5,70.7,82,0,3.5,126,53.8,3,52,,,,,86.9,87.7,81.6,,83.7,,,76.4,,0,2,132,,104.5,0.0,0,10,5,1,6,2,1.5,930,8.0,1,69.7,66,76,14.0,3.84,1,5,5.7,56.6,43,108,6.5,108,46.2,3,37,,,,,32.7,80.8,81.2,,74.3,,,84.9,,3,3,120,15.7,79.4,15.7,17,14,0,6,2,5,4.2,691,9.1
Ben Roethlisberger,1732,QB,PIT,5,230,68.3,60,60,8.9,2.11,0,3,4.7,66.7,40,12,2.4,63,27.4,1,29,,,,,41.0,60.0,79.0,,59.8,,,,,0,2,67,25.0,111.1,4.8,3,0,0,0,5,3,4.5,570,9.5,0,25,46.0,59.1,56.8,73.8,70.8,144,155,8.3,2.64,4,9,5.4,63.2,98,46,3.9,167,72.6,4,57,,,,,49.5,57.7,82.8,,55.8,,,75.2,,3,4,180,13.0,86.3,3.6,6,5,0,4,6,9,5.0,1094,7.1,70.1,167,171,7.9,2.15,2,7,3.8,66.7,114,0,2.6,172,74.8,3,66,,,,,89.3,65.0,82.8,,63.9,,,63.9,,0,3,183,,99.8,0.0,0,1,0,2,9,5,2.7,1310,7.7,0,70.3,37,44,11.1,3.51,2,5,10.2,54.5,24,58,7.7,58,25.2,2,20,,,,,20.5,43.6,78.9,,41.1,,,71.8,,3,3,64,15.5,67.8,15.5,9,4,0,2,2,7,10.9,354,8.0
Derek Carr,8671,QB,OAK,5,215,76.9,52,53,6.4,2.15,0,2,3.5,71.7,38,16,5.0,58,27.0,2,20,,,,,81.7,73.5,78.8,,72.3,,,,,0,2,62,31.3,84.3,8.6,5,0,0,1,0,1,1.6,486,9.2,0,23,75.3,74.8,74.2,61.9,82.5,137,149,7.0,2.43,2,7,4.4,71.1,106,47,6.2,157,73.0,7,54,,,,,67.9,74.0,82.5,,72.2,,,66.5,,2,6,169,12.8,92.5,3.8,6,2,3,5,7,7,4.1,1155,7.8,85.5,145,151,5.6,2.13,1,7,4.3,78.8,119,0,4.0,152,70.7,5,59,,,,,88.5,85.5,82.4,,83.7,,,58.3,,0,2,164,,110.9,0.0,0,1,3,2,7,3,1.8,1244,8.2,2,65.9,44,51,10.8,2.89,1,2,3.8,49.0,25,63,13.8,63,29.3,4,15,,,,,41.6,51.1,79.0,,49.8,,,65.9,,2,6,67,17.5,35.8,17.5,11,1,0,4,0,5,7.5,397,7.8
Matt Ryan,4317,QB,ATL,5,209,75.6,45,48,11.9,2.42,2,1,2.0,66.7,32,29,5.9,57,27.3,2,24,,,,,38.1,69.1,78.6,,68.2,,,,,0,1,60,31.0,104.4,15.8,9,0,0,1,2,1,1.7,479,10.0,0,2,57.7,71.4,70.5,62.0,77.4,124,135,9.2,2.79,1,5,3.5,68.9,93,42,3.1,152,72.7,3,53,,,,,66.9,69.5,28.6,,69.5,,,60.9,,2,1,162,16.7,113.3,4.6,7,10,0,8,9,4,2.5,1122,8.3,81.0,126,130,9.2,2.58,2,3,2.2,75.4,98,0,3.9,138,66.0,4,57,,,,,87.6,77.2,81.9,,75.6,,,64.4,,0,0,145,,122.7,0.0,0,8,0,2,8,2,1.4,1162,8.9,1,65.1,43,53,11.8,2.91,1,3,5.4,50.9,27,71,3.6,71,34.0,1,20,,,,,26.4,55.1,0.0,,57.3,,,54.6,,2,2,77,22.5,82.2,22.5,16,2,0,7,3,3,3.9,439,8.3
Case Keenum,7323,QB,DEN,5,206,73.8,61,65,9.1,2.4,1,4,5.8,61.5,40,35,11.1,72,35.0,5,24,,,,,26.4,73.8,79.5,,72.5,,,,,2,1,76,20.0,80.9,9.7,7,0,0,1,0,4,5.3,529,8.1,0,10,40.8,60.9,59.2,69.4,74.2,120,127,8.2,2.55,2,2,1.5,64.6,82,36,7.9,134,65.0,7,37,,,,,64.7,49.7,81.9,,50.5,,,58.3,,3,6,144,16.7,76.8,4.5,6,1,0,2,5,7,4.9,836,6.6,76.5,132,135,8.1,2.24,3,4,2.8,68.1,92,0,8.9,135,65.5,9,45,,,,,87.4,66.0,81.9,,65.3,,,,,0,4,142,,84.7,0.0,0,0,0,0,3,5,3.5,998,7.4,0,67.3,49,57,9.6,2.99,0,2,3.2,52.6,30,71,9.1,71,34.5,3,16,,,,,22.4,47.8,79.6,,48.7,,,58.3,,5,3,78,18.3,62.5,18.3,13,1,0,3,2,6,7.7,367,6.4
