player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kirk Cousins,7102,QB,MIN,7,2.57,2.45,3.21,5.55,333,18,82.6,144,160,5.5,1.87,12,6,3.6,69.4,111,44,6.7,166,49.8,8,51,,,,,68.8,73.0,82.6,,72.1,,,58.3,,,1,1,172,11.4,96.5,3.0,5,1,0,3,6,3,1.7,1025,6.4,78.5,130,139,9.9,3.34,2,11,7.8,71.2,99,89,2.9,163,48.9,3,60,,,,,46.1,83.7,82.5,,84.1,,,52.3,,,1,2,166,15.7,108.7,8.6,14,10,0,6,8,5,3.0,1137,8.2
Andrew Luck,7007,QB,IND,7,2.5,2.45,2.7,4.75,330,14,77.8,153,161,4.5,1.83,4,3,1.8,67.7,109,22,8.4,163,49.4,10,43,,,,,67.5,74.0,82.5,,72.7,,,,,,2,2,166,9.1,98.9,1.2,2,0,0,2,13,4,2.4,721,4.5,70.6,143,150,10.9,3.18,1,12,7.3,62.7,94,82,6.9,166,50.3,7,63,,,,,69.6,82.0,82.9,,79.1,,,71.8,,,3,6,184,9.8,87.3,4.8,8,8,0,3,7,11,6.0,1227,8.2
Joe Flacco,4332,QB,BLT,7,2.65,2.57,4.38,4.7,316,3,80.0,160,171,6.9,1.99,9,7,3.9,66.1,113,19,11.7,172,54.4,15,61,,,,,89.2,80.8,82.8,,78.9,,,,,,0,1,180,5.3,95.6,0.6,1,0,0,2,8,3,1.7,1038,6.1,70.3,111,129,12.9,3.46,4,6,4.3,57.4,74,63,5.1,143,45.3,4,45,,,,,43.4,65.2,82.2,,63.6,,,69.8,,,2,3,154,17.5,81.2,7.7,11,3,0,12,3,6,3.9,1029,8.0
Eli Manning,1722,QB,NYG,7,2.5,2.43,2.8,5.05,296,21,83.4,157,160,5.0,1.96,2,5,3.0,78.1,125,41,4.6,172,58.1,6,60,,,,,29.9,71.4,82.7,,70.3,,,,,,0,3,178,29.3,103.1,7.0,12,0,0,1,6,6,3.4,1218,7.6,64.9,97,108,12.1,3.25,0,6,5.2,55.6,60,65,4.8,124,41.9,3,33,,,,,62.6,64.0,81.6,,64.9,,,48.5,,,4,1,132,18.5,80.1,9.7,12,4,0,7,1,6,4.5,843,7.8
Matt Ryan,4317,QB,ATL,7,2.64,2.5,3.13,5.04,294,2,85.9,135,145,6.4,1.92,5,1,0.7,75.9,110,37,5.2,147,50.0,6,54,,,,,88.1,77.7,82.2,,76.1,,,,,,1,1,155,5.4,116.2,1.4,2,0,0,4,9,1,0.6,1153,8.0,73.8,107,118,13.8,3.35,1,9,7.2,65.3,77,58,2.5,147,50.0,2,57,,,,,44.5,78.8,27.1,,78.1,,,63.8,,,1,1,157,31.0,111.6,12.2,18,11,0,9,6,4,2.5,1182,10.0
Deshaun Watson,11767,QB,HST,7,3.19,2.94,3.25,5.24,291,13,78.4,97,101,6.0,1.85,3,0,0.0,74.3,75,23,1.3,107,36.8,1,45,,,,,57.8,71.2,81.0,,70.1,,,,,,0,2,113,26.1,104.4,5.6,6,0,0,1,5,3,2.7,781,7.7,66.7,123,135,13.6,3.98,0,9,6.0,57.0,77,115,6.1,183,62.9,5,62,,,,,34.8,81.7,83.2,,74.8,,,87.0,,,3,5,200,16.5,82.2,10.4,19,29,0,9,5,9,4.5,1156,8.6
Aaron Rodgers,2241,QB,GB,6,2.83,2.64,3.55,5.42,286,12,78.4,125,131,4.5,1.73,0,3,2.2,71.8,94,18,4.1,132,46.2,4,36,,,,,87.1,76.6,81.7,,75.1,,,,,,1,1,136,5.6,97.4,0.8,1,0,0,5,5,2,1.5,818,6.2,74.7,95,121,14.7,3.8,0,12,9.1,51.2,62,72,12.7,153,53.5,9,61,,,,,25.7,92.2,29.8,,90.7,,,80.8,,,1,0,166,25.0,104.7,11.8,18,14,0,25,7,4,2.4,1179,9.7
Blake Bortles,8638,QB,JAX,7,2.75,2.59,3.66,4.42,285,15,75.0,112,118,7.1,1.98,3,8,6.6,64.4,76,29,9.5,120,42.1,8,41,,,,,86.4,70.7,81.3,,69.6,,,,,,3,4,124,6.9,84.5,1.7,2,0,0,0,6,3,2.4,735,6.2,75.4,114,131,8.9,3.36,5,4,3.0,57.3,75,69,12.8,163,57.2,11,54,,,,,26.5,61.8,82.4,,66.4,,,43.0,,,2,4,165,17.4,76.5,7.4,12,20,0,10,3,6,3.6,1000,7.6
Andy Dalton,6187,QB,CIN,7,2.46,2.35,2.9,5.98,277,7,77.4,155,159,7.9,1.85,3,9,5.3,70.4,112,33,6.7,163,58.8,8,62,,,,,89.0,78.8,82.6,,77.1,,,,,,0,4,174,12.1,99.9,2.5,4,0,0,1,9,5,2.9,1171,7.4,69.4,85,98,10.4,3.32,3,9,8.3,53.1,52,53,11.9,114,41.2,7,34,,,,,60.7,73.9,81.4,,73.8,,,55.6,,,3,4,126,18.9,77.4,8.8,10,6,0,7,6,6,4.8,651,6.6
Ben Roethlisberger,1732,QB,PIT,6,2.53,2.45,3.31,5.44,276,25,71.1,152,155,6.4,1.79,2,5,3.1,67.1,104,17,3.7,156,56.5,4,52,,,,,88.4,66.2,82.4,,65.4,,,,,,1,1,163,5.9,98.7,0.6,1,0,0,0,7,2,1.2,1055,6.8,71.1,97,106,11.7,3.51,2,10,8.3,62.3,66,53,4.3,119,43.1,3,50,,,,,26.9,60.8,81.6,,58.5,,,75.2,,,2,5,134,15.1,88.5,6.7,8,5,0,5,5,11,8.2,978,9.2
