player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Todd Gurley II,9443,HB,LA,3,62,7,2,14.9,38,0,255,1,2,7,169,33.6,8,18,26,1,20,55.4,67.5,80.4,,61.1,55.1,70.5,60.0,23,0,121,11,81,75,0,0,12,73,4,255,169,2.73,4.1,1.49,42
Carlos Hyde,8692,HB,CLV,3,61,4,1,10.8,22,0,203,0,0,4,134,13.5,6,12,8,0,28,84.3,50.4,79.1,,34.5,55.9,52.4,60.0,22,0,15,4,43,66,0,0,5,65,4,203,134,2.2,3.3,0.35,31
Adrian Peterson,3623,HB,WAS,3,56,11,4,39.0,92,0,236,0,3,11,175,71.7,8,11,32,1,29,50.6,59.1,78.5,,25.9,48.9,61.5,59.4,41,0,100,5,26,67,0,0,6,61,3,236,175,3.13,4.2,3.85,26
James Conner,11860,HB,PIT,3,54,9,4,39.0,83,0,213,0,8,9,150,68.4,6,8,25,1,25,53.0,67.4,83.4,,31.9,62.1,72.5,60.0,27,0,139,15,106,62,0,0,16,69,3,213,150,2.78,3.9,1.31,22
Jordan Howard,10784,HB,CHI,3,53,7,2,18.5,33,0,178,0,0,7,147,30.8,4,12,6,0,24,83.9,78.9,81.8,,79.6,73.0,76.0,68.2,17,0,78,10,60,66,0,0,11,63,1,178,147,2.77,3.4,1.3,28
Kareem Hunt,11841,HB,KC,3,52,15,1,9.5,16,0,168,0,1,15,120,69.7,3,10,16,0,20,83.0,58.6,82.8,,57.0,50.8,61.2,54.0,16,0,5,1,53,65,0,0,2,53,2,168,120,2.31,3.2,0.09,30
Marshawn Lynch,3628,HB,OAK,3,48,12,0,0.0,0,0,170,0,1,12,154,75.8,3,12,23,0,12,83.0,81.6,78.4,,83.4,77.8,77.7,60.0,11,0,33,7,42,52,0,0,7,55,3,170,154,3.21,3.5,0.79,35
Ezekiel Elliott,10638,HB,DAL,3,48,8,8,56.9,156,0,274,1,1,8,162,51.5,9,12,9,1,21,49.2,56.6,11.5,,45.9,47.5,62.7,60.2,26,1,37,11,76,64,0,0,16,59,2,274,162,3.38,5.7,0.49,27
Derrick Henry,10679,HB,TEN,3,46,5,0,0.0,0,0,139,0,0,5,123,28.4,1,5,31,0,12,82.6,66.2,76.0,61.2,79.6,54.5,62.8,60.0,14,0,5,1,19,50,0,0,2,47,0,139,123,2.67,3.0,0.26,34
Christian McCaffrey,11763,HB,CAR,3,46,12,4,34.7,94,0,271,0,7,12,129,78.4,10,11,5,1,26,51.4,73.7,83.5,,79.4,82.4,66.2,63.4,45,0,157,22,92,78,0,0,25,68,0,271,129,2.8,5.9,1.71,19
