player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,CAR,3,0,,,1.9,,,1,0,0,,5,67.8,59.4,22.8,58.1,60.1,73.0,0,,0.0,0,0,1,0.0,0,1,52,1,1,0,0,0,0,0.0,
Terrell Suggs,1326,ED,BLT,3,0,9.0,0.0,13.9,,10.0,1,0,0,0.0,3,61.4,62.0,1.2,75.4,50.5,54.8,0,,100.0,1,0,2,39.6,0,11,79,2,0,1,0,0,0,0.0,
Mike Adams,1972,S,CAR,3,1,10.8,100.0,96.0,19.0,19.0,0,0,0,0.0,5,64.2,64.0,15.3,66.3,63.7,87.8,0,31,0.0,0,0,1,118.8,6,119,124,2,6,6,0,95,30,0.8,15.8
Adam Jones,2223,CB,DEN,2,1,7.8,83.3,100.0,7.6,6.3,0,0,0,0.0,10,53.2,57.1,78.6,,75.0,48.2,1,30,28.6,2,0,1,71.5,5,40,40,0,4,6,0,64,43,1.7,12.8
Derrick Johnson,2232,LB,OAK,3,0,8.7,100.0,85.5,16.0,16.0,0,0,0,0.0,23,68.8,64.1,79.1,48.1,58.0,63.0,0,11,0.0,0,0,0,106.9,3,53,62,3,5,3,0,29,3,0.6,9.7
Lorenzo Alexander,2476,LB,BUF,3,1,4.0,75.0,24.3,6.0,4.5,0,0,1,25.0,4,90.3,90.8,82.2,81.0,73.3,82.0,0,6,0.0,0,1,0,78.1,3,18,74,2,2,4,0,13,9,0.7,4.3
Johnathan Joseph,2969,CB,HST,3,0,7.8,70.6,100.0,7.8,5.5,0,0,1,5.9,13,59.6,58.2,81.9,,51.4,31.1,0,23,15.4,2,1,1,111.2,12,98,98,4,11,17,1,125,63,1.3,10.4
Kyle Williams,3079,DI,BUF,3,0,,,1.1,,,0,0,0,,4,62.7,66.1,81.1,64.7,57.0,71.4,0,,0.0,0,0,0,0.0,0,1,95,2,2,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,3,1,9.6,87.5,94.2,14.9,13.0,0,0,0,0.0,1,66.0,68.7,0.0,64.9,75.4,81.5,0,21,8.3,1,0,2,107.8,7,113,120,2,10,8,0,79,59,0.8,11.3
Tramon Williams,3558,S,GB,3,0,10.9,58.8,100.0,11.9,7.0,0,0,0,0.0,12,62.0,63.5,82.7,,66.4,56.6,0,18,18.2,2,0,1,110.4,10,129,129,4,9,17,2,82,26,0.7,8.2
Brent Grimes,3589,CB,TB,1,0,15.8,83.3,100.0,8.2,6.8,0,0,0,0.0,30,46.3,46.2,76.5,,51.2,53.7,0,43,25.0,1,0,0,158.3,5,43,43,0,3,6,1,101,42,2.5,20.2
Leon Hall,3634,CB,OAK,3,0,9.8,81.8,92.7,9.0,7.4,0,0,2,18.2,23,66.4,71.8,80.2,66.0,82.7,73.4,0,21,11.1,1,2,0,101.5,9,89,96,4,8,11,0,92,25,1.1,10.2
Reggie Nelson,3637,S,OAK,3,0,8.8,100.0,92.6,20.0,20.0,0,0,0,0.0,23,63.4,58.7,79.5,52.5,48.1,69.5,0,20,0.0,0,0,0,145.8,4,88,95,1,5,4,1,38,3,0.5,9.5
Eric Weddle,3653,S,BLT,3,0,2.3,33.3,96.7,105.0,35.0,0,0,1,33.3,3,67.8,70.8,82.9,75.8,63.1,75.1,0,3,0.0,0,1,0,42.4,1,117,121,1,5,3,0,3,3,0.0,3.0
Brandon Mebane,3701,DI,LAC,3,0,,,6.7,,,0,0,0,,27,83.1,57.8,83.1,66.5,44.7,73.3,0,,0.0,0,0,0,0.0,0,3,45,1,1,0,0,0,0,0.0,
