player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,18,0,4,4,100.0,9,7,77.8,14,74.2,0,0,,55,55,100.0,0,12,12,100.0,37,35,94.6,12,12,100.0
Phil Dawson,422,K,SF,16,0,9,6,66.7,7,5,71.4,28,68.1,0,0,,32,32,100.0,0,9,8,88.9,31,25,80.6,6,6,100.0
Sebastian Janikowski,595,K,OAK,15,0,5,3,60.0,10,9,90.0,23,71.8,0,0,,28,28,100.0,0,5,5,100.0,22,19,86.4,2,2,100.0
Shayne Graham,730,K,NO,16,0,2,1,50.0,5,3,60.0,20,60.5,0,0,,47,46,97.9,0,9,9,100.0,22,19,86.4,6,6,100.0
Jay Feely,955,K,CHI,4,0,0,0,,2,1,50.0,6,55.5,0,0,,6,5,83.3,0,1,1,100.0,4,3,75.0,1,1,100.0
Matt Bryant,1223,K,ATL,16,0,10,7,70.0,8,8,100.0,2,83.6,0,0,,40,40,100.0,0,4,4,100.0,32,29,90.6,10,10,100.0
Billy Cundiff,1230,K,CLV,13,0,3,1,33.3,7,5,71.4,8,55.6,0,0,,28,28,100.0,0,13,10,76.9,29,22,75.9,6,6,100.0
Josh Brown,1520,K,NYG,15,0,4,4,100.0,5,4,80.0,21,73.6,1,1,100.0,44,44,100.0,0,9,9,100.0,26,24,92.3,7,6,85.7
Josh Scobee,1858,K,JAX,16,0,6,3,50.0,9,7,77.8,15,59.0,0,0,,23,23,100.0,0,8,7,87.5,26,20,76.9,3,3,100.0
Mike Nugent,2264,K,CIN,16,0,4,1,25.0,12,10,83.3,7,56.3,0,0,,40,40,100.0,0,12,10,83.3,34,27,79.4,6,6,100.0
