player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Asa Jackson,7161,CB,BLT,5,47,4.7,3.6,3,0,113.9,10,13,1,69,57,1.47
Dre Kirkpatrick,7023,CB,CIN,3,14,4.7,3.5,7,0,108.3,3,4,0,42,5,3.0
Dont'a Hightower,7030,LB,NE,5,14,4.7,4.7,19,0,79.2,3,3,0,9,14,0.64
Michael Wilhoite,6989,LB,SF,4,9,4.5,3.0,28,0,106.3,2,3,0,35,24,3.89
Rahim Moore,6197,S,DEN,5,13,4.3,4.3,10,0,95.8,3,3,0,21,15,1.62
Marcus Ball,9391,S,NO,1,12,4.0,4.0,20,0,88.9,3,3,0,16,5,1.33
Kroy Biermann,4468,ED,ATL,5,4,4.0,4.0,2,0,87.5,1,1,0,5,4,1.25
Danny Lansanah,4713,LB,TB,3,8,4.0,4.0,30,0,118.8,2,2,0,43,28,5.38
Keenan Lewis,5019,CB,NO,4,4,4.0,2.0,20,0,79.2,1,2,0,17,3,4.25
Don Carey,5101,S,DET,1,4,4.0,4.0,11,0,83.3,1,1,0,4,9,1.0
Ashlee Palmer,5281,LB,DET,3,4,4.0,4.0,11,0,79.2,1,1,0,3,4,0.75
Brandon Graham,5538,ED,PHI,3,4,4.0,4.0,24,0,104.2,1,1,0,9,3,2.25
Taylor Mays,5574,S,CIN,2,4,4.0,4.0,7,0,118.8,1,1,0,18,10,4.5
Casey Matthews,6268,LB,PHI,3,4,4.0,4.0,24,0,118.8,1,1,0,16,15,4.0
Isa Abdul-Quddus,6722,S,DET,2,8,4.0,2.7,11,0,136.1,2,3,1,28,11,3.5
Sean Spence,7087,LB,PIT,2,4,4.0,4.0,25,0,91.7,1,1,0,6,8,1.5
Tyrann Mathieu,7850,S,ARZ,4,20,4.0,4.0,1,0,108.3,5,5,0,50,28,2.5
Khaseem Greene,7899,LB,CHI,2,4,4.0,4.0,6,0,95.8,1,1,0,7,12,1.75
A.J. Bouye,8110,CB,HST,2,4,4.0,2.0,13,0,68.8,1,2,0,12,13,3.0
Joplo Bartu,8455,LB,ATL,3,4,4.0,4.0,2,0,118.8,1,1,0,13,8,3.25
Antoine Bethea,3152,S,SF,7,30,3.8,3.3,28,0,94.0,8,9,0,59,26,1.97
Antoine Cason,4341,CB,CAR,5,11,3.7,3.7,5,0,118.8,3,3,0,55,22,5.0
J.T. Thomas,6347,LB,JAX,4,11,3.7,3.7,15,0,95.8,3,3,0,21,8,1.91
Elvis Dumervil,3071,ED,BLT,4,7,3.5,3.5,3,0,89.6,2,2,0,11,11,1.57
William Moore,4978,S,ATL,1,7,3.5,3.5,2,0,114.6,2,2,0,23,11,3.29
Vontaze Burfict,7280,LB,CIN,3,7,3.5,2.3,7,0,86.8,2,3,0,21,11,3.0
Chris Davis,9242,CB,SD,3,10,3.3,2.5,27,0,92.7,3,4,0,27,33,2.7
Ron Brooks,7124,CB,BUF,1,10,3.3,3.3,4,0,132.6,3,3,1,19,28,1.9
David Hawthorne,4693,LB,NO,1,3,3.0,3.0,20,0,91.7,1,1,0,6,5,2.0
Byron Maxwell,6325,CB,SEA,3,9,3.0,2.3,29,0,91.7,3,4,0,26,8,2.89
Ryan Kerrigan,6168,ED,WAS,3,3,3.0,3.0,32,0,79.2,1,1,0,2,9,0.67
Phillip Adams,5747,CB,NYJ,4,6,3.0,3.0,22,0,135.4,2,2,2,14,0,2.33
Rashean Mathis,1355,CB,DET,3,3,3.0,3.0,11,0,112.5,1,1,0,11,12,3.67
Derrick Morgan,5541,ED,TEN,2,3,3.0,3.0,31,0,87.5,1,1,0,5,0,1.67
Demario Davis,7079,LB,NYJ,6,15,3.0,3.0,22,0,147.1,5,5,1,49,19,3.27
