player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,3,3,0,25.0,0,0,23,82.5,89.7,82.7,66.4,77.5,75.1,0,0,1,9,11.5,3,2,0,0.0,1,0,40,0,100,222,0,0,0,0,0,168,222,2,120,14,4,20,4,0,0,9,4,9.0
John Abraham,591,ED,ARZ,1,0,0,,0,0,1,60.4,54.7,70.5,47.9,66.7,69.9,0,0,0,,0.0,0,0,0,0.0,0,0,27,0,3,37,10,0,0,10,0,0,27,20,14,0,1,1,0,0,0,0,0,
Justin Smith,776,DI,SF,3,4,1,,0,0,28,60.0,73.5,37.4,58.6,86.8,76.0,1,4,0,,0.0,0,0,1,0.0,0,3,7,0,0,149,142,0,5,24,113,0,7,94,55,0,5,5,0,8,0,0,0,
Julius Peppers,1010,ED,GB,3,2,1,50.0,0,1,12,61.2,81.2,48.5,87.3,64.3,39.3,4,6,0,5,27.3,3,1,1,56.3,1,1,11,0,4,164,153,0,0,144,9,0,11,82,78,0,4,6,2,11,0,5,8,5.0
Dwight Freeney,1019,ED,SD,3,0,0,,0,0,27,61.5,78.5,82.9,75.0,65.2,70.2,3,11,0,,100.0,1,0,0,0.0,0,2,1,0,3,127,126,0,1,76,49,0,1,92,32,0,2,0,0,16,0,0,0,
Larry Foote,1126,LB,ARZ,3,4,0,81.3,0,0,1,39.6,48.4,3.0,48.9,75.9,28.8,0,2,1,17,25.9,7,0,1,86.5,13,0,191,0,89,198,6,0,0,6,0,1,192,41,68,0,9,16,16,2,1,96,50,7.4
Brett Keisel,1204,DI,PIT,3,1,0,,0,0,25,60.0,52.0,79.5,57.3,52.0,34.2,1,6,0,,25.0,1,0,0,0.0,0,0,8,0,0,121,113,0,2,22,89,0,8,76,45,0,1,2,0,7,0,0,0,
Ryan Clark,1229,S,WAS,3,2,0,50.0,0,0,32,65.6,57.2,80.3,71.1,31.4,29.9,0,0,0,11,31.6,6,1,0,65.6,2,1,29,1,108,181,0,0,0,0,0,141,181,5,68,10,6,11,4,1,0,21,16,10.5
Terence Newman,1321,CB,CIN,3,1,0,56.0,0,0,7,65.9,68.9,82.0,,80.6,65.8,0,0,0,20,11.1,2,2,1,70.9,14,0,14,199,154,217,0,0,0,0,0,3,217,0,63,1,5,15,25,0,0,133,22,9.5
Kevin Williams,1325,DI,SEA,3,0,1,0.0,0,0,29,57.0,58.4,79.6,56.6,64.7,71.5,0,4,0,,0.0,0,0,0,39.6,0,0,0,0,7,90,90,1,70,1,18,0,0,51,32,0,3,5,1,4,0,0,0,
