player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Gosder Cherilus,4331,T,IND,6,0,14,61.5,8,11,289,100.0,100.0,95.7,1,22,3,302,302,56.9,6,7,139,100.0,100.0,93.9,15,2,147,147
Anthony Castonzo,6174,T,IND,6,0,14,86.9,3,11,289,100.0,100.0,97.6,1,14,0,302,302,82.5,3,8,139,100.0,100.0,96.0,11,0,147,147
Jordan Mills,7945,T,CHI,6,1,6,51.8,1,16,254,100.0,100.0,95.1,1,21,4,273,273,45.7,1,11,115,100.0,100.0,93.0,14,2,128,128
Kyle Long,7801,G,CHI,6,0,6,81.9,0,6,254,100.0,100.0,98.8,1,6,0,273,273,76.7,0,4,115,100.0,100.0,98.3,4,0,128,128
Todd Herremans,2343,G,PHI,6,1,24,57.1,4,11,251,100.0,100.0,97.0,2,15,0,272,272,34.8,3,8,95,100.0,100.0,94.2,11,0,107,107
Jon Asamoah,5593,G,ATL,6,0,2,83.7,1,8,252,100.0,100.0,98.2,1,9,0,270,270,85.8,0,5,130,100.0,100.0,98.1,5,0,141,141
Zane Beadles,5570,G,JAX,6,0,15,86.4,1,1,255,100.0,100.0,98.8,0,4,2,269,269,77.4,0,1,91,100.0,100.0,98.4,2,1,97,97
Brandon Linder,8728,G,JAX,6,0,15,81.9,1,2,255,100.0,100.0,97.5,0,8,5,269,269,71.7,1,1,91,100.0,100.0,95.6,5,3,97,97
Luke Joeckel,7784,T,JAX,6,1,15,64.9,6,12,255,100.0,100.0,95.7,1,20,2,269,269,51.0,2,9,91,100.0,100.0,92.9,12,1,97,97
Byron Bell,6848,T,CAR,6,0,5,64.0,4,13,244,100.0,100.0,95.3,3,20,3,265,265,71.3,2,8,100,100.0,100.0,95.0,10,0,105,105
Jason Peters,2148,T,PHI,6,1,24,84.3,1,6,240,100.0,100.0,98.1,2,8,1,260,260,80.9,1,4,92,100.0,100.0,97.3,5,0,103,103
Kelvin Beachum,7229,T,PIT,6,0,25,86.9,0,5,238,100.0,100.0,97.3,2,9,4,258,258,77.3,0,4,98,100.0,100.0,93.9,8,4,106,106
Riley Reiff,7029,T,DET,6,0,11,82.9,2,12,243,100.0,100.0,96.3,0,16,2,258,258,63.6,2,10,99,100.0,100.0,91.9,14,2,103,103
Rob Sims,3073,G,DET,6,0,11,63.9,4,11,243,100.0,100.0,96.1,1,17,2,258,258,45.0,3,9,99,100.0,100.0,91.9,14,2,103,103
Marcus Gilbert,6215,T,PIT,6,1,25,75.6,1,8,238,100.0,100.0,96.4,1,13,4,258,258,62.7,0,8,98,100.0,100.0,92.9,11,3,106,106
Maurkice Pouncey,5543,C,PIT,6,1,25,81.1,1,5,238,100.0,100.0,98.3,1,7,1,258,258,72.7,1,2,98,100.0,100.0,97.4,4,1,106,106
David DeCastro,7640,G,PIT,6,0,25,83.9,1,3,238,100.0,100.0,98.3,2,6,2,258,258,75.9,1,2,98,100.0,100.0,97.4,4,1,106,106
Dominic Raiola,820,C,DET,6,0,11,70.2,0,7,243,100.0,100.0,96.9,1,11,4,258,258,66.3,0,3,99,100.0,100.0,94.4,7,4,103,103
Michael Ola,9032,T,CHI,6,0,6,74.2,1,9,240,100.0,100.0,97.5,1,11,1,257,257,67.7,0,7,112,100.0,100.0,96.0,8,1,124,124
Larry Warford,7846,G,DET,6,0,11,84.3,2,3,242,100.0,100.0,98.6,0,6,1,257,257,82.1,1,3,99,100.0,100.0,98.0,4,0,103,103
Kory Lichtensteiger,4422,C,WAS,6,1,32,84.1,0,5,241,100.0,100.0,99.0,1,5,0,255,255,77.2,0,4,105,100.0,100.0,98.1,4,0,113,113
Chris Chester,3001,G,WAS,6,0,32,81.6,1,3,241,100.0,100.0,98.8,0,5,1,255,255,76.1,1,2,105,100.0,100.0,97.6,4,1,113,113
Ryan Kalil,3675,C,CAR,6,0,5,69.9,1,5,233,100.0,100.0,97.9,0,8,2,254,254,58.9,1,3,96,100.0,100.0,96.9,5,1,101,101
Phil Loadholt,4977,T,MIN,6,0,18,70.4,2,15,239,100.0,100.0,95.2,1,20,3,253,253,64.6,1,10,117,100.0,100.0,92.7,14,3,125,125
John Sullivan,4501,C,MIN,6,0,18,74.4,3,3,239,100.0,100.0,98.3,0,7,1,253,253,80.4,2,1,117,100.0,100.0,97.9,4,1,125,125
Charlie Johnson,3144,G,MIN,6,0,18,66.7,4,8,239,100.0,100.0,96.2,0,15,3,253,253,56.6,3,7,117,100.0,100.0,94.0,12,2,125,125
Matt Kalil,7010,T,MIN,6,0,18,57.7,3,16,239,100.0,100.0,93.5,2,25,6,253,253,52.3,1,12,117,100.0,100.0,91.0,17,4,125,125
Evan Smith,5390,C,TB,6,0,30,69.9,1,7,227,100.0,100.0,97.8,1,9,1,249,249,60.8,0,6,119,100.0,100.0,97.5,6,0,132,132
Demar Dotson,5410,T,TB,6,1,30,74.8,0,8,227,100.0,100.0,96.9,4,11,3,249,249,70.7,0,5,119,100.0,100.0,95.4,8,3,132,132
Tyler Polumbus,4581,T,WAS,6,0,32,60.5,0,11,235,100.0,100.0,94.7,0,18,7,249,249,46.0,0,8,102,100.0,100.0,90.2,14,6,110,110
Anthony Collins,4426,T,TB,6,1,30,64.0,8,8,227,100.0,100.0,96.0,5,17,1,249,249,63.2,7,6,119,100.0,100.0,93.7,14,1,132,132
D'Brickashaw Ferguson,2949,T,NYJ,6,0,22,79.6,4,12,239,100.0,100.0,96.2,0,17,1,248,248,73.4,4,8,120,100.0,100.0,94.2,13,1,126,126
Breno Giacomini,4464,T,NYJ,6,0,22,68.5,6,10,239,100.0,100.0,96.2,0,17,1,248,248,58.6,6,8,120,100.0,100.0,93.3,15,1,126,126
Nick Mangold,2974,C,NYJ,6,1,22,86.7,0,1,239,100.0,100.0,99.4,2,2,1,248,248,90.5,0,0,120,100.0,100.0,100.0,0,0,126,126
Erik Pears,2737,G,BUF,6,1,4,60.3,4,9,234,100.0,100.0,96.8,1,14,1,245,245,52.6,3,6,112,100.0,100.0,95.1,10,1,117,117
Nate Chandler,7521,T,CAR,6,0,5,62.4,2,9,225,100.0,100.0,96.2,0,14,3,245,245,61.0,2,5,92,100.0,100.0,95.1,8,1,97,97
Eric Wood,4951,C,BUF,6,1,4,73.5,4,4,234,100.0,100.0,98.3,1,8,0,245,245,72.9,3,3,112,100.0,100.0,97.3,6,0,117,117
Cordy Glenn,7045,T,BUF,6,0,4,85.1,1,9,234,100.0,100.0,97.0,0,12,2,245,245,76.8,1,7,112,100.0,100.0,94.6,10,2,117,117
Seantrel Henderson,8871,T,BUF,6,0,4,55.2,8,9,234,100.0,100.0,94.7,1,21,4,245,245,55.4,5,8,112,100.0,100.0,92.4,15,2,117,117
Jeremy Zuttah,4397,C,BLT,6,0,3,78.0,0,4,225,100.0,100.0,99.1,2,4,0,243,243,84.7,0,1,97,100.0,100.0,99.5,1,0,104,104
Marshal Yanda,3702,G,BLT,6,1,3,76.5,3,4,225,100.0,100.0,98.0,1,8,1,243,243,71.9,3,2,97,100.0,100.0,96.4,6,1,104,104
Rick Wagner,7950,T,BLT,6,0,3,82.3,0,8,225,100.0,100.0,97.8,0,9,1,243,243,73.8,0,7,97,100.0,100.0,95.4,8,1,104,104
Trent Williams,5529,T,WAS,6,0,32,86.9,3,3,230,100.0,100.0,98.7,1,6,0,243,243,81.0,3,3,98,100.0,100.0,96.9,6,0,106,106
Willie Colon,3076,G,NYJ,6,0,22,75.2,1,11,233,100.0,100.0,97.4,0,12,0,242,242,67.9,1,9,117,100.0,100.0,95.7,10,0,123,123
Nate Solder,6169,T,NE,6,2,19,58.7,5,8,222,100.0,100.0,95.3,3,17,4,241,241,68.5,3,4,73,100.0,100.0,93.8,8,1,81,81
Ben Grubbs,3645,G,NO,5,0,20,70.3,1,10,224,100.0,100.0,97.5,0,11,0,239,239,57.8,1,8,103,100.0,100.0,95.6,9,0,111,111
Jahri Evans,3053,G,NO,5,0,20,49.8,5,10,224,100.0,100.0,95.8,0,17,2,239,239,29.6,3,9,103,100.0,100.0,92.2,14,2,111,111
Zach Strief,3155,T,NO,5,0,20,77.8,1,11,223,100.0,100.0,97.3,1,12,0,238,238,70.0,1,9,102,100.0,100.0,95.1,10,0,110,110
Chance Warmack,7791,G,TEN,6,0,31,74.4,1,13,225,100.0,100.0,96.4,1,15,1,235,235,75.7,0,8,135,100.0,100.0,96.3,9,1,142,142
Andy Levitre,4974,G,TEN,6,0,31,66.8,0,7,225,100.0,100.0,97.1,0,10,3,235,235,59.9,0,5,135,100.0,100.0,95.9,8,3,142,142
Michael Oher,4946,T,TEN,6,0,31,70.8,2,13,225,100.0,100.0,95.3,1,18,3,235,235,67.8,2,8,135,100.0,100.0,94.1,13,3,142,142
Brian Schwenke,7889,C,TEN,6,0,31,64.2,3,6,225,100.0,100.0,98.0,0,9,0,235,235,49.9,3,6,135,100.0,100.0,96.7,9,0,142,142
Daniel Kilgore,6315,C,SF,6,0,28,76.5,0,4,217,100.0,100.0,99.1,0,4,0,234,234,75.9,0,1,94,100.0,100.0,99.5,1,0,106,106
Sebastian Vollmer,4981,T,NE,6,1,19,74.8,2,6,214,100.0,100.0,97.2,1,10,2,234,234,63.1,1,3,71,100.0,100.0,94.4,6,2,80,80
Justin Pugh,7800,T,NYG,6,0,21,65.1,0,7,216,100.0,100.0,95.6,1,13,6,233,233,47.9,0,6,85,100.0,100.0,91.8,10,4,93,93
Will Beatty,4983,T,NYG,6,0,21,85.9,2,6,216,100.0,100.0,97.7,1,9,1,233,233,85.4,0,4,85,100.0,100.0,96.5,5,1,93,93
T.J. Lang,5032,G,GB,6,0,12,81.0,0,5,218,100.0,100.0,97.9,1,7,2,233,233,79.6,0,3,74,100.0,100.0,95.3,5,2,81,81
J.D. Walton,5604,C,NYG,6,0,21,70.9,1,5,216,100.0,100.0,98.6,1,6,0,233,233,66.2,1,2,85,100.0,100.0,98.2,3,0,93,93
Weston Richburg,8678,G,NYG,6,0,21,67.0,2,4,216,100.0,100.0,98.1,1,7,1,233,233,43.3,1,4,85,100.0,100.0,95.9,6,1,93,93
Joe Staley,3644,T,SF,6,0,28,76.6,2,10,216,100.0,100.0,96.8,2,13,1,233,233,70.4,2,7,94,100.0,100.0,95.2,9,0,106,106
