player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Anthony Castonzo,6174,T,IND,12,100.0,1,14,82.8,87.8,66.7,7,19,544,100.0,100.0,97.2,4,28,2,886,0,0,868,886,571,571,0,0,315,18
Jason Peters,2148,T,PHI,12,100.0,1,24,91.1,91.4,83.5,4,11,506,100.0,100.0,98.3,6,16,1,884,0,0,852,884,537,537,0,2,347,30
Kelvin Beachum,7229,T,PIT,12,100.0,0,25,79.4,89.4,65.7,3,7,504,100.0,100.0,97.6,6,17,7,872,0,0,872,872,541,541,0,0,331,0
David DeCastro,7640,G,PIT,12,100.0,0,25,75.0,79.3,69.6,2,18,504,100.0,100.0,97.4,3,23,3,872,0,0,0,872,541,541,872,0,331,0
Ben Grubbs,3645,G,NO,12,100.0,0,20,70.2,73.3,64.2,5,21,513,100.0,100.0,97.3,3,27,1,870,0,870,0,870,550,550,0,0,320,0
Jahri Evans,3053,G,NO,12,100.0,0,20,71.7,57.4,74.2,7,27,513,100.0,100.0,96.1,1,37,3,870,0,0,0,870,550,550,870,0,320,0
Orlando Franklin,6198,G,DEN,12,100.0,0,10,73.4,79.6,73.5,2,6,495,100.0,100.0,99.0,10,9,1,869,0,869,0,869,529,529,0,0,340,0
Manuel Ramirez,3733,C,DEN,12,100.0,0,10,72.0,78.7,69.0,2,12,493,100.0,100.0,98.4,4,15,1,865,562,0,0,865,527,527,303,0,338,0
Maurkice Pouncey,5543,C,PIT,12,100.0,1,25,74.4,86.1,69.2,2,11,504,100.0,100.0,98.5,4,14,1,865,865,0,0,865,541,541,0,0,324,0
Louis Vasquez,5001,G,DEN,12,100.0,1,10,75.3,77.1,72.0,5,11,494,100.0,100.0,98.0,6,18,2,863,0,0,0,863,528,528,556,306,335,1
Ryan Clady,4326,T,DEN,12,100.0,1,10,73.9,73.9,66.5,7,17,488,100.0,100.0,97.3,4,25,1,847,0,0,846,847,521,521,0,1,326,0
John Jerry,5598,G,NYG,12,100.0,1,21,61.3,69.0,57.5,1,20,477,100.0,100.0,97.0,5,25,4,846,0,0,0,846,505,505,831,14,341,0
J.D. Walton,5604,C,NYG,12,100.0,0,21,67.0,65.4,64.9,3,13,478,100.0,100.0,98.1,2,17,1,840,840,0,0,840,506,506,0,0,334,0
Mitchell Schwartz,7041,T,CLV,12,100.0,0,8,71.4,72.5,67.0,5,18,432,100.0,100.0,96.2,3,28,5,839,0,0,0,839,457,457,0,839,382,0
John Greco,4379,G,CLV,12,100.0,1,8,78.4,76.5,76.7,5,9,432,100.0,100.0,97.9,5,16,2,839,118,0,0,839,457,457,721,0,382,0
Joe Thomas,3619,T,CLV,12,100.0,3,8,91.6,92.6,88.8,3,7,432,100.0,100.0,98.6,7,11,1,839,0,0,838,839,457,457,0,0,382,1
Joel Bitonio,8670,G,CLV,12,100.0,1,8,78.6,89.6,72.1,1,8,432,100.0,100.0,99.0,5,9,0,839,0,839,0,839,457,457,0,0,382,0
Will Beatty,4983,T,NYG,12,100.0,0,21,79.8,80.3,71.2,7,18,476,100.0,100.0,96.7,3,28,3,836,0,0,834,836,504,504,0,0,332,2
Dominic Raiola,820,C,DET,12,100.0,0,11,62.2,79.9,55.9,0,12,506,100.0,100.0,98.0,6,16,4,834,834,0,0,834,544,544,0,0,290,0
Rob Sims,3073,G,DET,12,100.0,0,11,67.1,71.6,61.7,6,20,506,100.0,100.0,96.8,3,29,3,834,0,834,0,834,544,544,0,0,290,0
Nate Solder,6169,T,NE,12,100.0,2,19,68.7,69.4,68.2,8,10,464,100.0,100.0,97.0,7,23,5,826,0,0,826,826,500,500,0,0,326,0
D'Brickashaw Ferguson,2949,T,NYJ,12,100.0,0,22,74.9,83.4,61.0,6,20,456,100.0,100.0,96.9,2,27,1,823,0,0,813,823,478,478,0,0,345,10
Nick Mangold,2974,C,NYJ,12,100.0,1,22,86.7,90.0,82.9,1,3,456,100.0,100.0,99.3,2,5,1,823,823,0,0,823,478,478,0,0,345,0
Breno Giacomini,4464,T,NYJ,12,100.0,0,22,68.5,72.8,64.8,7,23,456,100.0,100.0,96.1,6,33,3,823,0,0,0,823,478,478,0,823,345,0
Jon Asamoah,5593,G,ATL,12,100.0,1,2,71.3,83.8,62.9,2,16,501,100.0,100.0,97.8,4,20,2,821,0,0,0,821,537,537,821,0,284,0
Willie Colon,3076,G,NYJ,12,100.0,0,22,67.8,81.3,68.6,2,17,450,100.0,100.0,97.7,11,20,1,817,0,0,0,817,472,472,817,0,345,0
Chris Chester,3001,G,WAS,12,100.0,0,32,70.1,78.9,63.5,3,12,463,100.0,100.0,97.7,3,18,3,814,1,0,0,814,498,498,813,0,316,0
Kory Lichtensteiger,4422,C,WAS,12,100.0,1,32,69.6,80.3,63.0,0,12,463,100.0,100.0,98.7,2,12,0,813,813,0,0,813,498,498,0,0,315,0
Derek Newton,6366,T,HST,12,100.0,0,13,70.6,56.5,79.9,6,30,406,100.0,100.0,95.1,5,38,2,812,0,0,11,812,437,437,0,801,375,0
Rick Wagner,7950,T,BLT,12,100.0,0,3,82.3,80.9,78.3,0,15,421,100.0,100.0,97.7,2,17,2,812,0,0,0,812,460,460,0,812,352,0
Terron Armstead,7856,T,NO,12,100.0,0,20,79.0,79.8,72.6,4,18,469,100.0,100.0,97.0,5,25,3,811,0,0,811,811,505,505,0,0,306,0
Gosder Cherilus,4331,T,IND,11,100.0,0,14,62.9,66.6,58.4,12,21,503,100.0,100.0,95.7,2,38,5,809,0,0,0,809,528,528,0,788,281,21
Kyle Long,7801,G,CHI,12,100.0,1,6,73.7,86.3,67.4,1,10,503,100.0,100.0,98.9,6,11,0,808,0,0,0,808,538,538,808,0,270,0
Sebastian Vollmer,4981,T,NE,12,100.0,1,19,77.3,75.3,74.3,5,14,447,100.0,100.0,97.2,3,22,3,806,0,0,0,806,484,484,0,803,322,3
Jeremy Zuttah,4397,C,BLT,12,100.0,0,3,75.5,72.7,75.1,0,16,421,100.0,100.0,97.9,3,17,1,805,805,0,0,805,460,460,0,0,345,0
Chris Myers,2417,C,HST,12,100.0,2,13,73.2,67.2,73.0,2,16,404,100.0,100.0,97.5,2,19,1,804,804,0,0,804,435,435,0,0,369,0
Joe Staley,3644,T,SF,12,100.0,2,28,86.5,82.1,86.0,3,18,453,100.0,100.0,96.8,7,25,4,804,0,0,793,804,487,487,0,0,317,10
Duane Brown,4340,T,HST,12,100.0,1,13,76.2,80.9,70.8,8,12,402,100.0,100.0,97.0,7,22,2,802,0,0,801,802,433,433,0,0,369,1
Clint Boling,6253,G,CIN,12,100.0,1,7,70.8,68.2,67.9,7,8,409,100.0,100.0,97.7,4,17,2,800,0,779,0,800,441,441,0,21,359,0
Ryan Kalil,3675,C,CAR,12,100.0,0,5,69.5,73.4,69.2,1,15,465,100.0,100.0,97.6,0,19,3,800,800,0,0,800,497,497,0,0,303,0
Russell Bodine,8746,C,CIN,12,100.0,0,7,65.7,66.5,62.8,0,13,409,100.0,100.0,98.2,3,14,1,800,800,0,0,800,441,441,0,0,359,0
Marshal Yanda,3702,G,BLT,12,100.0,1,3,93.9,81.5,93.6,4,8,419,100.0,100.0,98.3,3,13,1,800,0,0,0,800,457,457,800,0,343,0
Chad Rinehart,4410,G,SD,12,100.0,0,27,60.2,59.6,57.6,5,24,451,100.0,100.0,95.9,1,33,4,797,0,797,0,797,482,482,0,0,315,0
Tyron Smith,6161,T,DAL,12,100.0,1,9,79.9,87.5,71.7,6,12,395,100.0,100.0,97.2,8,20,2,794,0,0,794,794,419,419,0,0,375,0
Zack Martin,8651,G,DAL,12,100.0,0,9,85.0,91.8,76.4,2,5,395,100.0,100.0,99.1,2,7,0,794,0,0,0,794,419,419,794,0,375,0
Travis Frederick,7812,C,DAL,12,100.0,0,9,76.3,75.9,73.8,2,10,395,100.0,100.0,98.2,6,13,1,794,794,0,0,794,419,419,0,0,375,0
Samson Satele,3676,C,MIA,12,100.0,1,17,65.8,68.8,65.4,7,7,461,100.0,100.0,98.0,6,16,2,793,791,0,0,793,489,489,2,0,304,0
Jared Veldheer,5594,T,ARZ,12,100.0,2,1,81.0,88.2,70.2,3,16,454,100.0,100.0,97.7,6,20,1,793,0,0,792,793,493,493,0,0,300,1
Lyle Sendlein,4062,C,ARZ,12,100.0,0,1,54.1,64.1,46.7,8,12,454,100.0,100.0,97.6,2,21,1,793,793,0,0,793,493,493,0,0,300,0
Bobby Massie,7112,T,ARZ,12,100.0,0,1,71.2,66.3,74.2,7,19,454,100.0,100.0,96.3,5,30,4,793,0,0,0,793,493,493,0,793,300,0
Zach Strief,3155,T,NO,12,100.0,0,20,72.9,75.5,65.3,5,22,470,100.0,100.0,96.7,2,29,2,789,0,0,0,789,503,503,0,789,286,0
King Dunlap,4544,T,SD,12,100.0,0,27,78.6,75.3,75.3,4,29,446,100.0,100.0,95.6,3,36,3,788,0,0,788,788,477,477,0,0,311,0
