player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Anthony Castonzo,6174,T,IND,11,100.0,1,14,80.8,86.8,64.1,7,19,514,100.0,100.0,97.1,4,28,2,835,0,0,819,835,540,540,0,0,295,16
Ben Grubbs,3645,G,NO,11,100.0,0,20,71.3,73.7,65.5,5,19,485,100.0,100.0,97.3,3,25,1,814,0,814,0,814,520,520,0,0,294,0
Jahri Evans,3053,G,NO,11,100.0,0,20,70.3,55.3,73.5,7,27,485,100.0,100.0,95.9,1,37,3,814,0,0,0,814,520,520,814,0,294,0
Jason Peters,2148,T,PHI,11,100.0,1,24,90.6,91.5,82.0,4,10,474,100.0,100.0,98.3,6,15,1,807,0,0,782,807,503,503,0,1,304,24
Orlando Franklin,6198,G,DEN,11,100.0,0,10,70.1,80.6,69.3,2,6,460,100.0,100.0,98.9,10,9,1,787,0,787,0,787,492,492,0,0,295,0
David DeCastro,7640,G,PIT,11,100.0,0,25,73.3,79.4,67.6,2,15,445,100.0,100.0,97.4,3,20,3,783,0,0,0,783,475,475,783,0,308,0
Kelvin Beachum,7229,T,PIT,11,100.0,0,25,78.8,90.3,63.3,1,6,445,100.0,100.0,97.6,4,14,7,783,0,0,783,783,475,475,0,0,308,0
Manuel Ramirez,3733,C,DEN,11,100.0,0,10,69.4,78.1,66.0,1,12,458,100.0,100.0,98.4,4,14,1,783,562,0,0,783,490,490,221,0,293,0
Louis Vasquez,5001,G,DEN,11,100.0,1,10,75.6,77.7,72.5,5,9,459,100.0,100.0,98.3,6,15,1,782,0,0,0,782,491,491,556,225,291,1
Maurkice Pouncey,5543,C,PIT,11,100.0,1,25,74.5,83.9,70.8,2,11,445,100.0,100.0,98.3,4,14,1,776,776,0,0,776,475,475,0,0,301,0
John Jerry,5598,G,NYG,11,100.0,1,21,62.3,68.6,59.4,1,20,439,100.0,100.0,97.2,5,23,2,772,0,0,0,772,467,467,771,0,305,0
Nate Solder,6169,T,NE,11,100.0,2,19,68.9,69.5,66.5,7,10,428,100.0,100.0,97.1,7,21,4,770,0,0,770,770,462,462,0,0,308,0
Joe Thomas,3619,T,CLV,11,100.0,1,8,93.1,93.1,90.0,2,6,390,100.0,100.0,98.7,3,9,1,770,0,0,769,770,412,412,0,0,358,1
Mitchell Schwartz,7041,T,CLV,11,100.0,0,8,73.4,73.7,69.7,4,16,390,100.0,100.0,96.2,3,25,5,770,0,0,0,770,412,412,0,770,358,0
Joel Bitonio,8670,G,CLV,11,100.0,1,8,79.9,88.0,74.5,1,8,390,100.0,100.0,98.8,5,9,0,770,0,770,0,770,412,412,0,0,358,0
John Greco,4379,G,CLV,11,100.0,1,8,77.6,73.4,76.9,5,9,390,100.0,100.0,97.7,5,16,2,770,118,0,0,770,412,412,652,0,358,0
J.D. Walton,5604,C,NYG,11,100.0,0,21,69.9,70.4,66.7,2,11,440,100.0,100.0,98.5,2,13,0,766,766,0,0,766,468,468,0,0,298,0
Ryan Clady,4326,T,DEN,11,100.0,1,10,72.1,73.5,63.4,6,16,453,100.0,100.0,97.4,4,23,1,765,0,0,764,765,484,484,0,1,281,0
Will Beatty,4983,T,NYG,11,100.0,0,21,79.6,80.0,71.3,7,15,438,100.0,100.0,96.8,3,25,3,762,0,0,762,762,466,466,0,0,296,0
Rob Sims,3073,G,DET,11,100.0,0,11,66.4,70.7,61.4,6,19,459,100.0,100.0,96.8,3,27,2,761,0,761,0,761,496,496,0,0,265,0
Dominic Raiola,820,C,DET,11,100.0,0,11,61.6,78.6,56.2,0,11,459,100.0,100.0,97.9,5,15,4,761,761,0,0,761,496,496,0,0,265,0
Terron Armstead,7856,T,NO,11,100.0,0,20,78.1,79.4,71.8,4,18,442,100.0,100.0,96.8,4,25,3,759,0,0,759,759,477,477,0,0,282,0
Breno Giacomini,4464,T,NYJ,11,100.0,0,22,66.6,73.4,60.7,7,20,438,100.0,100.0,96.2,6,30,3,759,0,0,0,759,460,460,0,759,299,0
Nick Mangold,2974,C,NYJ,11,100.0,1,22,83.5,89.6,79.2,1,3,438,100.0,100.0,99.3,2,5,1,759,759,0,0,759,460,460,0,0,299,0
D'Brickashaw Ferguson,2949,T,NYJ,11,100.0,0,22,74.5,83.4,59.7,6,20,438,100.0,100.0,96.8,2,27,1,759,0,0,749,759,460,460,0,0,299,10
Gosder Cherilus,4331,T,IND,10,100.0,0,14,63.5,68.3,57.8,12,17,473,100.0,100.0,96.1,2,33,4,758,0,0,0,758,497,497,0,737,261,21
Willie Colon,3076,G,NYJ,11,100.0,0,22,63.1,80.4,63.6,2,17,432,100.0,100.0,97.6,11,20,1,753,0,0,0,753,454,454,753,0,299,0
Sebastian Vollmer,4981,T,NE,11,100.0,1,19,76.4,74.5,73.9,5,12,411,100.0,100.0,97.2,3,20,3,750,0,0,0,750,446,446,0,747,304,3
Joe Staley,3644,T,SF,11,100.0,1,28,86.0,81.0,85.1,2,17,417,100.0,100.0,96.8,5,23,4,746,0,0,735,746,445,445,0,0,301,10
Kyle Long,7801,G,CHI,11,100.0,1,6,72.9,84.9,67.9,1,10,452,100.0,100.0,98.8,6,11,0,744,0,0,0,744,482,482,744,0,262,0
Jon Asamoah,5593,G,ATL,11,100.0,1,2,71.1,82.2,63.8,2,16,458,100.0,100.0,97.6,4,20,2,742,0,0,0,742,491,491,742,0,251,0
Rick Wagner,7950,T,BLT,11,100.0,0,3,83.3,79.9,81.3,0,14,389,100.0,100.0,97.7,2,16,2,741,0,0,0,741,421,421,0,741,320,0
Derek Newton,6366,T,HST,11,100.0,0,13,67.8,54.6,77.0,6,29,372,100.0,100.0,94.8,5,37,2,741,0,0,3,741,401,401,0,738,340,0
Chris Myers,2417,C,HST,11,100.0,2,13,75.0,67.4,75.3,1,15,372,100.0,100.0,97.6,2,17,1,741,741,0,0,741,401,401,0,0,340,0
