player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Charles Woodson,330,S,OAK,2,0,0,23,66.6,0,0,0,1.6,,0,0,,0,61,1,0,0,66.6,0,0,0,4.3,,0,,0,23,1,0
John Abraham,591,ED,ARZ,1,0,0,1,47.9,0,0,20,87.0,0.0,0,0,0.0,0,23,20,0,0,49.0,0,0,14,100.0,0.0,0,0.0,0,14,14,0
Justin Smith,776,DI,SF,2,1,0,28,63.4,1,4,54,100.0,11.1,6,1,10.2,3,63,63,8,1,63.8,0,2,24,100.0,16.7,4,12.5,2,30,30,4
Julius Peppers,1010,ED,GB,2,1,0,12,67.4,2,3,50,96.4,14.0,7,1,5.0,0,55,53,5,1,73.7,1,3,20,95.7,25.0,5,10.0,0,23,22,4
Dwight Freeney,1019,ED,SD,2,0,0,27,77.2,1,8,54,98.3,22.2,12,0,10.2,1,58,57,10,0,78.3,0,5,22,100.0,31.8,7,15.9,1,25,25,6
Larry Foote,1126,LB,ARZ,2,0,0,1,53.6,0,1,27,33.3,3.7,1,1,1.9,0,84,28,1,0,45.1,0,0,16,35.4,0.0,0,0.0,0,48,17,0
Brett Keisel,1204,DI,PIT,2,0,0,25,58.1,1,4,46,100.0,6.5,3,0,5.4,0,50,50,5,0,64.9,1,3,19,100.0,15.8,3,10.5,0,19,19,4
Ryan Clark,1229,S,WAS,2,0,0,32,77.2,0,0,3,4.7,0.0,0,0,33.3,1,64,3,1,0,55.4,0,0,2,6.7,0.0,0,0.0,0,30,2,0
Kevin Williams,1325,DI,SEA,2,1,0,29,62.1,0,3,27,93.5,11.1,3,0,5.6,0,31,29,3,0,57.8,0,2,11,100.0,18.2,2,9.1,0,12,12,2
Terrell Suggs,1326,ED,BLT,2,0,0,3,68.8,1,3,57,92.2,14.0,8,0,3.5,0,64,59,4,0,66.9,1,2,19,95.2,21.1,4,7.9,0,21,20,3
Troy Polamalu,1332,S,PIT,2,0,0,25,60.0,0,0,1,1.4,0.0,0,1,0.0,0,69,1,0,0,,0,0,0,0.0,,0,,0,23,0,0
Calvin Pace,1334,ED,NYJ,2,0,0,22,57.4,0,3,40,55.0,10.0,4,2,6.3,1,80,44,4,0,58.6,0,1,14,56.7,14.3,2,10.7,1,30,17,2
Charles Tillman,1351,CB,CHI,2,0,0,6,68.5,1,0,1,1.9,100.0,1,0,50.0,0,52,1,1,0,68.5,1,0,1,4.5,100.0,1,50.0,0,22,1,1
