player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Winston Guy,7171,S,JAX,4,0,15,0,0,0,0,0,0,,0,0,,0,0,0,0,0.8,1,131,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Daimion Stafford,8031,S,TEN,3,0,31,0,0,0,0,0,0,,0,0,,0,0,0,0,1.2,1,83,1,100.0,0,0,0,0,,0,0,,0,0,0,1,1,0
Chris Owens,5013,CB,KC,5,0,16,0,2,0,0,2,0,75.0,3,3,66.7,1,0,0,0,3.1,4,128,3,50.0,0,0,0,0,25.0,1,0,0.0,0,0,0,1,0,0
Lardarius Webb,5011,CB,BLT,5,0,3,0,2,0,0,2,0,100.0,2,2,50.0,0,0,0,0,1.3,2,159,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Davon House,6283,CB,GB,7,0,12,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,1,175,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Saalim Hakim,7334,WR,NYJ,2,0,22,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,33.3,1,3,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ray-Ray Armstrong,8271,LB,OAK,1,0,23,0,2,0,0,1,0,100.0,1,1,50.0,0,0,0,0,40.0,2,5,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kyle Arrington,4742,CB,NE,8,0,19,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,1.4,2,144,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Darqueze Dennard,8659,CB,CIN,2,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,7.7,2,26,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Brandian Ross,6755,S,OAK,4,0,23,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.7,1,59,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Adam Jones,2223,CB,CIN,7,0,7,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,250,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Andre Hal,8850,CB,HST,8,0,13,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,1,87,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Prince Amukamara,6171,CB,NYG,7,0,21,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,243,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Craig Dahl,3920,S,SF,3,0,28,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,25.0,1,4,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Brandon Flowers,4349,CB,SD,6,0,27,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.5,1,187,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Antoine Bethea,3152,S,SF,7,0,28,0,1,0,0,1,0,100.0,3,2,50.0,1,1,0,0,1.1,3,263,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jarrett Bush,3261,CB,GB,5,0,12,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,4.3,1,23,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Terence Newman,1321,CB,CIN,7,0,7,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,307,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jackson Jeffcoat,9139,LB,WAS,1,0,32,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Usama Young,3682,S,OAK,4,0,23,0,1,0,0,1,0,33.3,1,1,50.0,0,0,0,0,2.7,3,111,2,50.0,0,0,0,0,66.7,2,1,50.0,1,1,0,1,1,0
Charles Tillman,1351,CB,CHI,2,0,6,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,1,49,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Morris Claiborne,7012,CB,DAL,4,0,9,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,1,93,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Bashaud Breeland,8737,CB,WAS,8,0,32,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.5,1,209,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Adam Hayward,3798,LB,WAS,3,0,32,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,16.7,1,6,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Reshad Jones,5686,S,MIA,3,0,17,0,2,0,0,2,0,75.0,3,2,33.3,0,0,0,0,3.9,5,129,3,40.0,0,0,0,0,25.0,1,0,0.0,0,0,0,1,1,0
Robert McClain,5771,CB,ATL,7,0,2,0,1,0,0,0,0,25.0,1,0,0.0,0,0,0,0,3.1,4,131,2,37.5,0,0,1,0,75.0,3,2,50.0,1,1,0,1,1,0
Rashad Johnson,5018,S,ARZ,7,0,1,0,1,0,0,0,0,50.0,2,1,50.0,1,1,0,0,1.3,4,302,2,37.5,0,0,1,0,50.0,2,1,25.0,0,0,0,1,1,0
