player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Andrew Luck,7007,QB,IND,2,-26.23,0,97,14,69.7,76,78,8.0,2.78,0,1,1.3,61.5,48,22,9.4,88,90.7,5,34,,84.4,60.6,81.8,59.2,,63.2,1,3,90,13.6,85.8,3.4,3,7,0,1,5,4,4.4,507,6.5,72.0,75,77,6.9,2.47,0,1,1.3,66.2,51,17,5.6,85,87.6,3,33,,84.3,64.3,81.8,62.0,,67.5,1,3,88,17.6,85.4,3.5,3,5,0,1,4,3,3.4,500,6.5,66.7,9,10,8.0,3.93,0,0,0.0,40.0,4,5,33.3,12,12.4,2,3,,72.4,48.4,72.9,51.3,,54.5,0,0,12,0.0,86.3,0.0,0,2,0,1,1,1,8.3,42,4.2,0,87.5,8,9,-2.8,1.38,0,0,0.0,77.8,7,0,0.0,9,9.3,0,2,,71.4,65.5,72.3,64.9,,,0,0,10,,82.9,0.0,0,0,0,1,0,0,0.0,35,3.9,-2.29
Joe Flacco,4332,QB,BLT,2,5.91,0,96,3,74.7,79,84,8.7,2.61,3,6,6.8,58.3,49,22,16.9,89,92.7,10,28,,85.0,66.6,82.1,67.3,,51.5,1,1,93,13.6,81.7,3.4,3,2,0,1,3,5,5.4,486,5.8,78.4,74,79,7.7,2.47,3,6,7.4,60.8,48,21,17.2,82,85.4,10,24,,84.4,69.5,81.9,70.4,,48.2,1,1,84,14.3,77.1,3.7,3,0,0,1,1,5,6.0,482,6.1,66.7,12,12,6.7,3.13,0,0,0.0,66.7,8,1,0.0,14,14.6,0,4,,73.9,55.0,73.9,53.8,,62.0,0,0,16,0.0,109.7,0.0,0,2,0,0,2,0,0.0,29,2.4,0,100.0,7,7,-5.0,2.01,0,0,0.0,100.0,7,0,0.0,7,7.3,0,0,,69.6,66.2,71.1,65.6,,,0,0,7,,81.5,0.0,0,0,0,0,0,0,0.0,25,3.6,-3.68
Matt Ryan,4317,QB,ATL,2,4.0,0,96,2,70.3,74,80,9.4,2.79,1,6,7.1,60.0,48,34,7.7,89,92.7,4,37,,84.4,84.4,81.7,80.6,,75.2,2,3,93,8.8,85.6,3.4,3,6,1,2,4,2,2.2,623,7.8,72.9,70,75,8.0,2.61,1,5,6.3,62.7,47,27,7.8,80,83.3,4,31,,83.7,84.4,81.4,82.4,,64.3,2,2,84,3.7,82.4,1.3,1,4,1,1,2,1,1.2,545,7.3,72.7,11,12,10.7,3.14,0,1,7.7,66.7,8,7,0.0,16,16.7,0,6,,74.2,70.7,74.1,62.6,,76.0,0,1,17,28.6,109.0,12.5,2,2,0,1,2,1,5.9,134,11.2,0,100.0,7,7,-2.0,1.61,0,0,0.0,100.0,7,0,0.0,7,7.3,0,0,,70.3,66.4,71.5,65.8,,,0,0,8,,100.0,0.0,0,0,0,0,0,0,0.0,56,8.0,3.9
Alex Smith,2218,QB,KC,2,-2.74,0,93,16,71.2,59,69,10.9,3.03,4,5,6.4,53.6,37,32,11.9,85,91.4,5,30,,84.6,69.2,15.9,72.6,,49.7,1,3,94,18.8,59.5,7.1,6,10,0,5,1,4,4.3,430,6.2,75.0,48,54,8.5,2.94,2,4,6.5,59.3,32,26,11.1,67,72.0,4,22,,83.1,69.1,6.7,73.7,,45.5,1,1,75,23.1,66.9,9.0,6,7,0,3,0,3,4.0,300,5.6,73.7,19,23,11.0,3.04,2,1,4.2,56.5,13,8,7.1,26,28.0,1,10,,76.8,70.7,75.8,69.3,,63.5,0,2,27,0.0,55.9,0.0,0,3,0,2,1,1,3.7,157,6.8,0,100.0,8,8,-3.1,2.29,0,0,0.0,100.0,8,2,0.0,8,8.6,0,2,,70.3,77.1,71.5,75.7,,,0,0,8,0.0,80.7,0.0,0,0,0,0,0,0,0.0,27,3.4,1.27
Nick Foles,7089,QB,PHI,2,-11.13,0,91,24,61.2,67,70,13.0,2.93,0,3,3.9,55.7,39,22,4.9,77,84.6,2,23,,27.5,55.4,81.9,57.2,,46.0,2,2,84,22.7,83.2,6.5,5,2,1,0,3,4,4.8,542,7.7,70.8,48,51,8.2,2.69,0,2,3.6,62.7,32,16,5.9,59,64.8,2,16,,25.2,51.9,81.3,54.1,,46.0,2,2,64,25.0,83.6,6.8,4,2,1,0,2,4,6.3,398,7.8,58.1,31,31,13.5,2.81,0,1,3.0,51.6,16,6,11.1,32,35.2,2,11,,78.1,63.5,76.6,63.0,,,0,0,34,16.7,90.1,3.1,1,0,0,0,1,0,0.0,255,8.2,0,91.7,12,12,-4.8,1.69,0,0,0.0,75.0,9,0,18.2,14,15.4,2,4,,73.2,60.8,73.5,60.6,,,0,0,14,,103.1,0.0,0,0,0,0,0,0,0.0,111,9.3,0.43
Matthew Stafford,4924,QB,DET,2,-17.95,0,88,11,71.0,69,76,10.2,2.79,2,6,7.3,59.2,45,24,8.2,84,95.5,4,31,,84.5,75.0,20.1,74.3,,62.9,1,1,90,20.8,91.7,6.0,5,2,0,4,3,3,3.3,594,7.8,76.7,60,65,8.3,2.76,1,4,6.1,64.6,42,20,8.7,71,80.7,4,28,,83.1,87.6,12.1,86.9,,62.9,1,0,72,20.0,102.3,5.6,4,2,0,3,2,1,1.4,563,8.7,53.8,13,15,14.8,2.62,1,2,10.0,46.7,7,4,0.0,17,19.3,0,5,,75.6,38.9,75.0,40.5,,,0,1,22,25.0,56.0,5.9,1,0,0,1,1,2,9.1,74,4.9,0,100.0,4,4,-3.8,1.5,0,0,0.0,100.0,4,0,0.0,4,4.5,0,2,,66.9,64.0,69.2,63.6,,,0,0,4,,111.5,0.0,0,0,0,0,0,0,0.0,43,10.8,-3.73
Ryan Tannehill,7014,QB,MIA,2,-7.3,0,88,17,72.5,69,73,8.9,2.67,2,2,2.5,58.9,43,24,14.0,80,90.9,7,26,,84.3,79.3,82.0,81.1,,44.8,0,2,86,20.8,75.9,6.3,5,2,0,2,3,2,2.3,393,5.4,71.2,59,61,7.1,2.44,2,0,0.0,62.3,38,14,9.5,66,75.0,4,21,,83.1,69.9,81.6,72.3,,44.8,0,1,71,21.4,82.0,4.5,3,2,0,0,2,1,1.4,350,5.7,82.4,17,20,10.1,3.02,1,2,9.5,55.0,11,11,21.4,22,25.0,3,5,,75.9,90.2,75.2,88.2,,,0,1,23,18.2,58.1,9.1,2,0,0,2,1,1,4.3,69,3.5,0,85.7,7,8,-3.7,1.78,1,0,0.0,75.0,6,1,0.0,8,9.1,0,0,,70.3,58.8,71.5,58.8,,,0,0,8,0.0,78.1,0.0,0,0,0,0,0,0,0.0,26,3.3,-2.29
Jay Cutler,2956,QB,CHI,2,-13.87,0,88,6,71.6,74,75,9.0,2.56,0,3,3.4,68.0,51,19,3.8,80,90.9,2,28,,84.6,67.0,81.4,65.3,,66.3,1,2,92,15.8,100.3,3.8,3,2,0,0,6,4,4.3,468,6.2,77.6,67,69,7.2,2.4,0,3,3.8,71.0,49,17,5.8,74,84.1,3,27,,84.0,74.3,81.2,72.3,,66.3,1,1,84,17.6,112.6,4.1,3,2,0,1,6,2,2.4,470,6.8,57.1,14,14,11.1,3.19,0,0,0.0,57.1,8,2,0.0,14,15.9,0,4,,73.9,40.9,73.9,42.4,,,0,1,16,0.0,36.3,0.0,0,0,0,0,0,2,12.5,55,3.9,0,100.0,7,8,-4.1,2.13,0,0,0.0,75.0,6,0,14.3,8,9.1,1,3,,70.3,64.7,71.5,64.2,,,0,0,8,,94.3,0.0,0,0,0,1,0,0,0.0,57,7.1,-2.88
Chad Henne,4371,QB,JAX,2,-1.99,0,87,15,67.3,55,62,10.6,2.57,4,4,6.3,51.6,32,37,13.5,78,89.7,5,19,,83.5,50.6,81.2,50.2,,59.8,2,1,80,35.1,84.3,16.7,13,2,0,1,3,3,3.8,443,7.1,70.7,41,48,8.9,2.38,4,3,6.0,54.2,26,27,10.3,59,67.8,3,13,,81.8,43.2,80.5,44.6,,51.0,2,1,62,33.3,83.7,15.3,9,1,0,1,2,3,4.8,360,7.5,60.9,23,23,8.6,2.84,0,1,4.3,52.2,12,11,14.3,28,32.2,2,6,,77.0,59.1,75.9,55.8,,65.9,0,0,28,36.4,78.0,14.3,4,1,0,0,1,1,3.6,99,4.3,0,66.7,9,9,-2.4,2.11,0,0,0.0,66.7,6,1,0.0,9,10.3,0,0,,71.4,35.0,72.3,36.6,,,0,0,10,0.0,70.1,0.0,0,0,0,0,0,1,10.0,16,1.8,-3.2
Drew Brees,802,QB,NO,2,-1.9,0,86,20,78.9,71,76,7.9,2.83,2,1,1.3,67.1,51,27,8.9,80,93.0,5,34,,83.8,77.2,81.9,76.9,,51.6,1,2,85,7.4,90.6,2.5,2,2,1,1,3,3,3.5,554,7.3,80.3,66,70,6.1,2.58,2,1,1.4,68.6,48,22,9.4,73,84.9,5,30,,83.2,75.8,81.7,75.2,,55.9,1,2,78,9.1,90.2,2.7,2,1,1,0,3,3,3.8,480,6.9,72.7,11,12,12.3,3.72,0,0,0.0,66.7,8,5,0.0,13,15.1,0,4,,72.8,73.1,73.2,74.1,,58.3,0,0,13,0.0,88.9,0.0,0,1,0,1,0,0,0.0,90,7.5,0,83.3,6,6,-4.2,1.68,0,0,0.0,83.3,5,0,0.0,6,7.0,0,0,,68.9,65.6,70.6,65.1,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,16,2.7,0.64
