player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Charles Woodson,330,S,OAK,2,1,8.8,0,0,23,73.6,82.5,81.1,66.6,76.1,70.3,12.5,2,0,76,82,3.9,3,13
John Abraham,591,ED,ARZ,1,0,-4.0,0,0,1,60.4,54.7,70.5,47.9,66.7,69.9,0.0,0,0,13,13,7.7,1,1
Justin Smith,776,DI,SF,2,3,5.5,0,0,28,,71.0,20.6,63.4,77.9,74.2,0.0,0,1,28,28,0.0,0,2
Julius Peppers,1010,ED,GB,2,2,4.8,0,0,12,72.7,74.8,29.5,67.4,68.0,46.4,0.0,0,1,50,51,2.0,1,4
Dwight Freeney,1019,ED,SD,2,0,,0,0,27,60.0,78.0,81.6,77.2,60.0,69.2,,0,0,16,16,0.0,0,0
Larry Foote,1126,LB,ARZ,2,4,0.8,0,0,1,55.0,64.4,0.0,53.6,83.0,45.4,0.0,0,1,49,49,10.2,5,6
Brett Keisel,1204,DI,PIT,2,0,2.0,0,0,25,60.0,49.9,78.2,58.1,50.0,29.2,0.0,0,0,40,40,2.5,1,1
Ryan Clark,1229,S,WAS,2,1,5.4,0,0,32,67.0,55.3,79.8,77.2,29.6,27.9,45.5,5,0,39,42,7.7,3,5
Terence Newman,1321,CB,CIN,2,0,2.0,0,0,7,60.1,63.2,80.8,,79.6,63.2,0.0,0,1,34,37,5.9,2,2
Kevin Williams,1325,DI,SEA,2,0,3.0,0,0,29,60.7,65.5,77.6,62.1,62.5,70.4,0.0,0,0,18,20,5.6,1,2
Terrell Suggs,1326,ED,BLT,2,1,1.0,0,0,3,59.7,78.7,80.5,68.8,79.1,75.8,0.0,0,0,32,32,9.4,3,4
Troy Polamalu,1332,S,PIT,2,2,5.7,0,0,25,68.8,60.3,0.0,60.0,45.7,49.6,18.2,2,1,66,66,4.5,3,7
Calvin Pace,1334,ED,NYJ,2,1,2.5,0,0,22,59.6,62.4,17.7,57.4,76.6,47.3,0.0,0,2,28,28,7.1,2,2
Charles Tillman,1351,CB,CHI,2,0,27.0,0,0,6,68.6,67.4,80.4,68.5,46.5,83.2,0.0,0,0,44,44,0.0,0,2
Rashean Mathis,1355,CB,DET,2,0,,0,0,11,70.0,66.3,81.5,59.3,43.0,57.7,100.0,1,1,41,41,0.0,0,0
Osi Umenyiora,1371,ED,ATL,2,1,5.0,0,0,2,,45.8,77.3,47.7,54.0,70.6,0.0,0,0,12,12,0.0,0,1
Cory Redding,1381,DI,IND,2,1,-1.0,0,0,14,60.0,69.4,23.9,70.4,65.6,73.1,33.3,1,1,38,41,2.6,1,1
Lance Briggs,1383,LB,CHI,2,2,1.0,0,0,6,52.3,62.4,73.1,54.1,75.4,63.8,0.0,0,0,53,53,5.7,3,3
Jarret Johnson,1421,ED,SD,1,1,,0,0,27,88.1,77.8,75.6,51.9,69.2,72.7,50.0,1,0,16,17,0.0,0,0
Ike Taylor,1437,CB,PIT,2,0,13.5,1,0,25,59.9,53.6,0.0,,56.8,33.3,33.3,1,2,62,62,0.0,0,2
Chris Clemons,1585,ED,JAX,2,1,21.0,1,0,15,57.4,51.2,28.0,62.0,50.3,32.5,25.0,1,2,40,40,0.0,0,2
Colin Cole,1589,DI,CAR,2,1,2.5,0,0,5,,77.8,76.0,52.7,83.3,71.2,0.0,0,0,14,14,14.3,2,4
Cullen Jenkins,1637,DI,NYG,2,1,-0.5,0,0,21,59.5,71.8,78.9,70.1,65.6,70.6,0.0,0,0,22,23,9.1,2,2
DeAngelo Hall,1729,CB,WAS,2,0,6.5,0,0,32,52.4,49.4,0.0,58.6,72.5,72.1,0.0,0,1,39,42,2.6,1,2
D.J. Williams,1738,LB,CHI,2,0,2.0,0,0,6,46.9,37.1,73.7,,40.6,78.0,50.0,1,0,28,28,3.6,1,1
