player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,12,20,0,78.1,0,0,23,58.7,62.0,89.2,82.1,62.3,64.2,0,0,2,48,14.3,15,4,0,120.7,25,1,191,14,431,839,0,0,0,0,0,533,839,12,396,101,28,70,32,1,3,375,243,15.0
John Abraham,591,ED,ARZ,1,0,0,,0,0,1,60.4,54.7,70.5,47.9,66.7,69.9,0,0,0,,0.0,0,0,0,0.0,0,0,27,0,3,37,10,0,0,10,0,0,27,20,14,0,1,1,0,0,0,0,0,
Justin Smith,776,DI,SF,12,9,1,,0,2,28,67.0,79.6,70.6,60.5,88.5,80.0,8,17,0,,0.0,0,0,1,0.0,0,5,25,0,2,543,518,0,7,74,437,0,25,343,198,0,17,19,0,30,0,0,0,
Ryan Pickett,799,DI,HST,9,1,1,,0,0,13,,53.5,82.0,48.5,57.6,75.1,0,1,0,,14.3,2,0,0,0.0,0,0,0,0,0,234,234,54,20,9,151,0,0,106,128,0,11,11,0,1,0,0,0,
Julius Peppers,1010,ED,GB,12,7,3,33.3,1,2,12,83.2,79.5,70.7,78.6,58.0,35.0,8,23,2,5,25.0,8,1,3,2.8,1,6,37,0,33,627,587,0,0,540,47,0,40,355,239,3,17,17,3,37,0,5,8,5.0
Dwight Freeney,1019,ED,SD,12,2,0,,0,0,27,72.9,67.0,43.4,69.5,57.0,40.3,6,32,0,,37.5,3,0,3,0.0,0,2,13,0,11,460,446,2,2,266,176,0,14,320,129,1,5,3,0,40,0,0,0,
Larry Foote,1126,LB,ARZ,12,12,0,85.7,0,0,1,46.9,48.8,33.8,50.3,60.4,38.1,3,7,1,33,19.8,17,0,3,99.2,42,1,771,6,373,800,19,0,0,19,0,4,781,146,281,0,34,57,49,11,1,403,297,9.6
Brett Keisel,1204,DI,PIT,12,5,4,,1,0,25,72.5,59.9,66.0,56.0,62.0,66.6,6,13,1,,10.5,2,0,1,0.0,0,1,24,0,6,442,417,3,3,57,354,0,25,289,147,1,9,12,0,20,0,0,0,
Ryan Clark,1229,S,WAS,12,16,0,66.7,0,0,32,49.8,43.7,55.5,35.6,39.7,41.4,0,3,1,13,20.2,17,1,1,73.8,12,1,130,2,430,742,0,0,0,0,0,582,742,21,291,28,16,51,18,4,1,90,55,7.5
James Harrison,1251,ED,PIT,9,2,0,100.0,0,0,25,55.5,71.6,59.8,75.3,66.1,71.3,13,8,0,13,8.7,2,0,2,135.4,4,4,11,1,43,308,278,0,0,278,0,0,30,150,115,18,18,19,4,25,1,28,20,7.0
Terence Newman,1321,CB,CIN,11,7,0,55.8,0,0,7,68.1,69.1,67.0,58.6,70.5,64.3,0,1,1,23,10.6,7,5,5,73.3,43,0,72,684,465,777,0,0,0,0,0,6,777,1,311,15,21,52,77,1,2,396,94,9.2
Kevin Williams,1325,DI,SEA,12,7,2,0.0,0,0,29,59.7,60.4,84.2,52.7,63.6,65.0,0,7,0,,8.7,2,0,0,39.6,0,0,0,0,8,315,315,11,210,4,90,0,0,148,159,0,9,14,1,7,0,0,0,
Terrell Suggs,1326,ED,BLT,12,7,1,66.7,1,0,3,68.7,75.4,20.0,69.0,83.2,72.9,11,20,0,6,10.0,3,0,7,71.5,2,8,50,0,43,644,592,0,0,550,42,0,52,391,210,2,23,20,3,39,0,10,15,5.0
Troy Polamalu,1332,S,PIT,10,8,0,70.6,0,1,25,73.0,71.4,0.0,76.8,79.2,48.3,2,3,0,42,18.0,11,1,6,108.7,12,1,257,7,337,592,0,0,0,0,0,232,592,32,223,96,20,42,17,6,1,115,65,9.6
Calvin Pace,1334,ED,NYJ,12,6,1,66.7,0,0,22,76.1,65.8,50.7,48.8,70.0,65.2,1,11,0,35,10.7,3,2,3,75.7,14,3,229,13,180,601,302,0,0,199,103,0,299,195,226,57,15,19,21,15,0,91,88,6.5
Charles Tillman,1351,CB,CHI,2,0,0,77.8,0,0,6,68.6,67.4,80.4,68.5,46.5,83.2,1,0,0,22,0.0,0,1,0,97.2,7,0,14,81,51,97,0,0,0,0,0,0,97,1,45,2,4,10,9,1,0,66,9,9.4
Rashean Mathis,1355,CB,DET,12,4,0,59.7,2,1,11,70.5,70.1,61.6,58.3,64.5,58.2,0,0,1,49,18.4,7,3,8,78.7,37,0,68,693,518,770,0,0,0,0,0,4,770,2,250,5,8,27,62,0,1,420,185,11.4
Osi Umenyiora,1371,ED,ATL,12,2,0,100.0,0,0,2,35.5,59.3,82.4,61.2,61.7,75.8,5,20,0,49,0.0,0,0,1,118.8,1,3,22,0,4,281,259,0,2,53,204,0,22,237,40,0,6,7,1,28,0,49,47,49.0
Cory Redding,1381,DI,IND,12,4,1,0.0,1,0,14,75.2,59.5,24.2,57.3,61.5,80.7,8,18,0,,8.3,2,0,4,39.6,0,3,26,0,4,572,545,1,15,192,337,0,27,354,214,1,20,18,1,29,0,0,0,
Lance Briggs,1383,LB,CHI,8,13,0,74.3,0,1,6,54.4,63.0,76.1,55.6,73.9,54.2,1,1,1,56,13.3,6,2,0,118.0,26,0,427,2,247,455,2,0,0,2,0,0,453,33,175,24,17,26,35,2,3,314,191,12.1
Jarret Johnson,1421,ED,SD,11,6,1,50.0,0,1,27,74.5,71.3,66.3,50.6,75.6,77.7,0,6,0,37,5.9,2,0,1,66.7,6,1,63,0,85,409,342,0,1,245,96,0,67,125,199,4,15,26,12,7,0,66,75,11.0
Ike Taylor,1437,CB,PIT,4,1,0,68.8,2,0,25,44.8,43.0,0.0,,60.5,30.9,0,0,0,69,25.0,3,2,3,145.8,11,0,35,181,125,221,0,0,0,0,0,0,221,0,96,5,0,8,16,0,3,180,63,16.4
Chris Clemons,1585,ED,JAX,12,5,1,,4,2,15,66.8,55.3,20.9,56.2,60.1,54.4,4,12,0,,11.5,3,0,7,0.0,0,8,6,0,15,578,572,0,0,33,539,0,6,360,203,0,20,18,0,24,0,0,0,
Colin Cole,1589,DI,CAR,12,7,0,,0,0,5,62.7,58.4,84.3,47.8,62.0,75.4,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,304,304,3,237,0,64,0,0,149,155,0,8,13,0,2,0,0,0,
Cullen Jenkins,1637,DI,NYG,8,3,1,,0,0,21,62.8,67.9,84.1,76.3,49.0,58.7,4,8,0,,20.0,3,0,0,0.0,0,0,0,0,3,234,234,8,207,3,16,0,0,148,83,0,7,9,0,12,0,0,0,
DeAngelo Hall,1729,CB,WAS,3,2,0,83.3,0,0,32,50.6,50.9,0.0,58.6,83.6,76.1,0,0,0,26,7.1,1,0,1,118.8,5,0,20,122,92,147,0,0,0,0,0,0,147,1,54,5,4,11,6,0,0,76,18,15.2
D.J. Williams,1738,LB,CHI,11,10,0,77.3,0,0,6,43.9,54.7,29.8,58.9,69.4,77.4,0,3,0,46,12.0,6,0,1,120.3,17,0,371,0,180,374,1,0,0,1,0,0,373,9,185,2,20,34,22,3,1,204,117,12.0
