player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Andrew Luck,7007,QB,IND,12,-7.5,0,540,14,73.6,421,455,10.0,2.89,9,30,6.3,62.2,283,182,8.7,504,93.3,27,198,,,,,59.1,82.4,61.5,,80.6,,,68.1,,,7,11,530,11.5,103.9,4.2,21,28,0,18,34,21,4.0,3839,8.4,75.5,367,394,8.6,2.66,10,22,5.3,65.2,257,137,7.2,431,79.8,20,166,,,,,62.4,79.2,58.8,,77.4,,,68.2,,,6,10,454,10.9,99.9,3.5,15,22,0,11,25,17,3.7,3112,7.9,74.7,87,97,11.2,3.44,1,8,7.9,57.7,56,46,13.8,109,20.2,9,43,,,,,58.5,79.6,81.0,,78.3,,,62.1,,,1,1,113,13.0,115.5,5.5,6,6,0,8,9,5,4.4,900,9.3,0,97.0,33,36,-2.5,1.79,2,0,0.0,83.3,30,1,6.3,36,6.7,2,11,,,,,78.6,61.4,76.9,,61.1,,,,,,0,0,37,0.0,86.7,0.0,0,0,0,1,0,1,2.7,173,4.8,1.38
Drew Brees,802,QB,NO,12,3.14,0,518,20,80.5,405,442,9.2,2.67,8,26,5.5,69.2,306,173,6.1,471,90.9,20,192,,,,,80.1,91.4,47.6,,91.1,,,52.8,,,8,11,503,10.4,102.2,3.8,18,11,5,16,26,21,4.2,3520,8.0,81.3,368,404,7.6,2.46,8,17,4.0,69.8,282,142,5.7,426,82.2,17,163,,,,,77.6,84.0,45.0,,83.7,,,53.7,,,9,11,451,8.5,96.8,2.8,12,10,5,14,21,21,4.7,2959,7.3,84.4,77,85,9.5,3.13,1,9,9.9,72.9,62,34,4.6,92,17.8,3,36,,,,,84.8,95.9,80.5,,94.8,,,58.3,,,0,0,99,17.6,125.1,6.5,6,1,0,7,6,0,0.0,789,9.3,0,95.0,40,47,-4.2,1.67,1,0,0.0,80.9,38,3,0.0,47,9.1,0,7,,,,,80.0,67.3,77.7,,66.6,,,,,,1,0,47,0.0,94.0,0.0,0,0,0,5,1,0,0.0,228,4.9,1.96
Ben Roethlisberger,1732,QB,PIT,12,-2.16,0,510,25,73.2,406,426,10.4,2.56,5,29,6.4,65.0,277,141,6.7,462,90.6,20,178,,,,,52.0,85.9,61.8,,86.6,58.4,,30.2,,,3,8,490,21.3,102.3,6.5,30,6,8,4,26,12,2.4,3431,8.1,75.4,357,374,8.4,2.34,5,20,5.1,67.1,251,110,6.7,411,80.6,18,149,,,,,36.9,79.3,59.8,,80.7,58.4,,30.2,,,2,7,434,27.3,99.1,7.3,30,6,8,2,18,11,2.5,2951,7.9,74.2,93,97,12.1,3.05,0,9,8.7,64.9,63,35,8.7,99,19.4,6,38,,,,,85.3,85.8,80.8,,83.5,,,,,,1,1,105,5.7,112.3,2.0,2,0,0,3,8,3,2.9,765,7.9,0,93.2,44,45,-2.2,1.62,0,0,0.0,82.2,37,4,9.8,48,9.4,4,9,,,,,30.9,52.3,77.9,,52.6,,,,,,0,0,49,50.0,93.1,4.2,2,0,0,1,0,2,4.1,285,6.3,0.0
Matthew Stafford,4924,QB,DET,12,3.8,0,509,11,69.5,380,414,9.7,2.7,8,22,5.0,57.2,237,158,10.2,462,90.8,27,143,,,,,74.5,67.2,74.6,,67.0,,,52.6,,,3,10,494,21.5,81.5,7.4,34,13,3,20,15,12,2.4,2952,7.1,71.6,345,375,8.3,2.58,7,19,4.8,59.7,224,127,9.3,412,80.9,23,125,,,,,71.0,67.9,73.4,,67.9,,,50.8,,,3,8,435,20.5,83.3,6.3,26,11,3,17,12,9,2.1,2669,7.1,74.7,79,85,8.3,2.84,1,3,3.1,63.5,54,33,8.5,97,19.1,5,33,,,,,85.5,63.6,80.9,,62.7,,,63.5,,,0,2,109,27.3,89.0,9.3,9,2,0,5,3,3,2.8,654,7.7,0,95.5,44,46,-3.3,1.91,0,0,0.0,89.1,41,2,2.4,47,9.2,1,15,,,,,80.4,67.0,78.0,,66.3,,,,,,0,0,50,50.0,100.3,2.1,1,0,0,2,0,0,0.0,371,8.1,0.57
Matt Ryan,4317,QB,ATL,12,4.33,0,506,2,74.5,392,418,9.5,2.7,6,20,4.5,63.9,267,178,8.6,459,90.7,25,167,,,,,60.8,82.1,88.6,,80.4,,,59.5,,,6,10,488,13.5,89.4,5.2,24,17,5,9,17,16,3.3,3057,7.3,76.2,353,377,8.0,2.54,5,16,4.0,65.0,245,138,8.9,406,80.2,24,140,,,,,66.2,83.3,88.3,,81.8,,,54.6,,,6,7,432,13.8,90.1,4.7,19,10,5,8,13,12,2.8,2725,7.2,77.4,84,88,9.5,2.87,1,4,4.3,69.3,61,42,6.2,100,19.8,4,38,,,,,56.5,69.4,80.7,,67.7,,,66.2,,,0,3,105,11.9,109.2,5.0,5,7,0,3,8,4,3.8,702,8.0,0,93.3,45,47,-2.5,1.71,0,0,0.0,83.0,39,2,7.1,47,9.3,3,11,,,,,80.3,71.2,77.9,,70.2,,,,,,0,0,49,0.0,127.8,0.0,0,0,0,2,4,0,0.0,370,7.9,0.75
Jay Cutler,2956,QB,CHI,12,4.48,0,493,6,71.9,370,386,9.2,2.63,8,14,3.3,64.0,247,146,7.1,431,87.4,19,145,,,,,32.0,62.2,57.4,,61.8,,,57.8,,,4,14,465,19.9,87.4,6.7,29,15,0,4,21,24,5.2,2685,7.0,75.4,329,348,7.4,2.49,7,13,3.5,65.5,228,126,8.1,391,79.3,20,124,,,,,29.1,61.7,55.2,,61.1,,,58.7,,,4,12,416,22.2,89.0,7.2,28,14,0,8,19,21,5.0,2376,6.8,74.0,96,100,8.6,2.67,2,1,0.9,70.0,70,25,1.4,102,20.7,1,38,,,,,85.7,65.1,81.0,,64.8,,,58.3,,,0,2,112,4.0,99.1,1.0,1,1,0,2,5,3,2.7,729,7.3,0,96.4,55,62,-2.5,1.8,1,0,0.0,82.3,51,5,3.8,62,12.6,2,17,,,,,81.8,65.5,78.8,,64.9,,,,,,0,0,63,0.0,111.0,0.0,0,0,0,6,3,0,0.0,420,6.8,0.46
Peyton Manning,327,QB,DEN,12,-1.85,0,489,10,71.6,409,425,9.8,2.34,10,26,5.8,64.5,274,103,6.5,438,89.6,19,173,,,,,91.6,80.3,46.4,,79.2,,,58.3,,,0,8,466,11.7,109.3,2.7,12,1,2,4,35,20,4.3,3452,8.1,74.5,361,375,8.0,2.13,10,20,5.0,67.2,252,72,6.3,385,78.7,17,146,,,,,91.3,77.3,59.0,,76.2,,,58.3,,,0,3,408,12.5,113.4,2.3,9,1,2,2,31,13,3.2,2802,7.5,71.7,99,101,11.1,2.66,0,6,5.5,65.3,66,33,7.0,104,21.3,5,40,,,,,85.7,78.2,3.9,,77.3,,,,,,0,6,112,9.1,87.1,2.9,3,0,0,2,5,8,7.1,940,9.3,0,92.2,51,51,-0.8,1.36,0,0,0.0,86.3,44,2,6.4,51,10.4,3,13,,,,,80.9,66.0,78.3,,65.4,,,,,,0,1,54,0.0,88.7,0.0,0,0,0,0,1,1,1.9,290,5.7,1.84
Eli Manning,1722,QB,NYG,12,-1.38,0,472,21,72.0,372,400,9.8,2.58,4,11,2.6,61.3,245,138,8.6,432,91.5,23,157,,,,,50.3,68.6,74.9,,67.4,,,57.9,,,3,12,455,18.8,88.2,6.0,26,6,1,20,22,19,4.2,2810,7.0,75.8,310,335,7.9,2.37,4,7,2.0,63.3,212,101,9.8,360,76.3,23,122,,,,,64.9,70.7,73.2,,69.1,,,61.9,,,3,8,379,19.8,86.6,5.6,20,5,1,17,14,10,2.6,2236,6.7,68.0,97,105,11.4,3.06,0,4,3.6,61.9,65,41,1.5,112,23.7,1,45,,,,,31.9,60.8,81.2,,61.1,,,55.9,,,0,4,119,14.6,96.7,5.4,6,1,0,8,8,9,7.6,844,8.0,0,94.3,35,40,-2.6,2.05,0,0,0.0,80.0,32,4,3.0,40,8.5,1,10,,,,,79.5,66.2,77.4,,65.6,,,,,,0,0,43,0.0,94.8,0.0,0,0,0,5,0,0,0.0,270,6.8,1.37
Tom Brady,698,QB,NE,12,4.02,0,470,19,73.7,377,407,10.2,2.45,4,18,4.1,62.4,254,130,8.6,425,90.4,24,172,,,,,69.7,87.8,88.8,,86.9,,,43.2,,,10,6,462,11.5,101.9,3.5,15,3,0,16,28,11,2.4,3033,7.5,73.3,307,328,8.2,2.26,4,11,3.1,63.7,209,91,7.1,338,71.9,16,117,,,,,73.7,82.7,88.3,,82.2,,,43.8,,,6,4,367,8.8,99.4,2.4,8,2,0,11,22,6,1.6,2121,6.5,80.9,115,124,10.2,2.59,0,7,5.3,67.7,84,43,9.7,132,28.1,9,61,,,,,64.0,86.0,81.8,,84.0,,,58.3,,,4,2,141,16.3,105.6,5.3,7,1,0,5,6,5,3.5,1121,9.0,0,88.9,45,45,-3.4,1.43,0,0,0.0,86.7,39,4,2.5,45,9.6,1,6,,,,,79.9,67.1,77.7,,66.4,,,,,,0,0,46,0.0,86.0,0.0,0,0,0,0,0,0,0.0,209,4.6,2.57
Derek Carr,8671,QB,OAK,12,2.48,0,469,23,68.3,372,411,9.0,2.63,11,10,2.3,57.7,237,151,6.7,435,92.8,17,121,,,,,61.9,52.7,40.2,,54.5,59.9,,40.9,,,5,11,458,9.9,73.0,3.4,15,9,5,18,13,21,4.6,2319,5.6,69.5,318,352,8.0,2.45,14,8,2.2,58.8,207,117,6.3,371,79.1,14,98,,,,,56.2,47.8,35.5,,49.9,,,39.1,,,3,11,392,11.1,70.5,3.5,13,6,5,12,10,20,5.1,1938,5.5,73.8,84,93,8.5,3.04,0,2,2.1,61.3,57,37,8.1,98,20.9,5,27,,,,,85.0,73.2,80.6,,72.5,59.9,,58.6,,,2,0,101,5.4,89.2,2.0,2,3,0,7,4,1,1.0,484,5.2,0,96.7,30,34,-2.9,1.77,3,0,0.0,79.4,27,3,6.9,34,7.2,2,4,,,,,78.3,62.9,76.7,,62.5,,,,,,0,0,35,0.0,89.1,0.0,0,0,0,1,1,0,0.0,103,3.0,-0.31
Ryan Tannehill,7014,QB,MIA,12,-8.34,0,460,17,74.3,362,386,9.0,2.69,10,12,2.9,64.2,248,159,7.8,422,91.7,21,156,,,,,63.8,73.9,72.8,,75.2,58.4,,48.1,,,2,9,446,17.6,91.8,6.6,28,8,1,11,20,18,4.0,2649,6.9,75.3,308,321,7.5,2.51,5,10,2.9,68.5,220,117,5.2,346,75.2,12,123,,,,,68.2,70.0,70.8,,71.6,,,48.6,,,1,6,368,15.4,95.0,5.2,18,7,1,6,15,14,3.8,2159,6.7,80.0,90,103,9.4,2.93,7,2,1.9,60.2,62,45,13.9,114,24.8,10,41,,,,,59.2,79.4,81.2,,78.2,58.4,,58.3,,,1,3,119,22.2,83.5,8.8,10,1,0,5,5,4,3.4,672,6.5,0,97.2,36,38,-2.9,1.76,2,0,0.0,89.5,34,3,2.9,38,8.3,1,8,,,,,79.2,68.8,77.3,,67.9,,,,,,0,0,41,0.0,86.6,0.0,0,0,0,0,0,0,0.0,182,4.8,-0.21
Philip Rivers,1725,QB,SD,12,12.07,0,448,27,75.1,341,366,10.3,2.77,2,20,5.1,65.8,241,154,5.9,406,90.6,15,159,,,,,67.7,82.0,88.5,,81.5,,,50.7,,,4,10,436,14.9,98.1,5.7,23,16,1,18,21,10,2.3,2933,8.0,76.8,345,368,9.0,2.67,1,19,4.8,67.9,250,146,5.7,407,90.8,15,153,,,,,67.6,80.2,88.5,,79.8,,,50.7,,,4,10,435,15.1,100.0,5.4,22,16,1,17,23,10,2.3,2806,7.6,86.5,37,40,8.1,2.49,1,1,2.4,80.0,32,9,0.0,41,9.2,0,17,,,,,79.5,82.2,77.4,,80.3,,,,,,0,0,43,11.1,126.3,2.4,1,0,0,2,2,0,0.0,412,10.3,0,100.0,41,42,-2.8,1.58,0,0,0.0,97.6,41,1,0.0,42,9.4,0,11,,,,,79.3,71.2,77.3,,70.2,,,,,,0,0,42,0.0,126.7,0.0,0,0,0,1,4,0,0.0,285,6.8,2.67
Colin Kaepernick,6188,QB,SF,12,-14.57,0,445,28,72.2,335,359,10.5,2.92,3,21,5.4,60.2,216,163,10.7,428,96.2,26,140,,,,,50.4,63.2,31.8,,67.3,,,44.8,,,1,8,462,22.7,87.9,8.6,37,32,0,20,15,19,4.1,2677,7.5,74.9,291,307,9.5,2.71,3,17,5.2,63.8,196,121,10.1,359,80.7,22,115,,,,,43.1,63.4,26.4,,68.6,,,42.4,,,0,7,387,22.3,88.2,7.5,27,25,0,13,11,16,4.1,2248,7.3,65.6,61,69,11.9,3.55,0,4,5.3,49.3,34,43,15.0,86,19.3,6,26,,,,,84.3,61.2,80.3,,59.8,,,65.6,,,1,1,92,23.3,85.9,11.6,10,7,0,7,4,3,3.3,488,7.1,0,94.1,17,17,-2.6,1.77,0,0,0.0,82.4,14,1,12.5,17,3.8,2,1,,,,,74.2,62.0,74.1,,61.7,,,,,,0,0,17,0.0,81.1,0.0,0,0,0,0,0,0,0.0,59,3.5,-0.25
