player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Arian Foster,5398,HB,HST,2,55,13,2,23.2,56,0,241,0,0,13,131,52.5,4,10,13,1,11,50.4,58.7,80.6,,82.8,55.7,58.7,60.0,40,0,29,4,33,63,0,0,4,59,1,241,131,2.38,4.4,0.88,41
DeMarco Murray,6223,HB,DAL,2,51,15,4,24.6,70,0,285,1,2,15,153,92.7,8,19,9,2,19,26.8,76.2,79.9,,80.3,47.9,78.9,60.0,22,0,31,4,46,54,0,0,5,55,2,285,153,3.0,5.6,0.67,30
Giovani Bernard,7818,HB,CIN,2,41,7,1,11.6,16,0,138,1,1,7,74,27.8,3,8,7,0,15,82.5,69.5,80.2,,84.9,72.5,65.6,60.1,16,0,141,11,42,49,0,0,14,52,1,138,74,1.8,3.4,3.36,26
LeSean McCoy,4976,HB,PHI,2,40,9,3,36.6,56,0,153,0,3,9,92,55.2,7,12,24,0,6,82.1,63.9,83.0,,61.7,70.1,61.3,60.0,21,0,64,10,56,42,0,0,10,50,1,153,92,2.3,3.8,1.14,32
Alfred Morris,7165,HB,WAS,2,36,6,4,44.3,78,0,176,0,0,6,91,42.1,4,10,32,0,2,80.6,63.2,76.2,,69.5,49.5,64.7,59.8,23,0,0,0,29,43,0,0,0,36,2,176,91,2.53,4.9,0.0,34
Terrance West,8729,HB,CLV,2,35,8,3,39.3,66,0,168,0,0,8,102,63.0,4,8,8,0,4,80.8,67.1,76.8,,78.9,59.1,65.7,60.0,29,0,22,2,30,37,0,0,2,37,1,168,102,2.91,4.8,0.73,31
Montee Ball,7839,HB,DEN,2,35,12,3,43.3,55,0,127,0,1,12,90,83.6,3,7,10,0,12,81.4,74.5,79.0,,66.6,65.3,74.5,60.1,23,0,45,5,43,45,0,0,5,40,1,127,90,2.57,3.6,1.05,23
Rashad Jennings,5174,HB,NYG,2,34,3,0,0.0,0,0,110,1,3,3,63,26.5,3,8,21,1,15,35.6,57.0,79.5,,71.4,39.5,60.3,60.0,14,0,95,8,34,35,0,0,9,42,1,110,63,1.85,3.2,2.79,17
Stevan Ridley,6225,HB,NE,2,33,2,1,13.1,16,0,122,0,1,2,63,16.4,2,6,19,0,21,80.6,59.5,74.1,,73.9,56.6,59.6,60.0,16,0,7,2,16,37,0,0,2,35,1,122,63,1.91,3.7,0.44,12
Le'Veon Bell,7829,HB,PIT,2,32,9,3,44.6,75,0,168,0,6,9,110,119.9,5,9,25,0,15,81.2,74.9,80.7,,50.1,69.9,75.8,60.0,38,0,136,11,59,37,0,0,12,43,1,168,110,3.44,5.3,2.31,14
Zac Stacy,7942,HB,SL,2,30,2,0,0.0,0,0,114,1,0,2,57,12.3,1,6,26,1,8,28.9,49.0,75.7,,71.5,33.8,53.1,60.0,12,0,8,1,26,34,0,0,2,31,1,114,57,1.9,3.8,0.31,20
Matt Forte,4358,HB,CHI,2,29,2,0,0.0,0,0,103,1,5,2,49,28.2,2,7,6,0,17,80.7,55.3,80.4,,38.7,60.2,53.8,60.0,14,1,102,13,74,32,0,0,16,42,0,103,49,1.69,3.6,1.38,9
Frank Gore,2282,HB,SF,2,29,3,2,31.0,39,0,126,0,0,3,81,27.0,3,7,28,0,23,79.5,64.1,77.5,,85.5,52.2,64.8,59.9,20,0,12,2,38,36,0,0,2,31,1,126,81,2.79,4.3,0.32,6
Bernard Pierce,7085,HB,BLT,2,28,3,1,15.0,17,0,113,1,1,3,53,26.1,4,6,3,1,4,28.3,46.3,73.3,,77.4,66.5,46.3,60.0,17,0,7,1,9,33,0,0,2,29,0,113,53,1.89,4.0,0.78,24
Andre Ellington,7968,HB,ARZ,2,28,0,4,47.6,70,0,147,1,1,0,62,6.5,5,5,1,1,12,29.5,53.0,78.5,,39.4,55.6,53.5,60.0,22,0,37,6,37,30,0,0,7,34,0,147,62,2.21,5.3,1.0,13
Trent Richardson,7009,HB,IND,2,27,5,2,30.3,30,0,99,1,2,5,73,61.1,3,4,14,2,14,22.1,53.4,76.5,,81.2,60.9,51.5,60.0,15,0,47,4,26,29,0,0,5,31,0,99,73,2.7,3.7,1.81,13
C.J. Spiller,5534,HB,BUF,2,27,2,1,38.5,47,0,122,0,0,2,42,10.0,3,6,4,0,3,80.2,69.1,79.5,,68.8,70.0,66.9,60.1,47,0,20,4,22,30,0,0,4,31,0,122,42,1.56,4.5,0.91,24
Marshawn Lynch,3628,HB,SEA,2,26,9,1,14.4,21,0,146,0,1,9,75,93.1,4,8,29,0,0,79.4,83.0,78.0,,80.7,63.9,83.9,60.0,21,0,41,5,31,30,0,0,5,31,2,146,75,2.88,5.6,1.32,26
Bobby Rainey Jr.,7511,HB,TB,2,26,9,4,59.0,92,0,156,0,0,9,72,80.4,5,7,30,1,8,29.0,58.0,80.1,,28.2,35.6,67.6,60.0,31,0,38,5,24,29,0,0,5,31,0,156,72,2.77,6.0,1.58,15
Joique Bell,5797,HB,DET,2,25,2,0,0.0,0,0,87,0,1,2,49,18.4,3,5,11,2,17,21.7,54.5,77.7,,80.3,71.7,48.0,60.0,12,0,66,7,42,27,0,0,11,32,1,87,49,1.96,3.5,1.57,8
Eddie Lacy,7842,HB,GB,2,25,7,1,19.5,15,0,77,0,3,7,59,78.7,2,3,12,0,9,79.2,65.0,79.5,,83.4,68.9,61.4,60.0,15,0,29,5,42,31,0,0,5,30,0,77,59,2.36,3.1,0.69,14
Chris Johnson,4338,HB,NYJ,2,25,2,0,0.0,0,0,89,0,0,2,54,13.9,3,3,22,0,7,79.1,57.4,80.9,,52.8,66.5,54.7,58.8,11,0,23,6,24,33,0,0,8,31,0,89,54,2.16,3.6,0.96,17
Knowshon Moreno,4935,HB,MIA,2,25,6,1,10.9,15,0,138,0,0,6,73,70.1,3,8,17,0,4,78.4,61.5,79.9,,21.5,52.3,65.4,60.0,15,0,0,0,16,27,0,0,0,25,1,138,73,2.92,5.5,0.0,21
Toby Gerhart,5576,HB,JAX,2,24,2,0,0.0,0,0,50,0,0,2,47,14.0,1,2,15,0,5,78.7,49.8,77.2,,61.9,55.8,47.5,60.0,11,0,24,4,39,25,0,0,4,28,0,50,47,1.96,2.1,0.62,18
Jonathan Stewart,4327,HB,CAR,2,24,10,1,38.6,22,0,57,0,7,10,61,154.3,1,3,5,0,13,78.7,65.3,76.1,,87.2,77.4,58.6,60.0,22,0,39,4,26,26,0,0,4,28,1,57,61,2.54,2.4,1.5,11
Mark Ingram II,6180,HB,NO,2,24,1,3,42.0,60,0,143,0,2,1,41,18.3,4,8,20,0,4,78.7,72.2,73.1,,77.6,78.7,68.1,,26,0,22,4,13,24,0,0,4,28,3,143,41,1.71,6.0,1.69,20
Knile Davis,7878,HB,KC,2,23,2,2,53.7,44,0,82,1,2,2,23,13.3,2,4,16,1,3,29.5,54.4,79.0,,78.0,32.4,62.2,60.0,25,0,29,7,39,25,0,0,9,30,2,82,23,1.0,3.6,0.74,20
Steven Jackson,1745,HB,ATL,2,23,5,1,17.3,17,0,98,0,1,5,67,69.9,3,4,2,0,11,78.2,68.4,77.6,,87.9,65.7,64.9,60.0,17,0,7,2,23,23,0,0,4,25,0,98,67,2.91,4.3,0.3,9
Chris Ivory,6007,HB,NYJ,2,23,9,1,49.0,71,0,145,0,0,9,102,166.3,2,6,22,0,4,78.5,75.9,77.1,,44.6,54.9,76.0,70.5,71,0,3,1,18,33,0,0,1,24,2,145,102,4.43,6.3,0.17,19
Ryan Mathews,5537,HB,SD,2,23,3,1,27.0,20,0,74,0,0,3,65,31.4,2,6,27,1,6,28.4,57.9,76.0,,74.1,90.6,50.4,60.0,20,0,46,4,14,30,0,0,4,27,1,74,65,2.83,3.2,3.29,14
Lamar Miller,7097,HB,MIA,2,22,0,0,0.0,0,0,105,2,0,0,43,0.0,2,6,17,1,5,28.3,47.5,81.3,,70.5,40.2,49.7,60.0,13,0,26,6,40,25,0,0,9,28,0,105,43,1.95,4.8,0.65,17
Adrian Peterson,3623,HB,MIN,1,21,4,2,42.3,33,0,78,0,0,4,34,28.2,3,3,18,0,15,78.2,58.4,75.2,,81.1,61.9,56.8,59.9,17,0,18,2,9,26,0,0,3,23,0,78,34,1.62,3.7,2.0,5
Shonn Greene,4988,HB,TEN,2,20,6,1,16.2,18,0,111,0,0,6,55,82.5,4,4,31,0,5,77.7,45.6,74.5,,8.3,53.0,51.9,60.0,18,0,0,0,11,24,0,0,0,20,0,111,55,2.75,5.6,0.0,13
Fred Jackson,3368,HB,BUF,2,19,3,1,44.7,38,0,85,0,0,3,54,35.5,2,2,4,0,1,78.1,70.6,76.7,,81.6,67.0,69.6,60.0,38,0,40,5,25,27,0,0,6,24,0,85,54,2.84,4.5,1.6,17
Justin Forsett,4547,HB,BLT,2,19,3,1,32.5,41,0,126,0,2,3,56,52.6,5,7,3,0,2,78.6,71.7,79.4,,89.1,60.9,72.7,,41,0,30,9,48,21,0,0,10,28,1,126,56,2.95,6.6,0.63,13
Jeremy Hill,8690,HB,CIN,2,19,0,0,0.0,0,0,93,0,2,0,47,23.6,1,5,7,0,8,77.1,71.4,76.0,,78.2,64.1,67.6,75.9,13,0,22,2,14,22,0,0,2,21,1,93,47,2.47,4.9,1.57,11
Geno Smith,7820,QB,NYJ,2,9,1,0,0.0,0,0,9,0,0,1,2,2.5,2,6,22,2,1,27.4,62.1,82.1,64.0,12.0,55.6,54.2,60.6,17,0,0,0,2,65,57,8,0,9,1,66,15,0.88,3.9,0.0,3
Ahmad Bradshaw,3866,HB,IND,2,16,3,1,34.1,29,0,85,1,4,3,40,67.3,1,3,14,0,11,77.6,66.7,80.7,,66.0,67.5,62.5,72.7,29,0,96,10,47,19,0,0,11,26,0,85,40,2.5,5.3,2.04,5
Darren McFadden,4318,HB,OAK,2,16,0,0,0.0,0,1,52,0,1,0,25,8.2,1,3,23,0,12,77.0,67.4,78.8,,45.8,60.6,71.2,60.1,10,1,37,3,24,23,0,0,3,19,1,52,25,1.56,3.3,1.54,4
Isaiah Crowell,9295,HB,CLV,2,16,1,3,55.8,48,0,86,0,0,1,39,14.3,3,6,8,0,0,76.0,58.7,74.1,,46.7,55.2,60.6,60.0,17,0,3,1,16,17,0,0,1,17,2,86,39,2.44,5.4,0.19,16
Jonathan Dwyer,5711,HB,ARZ,2,16,2,1,39.2,20,0,51,0,0,2,29,20.1,1,3,1,0,14,76.9,51.8,76.2,,73.5,57.3,50.0,60.0,20,0,8,2,17,21,0,0,3,18,1,51,29,1.81,3.2,0.47,1
Darren Sproles,2347,HB,PHI,2,15,4,2,70.1,68,0,97,1,3,4,28,50.3,3,4,24,0,3,80.7,64.3,81.4,,74.6,78.1,56.3,60.6,49,0,166,11,33,19,0,0,13,26,2,97,28,1.87,6.5,5.03,12
Matt Asiata,6432,HB,MIN,2,15,2,0,0.0,0,0,46,1,0,2,30,19.0,0,2,18,0,6,76.6,57.2,78.7,,86.8,51.8,53.3,67.9,7,0,53,6,26,22,0,0,8,21,0,46,30,2.0,3.1,2.04,8
Reggie Bush,2947,HB,DET,2,15,1,0,0.0,0,0,41,0,1,1,29,16.8,0,1,11,0,4,76.7,60.6,79.4,,76.9,67.8,54.3,60.0,8,0,55,8,40,14,0,0,8,23,0,41,29,1.93,2.7,1.38,10
Colin Kaepernick,6188,QB,SF,2,10,3,0,0.0,0,0,31,0,0,0,4,0.0,3,5,28,1,0,49.9,70.6,0.0,72.5,,,62.1,60.0,15,2,0,0,0,53,46,4,0,10,0,77,37,2.64,5.5,,7
Danny Woodhead,4914,HB,SD,2,14,2,0,0.0,0,0,37,1,1,2,27,30.5,1,2,27,0,4,76.1,58.2,80.8,,75.0,62.7,53.7,60.0,13,0,34,5,38,18,0,0,6,19,0,37,27,1.93,2.6,0.89,5
Khiry Robinson,8514,HB,NO,2,14,1,1,35.6,21,0,59,0,0,1,40,20.4,1,5,20,0,4,75.7,66.9,71.8,,73.5,53.4,67.2,60.0,21,0,0,0,7,17,0,0,1,14,1,59,40,2.86,4.2,0.0,10
DeAngelo Williams,2972,HB,CAR,1,14,5,1,22.7,17,0,75,0,0,5,42,107.1,2,3,5,0,8,75.1,81.7,73.0,,78.7,54.7,79.8,60.0,17,0,0,0,7,15,0,0,0,14,0,75,42,3.0,5.4,0.0,4
Dexter McCluster,5561,HB,TEN,2,13,2,1,27.1,16,0,59,0,1,2,28,43.1,1,3,31,0,4,75.8,56.9,78.8,,,56.0,57.2,60.0,16,0,26,2,39,13,0,0,3,15,0,59,28,2.15,4.5,0.67,7
Andre Williams,8748,HB,NYG,2,13,1,0,0.0,0,0,21,1,0,1,19,9.7,0,1,21,0,5,75.2,49.0,75.0,,79.2,34.6,52.7,60.0,5,0,7,2,20,13,0,0,3,15,0,21,19,1.46,1.6,0.35,6
Philip Rivers,1725,QB,SD,2,7,0,0,0.0,0,0,-7,0,0,0,0,0.0,2,3,27,3,0,28.4,69.7,81.9,73.3,,,42.4,60.0,12,0,0,0,0,58,33,6,0,7,0,26,13,1.0,2.0,,1
Shane Vereen,6208,HB,NE,2,13,1,0,0.0,0,0,76,0,1,1,18,15.4,2,3,19,0,3,76.2,59.1,78.4,,57.8,71.6,51.4,59.4,12,0,35,5,48,17,0,0,8,18,1,76,18,1.38,5.8,0.73,7
Alfred Blue,8816,HB,HST,2,12,0,0,0.0,0,0,40,0,0,0,20,0.0,1,2,13,0,4,74.3,51.6,72.3,,73.0,59.6,52.9,60.0,11,0,0,0,1,13,0,0,0,12,0,40,20,1.67,3.3,0.0,8
Roy Helu,6257,HB,WAS,2,12,6,2,45.1,32,0,71,0,1,6,40,145.8,2,2,32,0,0,75.2,73.8,78.0,,85.5,62.6,74.7,60.0,16,0,26,4,27,13,0,0,4,16,0,71,40,3.33,5.9,0.96,12
Benny Cunningham,8283,HB,SL,2,11,0,0,0.0,0,0,36,0,4,0,15,34.1,1,1,26,0,6,75.5,55.6,76.0,,48.0,66.4,52.6,60.0,11,0,34,5,26,13,0,0,6,16,0,36,15,1.36,3.3,1.31,5
Alex Smith,2218,QB,KC,2,1,0,0,0.0,0,0,1,0,0,0,0,0.0,3,3,16,0,1,85.2,71.2,19.1,74.4,,,49.7,60.0,25,1,0,0,0,39,77,10,0,1,0,78,22,2.0,7.1,,0
Mike Tolbert,4740,FB,CAR,2,11,0,0,0.0,0,0,6,1,2,0,12,13.6,0,0,5,0,7,75.1,45.6,80.6,,47.9,48.4,44.4,62.9,5,0,39,5,34,18,0,0,8,16,0,6,12,1.09,0.5,1.15,4
Jacquizz Rodgers,6297,HB,ATL,2,11,1,1,29.8,17,0,57,0,0,1,31,23.5,1,4,2,0,7,74.9,68.8,77.1,,84.5,66.3,63.7,78.8,17,0,1,1,25,11,0,0,1,12,1,57,31,2.82,5.2,0.04,4
Lance Dunbar,7332,HB,DAL,2,11,0,0,0.0,0,0,27,0,3,0,16,31.2,0,1,9,0,5,74.6,55.6,73.2,,76.2,76.9,50.1,60.0,7,0,21,3,7,11,0,0,3,14,0,27,16,1.45,2.5,3.0,6
Carlos Hyde,8692,HB,SF,2,11,2,1,30.0,15,0,50,1,0,2,36,54.5,2,3,28,0,4,74.1,59.3,74.4,,79.0,36.7,65.9,59.9,15,0,5,1,12,16,0,0,2,12,1,50,36,3.27,4.5,0.42,7
Pierre Thomas,4080,HB,NO,2,10,1,0,0.0,0,0,47,0,5,1,16,50.5,1,2,20,0,4,75.6,64.9,77.7,,84.1,89.8,46.5,60.0,13,0,74,9,40,12,0,0,10,19,0,47,16,1.6,4.7,1.85,5
E.J. Manuel,7797,QB,BUF,2,6,0,0,0.0,0,0,1,0,0,0,1,0.0,0,1,4,0,0,81.8,68.0,81.1,71.9,,,47.8,60.0,8,0,0,0,0,62,24,4,0,6,1,25,1,0.1,2.5,,2
Andrew Luck,7007,QB,IND,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,1,2,14,0,0,85.1,61.4,82.1,60.0,,,63.2,60.0,15,0,0,0,0,46,41,7,0,2,1,39,14,1.56,4.3,,0
Russell Wilson,7077,QB,SEA,2,4,2,0,0.0,0,0,4,0,0,0,0,0.0,2,2,29,1,0,55.3,54.5,81.0,52.9,,,61.8,60.0,13,0,0,0,0,46,43,5,0,4,0,47,29,3.22,5.2,,0
Doug Martin,7035,HB,TB,1,9,0,0,0.0,0,0,9,0,0,0,9,0.0,0,0,30,0,5,73.1,45.7,73.4,,0.0,56.0,55.4,60.0,4,0,7,1,16,10,0,0,2,10,0,9,9,1.0,1.0,0.44,4
Maurice Jones-Drew,3005,HB,OAK,1,9,0,0,0.0,0,0,18,0,1,0,12,12.1,1,1,23,1,5,21.2,39.5,74.8,,65.8,68.1,32.8,60.0,12,0,12,2,13,9,0,0,2,11,0,18,12,1.33,2.0,0.92,4
Donald Brown,4950,HB,SD,2,9,2,1,84.2,16,0,19,0,0,2,20,37.0,1,1,27,0,4,74.8,57.4,74.9,,72.5,57.8,55.6,60.0,16,0,10,3,14,12,0,0,4,12,0,19,20,2.22,2.1,0.71,2
Andy Dalton,6187,QB,CIN,2,7,0,0,0.0,0,0,3,0,0,0,2,0.0,0,1,7,0,0,83.1,71.6,81.8,75.5,,58.4,44.5,60.0,4,0,0,0,1,70,6,2,0,7,0,9,2,0.22,1.0,0.0,2
Jamaal Charles,4387,HB,KC,2,9,2,0,0.0,0,0,23,0,1,2,19,45.2,0,0,16,0,1,74.7,60.8,80.7,,50.8,59.2,62.6,59.4,6,0,23,5,39,13,0,0,5,14,0,23,19,2.11,2.6,0.59,8
C.J. Anderson,8101,HB,DEN,2,9,3,0,0.0,0,0,58,0,0,3,33,122.2,3,4,10,0,2,73.3,69.3,74.2,,80.6,52.5,69.3,,13,0,0,0,7,10,0,0,0,9,0,58,33,3.67,6.4,0.0,6
Jake Locker,6160,QB,TEN,2,2,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,1,31,0,0,83.6,63.0,18.5,66.5,,,46.8,60.0,8,1,0,0,0,48,26,6,0,2,0,23,6,0.75,2.9,,0
Bishop Sankey,8689,HB,TEN,2,8,1,0,0.0,0,0,28,0,0,1,14,21.9,1,1,31,0,4,72.7,53.5,70.3,,75.7,56.2,54.1,60.0,12,0,0,0,4,9,0,0,0,8,0,28,14,1.75,3.5,0.0,3
Joe Flacco,4332,QB,BLT,2,6,0,0,0.0,0,0,5,0,0,0,0,0.0,0,4,3,0,0,85.5,67.2,82.3,67.8,,,51.5,60.0,3,0,0,0,0,56,5,2,0,6,0,10,4,0.5,1.3,,0
Silas Redd,8900,HB,WAS,1,8,1,0,0.0,0,0,41,0,0,1,18,28.1,2,3,32,0,0,72.1,57.1,68.1,,,,57.7,,14,0,0,0,0,8,0,0,0,8,1,41,18,2.25,5.1,,8
Robert Turbin,7106,HB,SEA,2,8,0,0,0.0,0,0,34,0,0,0,12,0.0,1,4,29,0,0,72.9,60.1,77.9,,78.1,72.7,54.5,60.0,10,0,35,2,14,12,0,0,2,10,0,34,12,1.5,4.3,2.5,8
Anthony Dixon,5696,HB,BUF,2,7,3,1,74.6,47,0,63,0,0,3,47,287.8,1,1,4,0,3,81.6,65.7,70.8,,,58.2,65.0,,47,0,0,0,1,7,0,0,0,7,0,63,47,6.71,9.0,0.0,4
Ryan Tannehill,7014,QB,MIA,2,5,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,17,1,0,84.9,78.3,82.2,80.0,,,44.8,60.0,6,1,0,0,0,59,9,2,0,5,0,9,11,1.57,1.3,,3
James Starks,5716,HB,GB,2,7,4,0,0.0,0,0,37,0,0,4,21,133.3,1,2,12,0,3,72.7,70.0,75.5,,78.4,66.2,70.1,,12,0,11,2,19,7,0,0,2,9,0,37,21,3.0,5.3,0.58,4
LeGarrette Blount,5863,HB,PIT,2,7,0,0,0.0,0,0,14,0,0,0,11,0.0,0,1,25,0,5,71.4,53.3,72.6,,,55.2,54.5,60.0,7,0,0,0,6,8,0,0,2,7,1,14,11,1.57,2.0,0.0,2
Matt Cassel,2447,QB,MIN,2,5,0,0,0.0,0,0,-4,0,0,0,0,0.0,1,1,18,2,0,27.1,50.6,81.6,48.0,,,68.7,60.0,13,0,0,0,0,51,17,2,0,5,0,13,20,2.86,1.9,,0
