team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
CIN,7,3,90,2,8,90,94.4,10,0
CLV,8,3,103,0,10,103,93.2,12,2
BLT,3,3,127,2,16,127,91.3,20,2
IND,14,3,145,5,17,145,91.0,24,2
DEN,10,3,112,8,12,112,90.2,21,1
ARZ,1,3,112,5,14,112,89.7,21,2
NYG,21,3,106,3,15,106,89.6,20,2
WAS,32,3,128,6,15,128,88.7,25,4
CHI,6,3,132,3,17,132,88.6,25,5
OAK,23,3,112,7,17,112,88.4,25,1
NYJ,22,3,120,7,19,120,88.3,27,1
ATL,2,3,125,4,24,125,88.0,29,1
PIT,25,3,106,0,14,106,87.7,20,6
DAL,9,3,97,1,13,97,87.6,19,5
GB,12,3,114,2,17,114,87.3,24,5
SEA,29,3,106,4,21,106,87.3,26,1
NO,20,3,121,5,24,121,87.2,30,1
CAR,5,3,121,6,15,121,86.4,27,6
TEN,31,3,119,1,24,119,86.1,29,4
MIA,17,3,136,5,21,136,86.0,32,6
SF,28,3,110,5,18,110,85.9,27,4
DET,11,3,127,7,23,127,85.0,34,4
PHI,24,3,133,8,26,133,85.0,37,3
JAX,15,3,122,8,10,122,84.4,28,10
HST,13,3,85,5,18,85,84.1,25,2
BUF,4,3,101,6,17,101,83.7,28,5
MIN,18,3,106,5,22,106,83.5,31,4
SL,26,3,114,10,22,114,82.5,36,4
TB,30,3,102,6,23,102,81.9,33,4
KC,16,3,124,9,25,124,81.5,40,6
SD,27,3,109,8,34,109,79.8,43,1
NE,19,3,121,10,28,121,79.3,44,6
