player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,15,0,3,3,100.0,7,7,100.0,14,79.5,0,0,,47,47,100.0,0,10,10,100.0,28,28,100.0,8,8,100.0
Phil Dawson,422,K,SF,15,0,8,5,62.5,7,5,71.4,28,66.1,0,0,,30,30,100.0,0,8,7,87.5,29,23,79.3,6,6,100.0
Sebastian Janikowski,595,K,OAK,14,0,5,3,60.0,10,9,90.0,23,71.9,0,0,,26,26,100.0,0,5,5,100.0,22,19,86.4,2,2,100.0
Shayne Graham,730,K,NO,15,0,2,1,50.0,5,3,60.0,20,60.3,0,0,,44,43,97.7,0,9,9,100.0,22,19,86.4,6,6,100.0
Jay Feely,955,K,CHI,3,0,0,0,,0,0,,6,61.5,0,0,,6,5,83.3,0,0,0,,0,0,,0,0,
Matt Bryant,1223,K,ATL,15,0,10,7,70.0,8,8,100.0,2,83.7,0,0,,40,40,100.0,0,4,4,100.0,31,28,90.3,9,9,100.0
Billy Cundiff,1230,K,CLV,13,0,3,1,33.3,7,5,71.4,8,55.6,0,0,,28,28,100.0,0,13,10,76.9,29,22,75.9,6,6,100.0
Josh Brown,1520,K,NYG,14,0,3,3,100.0,5,4,80.0,21,71.5,1,1,100.0,42,42,100.0,0,7,7,100.0,22,20,90.9,6,5,83.3
Josh Scobee,1858,K,JAX,15,0,4,2,50.0,9,7,77.8,15,60.7,0,0,,21,21,100.0,0,8,7,87.5,24,19,79.2,3,3,100.0
Mike Nugent,2264,K,CIN,14,0,2,0,0.0,12,10,83.3,7,55.1,0,0,,37,37,100.0,0,11,9,81.8,31,25,80.6,6,6,100.0
Robbie Gould,2607,K,CHI,12,0,1,0,0.0,4,3,75.0,6,56.8,0,0,,29,28,96.6,0,3,2,66.7,12,9,75.0,4,4,100.0
Nick Novak,2726,K,SD,14,0,3,3,100.0,6,4,66.7,27,70.0,1,1,100.0,39,39,100.0,0,9,8,88.9,25,22,88.0,6,6,100.0
Shaun Suisham,2796,K,PIT,15,0,3,1,33.3,10,10,100.0,25,66.4,0,0,,42,42,100.0,0,6,6,100.0,30,27,90.0,11,10,90.9
Stephen Gostkowski,3063,K,NE,15,0,1,1,100.0,12,11,91.7,19,74.2,1,1,100.0,51,51,100.0,0,10,9,90.0,34,32,94.1,10,10,100.0
Matt Prater,3471,K,DET,10,0,5,3,60.0,8,6,75.0,11,64.0,0,0,,19,19,100.0,0,5,4,80.0,26,21,80.8,8,8,100.0
Nick Folk,3794,K,NYJ,14,0,6,3,50.0,12,9,75.0,22,58.4,0,0,,19,19,100.0,0,6,6,100.0,35,29,82.9,11,11,100.0
Mason Crosby,3809,K,GB,15,0,6,4,66.7,7,5,71.4,12,64.2,0,0,,51,49,96.1,0,12,11,91.7,32,27,84.4,7,7,100.0
