player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Woodson,330,S,OAK,8,13,0,53.3,0,0,23,76.0,79.1,86.9,76.5,72.3,74.0,0,0,2,48,10.9,7,4,0,46.7,8,0,128,9,279,578,0,0,0,0,0,387,578,8,291,54,16,44,15,0,0,143,84,17.9
John Abraham,591,ED,ARZ,1,0,0,,0,0,1,60.4,54.7,70.5,47.9,66.7,69.9,0,0,0,,0.0,0,0,0,0.0,0,0,27,0,3,37,10,0,0,10,0,0,27,20,14,0,1,1,0,0,0,0,0,
Justin Smith,776,DI,SF,8,7,1,,0,1,28,62.8,76.2,62.8,54.0,90.6,78.4,4,9,0,,0.0,0,0,1,0.0,0,3,9,0,0,353,344,0,6,52,286,0,9,223,130,0,10,13,0,16,0,0,0,
Ryan Pickett,799,DI,HST,6,1,1,,0,0,13,,58.6,80.6,51.0,62.7,73.5,0,0,0,,22.2,2,0,0,0.0,0,0,0,0,0,158,158,45,8,9,96,0,0,77,81,0,6,6,0,0,0,0,0,
Julius Peppers,1010,ED,GB,8,5,1,50.0,1,1,12,71.4,71.2,59.9,77.8,52.3,34.4,5,15,1,5,29.2,7,1,3,16.7,1,5,20,0,19,405,383,0,0,346,37,0,22,219,167,2,11,12,2,25,0,5,8,5.0
Dwight Freeney,1019,ED,SD,9,1,0,,0,0,27,72.8,68.9,69.1,69.5,56.7,36.6,6,23,0,,42.9,3,0,1,0.0,0,2,9,0,10,378,368,0,2,207,159,0,10,250,118,1,5,3,0,31,0,0,0,
Larry Foote,1126,LB,ARZ,8,6,0,85.7,0,0,1,41.6,44.7,14.5,54.7,58.8,38.9,3,7,1,33,21.6,11,0,3,97.5,24,1,529,5,256,546,9,0,0,9,0,3,537,108,182,0,21,34,28,11,1,227,138,9.5
Brett Keisel,1204,DI,PIT,9,2,2,,1,0,25,65.0,50.6,61.0,51.9,53.6,60.7,5,9,1,,8.3,1,0,1,0.0,0,0,22,0,6,348,326,3,3,43,277,0,22,234,108,0,6,9,0,14,0,0,0,
Ryan Clark,1229,S,WAS,9,15,0,66.7,0,0,32,49.0,40.7,85.3,37.5,31.5,43.6,0,3,0,13,20.3,14,1,0,99.0,10,1,109,1,338,582,0,0,0,0,0,448,582,17,227,24,13,40,15,4,1,69,49,6.9
James Harrison,1251,ED,PIT,6,1,0,100.0,0,0,25,53.7,68.1,45.2,77.2,55.9,69.1,9,4,0,11,11.1,1,0,2,125.0,2,4,9,0,22,186,168,0,0,168,0,0,18,105,59,9,10,7,2,17,1,9,9,4.5
Terence Newman,1321,CB,CIN,8,5,0,64.2,0,0,7,71.1,72.2,85.7,58.6,69.3,66.0,0,1,0,20,10.2,5,4,3,91.8,34,0,63,499,359,578,0,0,0,0,0,5,578,1,218,11,16,39,53,1,2,301,67,8.9
Kevin Williams,1325,DI,SEA,8,5,2,0.0,0,0,29,57.4,57.9,82.7,54.3,61.7,63.4,0,6,0,,5.3,1,0,0,39.6,0,0,0,0,8,223,223,4,136,3,80,0,0,112,103,0,8,13,1,6,0,0,0,
Terrell Suggs,1326,ED,BLT,9,4,1,0.0,0,0,3,64.8,75.2,40.8,69.6,78.3,74.0,10,14,0,,5.0,1,0,4,39.6,0,4,21,0,36,476,453,0,0,421,32,0,23,275,165,2,15,15,1,28,0,0,0,
Troy Polamalu,1332,S,PIT,9,6,0,70.6,0,1,25,72.6,70.3,0.0,81.6,77.1,54.2,1,2,0,42,16.4,9,1,6,108.7,12,1,230,7,316,541,0,0,0,0,0,218,541,24,201,86,18,40,17,4,1,115,65,9.6
Calvin Pace,1334,ED,NYJ,9,3,1,54.5,0,0,22,72.7,65.2,40.8,52.7,69.6,53.6,1,9,0,35,16.7,3,1,3,70.6,6,3,173,13,123,447,232,0,0,142,90,0,215,151,173,29,10,12,11,13,0,61,62,10.2
Charles Tillman,1351,CB,CHI,2,0,0,77.8,0,0,6,68.6,67.4,80.4,68.5,46.5,83.2,1,0,0,22,0.0,0,1,0,97.2,7,0,14,81,51,97,0,0,0,0,0,0,97,1,45,2,4,10,9,1,0,66,9,9.4
Rashean Mathis,1355,CB,DET,8,2,0,57.5,2,1,11,68.4,67.9,48.7,59.3,64.5,60.8,0,0,1,24,17.4,4,2,6,76.8,23,0,34,469,328,509,0,0,0,0,0,2,509,1,180,4,4,17,40,0,1,277,101,12.0
Osi Umenyiora,1371,ED,ATL,8,2,0,100.0,0,0,2,36.3,58.1,80.8,61.7,62.9,74.5,2,13,0,49,0.0,0,0,1,118.8,1,1,11,0,1,184,173,0,2,32,139,0,11,149,34,0,4,6,1,16,0,49,47,49.0
Cory Redding,1381,DI,IND,9,4,0,0.0,1,0,14,71.7,63.2,9.8,60.8,66.4,79.2,4,16,0,,10.5,2,0,4,39.6,0,3,23,0,4,429,405,0,8,135,262,0,24,274,151,1,16,13,1,23,0,0,0,
Lance Briggs,1383,LB,CHI,5,11,0,77.8,0,0,6,54.3,59.9,75.7,54.7,68.1,47.5,1,0,1,24,16.7,5,1,0,100.2,14,0,292,1,167,315,1,0,0,1,0,0,314,24,124,21,10,14,18,1,1,165,96,11.8
Jarret Johnson,1421,ED,SD,8,4,1,57.1,0,1,27,80.9,71.5,59.8,50.4,74.1,74.9,0,4,0,37,7.7,2,0,1,78.9,4,1,60,0,58,313,250,0,1,153,96,0,63,111,144,3,11,20,7,5,0,49,48,12.3
