player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Manny Lawson,2967,ED,BUF,4,0,4,0,0,0,0,0,0,5.7,3,0,0.0,0,0,0,0,96.4,53,55,1,1.9,0,0,0,0,94.3,50,1,2.0,1,1,1,1,1,1
Justin Ellis,8742,DI,OAK,4,0,23,0,2,0,0,2,0,63.5,33,2,3.0,0,0,0,0,98.1,53,54,2,1.9,0,0,0,0,36.5,19,0,0.0,0,0,0,0,0,0
Nick Hayden,4495,DI,DAL,4,0,9,2,1,0,1,1,0,46.9,38,2,2.6,0,0,1,0,95.5,84,88,3,1.8,0,1,0,0,53.1,43,1,1.2,0,0,0,0,1,2
Brandon Bair,6529,DI,PHI,4,0,24,0,1,0,0,0,0,28.0,7,0,0.0,0,0,0,1,96.6,28,29,1,1.8,0,0,1,1,72.0,18,1,2.8,0,0,0,0,0,0
Akiem Hicks,7090,DI,NO,4,0,20,1,3,0,0,2,0,81.7,89,2,1.1,0,0,0,0,100.0,114,114,4,1.8,0,1,0,0,18.3,20,1,2.5,0,0,0,0,0,0
Chris Canty,2349,DI,BLT,4,0,3,0,2,0,0,0,0,42.9,24,0,0.0,0,0,0,0,100.0,58,58,2,1.7,0,0,2,0,57.1,32,2,3.1,0,0,0,0,0,0
Ahmad Brooks,2945,ED,SF,4,0,28,0,1,0,0,0,0,58.6,51,0,0.0,0,0,0,0,69.6,87,125,2,1.7,0,0,1,0,41.4,36,2,4.2,1,1,0,1,1,0
Terrell McClain,6217,DI,DAL,2,0,9,0,1,0,0,0,0,51.7,15,0,0.0,0,0,0,0,100.0,29,29,1,1.7,0,0,1,0,48.3,14,1,3.6,0,0,0,0,0,0
Jacquies Smith,7401,ED,TB,3,0,30,0,1,0,0,1,1,82.8,24,1,2.1,0,0,1,1,93.5,29,31,1,1.7,0,0,0,0,17.2,5,0,0.0,0,0,0,0,0,1
Kendall Langford,4380,DI,SL,3,1,26,0,1,1,0,1,0,100.0,30,1,1.7,0,0,0,0,96.8,30,31,1,1.7,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Haloti Ngata,2957,DI,BLT,4,1,3,0,3,1,0,2,0,44.0,37,2,2.7,0,0,0,0,98.9,90,91,3,1.7,0,0,1,0,56.0,47,1,1.1,0,1,1,0,1,1
Michael Brockers,7020,DI,SL,3,0,26,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,96.7,29,30,1,1.7,0,1,0,0,100.0,29,1,1.7,0,0,0,0,0,0
