player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,7,32,32,4.38,38.25,47.44,11.6,0,0,3,6,13,69.7,12,71,2,0,46.9,174,15,33,140.12,1224,6,1518
Dave Zastudil,1113,P,ARZ,1,11,11,4.03,36.27,42.45,8.0,0,0,0,2,1,47.5,2,53,2,0,54.5,48,6,11,44.3,399,1,467
Mike Scifres,1458,P,SD,7,31,31,4.58,39.1,45.61,9.1,0,0,4,7,27,73.1,14,72,5,0,29.0,82,9,31,141.93,1212,6,1414
Andy Lee,1906,P,SF,7,26,26,4.49,40.46,47.65,12.8,0,0,1,10,28,70.6,11,71,0,0,50.0,167,13,27,116.61,1052,1,1239
Donnie Jones,1939,P,PHI,6,30,30,4.26,39.0,44.03,7.4,0,0,4,6,24,63.6,14,61,3,0,50.0,111,15,30,127.71,1170,2,1321
Dustin Colquitt,2316,P,KC,6,24,24,4.58,41.67,44.0,2.7,0,0,6,8,16,78.1,14,61,1,0,25.0,16,6,24,109.81,1000,2,1056
Michael Koenen,2682,P,TB,6,26,26,4.36,35.27,39.81,11.8,0,0,5,9,30,60.0,6,56,2,0,38.5,118,10,26,113.46,917,0,1035
Sam Koch,3148,P,BLT,7,21,21,4.47,40.43,46.05,8.7,0,0,2,5,3,68.1,12,69,2,0,42.9,78,9,21,93.8,849,2,967
Jon Ryan,3493,P,SEA,6,26,26,4.65,38.27,45.19,17.1,0,0,2,13,29,83.3,15,66,1,0,26.9,120,7,26,120.84,995,3,1175
Steve Weatherford,3552,P,NYG,7,36,36,4.11,38.33,45.44,12.6,0,0,7,8,21,67.9,12,71,3,0,38.9,176,14,36,147.79,1380,4,1636
