player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Woodson,330,S,OAK,11,9,7.1,75.0,97.1,17.8,13.4,0,2,4,14.3,23,64.1,67.1,88.8,82.1,65.1,68.5,2,48,13.3,6,4,0,117.7,21,405,417,11,30,28,3,317,187,0.8,15.1
John Abraham,591,ED,ARZ,1,0,,,13.0,,,0,0,0,,1,60.4,54.7,70.5,47.9,66.7,69.9,0,,,0,0,0,0.0,0,3,23,0,0,0,0,0,0,0.0,
Justin Smith,776,DI,SF,11,1,,,0.3,,,0,0,0,,28,67.1,81.3,69.3,59.3,90.6,79.5,0,,0.0,0,0,1,0.0,0,1,322,5,2,0,0,0,0,0.0,
Julius Peppers,1010,ED,GB,11,1,4.7,33.3,7.7,26.0,8.7,1,1,1,33.3,12,82.2,80.0,68.9,78.6,58.9,42.5,2,5,57.1,4,1,3,2.8,1,27,352,7,2,3,0,5,8,0.2,5.0
Dwight Freeney,1019,ED,SD,11,0,,,3.2,,,0,0,0,,27,72.8,66.1,41.4,68.7,56.9,36.6,0,,100.0,2,0,3,0.0,0,10,311,2,0,0,0,0,0,0.0,
Larry Foote,1126,LB,ARZ,11,3,2.8,86.4,70.9,8.2,7.1,0,0,0,0.0,1,43.4,45.8,29.0,49.9,59.6,34.6,1,33,36.4,12,0,3,100.9,38,336,474,9,18,44,1,382,284,1.2,10.1
Brett Keisel,1204,DI,PIT,11,0,,,2.2,,,1,0,0,,25,65.0,57.3,64.4,56.3,58.6,63.7,1,,25.0,1,0,1,0.0,0,6,274,1,3,0,0,0,0,0.0,
Ryan Clark,1229,S,WAS,11,4,8.7,66.7,95.2,31.3,20.9,0,0,1,5.6,32,48.2,40.9,53.1,36.3,35.4,40.8,0,13,13.5,5,1,1,97.0,12,400,420,8,28,18,1,90,55,0.2,7.5
James Harrison,1251,ED,PIT,8,0,0.0,100.0,20.7,16.0,16.0,0,0,0,0.0,25,64.5,74.9,55.0,76.6,65.4,68.2,0,11,0.0,0,0,2,125.0,2,34,164,6,3,2,1,9,9,0.3,4.5
Terence Newman,1321,CB,CIN,10,4,10.2,57.4,99.8,10.6,6.1,0,3,4,5.9,7,67.1,67.9,86.6,58.6,64.7,61.1,0,20,6.8,3,4,4,80.5,39,432,433,13,37,68,2,339,80,0.8,8.7
Kevin Williams,1325,DI,SEA,11,0,1.0,0.0,5.4,,7.0,0,0,0,0.0,29,59.7,60.2,83.9,52.0,64.0,65.0,0,,0.0,0,0,0,39.6,0,8,147,0,2,1,0,0,0,0.0,
Terrell Suggs,1326,ED,BLT,11,0,2.0,50.0,10.1,36.0,18.0,1,0,0,0.0,3,68.5,75.3,25.5,70.4,79.2,77.8,0,4,0.0,0,0,6,56.3,1,39,387,7,3,2,0,4,3,0.1,4.0
Troy Polamalu,1332,S,PIT,9,3,5.8,70.6,92.9,24.1,17.0,0,0,1,5.9,25,72.6,70.3,0.0,81.6,77.1,54.2,0,42,22.7,5,1,6,108.7,12,316,340,4,14,17,1,115,65,0.4,9.6
Calvin Pace,1334,ED,NYJ,11,0,1.1,66.7,45.9,12.3,8.2,0,0,1,5.6,22,73.1,64.8,48.0,50.0,70.3,63.1,0,35,9.1,1,1,3,77.1,12,155,338,7,10,18,0,84,85,0.6,7.0
Charles Tillman,1351,CB,CHI,2,0,12.1,77.8,98.1,6.9,5.3,0,1,1,11.1,6,68.6,67.4,80.4,68.5,46.5,83.2,0,22,0.0,0,1,0,97.2,7,51,52,4,8,9,0,66,9,1.4,9.4
Rashean Mathis,1355,CB,DET,11,4,11.0,62.1,99.8,11.9,7.4,2,0,3,5.2,11,70.0,69.2,59.2,59.3,61.4,55.6,1,49,17.2,5,3,7,82.4,36,463,464,7,20,58,1,418,183,1.0,11.6
Osi Umenyiora,1371,ED,ATL,11,0,2.0,100.0,1.8,4.0,4.0,0,0,0,0.0,2,35.5,61.0,82.0,63.2,61.6,75.8,0,49,0.0,0,0,1,118.8,1,4,222,3,2,1,0,49,47,12.3,49.0
Cory Redding,1381,DI,IND,11,2,-2.0,0.0,1.2,,4.0,1,0,0,0.0,14,71.7,57.1,20.3,57.5,59.1,79.5,0,,0.0,0,0,4,39.6,0,4,326,5,2,1,0,0,0,0.0,
Lance Briggs,1383,LB,CHI,8,5,4.7,74.3,88.2,9.1,6.7,0,0,2,5.7,6,54.4,63.0,76.1,55.6,73.9,54.2,1,56,17.6,3,2,0,118.0,26,247,280,4,9,35,3,314,191,1.3,12.1
Jarret Johnson,1421,ED,SD,10,0,1.2,55.6,36.6,13.2,7.3,0,0,0,0.0,27,86.5,74.6,63.7,49.6,75.5,77.1,0,37,0.0,0,0,1,69.2,5,70,191,4,9,9,0,45,49,0.7,9.0
Ike Taylor,1437,CB,PIT,3,1,15.1,58.3,100.0,12.3,7.2,2,1,2,16.7,25,55.2,50.8,0.0,,57.4,45.5,0,17,12.5,1,2,3,105.2,7,95,95,0,6,12,1,77,15,0.9,11.0
Chris Clemons,1585,ED,JAX,11,1,,,4.1,,,4,0,0,,15,63.5,51.9,16.4,54.4,58.9,53.0,0,,0.0,0,0,7,0.0,0,14,344,9,2,0,0,0,0,0.0,
Cullen Jenkins,1637,DI,NYG,8,0,,,2.0,,,0,0,0,,21,62.8,67.9,84.1,76.3,49.0,58.7,0,,50.0,2,0,0,0.0,0,3,151,1,2,0,0,0,0,0.0,
DeAngelo Hall,1729,CB,WAS,3,2,16.2,83.3,98.9,17.2,14.3,0,0,0,0.0,32,50.6,50.9,0.0,58.6,83.6,76.1,0,26,10.0,1,0,1,118.8,5,92,93,1,7,6,0,76,18,0.9,15.2
