player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,2,0,0,0,,1,1,100.0,14,65.1,0,0,,6,6,100.0,0,0,0,,3,3,100.0,2,2,100.0
Phil Dawson,422,K,SF,2,0,0,0,,0,0,,28,50.4,0,0,,6,6,100.0,0,1,0,0.0,3,2,66.7,2,2,100.0
Sebastian Janikowski,595,K,OAK,2,0,0,0,,0,0,,23,61.2,0,0,,4,4,100.0,0,0,0,,0,0,,0,0,
Shayne Graham,730,K,NO,2,0,1,1,100.0,0,0,,20,66.5,0,0,,7,7,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Matt Bryant,1223,K,ATL,2,0,2,2,100.0,2,2,100.0,2,86.6,0,0,,5,5,100.0,0,0,0,,4,4,100.0,0,0,
Billy Cundiff,1230,K,CLV,2,0,0,0,,0,0,,8,70.5,0,0,,5,5,100.0,0,2,2,100.0,4,4,100.0,2,2,100.0
Josh Brown,1520,K,NYG,2,0,0,0,,0,0,,21,61.2,0,0,,4,4,100.0,0,0,0,,0,0,,0,0,
Josh Scobee,1858,K,JAX,2,0,1,0,0.0,1,1,100.0,15,56.9,0,0,,3,3,100.0,0,2,1,50.0,4,2,50.0,0,0,
Mike Nugent,2264,K,CIN,2,0,1,0,0.0,4,2,50.0,7,30.7,0,0,,3,3,100.0,0,3,2,66.7,10,6,60.0,2,2,100.0
Robbie Gould,2607,K,CHI,2,0,0,0,,1,1,100.0,6,71.1,0,0,,6,6,100.0,0,1,1,100.0,2,2,100.0,0,0,
Nick Novak,2726,K,SD,2,0,1,1,100.0,1,1,100.0,27,68.9,0,0,,5,5,100.0,0,1,1,100.0,4,4,100.0,1,1,100.0
Shaun Suisham,2796,K,PIT,2,0,0,0,,2,2,100.0,25,74.0,0,0,,3,3,100.0,0,2,2,100.0,5,5,100.0,1,1,100.0
Stephen Gostkowski,3063,K,NE,2,0,0,0,,4,4,100.0,19,72.8,0,0,,5,5,100.0,0,0,0,,5,5,100.0,1,1,100.0
Nick Folk,3794,K,NYJ,2,0,1,1,100.0,2,2,100.0,22,71.1,0,0,,4,4,100.0,0,0,0,,3,3,100.0,0,0,
Mason Crosby,3809,K,GB,2,0,1,1,100.0,0,0,,12,69.4,0,0,,3,3,100.0,0,1,1,100.0,4,4,100.0,2,2,100.0
Stephen Hauschka,4655,K,SEA,2,0,0,0,,0,0,,29,62.7,0,0,,7,7,100.0,0,1,1,100.0,2,2,100.0,1,1,100.0
Dan Carpenter,4697,K,BUF,2,0,1,1,100.0,0,0,,4,63.6,0,0,,4,4,100.0,0,5,4,80.0,9,8,88.9,3,3,100.0
Ryan Succop,5180,K,TEN,2,0,0,0,,3,3,100.0,31,71.8,0,0,,3,3,100.0,0,2,2,100.0,5,5,100.0,0,0,
Graham Gano,5443,K,CAR,2,0,1,1,100.0,1,0,0.0,5,64.9,0,0,,3,3,100.0,0,2,2,100.0,6,5,83.3,2,2,100.0
Dan Bailey,6796,K,DAL,2,0,1,1,100.0,3,3,100.0,9,74.0,0,0,,4,4,100.0,0,0,0,,5,5,100.0,1,1,100.0
Kai Forbath,6860,K,WAS,2,0,0,0,,1,1,100.0,32,64.5,0,0,,6,5,83.3,0,1,1,100.0,2,2,100.0,0,0,
Randy Bullock,7154,K,HST,2,0,0,0,,1,1,100.0,13,66.3,0,0,,5,5,100.0,0,3,3,100.0,5,4,80.0,1,0,0.0
Greg Zuerlein,7163,K,SL,2,0,2,1,50.0,2,2,100.0,26,75.4,0,0,,1,1,100.0,0,3,3,100.0,7,6,85.7,0,0,
Blair Walsh,7167,K,MIN,2,0,1,1,100.0,2,1,50.0,18,71.9,0,0,,5,5,100.0,0,0,0,,3,2,66.7,0,0,
Justin Tucker,7604,K,BLT,2,0,1,0,0.0,0,0,,3,50.5,0,0,,3,3,100.0,0,2,2,100.0,6,5,83.3,3,3,100.0
Caleb Sturgis,7948,K,MIA,2,0,0,0,,0,0,,17,64.1,0,0,,4,4,100.0,0,2,2,100.0,5,5,100.0,3,3,100.0
Brandon McManus,8437,K,DEN,2,0,0,0,,0,0,,10,62.0,0,0,,7,7,100.0,0,0,0,,2,2,100.0,2,2,100.0
Nate Freese,8863,K,DET,2,0,0,0,,3,0,0.0,11,32.5,0,0,,4,4,100.0,0,0,0,,5,2,40.0,2,2,100.0
Cairo Santos,8932,K,KC,2,0,0,0,,2,1,50.0,16,40.6,0,0,,3,3,100.0,0,2,1,50.0,4,2,50.0,0,0,
Cody Parkey,9030,K,PHI,2,0,1,1,100.0,0,0,,24,62.5,0,0,,7,7,100.0,0,3,2,66.7,6,5,83.3,2,2,100.0
Chandler Catanzaro,9140,K,ARZ,2,0,0,0,,2,2,100.0,1,70.0,0,0,,1,1,100.0,0,3,3,100.0,6,6,100.0,1,1,100.0
Patrick Murray,9389,K,TB,2,0,0,0,,0,0,,30,62.7,0,0,,4,4,100.0,0,1,1,100.0,2,1,50.0,1,0,0.0
