player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,4,18,18,4.32,38.72,46.61,10.3,0,0,2,4,13,68.3,8,65,2,0,33.3,62,6,19,77.84,697,4,839
Mike Scifres,1458,P,SD,4,18,18,4.48,38.0,43.56,0.0,0,0,1,7,27,66.6,10,72,4,0,5.6,0,1,18,80.72,684,5,784
Andy Lee,1906,P,SF,4,14,14,4.44,37.86,46.07,15.8,0,0,1,5,28,64.1,6,56,0,0,42.9,95,6,15,62.1,530,1,645
Donnie Jones,1939,P,PHI,4,20,20,4.29,38.0,44.25,8.8,0,0,2,4,24,66.2,8,61,1,0,60.0,105,12,20,85.86,760,1,885
Dustin Colquitt,2316,P,KC,4,16,16,4.69,44.13,45.13,2.7,0,0,4,5,16,80.9,10,61,0,0,37.5,16,6,16,74.96,706,0,722
Michael Koenen,2682,P,TB,4,17,17,4.31,34.35,40.41,14.7,0,0,3,5,30,63.8,6,56,2,0,41.2,103,7,17,73.26,584,0,687
Sam Koch,3148,P,BLT,4,10,10,4.58,37.1,44.9,14.5,0,0,2,3,3,64.1,4,58,0,0,40.0,58,4,10,45.81,371,1,449
Jon Ryan,3493,P,SEA,3,12,12,4.7,43.25,48.33,7.0,0,0,1,5,29,81.0,7,66,1,0,25.0,21,3,12,56.34,519,2,580
Steve Weatherford,3552,P,NYG,4,18,18,4.1,36.22,42.33,15.0,0,0,4,5,21,67.0,9,56,2,0,33.3,90,6,18,73.77,652,1,762
Brandon Fields,3841,P,MIA,4,16,16,4.15,34.81,44.06,14.8,0,0,2,2,17,58.0,4,60,2,0,62.5,148,10,17,66.43,557,0,705
Brett Kern,4580,P,TEN,4,21,21,4.39,38.05,44.52,8.4,0,0,2,5,31,67.9,6,63,2,0,42.9,76,9,21,92.23,799,3,935
Kevin Huber,5066,P,CIN,3,12,12,4.39,42.0,42.83,2.5,0,0,5,3,7,60.9,8,55,0,0,33.3,10,4,12,52.69,504,0,514
Thomas Morstead,5088,P,NO,4,13,13,4.72,42.54,43.62,2.3,0,0,3,3,20,82.7,7,54,1,0,46.2,14,6,13,61.42,553,0,567
Pat McAfee,5146,P,IND,4,14,14,4.72,45.64,49.64,4.5,0,0,1,4,14,84.8,6,61,0,0,57.1,36,8,14,66.13,639,1,695
Britton Colquitt,5192,P,DEN,3,16,16,4.55,42.63,46.5,5.2,0,0,0,4,10,68.9,5,58,0,0,75.0,62,12,16,72.83,682,0,744
Tim Masthay,5510,P,GB,3,13,13,4.47,40.92,43.23,4.3,0,0,1,3,12,64.3,3,57,2,0,53.8,30,7,13,58.15,532,0,562
Matt Bosher,6344,P,ATL,4,16,16,4.78,40.19,47.31,12.3,0,0,1,7,2,80.3,5,66,0,0,37.5,74,6,16,76.53,643,2,757
Spencer Lanning,6566,P,CLV,3,16,16,4.46,38.63,43.88,11.0,0,0,2,7,8,58.3,6,57,1,0,25.0,44,4,16,71.37,618,2,702
Chris Jones,6798,P,DAL,4,12,12,4.69,41.92,47.67,7.3,0,0,1,3,9,61.3,4,62,1,0,33.3,29,4,12,56.31,503,2,572
Bryan Anger,7072,P,JAX,4,23,23,4.63,40.39,47.7,10.7,0,0,2,5,15,70.5,5,63,2,0,52.2,128,12,23,106.56,929,2,1097
Brad Nortman,7192,P,CAR,4,20,20,4.73,38.7,47.85,14.3,0,0,2,5,5,77.5,6,65,1,0,50.0,143,10,20,94.51,774,2,957
Johnny Hekker,7252,P,SL,3,9,9,4.62,43.89,44.56,3.0,0,0,2,4,26,71.4,5,57,1,0,22.2,6,2,9,41.57,395,0,401
Drew Butler,7302,P,ARZ,3,9,9,4.33,40.0,47.89,6.2,0,0,1,1,1,64.9,2,61,0,0,55.6,31,5,10,39.01,360,2,431
Marquette King,7410,P,OAK,4,23,23,4.72,41.87,44.48,6.7,0,0,5,11,23,66.9,8,61,0,0,26.1,40,6,23,108.67,963,1,1023
Ryan Quigley,7573,P,NYJ,4,19,19,4.7,43.47,48.05,7.8,0,0,2,7,22,79.9,6,61,2,0,31.6,47,6,19,89.21,826,2,913
Jeff Locke,7937,P,MIN,4,16,16,4.56,39.0,45.44,9.4,0,0,1,4,18,67.6,6,62,0,0,68.8,103,11,16,72.94,624,0,727
Sam Martin,7947,P,DET,4,15,15,4.55,40.8,48.67,7.8,0,0,0,4,11,75.8,5,57,0,0,66.7,78,10,15,68.26,612,2,730
Colton Schmidt,8104,P,BUF,4,23,23,4.43,39.65,42.96,3.6,0,0,4,5,4,61.6,9,61,1,0,43.5,36,10,23,101.93,912,2,988
Ryan Allen,8242,P,NE,4,21,21,4.26,42.43,46.9,7.4,0,0,3,6,19,64.6,10,63,1,0,47.6,74,10,22,89.41,891,1,985
Brad Wing,8256,P,PIT,4,17,17,4.38,37.29,42.94,12.7,0,0,2,7,25,54.1,7,58,1,0,35.3,76,6,17,74.5,634,1,730
Tress Way,8358,P,WAS,4,16,16,4.69,45.81,53.0,7.5,0,0,2,1,32,80.7,4,77,1,0,62.5,75,10,17,74.96,733,2,848
Pat O'Donnell,8826,P,CHI,3,14,14,4.36,38.64,43.5,6.0,0,0,0,4,6,58.9,3,52,2,0,57.1,48,8,15,61.05,541,1,609
