player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Andrew Luck,7007,QB,IND,9,427,76.8,112,124,9.6,2.52,4,10,7.6,66.1,82,54,4.7,132,30.9,4,63,,,,,63.8,84.0,81.8,,80.4,,,77.9,,3,1,139,11.1,115.8,4.5,6,2,0,5,9,5,3.6,1124,9.1,0,14,71.5,77.0,75.3,68.1,75.0,252,269,8.1,2.87,5,12,4.2,62.5,168,87,11.1,295,69.1,21,106,,,,,80.6,71.4,51.9,,69.0,,,75.3,,2,8,312,9.2,93.2,2.7,8,18,0,10,17,14,4.5,1962,7.3,79.5,264,276,7.7,2.5,8,13,4.5,68.5,189,0,10.0,286,67.0,21,129,,,,,90.7,81.5,50.5,,77.1,,,90.8,,0,7,299,,107.2,0.0,0,10,0,4,21,13,4.3,2205,8.0,2,65.0,100,117,10.8,3.3,1,9,7.1,52.1,61,141,6.2,141,33.0,4,40,,,,,43.5,66.2,82.1,,66.1,,,58.2,,5,2,152,9.9,84.0,9.9,14,10,0,11,5,6,3.9,881,7.5
Ben Roethlisberger,1732,QB,PIT,10,412,76.2,84,85,10.0,2.27,0,8,9.1,72.9,62,35,3.1,91,22.1,2,38,,,,,84.5,92.0,80.3,,91.0,,,,,0,1,94,17.1,119.6,6.6,6,0,0,1,6,2,2.1,777,9.1,0,25,36.7,89.3,90.3,27.7,77.3,282,296,8.5,2.51,3,19,6.1,67.2,199,73,8.7,321,77.9,19,108,,,,,40.5,86.0,85.3,,84.8,58.4,,44.1,,1,4,341,27.4,104.0,6.2,20,4,7,3,17,6,1.8,2297,7.8,76.8,289,300,8.1,2.17,3,18,5.8,67.7,203,0,8.6,304,73.8,19,108,,,,,85.0,91.2,85.0,,90.5,58.4,,45.1,,0,5,317,,98.4,0.0,0,3,7,1,15,4,1.3,2177,7.3,2,77.9,77,81,11.6,3.27,0,9,10.1,71.6,58,108,3.3,108,26.2,2,38,,,,,23.5,77.6,81.2,,76.4,,,58.3,,1,0,118,24.1,140.8,24.1,26,1,0,3,8,4,3.4,897,11.1
Drew Brees,802,QB,NO,9,396,76.8,82,91,8.5,2.36,3,4,4.1,64.8,59,42,6.3,97,24.5,4,34,,,,,85.3,86.2,80.7,,83.9,,,,,3,1,105,14.3,110.2,6.2,6,0,0,3,8,4,3.8,642,7.1,0,20,75.8,87.9,86.8,59.2,81.1,259,285,7.8,2.68,3,17,5.7,69.5,198,93,5.7,299,75.5,12,114,,,,,80.6,84.8,85.0,,83.0,,,60.4,,5,9,314,7.5,90.3,2.3,7,7,4,14,10,15,4.8,2174,7.6,81.9,249,258,7.5,2.31,3,14,5.2,75.2,194,0,4.9,261,65.9,10,109,,,,,90.5,91.3,84.4,,90.4,,,56.8,,0,4,273,,112.4,0.0,0,3,4,2,16,10,3.7,2069,8.0,3,75.0,92,118,9.3,3.16,3,7,5.5,53.4,63,135,8.7,135,34.1,6,39,,,,,64.1,69.9,82.0,,68.7,,,63.5,,8,6,146,9.6,57.4,9.6,13,4,0,15,2,9,6.2,747,6.3
Matthew Stafford,4924,QB,DET,9,378,72.7,55,59,8.8,2.31,1,3,4.5,62.7,37,27,7.5,66,17.5,3,25,,,,,82.8,67.9,79.4,,66.2,,,64.0,,1,0,73,22.2,100.0,9.1,6,1,0,2,2,1,1.4,486,8.2,0,11,68.8,66.1,65.9,54.2,74.3,253,280,8.2,2.63,4,10,3.4,61.1,171,89,9.0,312,82.5,17,95,,,,,60.6,64.3,85.1,,64.8,,,48.8,,2,8,329,23.6,83.9,6.7,21,10,3,18,11,9,2.7,2000,7.1,77.4,248,255,7.0,2.24,2,7,2.6,69.0,176,0,8.3,262,69.3,16,97,,,,,90.5,73.8,84.4,,73.4,,,50.8,,0,7,274,,89.0,0.0,0,6,3,2,7,5,1.8,1939,7.6,2,60.0,60,84,13.7,3.32,3,6,6.3,38.1,32,116,11.1,116,30.7,4,23,,,,,28.0,48.0,81.5,,48.3,,,59.0,,3,1,128,23.3,79.8,23.3,27,5,0,18,6,5,3.9,547,6.5
Joe Flacco,4332,QB,BLT,10,369,72.5,120,129,9.9,2.4,1,8,5.6,60.5,78,52,10.3,137,37.1,9,58,,,,,87.8,77.9,82.1,,75.4,,,70.8,,3,4,150,11.5,98.1,4.4,6,2,0,5,9,5,3.3,1092,8.5,0,3,75.5,71.2,70.6,51.6,77.1,201,221,8.2,2.68,4,7,3.0,63.8,141,59,9.0,232,62.9,14,68,,,,,76.2,65.6,84.0,,64.3,,,70.5,,2,4,244,13.6,86.8,3.4,8,3,5,9,8,10,4.1,1432,6.5,79.3,246,255,8.1,2.26,3,11,4.1,69.4,177,0,9.2,258,69.9,18,100,,,,,78.2,78.8,84.4,,76.2,,,76.8,,0,6,270,,101.0,0.0,0,3,5,1,15,10,3.7,1913,7.5,0,62.7,75,95,11.3,3.33,2,4,3.7,44.2,42,111,10.6,111,30.1,5,26,,,,,86.4,55.3,81.3,,54.9,,,64.1,,5,2,124,12.6,64.0,12.6,14,2,0,13,2,5,4.0,611,6.4
Matt Ryan,4317,QB,ATL,9,367,72.8,81,84,9.3,2.33,1,7,8.0,58.3,49,46,16.9,95,25.9,10,36,,,,,54.1,74.1,80.5,,72.0,,,67.6,,2,2,99,17.4,107.2,8.4,8,3,0,0,8,5,5.1,699,8.3,1,2,63.1,84.2,82.4,60.7,77.8,234,252,8.2,2.71,4,9,3.3,67.1,169,91,7.1,272,74.1,13,92,,,,,66.3,83.9,84.7,,82.8,,,56.0,,3,6,294,11.0,88.8,3.7,10,10,4,7,8,5,1.7,1826,7.2,81.1,217,226,7.6,2.28,4,10,4.2,71.2,161,0,8.5,230,62.7,15,86,,,,,90.3,92.3,83.9,,91.1,,,69.1,,0,4,243,,107.5,0.0,0,4,4,1,14,4,1.6,1779,7.9,1,66.3,98,110,10.5,3.16,1,6,4.9,51.8,57,137,12.3,137,37.3,8,42,,,,,28.2,56.9,82.1,,57.7,,,54.4,,5,4,150,13.1,64.4,13.1,18,9,0,6,2,6,4.0,746,6.8
Jay Cutler,2956,QB,CHI,9,366,75.7,74,79,7.8,2.44,3,3,3.4,67.1,53,38,5.4,93,25.4,3,39,,,,,29.1,55.5,80.7,,54.0,,,72.5,,1,3,104,31.6,102.8,12.9,12,2,0,1,6,6,5.8,670,8.5,0,6,28.4,62.4,61.3,61.7,73.8,240,251,7.9,2.63,2,8,3.0,66.1,166,71,6.2,273,74.6,11,84,,,,,52.0,66.0,84.6,,64.4,,,69.0,,2,7,291,15.5,89.6,4.0,11,10,0,7,12,11,3.8,1695,6.8,74.4,242,249,7.7,2.37,3,8,3.0,67.9,169,0,6.1,257,70.2,11,89,,,,,78.6,63.3,84.5,,61.9,,,70.5,,0,8,277,,90.1,0.0,0,7,0,4,11,11,4.0,1797,7.2,2,73.6,72,81,8.6,3.08,2,3,3.4,61.7,50,109,5.7,109,29.8,3,34,,,,,22.6,61.4,81.2,,59.5,,,70.2,,3,2,118,21.1,101.3,21.1,23,5,0,4,7,6,5.1,568,7.0
Peyton Manning,327,QB,DEN,9,362,64.3,84,85,9.8,2.18,0,3,3.4,58.8,50,26,7.4,86,23.8,4,35,,,,,84.0,50.6,0.0,,52.1,,,,,0,4,88,3.8,95.9,1.2,1,0,0,1,8,7,8.0,673,7.9,2,10,91.2,81.7,80.6,60.7,78.3,258,268,8.2,2.33,5,18,6.3,70.5,189,56,6.4,276,76.2,13,106,,,,,90.7,90.8,84.7,,89.2,,,66.1,,0,3,297,12.5,117.2,2.5,7,1,2,3,21,9,3.0,2244,8.4,79.3,275,280,8.1,2.12,3,18,6.0,72.5,203,0,6.9,280,77.3,15,120,,,,,90.7,91.3,84.8,,90.2,,,,,0,5,300,,117.7,0.0,0,0,2,0,22,9,3.0,2449,8.7,4,56.7,67,73,10.6,2.89,2,3,4.0,49.3,36,82,5.3,82,22.7,2,21,,,,,83.8,44.2,0.0,,45.2,,,66.1,,0,2,85,9.8,90.4,9.8,8,1,0,4,7,7,8.2,468,6.4
Derek Carr,8671,QB,OAK,9,354,63.7,91,101,9.3,2.46,7,5,4.7,50.5,51,50,12.1,108,30.5,7,27,,,,,85.8,48.2,5.0,,50.3,,,53.8,,1,4,114,10.0,62.4,4.6,5,2,0,2,4,8,7.0,521,5.2,0,23,65.1,55.9,57.4,47.4,76.3,215,236,7.5,2.61,3,4,1.6,65.7,155,66,5.5,246,69.5,9,74,,,,,51.7,61.3,84.2,,62.0,59.9,,48.3,,4,5,257,6.1,85.1,1.6,4,6,4,10,9,11,4.3,1382,5.9,76.6,222,234,7.1,2.29,5,5,2.1,66.7,156,0,8.2,238,67.2,14,71,,,,,76.4,68.5,84.0,,67.7,,,58.6,,0,5,246,,85.0,0.4,1,3,4,3,8,9,3.7,1397,6.0,6,61.9,84,103,10.5,3.12,5,4,3.7,48.5,50,116,3.8,116,32.8,2,30,,,,,43.0,36.5,11.4,,40.4,59.9,,43.7,,5,4,125,6.9,63.0,6.9,8,5,0,9,5,10,8.0,506,4.9
Tom Brady,698,QB,NE,9,351,72.4,58,64,9.3,2.09,1,4,5.7,64.1,41,27,2.4,66,18.8,1,30,,,,,45.0,86.6,79.3,,84.2,,,,,2,1,72,7.4,100.9,3.0,2,0,0,3,4,2,2.8,478,7.5,0,19,63.4,83.9,83.4,43.0,74.7,253,270,8.8,2.43,1,10,3.4,64.1,173,75,8.5,285,81.2,16,99,,,,,80.6,80.6,84.9,,79.3,,,52.3,,5,2,309,16.0,104.1,4.2,12,3,0,11,18,6,1.9,1913,7.1,77.8,243,247,8.2,2.18,2,9,3.4,71.3,176,0,6.9,249,70.9,13,105,,,,,90.5,87.3,84.3,,85.0,,,58.3,,0,2,268,,116.9,0.4,1,1,0,2,19,6,2.2,1964,8.0,2,61.8,68,87,11.2,2.82,0,5,5.1,43.7,38,102,9.5,102,29.1,4,24,,,,,30.5,70.5,81.0,,70.3,,,54.6,,7,1,113,12.7,65.6,12.7,13,2,0,12,3,2,1.8,427,4.9
