player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
DeMarco Murray,6223,HB,DAL,4,99,28,10,40.4,216,0,534,1,3,28,328,95.1,17,31,9,3,39,28.4,77.3,81.8,,86.8,36.2,80.5,60.7,44,0,68,9,70,109,0,0,10,108,5,534,328,3.31,5.4,0.97,56
Rashad Jennings,5174,HB,NYG,4,81,8,3,14.1,48,0,341,2,3,8,177,26.7,10,24,21,1,30,60.3,59.6,82.5,,69.8,30.7,64.2,60.0,18,0,92,9,62,82,0,0,11,90,2,341,177,2.19,4.2,1.48,47
Le'Veon Bell,7829,HB,PIT,4,72,13,5,45.5,172,0,378,2,10,13,211,74.1,10,18,25,0,34,86.2,69.0,22.0,,69.1,62.4,71.5,60.0,81,1,192,19,118,78,0,0,22,91,1,378,211,2.93,5.3,1.63,34
Knile Davis,7878,HB,KC,4,71,14,7,50.2,161,0,321,3,2,14,182,51.9,8,13,16,3,32,25.8,46.3,82.1,,29.1,29.4,54.4,60.0,48,0,41,8,65,77,0,0,12,79,3,321,182,2.56,4.5,0.63,39
Alfred Morris,7165,HB,WAS,4,71,8,6,36.7,116,0,316,0,0,8,160,24.4,7,15,32,1,3,55.7,58.6,78.9,,80.5,53.8,58.1,59.5,23,0,27,3,54,85,0,0,3,74,3,316,160,2.25,4.5,0.5,67
LeSean McCoy,4976,HB,PHI,4,69,9,3,29.2,56,0,192,0,3,9,107,23.6,7,13,24,1,13,57.5,50.7,85.8,,62.0,61.9,47.6,60.4,21,0,64,10,103,75,0,0,11,79,1,192,107,1.55,2.8,0.62,53
Matt Forte,4358,HB,CHI,4,65,5,2,14.0,36,0,258,1,6,5,139,26.4,5,17,6,0,38,85.7,55.1,84.0,,64.5,67.0,49.0,60.5,19,1,194,24,134,77,0,0,28,89,0,258,139,2.14,4.0,1.45,19
Arian Foster,5398,HB,HST,3,63,14,2,22.7,56,0,247,1,2,14,139,47.7,4,10,13,1,15,56.2,62.8,82.1,,83.7,67.3,59.0,60.0,40,0,84,11,59,71,0,0,14,74,1,247,139,2.21,3.9,1.42,45
Trent Richardson,7009,HB,IND,4,61,11,3,28.1,57,0,203,3,6,11,149,57.7,5,9,14,2,30,29.0,54.9,79.5,,89.7,53.1,53.5,60.0,27,0,122,11,59,67,0,0,14,72,1,203,149,2.44,3.3,2.07,28
Frank Gore,2282,HB,SF,4,59,5,4,32.2,82,0,255,0,1,5,130,21.3,6,13,28,0,44,84.1,65.7,80.5,,74.9,57.9,64.1,70.3,28,0,67,3,69,76,0,0,3,62,1,255,130,2.2,4.3,0.97,13
Stevan Ridley,6225,HB,NE,4,57,4,1,7.8,16,0,204,0,1,4,106,15.5,2,10,19,0,35,84.1,65.9,76.9,,83.3,54.8,65.3,60.0,16,0,14,3,33,66,0,0,3,60,1,204,106,1.86,3.6,0.42,22
Giovani Bernard,7818,HB,CIN,3,55,9,1,8.6,16,0,185,1,1,9,111,30.1,4,13,7,0,23,84.3,67.0,81.1,,86.6,69.6,63.2,60.2,16,0,148,12,53,69,0,0,17,67,3,185,111,2.02,3.4,2.79,32
C.J. Spiller,5534,HB,BUF,4,52,9,2,33.3,69,0,207,0,3,9,106,39.5,4,9,4,1,11,54.1,68.9,0.0,,68.2,85.6,64.3,60.1,47,0,87,10,44,56,0,0,10,62,0,207,106,2.04,4.0,1.98,37
Eddie Lacy,7842,HB,GB,4,52,13,2,19.9,32,0,161,0,3,13,115,60.0,4,6,12,1,19,50.5,56.3,83.0,,88.3,65.8,51.3,60.0,17,0,49,7,73,61,0,0,8,59,1,161,115,2.21,3.1,0.67,27
Marshawn Lynch,3628,HB,SEA,3,52,17,1,9.0,21,0,234,0,3,17,123,78.8,6,13,29,0,1,83.7,80.9,80.8,,57.0,75.5,78.8,60.1,21,0,81,8,55,58,0,0,10,60,3,234,123,2.37,4.5,1.47,51
Steven Jackson,1745,HB,ATL,4,50,12,1,8.5,17,0,201,0,1,12,135,65.0,5,12,2,0,26,83.0,75.9,78.7,,83.8,68.0,72.6,60.0,17,0,20,4,39,50,0,0,6,54,1,201,135,2.7,4.0,0.51,21
Donald Brown,4950,HB,SD,4,50,5,1,16.0,16,0,100,1,0,5,95,15.3,2,4,27,0,19,83.9,49.1,82.5,,73.3,53.1,47.5,60.0,16,0,72,12,62,55,0,0,14,62,0,100,95,1.9,2.0,1.16,22
Chris Ivory,6007,HB,NYJ,4,50,15,3,38.5,105,0,273,1,4,15,178,118.7,5,13,22,1,17,48.5,67.3,0.7,,38.9,48.1,70.9,78.0,71,1,71,7,42,66,0,0,10,57,2,273,178,3.56,5.5,1.69,33
Lamar Miller,7097,HB,MIA,4,49,4,5,36.8,102,0,277,2,1,4,112,18.7,8,14,17,2,7,27.5,55.8,84.9,,73.4,46.9,57.8,60.8,24,0,53,12,85,57,0,0,15,61,2,277,112,2.29,5.7,0.62,42
Montee Ball,7839,HB,DEN,3,49,14,3,33.3,55,0,165,0,1,14,113,61.8,4,8,10,1,17,48.9,67.0,80.8,,69.3,59.6,65.0,81.3,23,0,51,7,73,61,0,0,7,56,1,165,113,2.31,3.4,0.7,30
Joique Bell,5797,HB,DET,4,48,2,1,11.2,17,0,152,0,1,2,86,9.4,4,8,11,2,25,26.5,54.2,6.0,,76.7,67.1,51.3,60.0,17,1,73,9,67,56,0,0,14,57,1,152,86,1.79,3.2,1.09,23
