player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Andrew Luck,7007,QB,IND,7,-7.7,0,330,14,75.6,262,278,9.2,2.89,4,10,3.4,64.4,179,94,9.6,306,92.7,19,128,,,,,85.9,78.3,87.1,,76.8,,,63.2,,,3,7,319,11.7,100.8,3.6,11,17,0,9,19,10,3.1,2188,7.9,76.7,232,245,7.5,2.59,5,7,2.7,67.3,165,71,7.3,265,80.3,13,108,,,,,83.8,74.6,86.7,,72.5,,,66.1,,,2,6,277,11.3,98.3,3.0,8,12,0,6,15,8,2.9,1757,7.2,78.8,52,57,11.3,3.66,0,3,5.1,59.6,34,24,17.1,65,19.7,7,27,,,,,82.2,79.2,79.0,,79.7,,,55.0,,,1,1,67,12.5,109.9,4.6,3,5,0,4,4,3,4.5,575,10.1,0,95.5,22,24,-2.9,1.73,1,0,0.0,83.3,20,1,4.8,24,7.3,1,7,,,,,76.3,60.9,75.5,,60.6,,,,,,0,0,25,0.0,91.7,0.0,0,0,0,1,0,1,4.0,144,6.0,2.92
Matt Ryan,4317,QB,ATL,7,8.22,0,303,2,73.4,233,252,10.0,2.75,5,14,5.3,60.7,153,110,10.5,277,91.4,18,97,,,,,79.3,84.9,86.2,,83.3,,,58.6,,,5,7,290,13.6,85.8,5.4,15,10,3,6,11,7,2.4,1823,7.2,75.2,214,230,8.4,2.6,4,11,4.5,62.6,144,86,10.6,249,82.2,17,80,,,,,77.2,83.8,86.0,,82.7,,,53.0,,,5,5,261,14.0,88.2,4.8,12,7,3,4,9,6,2.3,1652,7.2,77.8,45,48,10.4,2.92,1,3,5.9,70.8,34,24,2.9,54,17.8,1,23,,,,,81.2,79.5,78.5,,76.9,,,67.7,,,0,2,57,12.5,108.5,5.6,3,3,0,2,4,1,1.8,426,8.9,0,96.2,26,26,-2.6,1.72,0,0,0.0,96.2,25,0,0.0,26,8.6,0,6,,,,,77.0,75.9,75.9,,74.6,,,,,,0,0,28,,133.2,0.0,0,0,0,0,2,0,0.0,255,9.8,1.7
Jay Cutler,2956,QB,CHI,7,6.51,0,291,6,73.1,223,233,9.1,2.62,3,11,4.3,65.7,153,84,6.1,261,89.7,10,87,,,,,29.2,69.2,86.3,,67.8,,,60.8,,,3,7,282,20.2,90.6,6.5,17,10,0,4,12,14,5.0,1632,7.0,75.5,200,212,7.3,2.47,3,10,4.4,66.0,140,72,7.3,239,82.1,11,76,,,,,28.2,66.8,86.0,,65.3,,,60.8,,,3,6,256,22.2,90.6,6.7,16,10,0,6,11,12,4.7,1422,6.7,75.5,49,51,10.2,2.88,1,1,1.8,72.5,37,12,0.0,52,17.9,0,22,,,,,81.1,73.1,78.4,,71.8,,,,,,0,1,56,8.3,110.3,1.9,1,0,0,1,3,2,3.6,444,8.7,0,96.2,26,30,-2.8,1.89,1,0,0.0,80.0,24,0,4.0,30,10.3,1,11,,,,,77.4,64.1,76.1,,63.7,,,,,,0,0,30,,121.4,0.0,0,0,0,3,2,0,0.0,234,7.8,2.0
Matthew Stafford,4924,QB,DET,7,-3.77,0,287,11,73.4,207,226,9.4,2.71,4,9,3.7,60.2,136,85,10.5,261,90.9,16,82,,,,,56.9,67.1,64.1,,67.6,,,51.4,,,2,6,277,28.2,85.5,9.2,24,10,0,13,9,7,2.5,1684,7.5,76.6,192,207,7.6,2.57,3,7,3.2,63.8,132,71,10.2,233,81.2,15,72,,,,,52.2,70.8,62.2,,71.7,,,49.1,,,2,4,242,25.4,92.0,7.7,18,8,0,10,8,4,1.7,1588,7.7,72.5,40,45,10.1,2.81,1,2,3.8,60.0,27,15,6.9,54,18.8,2,17,,,,,81.7,53.9,78.8,,53.4,,,63.5,,,0,2,62,40.0,68.1,11.1,6,2,0,4,1,3,4.8,293,6.5,0,96.0,25,26,-3.2,1.68,0,0,0.0,88.5,23,1,4.2,26,9.1,1,7,,,,,76.8,64.3,75.8,,63.8,,,,,,0,0,27,0.0,98.2,0.0,0,0,0,1,0,0,0.0,197,7.6,-1.16
Ben Roethlisberger,1732,QB,PIT,7,3.37,0,278,25,71.0,210,221,10.3,2.55,3,13,5.5,63.8,141,67,5.4,244,87.8,8,85,,,,,43.1,81.5,86.4,,81.6,58.4,,42.6,,,1,3,260,28.4,96.0,7.8,19,4,5,2,10,5,1.9,1660,7.5,73.4,188,198,8.0,2.33,3,10,4.8,65.2,129,54,6.5,223,80.2,9,70,,,,,28.7,75.0,86.2,,75.5,58.4,,42.6,,,1,2,235,37.0,94.8,9.0,20,4,5,1,7,5,2.1,1466,7.4,76.9,52,54,11.4,2.88,0,3,5.1,68.5,37,16,7.5,55,19.8,3,22,,,,,81.5,84.9,78.7,,82.7,,,,,,0,1,60,6.3,101.1,1.8,1,0,0,2,3,1,1.7,403,7.5,0,96.7,30,31,-2.4,1.62,0,0,0.0,80.6,25,3,13.8,34,12.2,4,7,,,,,27.4,59.8,76.7,,59.6,,,,,,0,0,35,66.7,94.8,5.9,2,0,0,1,0,1,2.9,209,6.7,0.06
Drew Brees,802,QB,NO,6,8.79,0,272,20,76.6,209,230,9.4,2.72,6,13,5.3,64.3,148,90,7.5,239,87.9,12,95,,,,,77.3,78.3,35.9,,78.2,,,50.7,,,6,7,258,5.6,89.5,2.1,5,4,2,7,10,16,6.2,1763,7.7,77.6,201,219,7.8,2.47,5,10,4.3,66.2,145,72,7.1,226,83.1,11,83,,,,,76.0,73.5,34.0,,73.5,,,52.2,,,6,7,241,5.6,86.8,1.8,4,3,2,5,9,16,6.6,1535,7.0,87.2,39,44,7.2,3.11,1,3,6.3,75.0,33,18,2.9,46,16.9,1,17,,,,,80.4,87.6,78.0,,86.3,,,58.3,,,0,0,50,5.6,115.8,2.2,1,1,0,4,2,0,0.0,381,8.7,0,96.8,31,33,-4.3,1.57,0,0,0.0,90.9,30,0,0.0,33,12.1,0,5,,,,,77.9,69.3,76.5,,68.5,,,,,,0,0,33,,96.1,0.0,0,0,0,2,1,0,0.0,153,4.6,1.65
Colin Kaepernick,6188,QB,SF,7,-15.45,0,263,28,75.3,194,211,10.0,2.97,2,12,5.3,62.6,132,96,9.6,250,95.1,14,88,,,,,80.7,66.6,0.0,,68.1,,,59.3,,,1,5,271,19.8,95.0,7.6,19,20,0,14,11,11,4.1,1685,8.0,77.8,171,183,8.7,2.78,2,9,4.6,66.7,122,72,8.3,213,81.0,11,72,,,,,78.0,64.8,0.0,,67.3,,,56.5,,,0,4,230,18.1,95.0,6.1,13,17,0,10,8,9,3.9,1403,7.7,72.2,36,41,11.7,3.5,0,3,6.7,51.2,21,24,19.2,50,19.0,5,16,,,,,80.9,69.9,78.3,,66.7,,,71.9,,,1,1,54,25.0,91.1,12.0,6,3,0,4,3,2,3.7,316,7.7,0,100.0,13,13,-2.9,1.84,0,0,0.0,84.6,11,0,15.4,13,4.9,2,0,,,,,72.8,64.0,73.2,,63.6,,,,,,0,0,13,,79.2,0.0,0,0,0,0,0,0,0.0,34,2.6,0.04
Tom Brady,698,QB,NE,7,9.96,0,262,19,69.0,203,223,10.6,2.48,2,8,3.3,58.3,130,81,7.1,239,91.2,10,83,,,,,64.2,75.2,86.5,,73.8,,,56.6,,,6,2,262,16.0,96.6,5.4,13,3,0,12,13,7,2.7,1620,7.3,68.5,165,182,8.7,2.3,2,4,2.0,58.8,107,59,5.3,190,72.5,6,53,,,,,74.2,72.0,86.0,,70.5,,,58.0,,,5,2,208,10.2,89.8,3.2,6,2,0,10,10,5,2.4,1090,6.0,78.7,61,64,10.5,2.66,0,4,5.7,68.8,44,24,8.3,72,27.5,4,31,,,,,47.2,77.0,79.6,,76.0,,,58.3,,,1,0,78,29.2,115.0,9.7,7,1,0,2,3,2,2.6,614,9.6,0,91.3,23,23,-3.8,1.49,0,0,0.0,91.3,21,2,0.0,23,8.8,0,1,,,,,76.1,70.2,75.3,,69.3,,,,,,0,0,24,0.0,81.9,0.0,0,0,0,0,0,0,0.0,84,3.7,3.6
Geno Smith,7820,QB,NYJ,7,7.58,0,258,22,67.6,173,198,9.2,3.24,4,5,2.4,53.5,106,100,9.4,228,88.4,11,71,,,,,32.7,55.8,86.3,,55.8,55.6,,55.1,,,2,6,241,14.0,69.7,6.1,14,16,1,18,6,11,4.6,1214,6.1,68.6,156,176,8.5,3.1,4,5,2.7,55.7,98,84,8.4,198,76.7,9,59,,,,,29.2,48.6,85.9,,49.1,60.0,,50.6,,,2,6,210,14.3,72.3,6.1,12,10,1,13,7,12,5.7,1048,6.0,81.4,43,49,4.6,3.16,1,0,0.0,63.3,31,20,11.4,60,23.3,4,19,,,,,81.6,74.9,79.1,,71.7,58.2,,70.9,,,0,1,61,15.0,73.3,5.0,3,8,0,5,0,0,0.0,317,6.5,0,96.2,26,27,-2.1,2.16,1,0,0.0,85.2,23,4,8.0,30,11.6,2,7,,,,,77.4,50.0,76.1,,47.2,,,66.4,,,0,1,30,25.0,86.9,3.3,1,2,0,0,1,1,3.3,151,5.6,0.52
Joe Flacco,4332,QB,BLT,7,-1.72,0,256,3,75.6,205,224,10.1,2.56,4,12,4.9,61.6,138,70,11.0,236,92.2,17,83,,,,,78.1,76.4,86.5,,75.6,,,54.2,,,2,5,255,11.4,96.5,3.4,8,4,4,9,14,12,4.7,1696,7.6,79.3,188,204,8.8,2.37,4,11,5.1,64.2,131,56,12.1,212,82.8,18,73,,,,,75.6,78.6,86.2,,77.9,,,52.3,,,2,4,223,10.7,97.1,2.8,6,2,4,6,11,10,4.5,1550,7.6,69.4,36,40,9.5,3.24,1,1,2.1,62.5,25,15,0.0,44,17.2,0,15,,,,,80.6,61.8,78.1,,61.1,,,62.0,,,0,1,52,13.3,100.7,4.5,2,2,0,3,3,2,3.8,307,7.7,0,100.0,19,20,-3.6,2.06,1,0,0.0,90.0,18,1,5.3,20,7.8,1,5,,,,,75.1,67.8,74.7,,67.1,,,,,,0,0,20,0.0,100.2,0.0,0,0,0,0,0,0,0.0,161,8.1,0.08
