player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Joe Thomas,3619,T,CLV,12,1,8,76.7,100.0,53,14.1,53,88.8,1,100.0,376,376,84.8,100.0,297,79.0,297
John Greco,4379,G,CLV,12,0,8,71.5,100.0,53,14.1,53,76.7,1,100.0,376,376,77.0,100.0,297,79.0,297
Joel Bitonio,8670,G,CLV,12,0,8,62.9,100.0,53,14.1,53,72.1,1,100.0,376,376,73.2,100.0,297,79.0,297
Mitchell Schwartz,7041,T,CLV,12,0,8,66.1,100.0,53,14.1,53,67.0,0,100.0,376,376,67.7,100.0,297,79.0,297
Derek Newton,6366,T,HST,12,0,13,74.2,100.0,77,20.8,77,79.9,1,100.0,371,371,77.7,100.0,254,68.5,254
Travis Frederick,7812,C,DAL,12,0,9,69.7,100.0,150,40.5,150,73.8,4,100.0,370,370,69.2,100.0,192,51.9,192
Tyron Smith,6161,T,DAL,12,1,9,75.0,100.0,150,40.5,150,71.7,2,100.0,370,370,64.8,100.0,192,51.9,192
Zack Martin,8651,G,DAL,12,0,9,71.0,100.0,150,40.5,150,76.4,1,100.0,370,370,73.3,100.0,192,51.9,192
Jason Witten,1384,TE,DAL,12,0,9,84.2,100.0,150,40.9,150,77.6,1,100.0,367,367,63.3,100.0,192,52.3,192
Chris Myers,2417,C,HST,12,2,13,67.9,100.0,77,21.1,77,73.0,2,100.0,365,365,75.1,100.0,250,68.5,250
Duane Brown,4340,T,HST,12,0,13,64.9,100.0,77,21.1,77,70.8,1,100.0,365,365,72.0,100.0,250,68.5,250
Brian Hoyer,5277,QB,CLV,12,0,8,60.0,100.0,53,14.9,53,60.0,0,95.9,355,370,60.0,99.0,289,81.4,292
Clint Boling,6253,G,CIN,12,0,7,60.9,100.0,152,42.9,152,67.9,1,100.0,354,354,68.3,100.0,161,45.5,161
Russell Bodine,8746,C,CIN,12,0,7,68.0,100.0,152,42.9,152,62.8,1,100.0,354,354,54.3,100.0,161,45.5,161
Ben Jones,7099,G,HST,12,0,13,66.8,100.0,71,20.4,71,67.6,1,100.0,348,348,65.3,100.0,239,68.7,239
