player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Charles Woodson,330,S,OAK,14,9,6.2,74.4,97.7,16.3,12.1,0,2,4,10.3,23,60.5,64.0,89.6,82.1,64.6,67.9,3,48,14.8,8,4,0,100.5,29,516,528,13,37,39,3,401,267,0.8,13.8
John Abraham,591,ED,ARZ,1,0,,,13.0,,,0,0,0,,1,60.4,54.7,70.5,47.9,66.7,69.9,0,,,0,0,0,0.0,0,3,23,0,0,0,0,0,0,0.0,
Justin Smith,776,DI,SF,14,1,,,0.5,,,0,0,0,,28,67.0,77.0,72.9,58.6,85.8,68.8,0,,0.0,0,0,1,0.0,0,2,390,6,2,0,0,0,0,0.0,
Julius Peppers,1010,ED,GB,14,2,4.5,50.0,8.3,17.5,8.8,1,1,1,25.0,12,83.7,75.6,74.2,74.1,57.3,34.0,2,7,44.4,4,1,3,16.7,2,38,457,7,3,4,0,12,11,0.3,6.0
Dwight Freeney,1019,ED,SD,14,0,5.0,100.0,3.7,12.0,12.0,0,0,0,0.0,27,61.3,58.9,49.5,68.0,43.3,23.0,0,35,100.0,3,0,3,118.8,1,14,379,2,0,1,0,35,30,2.9,35.0
Larry Foote,1126,LB,ARZ,14,4,2.9,82.1,70.0,8.7,7.2,0,0,1,1.8,1,47.0,49.2,39.9,49.7,61.5,40.9,1,33,34.1,14,1,3,107.0,46,429,613,12,23,56,2,482,356,1.2,10.5
Brett Keisel,1204,DI,PIT,12,0,,,2.0,,,1,0,0,,25,72.5,59.9,66.0,56.0,62.0,66.6,1,,40.0,2,0,1,0.0,0,6,295,1,3,0,0,0,0,0.0,
Ryan Clark,1229,S,WAS,14,4,7.8,65.0,96.0,35.8,23.3,0,0,1,5.0,32,53.7,47.2,32.1,35.6,42.8,44.5,1,13,15.6,7,1,2,72.7,13,499,520,9,34,20,1,99,63,0.2,7.6
James Harrison,1251,ED,PIT,9,0,2.0,100.0,22.3,10.3,10.3,0,0,0,0.0,25,55.5,71.6,59.8,75.3,66.1,71.3,0,13,0.0,0,0,2,135.4,4,43,193,6,5,4,1,28,20,0.7,7.0
Terence Newman,1321,CB,CIN,12,4,11.0,57.6,99.6,9.5,5.5,0,4,6,7.1,7,64.9,67.2,68.2,55.5,75.3,63.5,1,32,7.7,4,6,6,76.6,49,492,494,15,44,85,2,481,128,1.0,9.8
