player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Andrew Luck,7007,QB,IND,6,-10.13,0,285,14,74.4,227,238,9.6,2.87,4,9,3.6,64.7,154,78,8.9,263,92.3,15,114,,,,,90.6,81.2,86.4,,78.2,,,72.0,,,1,7,275,11.5,100.0,3.4,9,16,0,6,17,9,3.3,1854,7.8,76.6,205,215,7.8,2.6,5,7,3.1,67.9,146,59,7.0,233,81.8,11,99,,,,,90.4,79.1,86.1,,75.8,,,74.2,,,1,6,244,10.2,97.4,2.6,6,12,0,4,13,7,2.9,1559,7.3,73.8,42,45,12.4,3.62,0,2,4.3,57.8,26,20,16.1,52,18.2,5,21,,,,,80.9,74.4,78.3,,74.1,,,58.9,,,0,1,54,15.0,110.3,5.8,3,4,0,3,4,3,5.6,429,9.5,0,95.0,20,22,-3.2,1.71,1,0,0.0,81.8,18,1,5.3,22,7.7,1,6,,,,,75.9,60.0,75.2,,59.8,,,,,,0,0,23,0.0,92.0,0.0,0,0,0,1,0,1,4.3,134,6.1,2.28
Matt Ryan,4317,QB,ATL,6,7.46,0,253,2,73.2,198,215,10.2,2.75,5,9,3.9,60.5,130,89,10.3,234,92.5,15,86,,,,,90.3,84.6,85.6,,82.7,,,62.6,,,4,7,247,11.2,85.9,4.3,10,9,3,5,10,4,1.6,1626,7.6,75.1,177,191,8.6,2.6,4,7,3.4,62.3,119,68,10.5,205,81.0,14,69,,,,,90.1,84.2,85.3,,82.8,,,57.4,,,4,5,217,11.8,88.7,3.9,8,6,3,3,8,3,1.4,1449,7.6,77.5,40,43,11.2,3.0,1,2,4.3,69.8,30,21,3.2,48,19.0,1,22,,,,,80.5,73.9,78.0,,71.5,,,67.7,,,0,2,51,9.5,110.7,4.2,2,3,0,2,4,1,2.0,401,9.3,0,100.0,19,19,-2.6,1.72,0,0,0.0,100.0,19,0,0.0,19,7.5,0,5,,,,,75.4,69.4,74.9,,68.5,,,,,,0,0,21,,150.9,0.0,0,0,0,0,2,0,0.0,224,11.8,1.74
Jay Cutler,2956,QB,CHI,6,5.31,0,253,6,72.8,195,203,8.7,2.59,2,10,4.5,66.0,134,72,5.6,227,89.7,8,76,,,,,47.9,72.5,85.8,,69.4,,,72.4,,,2,6,246,19.4,92.5,6.2,14,9,0,4,11,11,4.5,1443,7.1,75.7,173,182,6.9,2.45,2,9,4.5,67.0,122,61,6.9,205,81.0,9,67,,,,,43.7,72.1,85.5,,68.8,,,72.4,,,2,5,221,21.3,93.8,6.3,13,9,0,5,10,9,4.1,1266,7.0,75.6,45,47,9.5,2.84,1,1,2.0,72.3,34,11,0.0,48,19.0,0,20,,,,,80.5,68.7,78.0,,67.8,,,,,,0,1,51,9.1,111.1,2.1,1,0,0,1,3,2,3.9,410,8.7,0,100.0,23,26,-2.8,1.93,1,0,0.0,84.6,22,0,4.3,26,10.3,1,11,,,,,76.6,66.7,75.6,,66.1,,,,,,0,0,26,,129.6,0.0,0,0,0,2,2,0,0.0,233,9.0,1.76
Nick Foles,7089,QB,PHI,6,-5.19,0,252,24,63.5,192,206,12.6,2.98,0,11,5.0,56.3,116,82,4.9,218,86.5,6,71,,,,,44.9,60.3,85.9,,61.8,,,39.8,,,5,7,236,7.3,79.2,2.8,6,6,1,8,10,15,6.4,1393,6.8,68.3,145,155,8.6,2.74,0,8,4.7,61.3,95,56,4.0,169,67.1,4,54,,,,,34.2,56.6,85.4,,58.6,,,39.8,,,2,6,185,10.7,74.9,3.6,6,6,1,7,5,13,7.0,1007,6.5,66.2,77,82,13.5,2.94,0,3,3.5,56.1,46,27,9.8,83,32.9,5,27,,,,,84.0,68.2,80.0,,67.3,,,,,,3,1,87,3.7,95.6,1.2,1,0,0,2,5,2,2.3,621,7.6,0,93.3,30,31,-4.1,1.71,0,0,0.0,80.6,25,1,10.7,34,13.5,3,10,,,,,78.4,63.3,76.8,,62.9,,,,,,0,0,36,100.0,98.3,2.9,1,0,0,1,0,0,0.0,235,7.6,1.07
Matthew Stafford,4924,QB,DET,6,-2.26,0,243,11,72.3,173,190,9.7,2.72,3,9,4.4,58.9,112,73,10.4,221,90.9,13,70,,,,,51.0,66.9,60.2,,67.6,,,52.0,,,1,4,235,28.8,85.2,9.5,21,9,0,13,7,6,2.6,1391,7.3,75.6,156,169,7.9,2.57,2,7,4.0,62.7,106,59,10.2,191,78.6,12,59,,,,,44.6,69.0,57.6,,70.1,,,49.6,,,1,3,198,25.4,90.7,7.9,15,7,0,10,6,4,2.0,1296,7.7,73.7,38,43,10.2,2.84,1,2,3.9,60.5,26,15,7.1,52,21.4,2,17,,,,,81.5,59.9,78.6,,59.1,,,63.5,,,0,1,60,40.0,78.2,11.5,6,2,0,4,1,2,3.3,286,6.7,0,100.0,21,22,-3.0,1.68,0,0,0.0,90.9,20,1,4.8,22,9.1,1,6,,,,,75.9,65.9,75.2,,65.3,,,,,,0,0,23,0.0,102.8,0.0,0,0,0,1,0,0,0.0,191,8.7,-1.02
Ben Roethlisberger,1732,QB,PIT,6,5.56,0,242,25,70.9,179,189,10.1,2.59,2,10,5.0,63.0,119,54,6.3,209,86.4,8,73,,,,,51.7,82.6,85.8,,82.7,58.4,,42.9,,,1,3,223,29.6,93.4,7.7,16,4,5,2,8,4,1.8,1423,7.5,73.1,167,176,8.1,2.37,2,9,4.9,64.2,113,45,7.4,198,81.8,9,61,,,,,32.2,76.9,85.7,,77.3,58.4,,42.9,,,1,2,208,37.8,92.9,8.6,17,4,5,1,6,4,1.9,1295,7.4,80.5,41,43,9.4,2.83,0,1,2.1,69.8,30,12,9.1,44,18.2,3,18,,,,,80.3,82.9,77.9,,80.9,,,,,,0,1,49,8.3,96.0,2.3,1,0,0,2,2,1,2.0,309,7.2,0,96.6,29,30,-2.4,1.61,0,0,0.0,80.0,24,3,14.3,33,13.6,4,6,,,,,27.2,59.5,76.6,,59.3,,,,,,0,0,34,66.7,91.8,6.1,2,0,0,1,0,1,2.9,181,6.0,-0.17
Joe Flacco,4332,QB,BLT,6,2.13,0,229,3,75.7,185,201,9.8,2.56,4,11,5.1,61.7,124,61,11.4,211,92.1,16,70,,,,,75.8,75.6,85.9,,75.2,,,51.6,,,1,3,225,11.5,98.0,3.3,7,3,4,7,12,9,4.0,1489,7.4,78.8,170,184,8.6,2.38,4,10,5.1,63.6,117,49,12.7,190,83.0,17,60,,,,,73.6,76.5,85.6,,76.3,,,49.3,,,1,3,201,10.2,94.3,2.6,5,1,4,5,9,8,4.0,1314,7.1,71.9,32,35,9.0,3.19,1,1,2.6,65.7,23,13,0.0,39,17.0,0,14,,,,,79.3,65.1,77.3,,64.2,,,62.0,,,0,0,42,15.4,119.3,5.1,2,2,0,2,3,1,2.4,285,8.1,0,100.0,17,18,-3.9,2.07,1,0,0.0,88.9,16,1,5.9,18,7.9,1,4,,,,,74.5,67.5,74.3,,66.8,,,,,,0,0,18,0.0,92.1,0.0,0,0,0,0,0,0,0.0,110,6.1,1.0
Drew Brees,802,QB,NO,5,5.91,0,225,20,76.5,179,193,9.0,2.72,5,11,5.4,65.3,126,69,8.0,200,88.9,11,80,,,,,73.6,77.0,55.5,,77.1,,,46.0,,,4,6,214,5.8,90.3,2.0,4,3,1,4,9,15,7.0,1447,7.5,77.6,170,180,7.3,2.45,4,8,4.2,67.8,122,56,7.6,186,82.7,10,70,,,,,71.9,71.9,54.0,,72.0,,,47.1,,,4,6,197,7.1,88.5,2.2,4,2,1,1,8,15,7.6,1252,7.0,85.3,34,38,7.7,3.22,1,3,7.3,73.7,28,13,3.4,39,17.3,1,14,,,,,79.3,88.3,77.3,,87.1,,,58.3,,,0,0,42,0.0,107.6,0.0,0,1,0,3,1,0,0.0,322,8.5,0,96.0,25,25,-4.2,1.5,0,0,0.0,96.0,24,0,0.0,25,11.1,0,4,,,,,76.3,70.1,75.5,,69.2,,,,,,0,0,25,,87.8,0.0,0,0,0,0,0,0,0.0,127,5.1,1.51
Tom Brady,698,QB,NE,6,12.72,0,224,19,67.6,173,187,10.6,2.42,1,8,3.9,59.4,111,66,5.1,202,90.2,6,71,,,,,59.4,72.0,86.0,,70.7,,,56.6,,,5,2,222,18.2,95.4,5.9,12,3,0,8,10,7,3.2,1367,7.3,67.6,139,152,8.5,2.24,1,4,2.4,59.2,90,48,4.3,159,71.0,4,44,,,,,70.7,70.2,85.5,,68.8,,,58.0,,,4,2,174,10.4,85.7,3.1,5,2,0,8,7,5,2.9,892,5.9,76.8,56,57,10.1,2.56,0,4,6.3,71.9,41,20,4.7,65,29.0,2,28,,,,,44.1,72.4,79.3,,71.7,,,58.3,,,1,0,71,35.0,119.8,10.8,7,1,0,0,3,2,2.8,551,9.7,0,90.9,22,22,-3.8,1.5,0,0,0.0,90.9,20,2,0.0,22,9.8,0,1,,,,,75.9,70.0,75.2,,69.1,,,,,,0,0,23,0.0,81.1,0.0,0,0,0,0,0,0,0.0,76,3.5,3.8
Philip Rivers,1725,QB,SD,6,12.97,0,219,27,75.7,169,181,10.8,2.86,1,11,5.7,66.3,120,77,6.3,201,91.8,8,84,,,,,42.1,85.8,86.0,,86.6,,,47.5,,,2,2,214,11.7,116.2,4.5,9,10,0,9,14,2,0.9,1638,9.0,77.2,167,178,9.5,2.79,1,11,5.8,68.0,121,74,6.2,197,90.0,8,78,,,,,41.1,83.8,86.0,,84.8,,,47.5,,,2,2,209,10.8,115.9,4.1,8,10,0,8,14,2,1.0,1523,8.6,85.0,20,21,8.7,2.55,0,0,0.0,81.0,17,3,0.0,22,10.0,0,9,,,,,75.9,81.3,75.2,,79.4,,,,,,0,0,23,33.3,128.8,4.5,1,0,0,1,1,0,0.0,233,11.1,0,100.0,18,18,-3.7,1.69,0,0,0.0,100.0,18,0,0.0,18,8.2,0,3,,,,,74.5,68.9,74.3,,68.1,,,,,,0,0,18,,112.5,0.0,0,0,0,0,1,0,0.0,118,6.6,2.54
